,Symbol,Market,TradingDate,Time,Open,High,Low,Close,Volume,Value
0,HRC,HOSE,02/01/2019,,30817,31811,30817,31811,3030,93960000
1,HRC,HOSE,03/01/2019,,31811,31811,31811,31811,30,960000
2,HRC,HOSE,04/01/2019,,29624,31811,29624,31811,410,12350000
3,HRC,HOSE,07/01/2019,,31811,31811,31811,31811,0,0
4,HRC,HOSE,08/01/2019,,31811,31811,31811,31811,0,0
5,HRC,HOSE,09/01/2019,,31811,31811,31811,31811,250,8000000
6,HRC,HOSE,10/01/2019,,31811,31811,31811,31811,0,0
7,HRC,HOSE,11/01/2019,,31811,31811,31811,31811,0,0
8,HRC,HOSE,14/01/2019,,31811,31811,31811,31811,110,4000000
9,HRC,HOSE,15/01/2019,,31811,32805,31811,32805,500,16340000
10,HRC,HOSE,16/01/2019,,32805,32805,32805,32805,0,0
11,HRC,HOSE,17/01/2019,,32805,32805,32805,32805,0,0
12,HRC,HOSE,18/01/2019,,32805,32805,32805,32805,0,0
13,HRC,HOSE,21/01/2019,,32805,32805,32805,32805,0,0
14,HRC,HOSE,22/01/2019,,32805,32805,32805,32805,0,0
15,HRC,HOSE,23/01/2019,,32805,32805,32805,32805,0,0
16,HRC,HOSE,24/01/2019,,32805,32805,32805,32805,0,0
17,HRC,HOSE,25/01/2019,,32805,32805,32805,32805,0,0
18,HRC,HOSE,28/01/2019,,32805,32805,32805,32805,0,0
19,HRC,HOSE,29/01/2019,,32805,32805,32805,32805,0,0
20,HRC,HOSE,30/01/2019,,30519,33253,30519,33253,480,14760000
21,HRC,HOSE,31/01/2019,,33253,33253,33253,33253,0,0
22,HRC,HOSE,01/02/2019,,33253,33253,33253,33253,0,0
23,HRC,HOSE,11/02/2019,,33253,33253,33253,33253,0,0
24,HRC,HOSE,12/02/2019,,33253,33253,33253,33253,20,670000
25,HRC,HOSE,13/02/2019,,33253,33253,33253,33253,0,0
26,HRC,HOSE,14/02/2019,,33253,33253,33253,33253,10,330000
27,HRC,HOSE,15/02/2019,,33253,33253,33253,33253,0,0
28,HRC,HOSE,18/02/2019,,33253,33253,33253,33253,0,0
29,HRC,HOSE,19/02/2019,,33253,33253,33253,33253,0,0
30,HRC,HOSE,20/02/2019,,33253,33253,33253,33253,0,0
31,HRC,HOSE,21/02/2019,,33253,33253,33253,33253,0,0
32,HRC,HOSE,22/02/2019,,33253,33253,33253,33253,0,0
33,HRC,HOSE,25/02/2019,,33253,33253,33253,33253,200,6690000
34,HRC,HOSE,26/02/2019,,33253,33253,33253,33253,0,0
35,HRC,HOSE,27/02/2019,,35291,35539,35291,35539,300,10700000
36,HRC,HOSE,28/02/2019,,35539,35539,35539,35539,0,0
37,HRC,HOSE,01/03/2019,,35539,35539,35539,35539,100,3580000
38,HRC,HOSE,04/03/2019,,36782,36782,36782,36782,220,8140000
39,HRC,HOSE,05/03/2019,,34794,34794,34794,34794,10,350000
40,HRC,HOSE,06/03/2019,,34794,34794,34794,34794,26770,936950000
41,HRC,HOSE,07/03/2019,,33799,33799,32805,32805,50040,1651330000
42,HRC,HOSE,08/03/2019,,32805,32805,32805,32805,100010,3300330000
43,HRC,HOSE,11/03/2019,,32805,32805,32805,32805,50000,1650000000
44,HRC,HOSE,12/03/2019,,32805,32805,32805,32805,70010,2310330000
45,HRC,HOSE,13/03/2019,,32805,32805,32805,32805,0,0
46,HRC,HOSE,14/03/2019,,32805,32805,32805,32805,100,3300000
47,HRC,HOSE,15/03/2019,,32805,32805,32805,32805,0,0
48,HRC,HOSE,18/03/2019,,34794,35092,34794,35092,51500,1817950000
49,HRC,HOSE,19/03/2019,,36782,37279,36782,37279,11030,412550000
50,HRC,HOSE,20/03/2019,,37279,38024,35390,35390,55000,2090330000
51,HRC,HOSE,21/03/2019,,37577,37826,37577,37826,1030,39140000
52,HRC,HOSE,22/03/2019,,40261,40261,40162,40162,13070,529270000
53,HRC,HOSE,25/03/2019,,41752,42945,41752,42796,32010,1379330000
54,HRC,HOSE,26/03/2019,,45778,45778,45729,45778,5510,254000000
55,HRC,HOSE,27/03/2019,,47717,47717,42597,42597,6070,267000000
56,HRC,HOSE,28/03/2019,,39814,43740,39764,43740,2610,104000000
57,HRC,HOSE,29/03/2019,,40758,40858,40758,40858,1110,46000000
58,HRC,HOSE,01/04/2019,,40858,41255,39764,39764,1500,60590000
59,HRC,HOSE,02/04/2019,,39764,39764,37776,37776,4160,164090000
60,HRC,HOSE,03/04/2019,,37776,38372,37776,38372,1910,73370000
61,HRC,HOSE,04/04/2019,,39665,39665,39665,39665,1000,39900000
62,HRC,HOSE,05/04/2019,,39665,39665,39665,39665,1610,64240000
63,HRC,HOSE,08/04/2019,,38770,38770,38770,38770,160,6240000
64,HRC,HOSE,09/04/2019,,38770,39764,38770,39764,1310,52000000
65,HRC,HOSE,10/04/2019,,39267,39267,39267,39267,1000,39500000
66,HRC,HOSE,11/04/2019,,38770,39168,38770,39168,1510,59090000
67,HRC,HOSE,12/04/2019,,38770,38770,38670,38670,1800,70170000
68,HRC,HOSE,16/04/2019,,38770,39764,38770,38770,930,36280000
69,HRC,HOSE,17/04/2019,,38770,39665,38770,39665,910,35500000
70,HRC,HOSE,18/04/2019,,38770,38770,38770,38770,10,390000
71,HRC,HOSE,19/04/2019,,38770,38770,38770,38770,2000,78000000
72,HRC,HOSE,22/04/2019,,38273,38273,37776,37776,5480,208740000
73,HRC,HOSE,23/04/2019,,37776,37776,37776,37776,770,29260000
74,HRC,HOSE,24/04/2019,,37776,37776,37776,37776,0,0
75,HRC,HOSE,25/04/2019,,37776,37776,37776,37776,0,0
76,HRC,HOSE,26/04/2019,,37776,37776,37776,37776,0,0
77,HRC,HOSE,02/05/2019,,37776,37776,37776,37776,1770,67260000
78,HRC,HOSE,03/05/2019,,37776,37776,37776,37776,2710,102980000
79,HRC,HOSE,06/05/2019,,37776,37776,37776,37776,0,0
80,HRC,HOSE,07/05/2019,,35887,37279,35887,37279,400,14580000
81,HRC,HOSE,08/05/2019,,37279,37279,37279,37279,0,0
82,HRC,HOSE,09/05/2019,,37279,37279,37279,37279,0,0
83,HRC,HOSE,10/05/2019,,36782,36981,36782,36782,280,10380000
84,HRC,HOSE,13/05/2019,,37279,37279,37279,37279,80,3000000
85,HRC,HOSE,14/05/2019,,37279,37279,37279,37279,0,0
86,HRC,HOSE,15/05/2019,,37279,37279,37279,37279,0,0
87,HRC,HOSE,16/05/2019,,37279,37279,37279,37279,0,0
88,HRC,HOSE,17/05/2019,,37279,37279,37279,37279,0,0
89,HRC,HOSE,20/05/2019,,37279,37279,37279,37279,0,0
90,HRC,HOSE,21/05/2019,,36782,37279,36782,37279,2200,82240000
91,HRC,HOSE,22/05/2019,,37279,37776,37279,37577,510,19240000
92,HRC,HOSE,23/05/2019,,37577,37577,37577,37577,590,22000000
93,HRC,HOSE,24/05/2019,,37478,39963,37478,39963,1010,38100000
94,HRC,HOSE,27/05/2019,,39764,39764,39764,39764,20,800000
95,HRC,HOSE,28/05/2019,,39764,39764,39764,39764,0,0
96,HRC,HOSE,29/05/2019,,37130,39714,36981,39714,2810,104620000
97,HRC,HOSE,30/05/2019,,41305,41305,41305,41305,10,420000
98,HRC,HOSE,31/05/2019,,41305,41305,41305,41305,0,0
99,HRC,HOSE,03/06/2019,,38571,38571,38571,38571,1000,38800000
100,HRC,HOSE,04/06/2019,,38571,38571,38571,38571,0,0
101,HRC,HOSE,05/06/2019,,38571,38571,38571,38571,0,0
102,HRC,HOSE,06/06/2019,,37776,37776,37776,37776,700,26600000
103,HRC,HOSE,07/06/2019,,37776,37776,37776,37776,0,0
104,HRC,HOSE,10/06/2019,,37776,37776,37776,37776,0,0
105,HRC,HOSE,11/06/2019,,35191,35241,35191,35241,100,3540000
106,HRC,HOSE,12/06/2019,,36285,37676,36285,37676,1050,39370000
107,HRC,HOSE,13/06/2019,,37676,37676,37676,37676,0,0
108,HRC,HOSE,14/06/2019,,36285,36285,36285,36285,50,1830000
109,HRC,HOSE,17/06/2019,,36285,36285,36285,36285,0,0
110,HRC,HOSE,18/06/2019,,36285,36285,36285,36285,0,0
111,HRC,HOSE,19/06/2019,,37279,37279,37279,37279,2000,75000000
112,HRC,HOSE,20/06/2019,,37279,37279,37279,37279,2000,75000000
113,HRC,HOSE,21/06/2019,,39814,39814,39814,39814,0,0
114,HRC,HOSE,24/06/2019,,37279,37279,37279,37279,1140,42750000
115,HRC,HOSE,25/06/2019,,37279,37279,37279,37279,0,0
116,HRC,HOSE,26/06/2019,,38273,38273,38273,38273,10,390000
117,HRC,HOSE,27/06/2019,,37776,37776,37776,37776,290,11020000
118,HRC,HOSE,28/06/2019,,37776,37776,37776,37776,0,0
119,HRC,HOSE,01/07/2019,,37776,37776,37776,37776,60,2280000
120,HRC,HOSE,02/07/2019,,37776,37776,37776,37776,10,380000
121,HRC,HOSE,03/07/2019,,37776,37776,37776,37776,0,0
122,HRC,HOSE,04/07/2019,,39764,39764,39764,39764,1200,48000000
123,HRC,HOSE,05/07/2019,,37776,39764,36981,39764,3630,135160000
124,HRC,HOSE,08/07/2019,,39764,39764,39764,39764,0,0
125,HRC,HOSE,09/07/2019,,37776,39615,37776,39615,1010,38400000
126,HRC,HOSE,10/07/2019,,37776,39416,37776,39416,20,780000
127,HRC,HOSE,11/07/2019,,39416,39416,39416,39416,10,0
128,HRC,HOSE,12/07/2019,,37776,38173,37776,38173,510,19000000
129,HRC,HOSE,15/07/2019,,37776,37776,37776,37776,500,19000000
130,HRC,HOSE,16/07/2019,,38670,38670,38670,38670,530,21000000
131,HRC,HOSE,17/07/2019,,37776,37776,37776,37776,560,21000000
132,HRC,HOSE,18/07/2019,,39565,39565,39565,39565,530,21000000
133,HRC,HOSE,19/07/2019,,39565,39565,39565,39565,630,25000000
134,HRC,HOSE,22/07/2019,,39565,39565,39565,39565,790,31000000
135,HRC,HOSE,23/07/2019,,39565,39565,39565,39565,150,6000000
136,HRC,HOSE,24/07/2019,,39515,39515,39515,39515,150,6000000
137,HRC,HOSE,25/07/2019,,39515,39515,37776,39515,210,8000000
138,HRC,HOSE,26/07/2019,,37776,39515,37776,39515,460,18000000
139,HRC,HOSE,29/07/2019,,37776,39515,37776,39515,0,0
140,HRC,HOSE,30/07/2019,,37776,39515,37776,39515,0,0
141,HRC,HOSE,31/07/2019,,37776,39515,37776,39515,0,0
142,HRC,HOSE,01/08/2019,,37776,39515,37776,39515,190,7000000
143,HRC,HOSE,02/08/2019,,37776,42249,37776,42249,3510,133000000
144,HRC,HOSE,05/08/2019,,39317,40758,39317,40758,3110,123000000
145,HRC,HOSE,06/08/2019,,39764,43591,39764,43542,1070,47000000
146,HRC,HOSE,07/08/2019,,46226,46226,46226,46226,10,0
147,HRC,HOSE,08/08/2019,,46226,48711,46226,48711,1210,56000000
148,HRC,HOSE,09/08/2019,,45381,45381,45381,45381,990,45000000
149,HRC,HOSE,12/08/2019,,45381,45381,45381,45381,0,0
150,HRC,HOSE,13/08/2019,,48512,48512,48512,48512,2190,107000000
151,HRC,HOSE,14/08/2019,,48512,48512,45232,45232,2770,135000000
152,HRC,HOSE,15/08/2019,,48363,48363,48363,48363,10,0
153,HRC,HOSE,16/08/2019,,51693,51693,51693,51693,10,1000000
154,HRC,HOSE,19/08/2019,,51693,51693,51693,51693,150,8000000
155,HRC,HOSE,20/08/2019,,51693,51693,51693,51693,0,0
156,HRC,HOSE,21/08/2019,,51693,51693,51693,51693,0,0
157,HRC,HOSE,22/08/2019,,48114,48114,48114,48114,210,10000000
158,HRC,HOSE,23/08/2019,,44784,48114,44784,44784,3790,180000000
159,HRC,HOSE,26/08/2019,,41653,41653,41653,41653,10,0
160,HRC,HOSE,27/08/2019,,41653,41653,38770,44536,930,38000000
161,HRC,HOSE,28/08/2019,,41653,41653,38770,44536,0,0
162,HRC,HOSE,29/08/2019,,41454,41454,41454,41454,1010,42000000
163,HRC,HOSE,30/08/2019,,38571,38571,38571,38571,1800,70000000
164,HRC,HOSE,03/09/2019,,35887,37776,35887,35887,2800,101000000
165,HRC,HOSE,04/09/2019,,33402,33402,33402,33402,1000,34000000
166,HRC,HOSE,05/09/2019,,35738,35738,35738,35738,560,20000000
167,HRC,HOSE,06/09/2019,,35738,38223,35738,38223,860,33000000
168,HRC,HOSE,09/09/2019,,39764,40858,39764,40858,920,38000000
169,HRC,HOSE,10/09/2019,,43641,43691,43641,43691,940,41000000
170,HRC,HOSE,11/09/2019,,46723,46723,46623,46723,1200,56000000
171,HRC,HOSE,12/09/2019,,46723,46723,46623,46723,0,0
172,HRC,HOSE,13/09/2019,,46723,46723,46623,46723,0,0
173,HRC,HOSE,16/09/2019,,46723,46723,46723,46723,20,1000000
174,HRC,HOSE,17/09/2019,,46723,46723,46723,46723,10,0
175,HRC,HOSE,18/09/2019,,49705,49705,49705,49705,10,1000000
176,HRC,HOSE,19/09/2019,,49705,49705,49705,49705,0,0
177,HRC,HOSE,20/09/2019,,49705,49705,49705,49705,0,0
178,HRC,HOSE,23/09/2019,,49705,49705,49705,49705,0,0
179,HRC,HOSE,24/09/2019,,46226,46226,46226,46226,64000,2976000000
180,HRC,HOSE,25/09/2019,,46226,46226,46226,46226,0,0
181,HRC,HOSE,26/09/2019,,46226,46226,46226,46226,0,0
182,HRC,HOSE,27/09/2019,,46226,46226,46226,46226,0,0
183,HRC,HOSE,30/09/2019,,46226,46226,46226,46226,0,0
184,HRC,HOSE,01/10/2019,,46226,46226,46226,46226,0,0
185,HRC,HOSE,02/10/2019,,46226,46226,46226,46226,0,0
186,HRC,HOSE,03/10/2019,,46226,46226,46226,46226,0,0
187,HRC,HOSE,04/10/2019,,42995,46226,42995,46226,3460,150000000
188,HRC,HOSE,07/10/2019,,42995,46226,42995,46226,0,0
189,HRC,HOSE,08/10/2019,,46226,46226,46226,46226,10,0
190,HRC,HOSE,09/10/2019,,46226,46226,46226,46226,0,0
191,HRC,HOSE,10/10/2019,,46226,46226,46226,46226,0,0
192,HRC,HOSE,11/10/2019,,46226,46226,46226,46226,0,0
193,HRC,HOSE,14/10/2019,,43740,43740,43740,43740,20,1000000
194,HRC,HOSE,15/10/2019,,43740,43740,43740,43740,0,0
195,HRC,HOSE,16/10/2019,,40758,40758,40758,40758,630,26000000
196,HRC,HOSE,17/10/2019,,40758,40758,40758,40758,0,0
197,HRC,HOSE,18/10/2019,,40758,40758,40758,40758,0,0
198,HRC,HOSE,21/10/2019,,43591,43591,43591,43591,10,0
199,HRC,HOSE,22/10/2019,,43591,43591,43591,43591,0,0
200,HRC,HOSE,23/10/2019,,43591,43591,43591,43591,0,0
201,HRC,HOSE,24/10/2019,,43591,43591,43591,43591,0,0
202,HRC,HOSE,25/10/2019,,43591,43591,43591,43591,0,0
203,HRC,HOSE,28/10/2019,,43591,43591,43591,43591,0,0
204,HRC,HOSE,29/10/2019,,43591,43591,43591,43591,10,0
205,HRC,HOSE,30/10/2019,,43591,43591,43591,43591,0,0
206,HRC,HOSE,31/10/2019,,43591,43591,43591,43591,0,0
207,HRC,HOSE,01/11/2019,,43591,43591,43591,43591,0,0
208,HRC,HOSE,04/11/2019,,43591,43591,43591,43591,0,0
209,HRC,HOSE,05/11/2019,,43591,43591,43591,43591,0,0
210,HRC,HOSE,06/11/2019,,43591,43591,43591,43591,0,0
211,HRC,HOSE,07/11/2019,,43591,43591,43591,43591,0,0
212,HRC,HOSE,08/11/2019,,43591,43591,43591,43591,0,0
213,HRC,HOSE,11/11/2019,,43591,43591,43591,43591,0,0
214,HRC,HOSE,12/11/2019,,46623,46623,46623,46623,10,0
215,HRC,HOSE,13/11/2019,,46623,46623,46623,46623,0,0
216,HRC,HOSE,14/11/2019,,43392,43392,43392,43392,10,0
217,HRC,HOSE,15/11/2019,,43392,43392,43392,43392,0,0
218,HRC,HOSE,18/11/2019,,40360,43392,40360,43392,20,1000000
219,HRC,HOSE,19/11/2019,,40360,43243,40360,43243,60,2000000
220,HRC,HOSE,20/11/2019,,40360,43243,40360,43243,0,0
221,HRC,HOSE,21/11/2019,,40261,40261,40261,40261,10,0
222,HRC,HOSE,22/11/2019,,42945,42945,42945,42945,10,0
223,HRC,HOSE,25/11/2019,,42945,42945,42945,42945,0,0
224,HRC,HOSE,26/11/2019,,42945,42945,42945,42945,0,0
225,HRC,HOSE,27/11/2019,,42945,42945,42945,42945,0,0
226,HRC,HOSE,28/11/2019,,42945,42945,42945,42945,0,0
227,HRC,HOSE,29/11/2019,,42746,42746,42746,42746,6020,259000000
228,HRC,HOSE,02/12/2019,,45729,45729,45729,45729,230,11000000
229,HRC,HOSE,03/12/2019,,42547,48910,42547,47717,352450,17338000000
230,HRC,HOSE,04/12/2019,,42547,48910,42547,47717,0,0
231,HRC,HOSE,05/12/2019,,47220,47220,47220,47220,160,8000000
232,HRC,HOSE,06/12/2019,,43939,43939,43939,43939,200,9000000
233,HRC,HOSE,09/12/2019,,43939,43939,43939,43939,0,0
234,HRC,HOSE,10/12/2019,,43939,43939,43939,43939,0,0
235,HRC,HOSE,11/12/2019,,40907,43740,40907,43740,100,4000000
236,HRC,HOSE,12/12/2019,,43740,43740,43740,43740,10,0
237,HRC,HOSE,13/12/2019,,43740,43740,43740,43740,10,0
238,HRC,HOSE,16/12/2019,,43740,43740,43740,43740,0,0
239,HRC,HOSE,17/12/2019,,40758,43641,40708,43641,70,3000000
240,HRC,HOSE,18/12/2019,,40758,43641,40708,43641,0,0
241,HRC,HOSE,19/12/2019,,40758,43641,40708,43641,0,0
242,HRC,HOSE,20/12/2019,,40858,43641,40858,43641,20,1000000
243,HRC,HOSE,23/12/2019,,40758,40758,40758,40758,350,14000000
244,HRC,HOSE,24/12/2019,,40758,40758,40758,40758,190,8000000
245,HRC,HOSE,25/12/2019,,38124,42647,37925,40758,1100,43000000
246,HRC,HOSE,26/12/2019,,40758,40758,40758,40758,220,9000000
247,HRC,HOSE,27/12/2019,,43243,43243,43243,43243,10,0
248,HRC,HOSE,30/12/2019,,40261,40261,40261,40261,60,2000000
249,HRC,HOSE,31/12/2019,,40708,40708,37478,37478,80,3000000
250,HRC,HOSE,02/01/2020,,38720,38720,38720,38720,1010,39000000
251,HRC,HOSE,03/01/2020,,36086,40162,36086,40162,20,1000000
252,HRC,HOSE,06/01/2020,,38770,41752,38770,41752,130,5000000
253,HRC,HOSE,07/01/2020,,41752,43740,41752,43343,320,14000000
254,HRC,HOSE,08/01/2020,,40311,40311,40311,40311,10,0
255,HRC,HOSE,09/01/2020,,42746,42746,42746,42746,300,13000000
256,HRC,HOSE,10/01/2020,,42746,42746,42746,42746,0,0
257,HRC,HOSE,13/01/2020,,45579,45729,39863,45232,120,5000000
258,HRC,HOSE,14/01/2020,,45579,45729,39863,45232,0,0
259,HRC,HOSE,15/01/2020,,45579,45729,39863,45232,0,0
260,HRC,HOSE,16/01/2020,,45132,45232,45132,45232,160,7000000
261,HRC,HOSE,17/01/2020,,45132,45232,45132,45232,0,0
262,HRC,HOSE,20/01/2020,,43740,43740,43740,43740,50,2000000
263,HRC,HOSE,21/01/2020,,46723,46772,46723,0,20,1000000
264,HRC,HOSE,22/01/2020,,46723,46772,46723,0,0,0
265,HRC,HOSE,30/01/2020,,46723,46772,46723,0,0,0
266,HRC,HOSE,31/01/2020,,46723,46772,46723,0,0,0
267,HRC,HOSE,03/02/2020,,43542,43542,43542,43542,20,1000000
