,Symbol,Market,TradingDate,Time,Open,High,Low,Close,Volume,Value
0,HSL,HOSE,02/01/2019,,10093,10218,10009,10093,337070,4091880000
1,HSL,HOSE,03/01/2019,,10009,10093,9926,10009,318610,3807990000
2,HSL,HOSE,04/01/2019,,10009,10009,9842,9926,77760,924510000
3,HSL,HOSE,07/01/2019,,9926,10093,9884,10051,205900,2470410000
4,HSL,HOSE,08/01/2019,,10051,10093,9967,10009,144090,1729810000
5,HSL,HOSE,09/01/2019,,10009,10093,9967,10051,66700,802830000
6,HSL,HOSE,10/01/2019,,10009,10093,9967,10009,65470,787070000
7,HSL,HOSE,11/01/2019,,10009,10259,9967,10259,275550,3338850000
8,HSL,HOSE,14/01/2019,,10343,10968,10259,10968,920120,11789000000
9,HSL,HOSE,15/01/2019,,11177,11511,11010,11511,503180,6812690000
10,HSL,HOSE,16/01/2019,,11427,11677,10718,10843,124560,1660000000
11,HSL,HOSE,17/01/2019,,10093,10676,10093,10093,260480,3153000000
12,HSL,HOSE,18/01/2019,,9425,9676,9425,9425,330720,3741210000
13,HSL,HOSE,21/01/2019,,8800,9175,8800,8925,191310,2025390000
14,HSL,HOSE,22/01/2019,,8925,9133,8841,9050,145440,1567690000
15,HSL,HOSE,23/01/2019,,9050,9092,8424,8508,293590,3005530000
16,HSL,HOSE,24/01/2019,,8424,8508,8341,8424,119160,1197770000
17,HSL,HOSE,25/01/2019,,8424,8550,8324,8466,99890,1009420000
18,HSL,HOSE,28/01/2019,,8424,8633,8424,8591,73700,755750000
19,HSL,HOSE,29/01/2019,,8550,8633,8383,8424,73960,754390000
20,HSL,HOSE,30/01/2019,,8424,8508,8308,8308,54750,547740000
21,HSL,HOSE,31/01/2019,,8308,8424,8283,8341,98890,985150000
22,HSL,HOSE,01/02/2019,,8424,8550,8324,8341,86960,878410000
23,HSL,HOSE,11/02/2019,,8341,8466,8324,8424,44580,448540000
24,HSL,HOSE,12/02/2019,,8424,8550,8341,8550,70810,719200000
25,HSL,HOSE,13/02/2019,,8550,8800,8508,8800,160610,1670150000
26,HSL,HOSE,14/02/2019,,8800,9175,8675,8925,461920,4957080000
27,HSL,HOSE,15/02/2019,,8925,9008,8591,8758,162130,1705230000
