,Symbol,Market,TradingDate,Time,Open,High,Low,Close,Volume,Value
0,HVH,HOSE,02/01/2019,,15427,15926,15427,15926,359700,7906360000
1,HVH,HOSE,03/01/2019,,15926,16175,15249,15249,494820,11064580000
2,HVH,HOSE,04/01/2019,,14215,14465,14215,14215,356920,7148060000
3,HVH,HOSE,07/01/2019,,14215,14322,14037,14322,175560,3497580000
4,HVH,HOSE,08/01/2019,,14322,14322,14180,14287,71340,1426000000
5,HVH,HOSE,09/01/2019,,14251,14322,14180,14322,95960,1923590000
6,HVH,HOSE,10/01/2019,,14322,14322,14144,14251,116970,2337190000
7,HVH,HOSE,11/01/2019,,14251,14287,14180,14287,91830,1832960000
8,HVH,HOSE,14/01/2019,,14287,14322,14215,14322,79970,1602000000
9,HVH,HOSE,15/01/2019,,14322,14322,14251,14251,92630,1855660000
10,HVH,HOSE,16/01/2019,,14251,14322,14251,14287,113690,2276000000
11,HVH,HOSE,17/01/2019,,14251,14394,14251,14322,108310,2176000000
12,HVH,HOSE,18/01/2019,,14322,14322,14251,14251,87600,1759220000
13,HVH,HOSE,21/01/2019,,14251,14322,14251,14322,81960,1643510000
14,HVH,HOSE,22/01/2019,,14322,14322,14215,14251,91060,1823730000
15,HVH,HOSE,23/01/2019,,14287,14322,14251,14251,74450,1492320000
16,HVH,HOSE,24/01/2019,,14251,14287,14251,14287,97190,1947660000
17,HVH,HOSE,25/01/2019,,14287,14358,14251,14251,96640,1938970000
18,HVH,HOSE,28/01/2019,,14251,14322,14215,14251,101100,2025270000
19,HVH,HOSE,29/01/2019,,14251,14322,14215,14251,113240,2266880000
20,HVH,HOSE,30/01/2019,,14251,14251,14215,14251,91390,1825500000
21,HVH,HOSE,31/01/2019,,14251,14394,14251,14394,88830,1781930000
22,HVH,HOSE,01/02/2019,,14429,14465,14358,14429,97110,1965700000
23,HVH,HOSE,11/02/2019,,14429,14607,14429,14536,79750,1625790000
24,HVH,HOSE,12/02/2019,,14500,14607,14500,14536,108880,2223450000
25,HVH,HOSE,13/02/2019,,14536,14536,14429,14465,128020,2604530000
26,HVH,HOSE,14/02/2019,,14500,14536,14465,14500,77760,1580870000
27,HVH,HOSE,15/02/2019,,14500,14572,14429,14536,85070,1731860000
28,HVH,HOSE,18/02/2019,,14536,14536,14465,14500,80850,1646240000
29,HVH,HOSE,19/02/2019,,14500,15106,14500,14964,560270,11715550000
30,HVH,HOSE,20/02/2019,,14964,15498,14928,15320,520800,11140820000
31,HVH,HOSE,21/02/2019,,15320,15427,15106,15106,211220,4538620000
32,HVH,HOSE,22/02/2019,,15106,15177,15035,15142,129320,2741840000
33,HVH,HOSE,25/02/2019,,15142,15142,14964,15035,155420,3284000000
34,HVH,HOSE,26/02/2019,,15035,15142,14928,14964,118450,2503190000
35,HVH,HOSE,27/02/2019,,14964,14999,14928,14964,108070,2270580000
36,HVH,HOSE,28/02/2019,,14964,15106,14964,15070,180790,3813040000
37,HVH,HOSE,01/03/2019,,15070,15213,15035,15177,130720,2777770000
38,HVH,HOSE,04/03/2019,,15213,16211,15213,16211,527870,11712010000
39,HVH,HOSE,05/03/2019,,16246,16674,16211,16317,617940,14243770000
40,HVH,HOSE,06/03/2019,,16317,16496,15712,15961,386870,8773390000
41,HVH,HOSE,07/03/2019,,15926,15961,15534,15712,294770,6490810000
42,HVH,HOSE,08/03/2019,,15712,15926,15605,15819,179310,3974010000
43,HVH,HOSE,11/03/2019,,15819,16104,15783,16104,168410,3774230000
44,HVH,HOSE,12/03/2019,,16139,16211,15997,15997,154680,3502350000
45,HVH,HOSE,13/03/2019,,16068,16104,15926,15997,103150,2318000000
46,HVH,HOSE,14/03/2019,,16032,16032,15926,16032,96810,2198430000
47,HVH,HOSE,15/03/2019,,16032,17137,16032,17137,862500,20159420000
48,HVH,HOSE,18/03/2019,,17806,17806,17100,17509,339100,7949060000
49,HVH,HOSE,19/03/2019,,17472,17509,17174,17174,156010,3648160000
50,HVH,HOSE,20/03/2019,,17174,17174,16877,17026,200360,4573060000
51,HVH,HOSE,21/03/2019,,17026,17769,17026,17583,436240,10254240000
52,HVH,HOSE,22/03/2019,,17621,18029,17509,18029,372430,8896840000
53,HVH,HOSE,25/03/2019,,17992,17992,17546,17546,281320,6733940000
54,HVH,HOSE,26/03/2019,,17546,17546,17249,17360,127770,2984000000
55,HVH,HOSE,27/03/2019,,17360,17881,17360,17806,232990,5543000000
56,HVH,HOSE,28/03/2019,,17769,17992,17769,17955,131910,3171000000
57,HVH,HOSE,29/03/2019,,17955,18029,17918,17992,147180,3561000000
58,HVH,HOSE,01/04/2019,,17881,17918,17806,17844,92920,2232150000
59,HVH,HOSE,02/04/2019,,17806,17881,17806,17806,134620,3230100000
60,HVH,HOSE,03/04/2019,,17806,17955,17806,17955,165300,3982640000
61,HVH,HOSE,04/04/2019,,17955,18327,17955,18215,242710,5941660000
62,HVH,HOSE,05/04/2019,,18215,18550,18215,18550,417930,10379540000
63,HVH,HOSE,08/04/2019,,18550,18624,18215,18215,136510,3391260000
64,HVH,HOSE,09/04/2019,,18215,18215,17844,18029,149350,3637040000
65,HVH,HOSE,10/04/2019,,17992,18067,17844,17844,191540,4627910000
66,HVH,HOSE,11/04/2019,,17844,18141,17844,18067,215970,5244020000
67,HVH,HOSE,12/04/2019,,18067,18141,18067,18104,129560,3154880000
68,HVH,HOSE,16/04/2019,,18067,18067,17918,17992,143780,3482930000
69,HVH,HOSE,17/04/2019,,17992,18067,17732,17806,526480,12735120000
70,HVH,HOSE,18/04/2019,,17806,17844,17769,17806,145820,3493100000
71,HVH,HOSE,19/04/2019,,17806,17992,17806,17918,153970,3711390000
72,HVH,HOSE,22/04/2019,,17918,17918,17806,17918,129470,3112930000
73,HVH,HOSE,23/04/2019,,17881,17918,17844,17918,103600,2493400000
74,HVH,HOSE,24/04/2019,,17918,19145,17918,19145,860770,21697000000
75,HVH,HOSE,25/04/2019,,19182,19702,19182,19331,540210,14142.44
76,HVH,HOSE,26/04/2019,,19331,19516,18587,18736,291370,7504120000
77,HVH,HOSE,02/05/2019,,18736,19368,18736,19368,406090,10420930000
78,HVH,HOSE,03/05/2019,,19368,20260,19368,19962,601720,16098060000
79,HVH,HOSE,06/05/2019,,19925,19925,19405,19591,225880,5965030000
80,HVH,HOSE,07/05/2019,,19554,19962,19293,19628,303400,8009270000
81,HVH,HOSE,08/05/2019,,19479,19702,19442,19628,203580,5343670000
82,HVH,HOSE,09/05/2019,,19628,20446,19628,20074,304800,8228760000
83,HVH,HOSE,10/05/2019,,20074,20223,19739,20037,178600,4801740000
84,HVH,HOSE,13/05/2019,,20037,20186,19888,20148,173710,4684120000
85,HVH,HOSE,14/05/2019,,20111,20148,19628,19925,190100,5079680000
86,HVH,HOSE,15/05/2019,,19925,20855,19925,20409,410250,11267370000
87,HVH,HOSE,16/05/2019,,20371,20446,20186,20297,129010,3521970000
88,HVH,HOSE,17/05/2019,,20297,20334,19851,19851,174890,4744000000
89,HVH,HOSE,20/05/2019,,19814,19851,18699,19331,353170,9157550000
90,HVH,HOSE,21/05/2019,,19331,19442,19070,19442,177160,4591400000
91,HVH,HOSE,22/05/2019,,19368,19554,19293,19442,163220,4269630000
92,HVH,HOSE,23/05/2019,,19368,19442,19107,19293,137080,3554000000
93,HVH,HOSE,24/05/2019,,19293,19368,19107,19368,184760,4788010000
94,HVH,HOSE,27/05/2019,,19331,19405,19256,19405,105280,2740530000
95,HVH,HOSE,28/05/2019,,19368,20111,19368,20074,303980,8131320000
96,HVH,HOSE,29/05/2019,,20074,20223,19962,20186,189700,5128270000
97,HVH,HOSE,30/05/2019,,20148,20260,20000,20260,190440,5157940000
98,HVH,HOSE,31/05/2019,,20223,20297,19591,19962,169190,4553860000
99,HVH,HOSE,03/06/2019,,19925,20148,19777,20074,204240,5485520000
100,HVH,HOSE,04/06/2019,,20074,20483,20000,20483,200400,5445560000
101,HVH,HOSE,05/06/2019,,20483,20632,20409,20483,175390,4841360000
102,HVH,HOSE,06/06/2019,,20446,20483,20186,20297,119240,3253400000
103,HVH,HOSE,07/06/2019,,20297,20334,18884,18884,457640,11873600000
104,HVH,HOSE,10/06/2019,,18847,18847,17583,18587,467890,11490190000
105,HVH,HOSE,11/06/2019,,18587,18736,18513,18661,160880,4032010000
106,HVH,HOSE,12/06/2019,,18661,18699,18476,18550,150510,3756970000
107,HVH,HOSE,13/06/2019,,18550,18699,18476,18699,129930,3245810000
108,HVH,HOSE,14/06/2019,,18699,19145,18699,19070,340850,8719620000
109,HVH,HOSE,17/06/2019,,19070,19479,19070,19442,690960,17960960000
110,HVH,HOSE,18/06/2019,,19405,19479,19293,19368,567030,14804310000
111,HVH,HOSE,19/06/2019,,19368,19479,19331,19479,342020,8922170000
112,HVH,HOSE,20/06/2019,,19368,19479,19331,19479,342020,8922170000
113,HVH,HOSE,21/06/2019,,19702,19814,19665,19777,223240,5922070000
114,HVH,HOSE,24/06/2019,,19777,19888,19777,19851,158680,4233860000
