,Symbol,Market,TradingDate,Time,Open,High,Low,Close,Volume,Value
0,IDI,HOSE,02/01/2019,,5487,5630,5367,5442,1232700,8960750000
1,IDI,HOSE,03/01/2019,,5495,5510,5066,5066,2538170,17289750000
2,IDI,HOSE,04/01/2019,,4811,4841,4713,4713,2671860,16846810000
3,IDI,HOSE,07/01/2019,,4736,5036,4698,5036,1511150,9783920000
4,IDI,HOSE,08/01/2019,,5172,5382,5112,5382,2365180,16635120000
5,IDI,HOSE,09/01/2019,,5548,5758,5487,5758,1811000,13721580000
6,IDI,HOSE,10/01/2019,,6059,6156,5750,5953,3088540,24707770000
7,IDI,HOSE,11/01/2019,,5938,6089,5773,5788,1232730,9643350000
8,IDI,HOSE,14/01/2019,,5758,6014,5615,5788,914300,7038000000
9,IDI,HOSE,15/01/2019,,5773,6014,5720,5886,951710,7433520000
10,IDI,HOSE,16/01/2019,,5886,6126,5886,5968,764730,6126000000
11,IDI,HOSE,17/01/2019,,5976,5999,5863,5863,481460,3809000000
12,IDI,HOSE,18/01/2019,,5871,5938,5841,5863,826820,6460820000
13,IDI,HOSE,21/01/2019,,5863,5931,5803,5803,443460,3443900000
14,IDI,HOSE,22/01/2019,,5803,5848,5713,5720,673150,5156300000
15,IDI,HOSE,23/01/2019,,5720,6051,5720,5923,681740,5387620000
16,IDI,HOSE,24/01/2019,,6081,6089,5938,5938,716680,5708050000
17,IDI,HOSE,25/01/2019,,5938,6126,5923,6074,1365160,11006610000
18,IDI,HOSE,28/01/2019,,6134,6202,6044,6044,912860,7421000000
19,IDI,HOSE,29/01/2019,,6059,6074,6014,6014,455720,3662060000
20,IDI,HOSE,30/01/2019,,6239,6344,6179,6292,1195170,10018050000
21,IDI,HOSE,31/01/2019,,6292,6472,6292,6404,784350,6686140000
22,IDI,HOSE,01/02/2019,,6465,6465,6329,6329,400890,3391640000
23,IDI,HOSE,11/02/2019,,6465,6758,6427,6728,723630,6405910000
24,IDI,HOSE,12/02/2019,,6803,7141,6765,7066,1306550,12221420000
25,IDI,HOSE,13/02/2019,,7194,7291,6991,7036,1720280,16268630000
26,IDI,HOSE,14/02/2019,,7066,7066,6871,6886,1752160,16195350000
27,IDI,HOSE,15/02/2019,,6886,7051,6810,6878,1537200,14161960000
28,IDI,HOSE,18/02/2019,,6953,7021,6886,6893,787110,7276550000
