,Symbol,Market,TradingDate,Time,Open,High,Low,Close,Volume,Value
0,ILB,HOSE,15/05/2019,,18597,18679,15125,15291,132510,2650860000
1,ILB,HOSE,16/05/2019,,14629,15291,14629,14877,51430,920980000
2,ILB,HOSE,17/05/2019,,14877,15043,14795,15043,24170,435000000
3,ILB,HOSE,20/05/2019,,14795,14960,14629,14877,34080,608630000
4,ILB,HOSE,21/05/2019,,14877,15910,14795,15291,88000,1633090000
5,ILB,HOSE,22/05/2019,,15704,16324,15704,16324,114490,2246180000
6,ILB,HOSE,23/05/2019,,16944,17439,16530,17439,109190,2284000000
7,ILB,HOSE,24/05/2019,,18638,18638,17439,17687,163430,3601980000
8,ILB,HOSE,27/05/2019,,16613,17439,16530,17192,83990,1703370000
9,ILB,HOSE,28/05/2019,,17026,17192,16200,16613,63270,1273010000
10,ILB,HOSE,29/05/2019,,16530,16530,15497,15621,50160,964550000
11,ILB,HOSE,30/05/2019,,15291,16448,15291,16448,54800,1059240000
12,ILB,HOSE,31/05/2019,,16448,16448,15538,15538,36060,686210000
13,ILB,HOSE,03/06/2019,,15125,15538,15125,15373,24310,451830000
14,ILB,HOSE,04/06/2019,,15373,15704,15208,15704,16440,307480000
15,ILB,HOSE,05/06/2019,,16117,16117,15580,15704,8380,159150000
16,ILB,HOSE,06/06/2019,,15373,15662,15291,15291,24600,457020000
17,ILB,HOSE,07/06/2019,,15786,15869,14960,15125,21380,394280000
18,ILB,HOSE,10/06/2019,,15167,15704,15125,15125,27410,503180000
19,ILB,HOSE,11/06/2019,,15291,15291,15125,15208,10810,198300000
20,ILB,HOSE,12/06/2019,,15208,15208,15001,15043,17460,317720000
21,ILB,HOSE,13/06/2019,,14919,15291,14919,15291,15490,281690000
22,ILB,HOSE,14/06/2019,,15125,15291,14960,14960,18980,345930000
23,ILB,HOSE,17/06/2019,,15001,15043,14877,14960,17370,313280000
24,ILB,HOSE,18/06/2019,,14795,15084,14753,14795,15580,280090000
25,ILB,HOSE,19/06/2019,,14795,15043,14795,14795,11380,203930000
26,ILB,HOSE,20/06/2019,,14795,15043,14795,14795,11380,203930000
27,ILB,HOSE,21/06/2019,,15043,15043,14712,14877,2780,49660000
28,ILB,HOSE,24/06/2019,,14877,14877,14795,14877,1850,33240000
29,ILB,HOSE,25/06/2019,,14877,14919,14795,14836,8760,157540000
