,Symbol,Market,TradingDate,Time,Open,High,Low,Close,Volume,Value
0,IMP,HOSE,02/01/2019,,39812,39812,38897,39224,6540,392050000
1,IMP,HOSE,03/01/2019,,38309,39028,37916,39028,7520,439850000
2,IMP,HOSE,04/01/2019,,39028,39028,37066,37916,25560,1462300000
3,IMP,HOSE,07/01/2019,,36609,37916,35628,37916,7040,394770000
4,IMP,HOSE,08/01/2019,,35628,37916,35628,37916,16630,948670000
5,IMP,HOSE,09/01/2019,,35955,37263,35367,37263,11000,601250000
6,IMP,HOSE,10/01/2019,,35497,35628,35301,35301,3050,165480000
7,IMP,HOSE,11/01/2019,,35301,35367,34713,34713,5190,279780000
8,IMP,HOSE,14/01/2019,,34778,34844,33340,34648,12160,626000000
9,IMP,HOSE,15/01/2019,,34648,34648,33079,33406,11690,598860000
10,IMP,HOSE,16/01/2019,,33406,33994,32752,33536,11280,570000000
11,IMP,HOSE,17/01/2019,,32948,32948,32948,32948,3000,151000000
12,IMP,HOSE,18/01/2019,,32948,33929,32686,33929,9150,458510000
13,IMP,HOSE,21/01/2019,,33340,33340,32556,32621,7530,376580000
14,IMP,HOSE,22/01/2019,,32817,32817,32621,32686,2550,127510000
15,IMP,HOSE,23/01/2019,,33929,34975,32556,32686,5510,276720000
16,IMP,HOSE,24/01/2019,,32686,32686,32621,32621,8810,440500000
17,IMP,HOSE,25/01/2019,,32686,32686,32556,32556,1230,61420000
18,IMP,HOSE,28/01/2019,,32556,32686,32556,32686,1730,86170000
19,IMP,HOSE,29/01/2019,,33209,33209,32523,32686,1260,63010000
20,IMP,HOSE,30/01/2019,,32752,32752,32654,32686,7330,366460000
21,IMP,HOSE,31/01/2019,,32686,32686,32621,32621,1620,80890000
22,IMP,HOSE,01/02/2019,,32588,33013,32556,33013,240,12080000
23,IMP,HOSE,11/02/2019,,33013,33079,33013,33013,2400,121210000
24,IMP,HOSE,12/02/2019,,33013,33079,32686,32686,8250,413690000
25,IMP,HOSE,13/02/2019,,32360,32752,32360,32686,2890,144220000
26,IMP,HOSE,14/02/2019,,32686,32752,32490,32556,4390,218840000
27,IMP,HOSE,15/02/2019,,32686,32686,32556,32556,670,33410000
28,IMP,HOSE,18/02/2019,,33013,33013,32556,32686,6620,332130000
29,IMP,HOSE,19/02/2019,,33340,33994,32686,32686,26750,1347870000
30,IMP,HOSE,20/02/2019,,32752,32752,32621,32621,14910,745850000
31,IMP,HOSE,21/02/2019,,33275,33275,32621,32621,9420,470910000
32,IMP,HOSE,22/02/2019,,32621,33275,32621,32686,12240,611880000
33,IMP,HOSE,25/02/2019,,33079,33079,32556,32686,12000,599850000
34,IMP,HOSE,26/02/2019,,32556,33013,31967,32033,22620,1110050000
35,IMP,HOSE,27/02/2019,,32327,32490,31902,32490,2520,124030000
36,IMP,HOSE,28/02/2019,,32686,32686,32490,32490,2090,104170000
37,IMP,HOSE,01/03/2019,,32490,33929,32425,33929,8190,418230000
38,IMP,HOSE,04/03/2019,,33929,33929,33079,33079,25180,1281200000
39,IMP,HOSE,05/03/2019,,33275,33602,32883,33602,25580,1293010000
40,IMP,HOSE,06/03/2019,,33602,33863,32883,33340,12960,661240000
41,IMP,HOSE,07/03/2019,,33340,33536,32883,32883,34050,1719890000
42,IMP,HOSE,08/03/2019,,33013,33275,32817,32948,54340,2735140000
43,IMP,HOSE,11/03/2019,,33079,33079,32752,32817,20350,1021610000
44,IMP,HOSE,12/03/2019,,32948,33144,32817,32817,25540,1282440000
45,IMP,HOSE,13/03/2019,,32752,33994,32686,33144,115010,5788680000
46,IMP,HOSE,14/03/2019,,33798,34582,33340,34452,24150,1322860000
47,IMP,HOSE,15/03/2019,,34321,34452,33994,34321,18690,979060000
48,IMP,HOSE,18/03/2019,,34321,34321,33667,33667,22090,1150110000
49,IMP,HOSE,19/03/2019,,34059,34059,33406,33994,16740,867390000
50,IMP,HOSE,20/03/2019,,33994,33994,33471,33994,5380,278440000
51,IMP,HOSE,21/03/2019,,33994,33994,33340,33667,18800,972440000
52,IMP,HOSE,22/03/2019,,33667,33994,33536,33994,31240,1611520000
53,IMP,HOSE,25/03/2019,,33667,33667,33144,33471,6760,346440000
54,IMP,HOSE,26/03/2019,,33079,33471,33079,33144,6440,326000000
55,IMP,HOSE,27/03/2019,,32883,33732,32686,33732,21620,1091000000
56,IMP,HOSE,28/03/2019,,33732,34648,33013,34648,51930,2706000000
57,IMP,HOSE,29/03/2019,,35432,35432,34517,34648,33330,1770000000
58,IMP,HOSE,01/04/2019,,34713,34713,33667,33667,11300,587390000
59,IMP,HOSE,02/04/2019,,33732,34059,33667,33667,7340,378830000
60,IMP,HOSE,03/04/2019,,33667,34321,33144,33144,26020,1326270000
61,IMP,HOSE,04/04/2019,,33144,33209,33144,33209,820,41630000
62,IMP,HOSE,05/04/2019,,33209,33340,33144,33144,20980,1065890000
63,IMP,HOSE,08/04/2019,,33144,33732,33144,33602,4120,210440000
64,IMP,HOSE,09/04/2019,,33994,33994,33209,33209,8940,456210000
65,IMP,HOSE,10/04/2019,,33340,33340,33079,33144,12810,650240000
66,IMP,HOSE,11/04/2019,,33144,33471,33144,33471,2640,133850000
67,IMP,HOSE,12/04/2019,,33536,33536,33209,33471,1560,79740000
68,IMP,HOSE,16/04/2019,,33471,33471,33144,33209,160,8160000
69,IMP,HOSE,17/04/2019,,33013,33536,32686,33536,13670,692900000
70,IMP,HOSE,18/04/2019,,33340,33340,33013,33340,9720,494450000
71,IMP,HOSE,19/04/2019,,33340,33340,33013,33340,6710,341710000
72,IMP,HOSE,22/04/2019,,33013,33602,33013,33602,6860,349740000
73,IMP,HOSE,23/04/2019,,33602,33667,33602,33667,8520,438550000
74,IMP,HOSE,24/04/2019,,33602,33929,33340,33929,12650,651540000
75,IMP,HOSE,25/04/2019,,33929,33929,33340,33929,12350,640.79
76,IMP,HOSE,26/04/2019,,33929,34190,33275,33929,13490,699160000
77,IMP,HOSE,02/05/2019,,33929,33929,33406,33406,1480,76050000
78,IMP,HOSE,03/05/2019,,33340,33406,33340,33340,4610,235120000
79,IMP,HOSE,06/05/2019,,32752,33013,32752,33013,7380,369920000
80,IMP,HOSE,07/05/2019,,33013,33929,33013,33667,28900,1485650000
81,IMP,HOSE,08/05/2019,,33602,34321,33013,34321,40210,2093590000
82,IMP,HOSE,09/05/2019,,33929,33929,33340,33406,2450,125380000
83,IMP,HOSE,10/05/2019,,33340,34255,33209,34255,580,29930000
84,IMP,HOSE,13/05/2019,,34582,34582,33275,33275,4680,239740000
85,IMP,HOSE,14/05/2019,,33340,33340,33340,33340,18220,929220000
86,IMP,HOSE,15/05/2019,,33340,33340,33275,33340,5730,292210000
87,IMP,HOSE,16/05/2019,,33340,33667,33079,33079,5480,278510000
88,IMP,HOSE,17/05/2019,,33079,33079,33079,33079,2750,139000000
89,IMP,HOSE,20/05/2019,,33079,33340,33013,33340,16240,821170000
90,IMP,HOSE,21/05/2019,,33602,33667,32883,33013,6860,346750000
91,IMP,HOSE,22/05/2019,,33144,33144,32686,33079,28700,1437260000
92,IMP,HOSE,23/05/2019,,33079,33667,32686,33667,29940,1529000000
93,IMP,HOSE,24/05/2019,,33340,33406,32817,32817,4290,216020000
94,IMP,HOSE,27/05/2019,,33013,33667,33013,33667,17450,892260000
95,IMP,HOSE,28/05/2019,,33340,33929,33340,33667,8780,449950000
96,IMP,HOSE,29/05/2019,,33144,33536,32948,33536,22910,1159550000
97,IMP,HOSE,30/05/2019,,33602,33602,32948,33471,32200,1630530000
98,IMP,HOSE,31/05/2019,,33406,33667,33340,33602,14280,732420000
99,IMP,HOSE,03/06/2019,,33602,33602,32883,32883,11560,582690000
100,IMP,HOSE,04/06/2019,,33471,33471,32883,32883,8220,414270000
101,IMP,HOSE,05/06/2019,,33340,33340,32686,32752,13670,685380000
102,IMP,HOSE,06/06/2019,,32752,32752,32425,32621,11010,549870000
103,IMP,HOSE,07/06/2019,,32621,33340,32621,33340,15250,772860000
104,IMP,HOSE,10/06/2019,,33340,33340,32817,33275,4340,218450000
105,IMP,HOSE,11/06/2019,,33275,33275,32686,33209,18250,919960000
106,IMP,HOSE,12/06/2019,,33144,33209,32621,32686,51360,2569550000
107,IMP,HOSE,13/06/2019,,33776,33776,32686,33027,23730,1168860000
