,Symbol,Market,TradingDate,Time,Open,High,Low,Close,Volume,Value
0,JVC,HOSE,02/01/2019,,3060,3060,3000,3030,128780,388620000
1,JVC,HOSE,03/01/2019,,3030,3030,2880,2900,141630,418120000
2,JVC,HOSE,04/01/2019,,2750,2900,2750,2850,146000,416350000
3,JVC,HOSE,07/01/2019,,2880,2880,2800,2850,281020,800820000
4,JVC,HOSE,08/01/2019,,2870,2870,2800,2850,96350,272790000
5,JVC,HOSE,09/01/2019,,2870,2940,2830,2920,124460,357070000
6,JVC,HOSE,10/01/2019,,2850,2940,2850,2900,147580,425910000
7,JVC,HOSE,11/01/2019,,2940,3000,2930,2940,86700,256520000
8,JVC,HOSE,14/01/2019,,2920,3080,2920,3020,129070,388000000
9,JVC,HOSE,15/01/2019,,3030,3220,2980,3210,164730,519700000
10,JVC,HOSE,16/01/2019,,3140,3140,3070,3070,77100,238000000
11,JVC,HOSE,17/01/2019,,3050,3220,3050,3130,257530,821000000
12,JVC,HOSE,18/01/2019,,3200,3200,3000,3070,54400,166760000
13,JVC,HOSE,21/01/2019,,3150,3200,3070,3110,19130,58970000
14,JVC,HOSE,22/01/2019,,3070,3160,3070,3090,133150,412600000
15,JVC,HOSE,23/01/2019,,3080,3130,3040,3120,64310,198280000
16,JVC,HOSE,24/01/2019,,3120,3120,3070,3070,67460,208760000
17,JVC,HOSE,25/01/2019,,3070,3180,3070,3090,53920,165860000
18,JVC,HOSE,28/01/2019,,3100,3140,3030,3100,255870,795360000
19,JVC,HOSE,29/01/2019,,3070,3100,3050,3050,30900,94890000
20,JVC,HOSE,30/01/2019,,3050,3150,3020,3020,88550,269390000
21,JVC,HOSE,31/01/2019,,3020,3170,3000,3160,303730,946980000
22,JVC,HOSE,01/02/2019,,3180,3250,3150,3200,418140,1344350000
23,JVC,HOSE,11/02/2019,,3230,3230,3170,3200,68650,219660000
24,JVC,HOSE,12/02/2019,,3200,3210,3160,3200,233160,741400000
25,JVC,HOSE,13/02/2019,,3230,3230,3140,3210,184640,587360000
26,JVC,HOSE,14/02/2019,,3210,3270,3170,3200,222230,714230000
27,JVC,HOSE,15/02/2019,,3200,3230,3170,3180,164700,524750000
28,JVC,HOSE,18/02/2019,,3170,3200,3150,3180,258820,821730000
29,JVC,HOSE,19/02/2019,,3200,3200,3140,3150,95940,303090000
30,JVC,HOSE,20/02/2019,,3150,3160,3100,3100,208450,649850000
31,JVC,HOSE,21/02/2019,,3100,3140,3070,3070,170510,526790000
32,JVC,HOSE,22/02/2019,,3070,3140,3060,3070,178570,548640000
33,JVC,HOSE,25/02/2019,,3100,3120,3070,3090,78320,242360000
34,JVC,HOSE,26/02/2019,,3130,3130,3060,3080,153130,469780000
35,JVC,HOSE,27/02/2019,,3080,3120,3080,3090,144680,446350000
36,JVC,HOSE,28/02/2019,,3100,3100,3040,3060,145430,446340000
37,JVC,HOSE,01/03/2019,,2960,3070,2960,3070,132850,402390000
38,JVC,HOSE,04/03/2019,,3090,3090,3000,3000,437050,1320850000
39,JVC,HOSE,05/03/2019,,3000,3100,3000,3100,574910,1737480000
40,JVC,HOSE,06/03/2019,,3070,3150,3070,3140,543810,1684820000
