,Symbol,Market,TradingDate,Time,Open,High,Low,Close,Volume,Value
0,KDC,HOSE,02/01/2019,,20789,20789,19758,20531,40160,942770000
1,KDC,HOSE,03/01/2019,,20531,20531,19114,19758,95690,2172140000
2,KDC,HOSE,04/01/2019,,19758,19758,18942,19672,61560,1397730000
3,KDC,HOSE,07/01/2019,,19672,20016,19071,19672,104110,2370250000
4,KDC,HOSE,08/01/2019,,19200,19629,19114,19586,57270,1290610000
5,KDC,HOSE,09/01/2019,,19586,19844,19371,19715,34290,786750000
6,KDC,HOSE,10/01/2019,,19200,19715,19071,19586,117480,2622180000
7,KDC,HOSE,11/01/2019,,19586,19672,19200,19500,47080,1065420000
8,KDC,HOSE,14/01/2019,,19500,19629,19114,19500,52410,1185000000
9,KDC,HOSE,15/01/2019,,18985,19543,18985,19242,22410,504260000
10,KDC,HOSE,16/01/2019,,19500,19500,18985,19242,46240,1031000000
11,KDC,HOSE,17/01/2019,,18813,19028,18727,19028,106540,2344000000
12,KDC,HOSE,18/01/2019,,18899,19242,18255,18641,102620,2218060000
13,KDC,HOSE,21/01/2019,,18727,18770,18298,18512,57330,1238600000
14,KDC,HOSE,22/01/2019,,18298,18512,17825,17825,105040,2214860000
15,KDC,HOSE,23/01/2019,,17782,17782,17052,17181,124080,2492250000
16,KDC,HOSE,24/01/2019,,17095,18040,17009,17481,41990,848140000
17,KDC,HOSE,25/01/2019,,17825,17825,17438,17653,80280,1641660000
18,KDC,HOSE,28/01/2019,,17224,17782,17181,17524,44720,906440000
19,KDC,HOSE,29/01/2019,,17181,17524,17095,17438,57830,1162410000
20,KDC,HOSE,30/01/2019,,17567,17567,17138,17438,114370,2293310000
21,KDC,HOSE,31/01/2019,,17181,17224,17138,17181,83620,1670780000
22,KDC,HOSE,01/02/2019,,17181,17181,15978,15978,538410,10095370000
23,KDC,HOSE,11/02/2019,,16322,17095,16322,16665,39750,771840000
24,KDC,HOSE,12/02/2019,,16751,17009,16665,17009,70820,1385110000
25,KDC,HOSE,13/02/2019,,16837,17138,16837,17138,78660,1557840000
26,KDC,HOSE,14/02/2019,,17181,18298,17138,18083,96120,1988380000
27,KDC,HOSE,15/02/2019,,18083,18340,17782,17954,44340,932460000
28,KDC,HOSE,18/02/2019,,17954,18126,17610,17997,65740,1376500000
29,KDC,HOSE,19/02/2019,,18126,18212,17997,18040,39980,843400000
30,KDC,HOSE,20/02/2019,,18040,18169,17954,18083,76360,1602320000
31,KDC,HOSE,21/02/2019,,18126,18126,17911,17911,69660,1460320000
32,KDC,HOSE,22/02/2019,,17911,17911,17696,17696,89240,1845260000
33,KDC,HOSE,25/02/2019,,17696,17997,17610,17911,22720,470100000
34,KDC,HOSE,26/02/2019,,17911,18383,17181,17868,85550,1788210000
35,KDC,HOSE,27/02/2019,,17868,17954,17782,17782,18980,394100000
36,KDC,HOSE,28/02/2019,,17868,17868,17610,17610,36330,750990000
37,KDC,HOSE,01/03/2019,,17438,17825,17438,17696,11750,241110000
38,KDC,HOSE,04/03/2019,,17696,17868,17567,17782,30060,619760000
39,KDC,HOSE,05/03/2019,,17696,18727,17653,18727,165320,3499990000
40,KDC,HOSE,06/03/2019,,18469,19758,18469,19758,107400,2421400000
41,KDC,HOSE,07/03/2019,,19801,21003,19801,20660,157940,3782000000
42,KDC,HOSE,08/03/2019,,20445,20617,20273,20488,141760,3370470000
43,KDC,HOSE,11/03/2019,,20488,21003,20488,20617,103380,2477520000
44,KDC,HOSE,12/03/2019,,20617,20875,20273,20445,124760,2977940000
45,KDC,HOSE,13/03/2019,,20445,20488,19586,19758,216170,5052550000
46,KDC,HOSE,14/03/2019,,19672,19930,19586,19715,45440,1626740000
47,KDC,HOSE,15/03/2019,,19500,19586,19328,19500,77130,1743790000
48,KDC,HOSE,18/03/2019,,19500,19758,19328,19328,189030,4285200000
49,KDC,HOSE,19/03/2019,,19672,19672,19157,19328,71000,1595760000
50,KDC,HOSE,20/03/2019,,19500,19500,19071,19114,29790,665040000
51,KDC,HOSE,21/03/2019,,19071,19328,18469,18469,125790,2757470000
52,KDC,HOSE,22/03/2019,,19157,19629,18383,18899,58610,1265650000
53,KDC,HOSE,25/03/2019,,18813,18899,18040,18469,6060,129790000
54,KDC,HOSE,26/03/2019,,18469,18641,18126,18126,54800,1165000000
55,KDC,HOSE,27/03/2019,,18040,18298,18040,18298,117500,2479000000
56,KDC,HOSE,28/03/2019,,18298,18641,18212,18383,9220,197000000
57,KDC,HOSE,29/03/2019,,18555,18598,18040,18169,73900,1562000000
58,KDC,HOSE,01/04/2019,,18298,18727,18169,18469,145100,3139750000
59,KDC,HOSE,02/04/2019,,18727,19157,18469,18899,174480,3836200000
60,KDC,HOSE,03/04/2019,,18899,19500,18856,19242,162650,3641730000
61,KDC,HOSE,04/04/2019,,19242,19414,18770,19028,153510,3413970000
62,KDC,HOSE,05/04/2019,,19285,19328,18899,18985,72320,1611180000
63,KDC,HOSE,08/04/2019,,18899,19200,18727,18770,62880,1381180000
64,KDC,HOSE,09/04/2019,,18770,19071,18641,18641,80880,1771750000
65,KDC,HOSE,10/04/2019,,18555,19328,18298,18641,40510,874710000
66,KDC,HOSE,11/04/2019,,18641,18641,18169,18255,62750,1335170000
67,KDC,HOSE,12/04/2019,,18255,18255,18040,18083,22410,473810000
68,KDC,HOSE,16/04/2019,,18083,18083,17696,17911,28020,582460000
69,KDC,HOSE,17/04/2019,,17782,18040,17438,17610,45280,938130000
70,KDC,HOSE,18/04/2019,,17610,17954,17396,17524,63150,1284800000
71,KDC,HOSE,19/04/2019,,17868,17868,17481,17653,5600,115220000
72,KDC,HOSE,22/04/2019,,17868,18169,17825,17997,98890,2068480000
73,KDC,HOSE,23/04/2019,,18040,18040,17782,17782,50620,1053510000
74,KDC,HOSE,24/04/2019,,17782,17954,17567,17696,42610,878250000
75,KDC,HOSE,25/04/2019,,17610,17696,17438,17438,33990,694.36
76,KDC,HOSE,26/04/2019,,17438,17696,17438,17524,49010,1000660000
77,KDC,HOSE,02/05/2019,,17610,17610,17396,17438,12340,250710000
78,KDC,HOSE,03/05/2019,,17438,17524,17310,17396,30690,620820000
79,KDC,HOSE,06/05/2019,,17396,17396,16193,16193,48370,945300000
80,KDC,HOSE,07/05/2019,,16322,17138,16322,17138,59980,1179340000
81,KDC,HOSE,08/05/2019,,16837,17438,16794,17353,23500,465700000
82,KDC,HOSE,09/05/2019,,17353,17438,16794,17310,19610,393430000
83,KDC,HOSE,10/05/2019,,16966,17438,16966,17310,11160,223660000
84,KDC,HOSE,13/05/2019,,17181,17181,16880,17138,56300,1114670000
85,KDC,HOSE,14/05/2019,,17138,17181,16837,16837,49480,976630000
86,KDC,HOSE,15/05/2019,,16837,17267,16751,17095,38700,767200000
87,KDC,HOSE,16/05/2019,,17095,17181,16751,16794,65370,1283330000
88,KDC,HOSE,17/05/2019,,16708,16966,16408,16966,95570,1843000000
89,KDC,HOSE,20/05/2019,,16966,17009,16751,16751,97780,1919740000
90,KDC,HOSE,21/05/2019,,16751,16837,16579,16665,60350,1170560000
91,KDC,HOSE,22/05/2019,,16622,16665,16536,16665,42050,812900000
92,KDC,HOSE,23/05/2019,,16665,16665,16279,16579,66990,1280000000
93,KDC,HOSE,24/05/2019,,16365,16579,16279,16494,14990,285930000
94,KDC,HOSE,27/05/2019,,16494,16579,16236,16408,34540,657860000
95,KDC,HOSE,28/05/2019,,16236,16494,16064,16064,35790,672790000
96,KDC,HOSE,29/05/2019,,16064,16451,16064,16451,38060,719520000
97,KDC,HOSE,30/05/2019,,16408,16536,16365,16365,27580,528610000
98,KDC,HOSE,31/05/2019,,16408,17181,16365,16923,88580,1743620000
99,KDC,HOSE,03/06/2019,,16923,17095,16665,16665,116420,2299430000
100,KDC,HOSE,04/06/2019,,16665,16751,16408,16408,32610,629720000
101,KDC,HOSE,05/06/2019,,16365,16622,16193,16322,62000,1176650000
102,KDC,HOSE,06/06/2019,,16150,16494,16150,16322,34870,658480000
103,KDC,HOSE,07/06/2019,,16322,16322,16150,16150,39080,740060000
104,KDC,HOSE,10/06/2019,,16322,16322,16150,16279,46950,890650000
105,KDC,HOSE,11/06/2019,,16322,16322,16236,16236,45960,872540000
106,KDC,HOSE,12/06/2019,,16279,16365,16236,16322,59680,1133200000
107,KDC,HOSE,13/06/2019,,16322,16665,16322,16322,117870,2249530000
108,KDC,HOSE,14/06/2019,,16322,16365,16236,16322,82120,1558550000
109,KDC,HOSE,17/06/2019,,16322,16622,16236,16322,70090,1342730000
110,KDC,HOSE,18/06/2019,,16322,16322,16193,16322,16070,304430000
111,KDC,HOSE,19/06/2019,,16322,16322,16236,16236,18000,340530000
112,KDC,HOSE,20/06/2019,,16322,16322,16236,16236,18000,340530000
113,KDC,HOSE,21/06/2019,,16236,16236,15978,16064,21880,409550000
114,KDC,HOSE,24/06/2019,,16150,16150,15978,16107,19560,365320000
115,KDC,HOSE,25/06/2019,,16150,16322,16150,16322,17740,334530000
116,KDC,HOSE,26/06/2019,,16494,16923,16494,16751,97300,1887980000
117,KDC,HOSE,27/06/2019,,16751,16837,16408,16408,32360,626980000
118,KDC,HOSE,28/06/2019,,16665,16665,16408,16494,18850,362870000
119,KDC,HOSE,01/07/2019,,16665,16665,16408,16494,15450,296600000
120,KDC,HOSE,02/07/2019,,16494,16494,16322,16365,11350,217060000
121,KDC,HOSE,03/07/2019,,16408,16408,16150,16322,65130,1230000000
122,KDC,HOSE,04/07/2019,,16322,16494,16236,16322,13180,250810000
123,KDC,HOSE,05/07/2019,,16322,16451,16236,16322,22550,428710000
124,KDC,HOSE,08/07/2019,,16322,16322,16150,16279,31160,587810000
