,Symbol,Market,TradingDate,Time,Open,High,Low,Close,Volume,Value
0,KDH,HOSE,02/01/2019,,17083,17401,16526,16526,87370,2788010000
1,KDH,HOSE,03/01/2019,,16446,16552,16446,16526,251400,7823000000
2,KDH,HOSE,04/01/2019,,16472,16526,15756,16526,156980,4794950000
3,KDH,HOSE,07/01/2019,,16526,16552,16075,16499,131920,4069040000
4,KDH,HOSE,08/01/2019,,16446,16499,16234,16499,171050,5277810000
5,KDH,HOSE,09/01/2019,,16446,16472,16340,16393,461130,14228780000
6,KDH,HOSE,10/01/2019,,16393,16393,16260,16340,170310,5244610000
7,KDH,HOSE,11/01/2019,,16313,16340,16154,16181,178890,5483460000
8,KDH,HOSE,14/01/2019,,16181,16181,15756,15995,259180,7813000000
9,KDH,HOSE,15/01/2019,,15969,15995,15836,15942,169990,5100970000
10,KDH,HOSE,16/01/2019,,15942,16207,15915,15942,104570,3149000000
11,KDH,HOSE,17/01/2019,,15942,15942,15809,15915,103460,3098000000
12,KDH,HOSE,18/01/2019,,15836,15915,15703,15836,165200,4931270000
13,KDH,HOSE,21/01/2019,,15783,15862,15730,15836,147440,4395410000
14,KDH,HOSE,22/01/2019,,15809,15942,15809,15942,87430,2620280000
15,KDH,HOSE,23/01/2019,,15942,15969,15889,15942,98760,2964760000
16,KDH,HOSE,24/01/2019,,15942,15969,15862,15942,132340,3968170000
17,KDH,HOSE,25/01/2019,,15942,15942,15862,15915,90800,2722620000
18,KDH,HOSE,28/01/2019,,15915,15969,15889,15969,82350,2475120000
19,KDH,HOSE,29/01/2019,,15969,16022,15942,15969,122630,3691980000
20,KDH,HOSE,30/01/2019,,15969,16022,15969,15969,87400,2634770000
21,KDH,HOSE,31/01/2019,,15995,16048,15942,15969,67810,2044390000
22,KDH,HOSE,01/02/2019,,15969,15995,15915,15995,55400,1666130000
23,KDH,HOSE,11/02/2019,,15995,16048,15969,16022,131440,3966030000
24,KDH,HOSE,12/02/2019,,16048,16446,16022,16128,252350,7688580000
25,KDH,HOSE,13/02/2019,,16128,16287,16048,16128,212390,6460760000
26,KDH,HOSE,14/02/2019,,16075,16128,16048,16048,141000,4277750000
27,KDH,HOSE,15/02/2019,,16048,16711,15995,16552,267500,8184140000
28,KDH,HOSE,18/02/2019,,16552,16605,16287,16499,139080,4311110000
29,KDH,HOSE,19/02/2019,,16446,16499,16366,16393,190540,5897040000
30,KDH,HOSE,20/02/2019,,16366,16605,16234,16526,275600,8541170000
31,KDH,HOSE,21/02/2019,,16552,16605,16499,16552,169000,5269380000
32,KDH,HOSE,22/02/2019,,16552,16552,16393,16446,147320,4579580000
33,KDH,HOSE,25/02/2019,,16446,16499,16366,16446,92330,2857840000
34,KDH,HOSE,26/02/2019,,16446,16658,16446,16552,221550,6912150000
35,KDH,HOSE,27/02/2019,,16526,16870,16340,16446,651580,20327580000
36,KDH,HOSE,28/02/2019,,16446,16499,16340,16340,125290,3877570000
37,KDH,HOSE,01/03/2019,,16340,16499,16313,16446,156220,4827560000
38,KDH,HOSE,04/03/2019,,16499,17295,16499,16976,562140,17978910000
39,KDH,HOSE,05/03/2019,,16976,17030,16870,16897,190650,6082760000
40,KDH,HOSE,06/03/2019,,16897,16923,16446,16658,180970,5711740000
41,KDH,HOSE,07/03/2019,,16658,16711,16446,16446,280510,8742800000
42,KDH,HOSE,08/03/2019,,16419,16419,16075,16234,553310,16903960000
43,KDH,HOSE,11/03/2019,,16234,16472,16181,16472,156780,4825430000
44,KDH,HOSE,12/03/2019,,16472,16711,16472,16711,239600,7476920000
45,KDH,HOSE,13/03/2019,,16526,16711,16419,16552,188400,5863490000
46,KDH,HOSE,14/03/2019,,16552,16552,16419,16552,129830,4107070000
47,KDH,HOSE,15/03/2019,,16472,16552,16472,16552,146140,4549710000
