,Symbol,Market,TradingDate,Time,Open,High,Low,Close,Volume,Value
0,KSB,HOSE,02/01/2019,,19318,19545,18787,19090,139920,3526170000
1,KSB,HOSE,03/01/2019,,18712,18939,18333,18787,126270,3082500000
2,KSB,HOSE,04/01/2019,,18560,18749,17954,18749,141560,3455120000
3,KSB,HOSE,07/01/2019,,18863,19166,18787,18901,117860,2943120000
4,KSB,HOSE,08/01/2019,,18712,18863,18560,18863,28980,717080000
5,KSB,HOSE,09/01/2019,,18939,19242,18863,19090,99760,2502390000
6,KSB,HOSE,10/01/2019,,19166,19393,19090,19280,85380,2165770000
7,KSB,HOSE,11/01/2019,,18598,19318,18598,19242,74790,1897300000
8,KSB,HOSE,14/01/2019,,19242,19242,18863,19090,114640,2881000000
9,KSB,HOSE,15/01/2019,,18787,19318,18787,19090,110620,2782230000
10,KSB,HOSE,16/01/2019,,19242,19242,18825,18825,81630,2049000000
11,KSB,HOSE,17/01/2019,,18939,19355,18825,19242,182140,4591000000
12,KSB,HOSE,18/01/2019,,19242,19242,18863,18901,53910,1350990000
13,KSB,HOSE,21/01/2019,,18939,19128,18749,18749,254470,6336360000
14,KSB,HOSE,22/01/2019,,18939,19166,18787,18787,271720,6784300000
15,KSB,HOSE,23/01/2019,,18787,18939,18712,18712,128950,3207770000
16,KSB,HOSE,24/01/2019,,18749,18863,18636,18787,142000,3509560000
17,KSB,HOSE,25/01/2019,,18787,18863,18598,18598,176290,4350850000
18,KSB,HOSE,28/01/2019,,18598,18636,18295,18598,230180,5611840000
19,KSB,HOSE,29/01/2019,,18598,18712,18484,18712,118370,2906100000
20,KSB,HOSE,30/01/2019,,18636,18749,18636,18712,113590,2801270000
21,KSB,HOSE,31/01/2019,,18636,18749,18598,18712,98180,2420600000
22,KSB,HOSE,01/02/2019,,18636,18636,18484,18636,72380,1775880000
23,KSB,HOSE,11/02/2019,,18636,19090,18636,18977,102050,2550580000
24,KSB,HOSE,12/02/2019,,18977,20113,18977,19924,517370,13480030000
25,KSB,HOSE,13/02/2019,,19999,20113,19772,20075,358890,9468420000
26,KSB,HOSE,14/02/2019,,19999,20530,19772,20302,495530,13280650000
27,KSB,HOSE,15/02/2019,,20454,20454,19848,19886,318640,8435580000
28,KSB,HOSE,18/02/2019,,19924,20075,19772,19999,222890,5866890000
29,KSB,HOSE,19/02/2019,,19999,20227,19848,20151,276260,7305280000
30,KSB,HOSE,20/02/2019,,20075,20151,19848,19924,149810,3938700000
31,KSB,HOSE,21/02/2019,,19810,19999,19621,19810,99410,2593970000
32,KSB,HOSE,22/02/2019,,19621,19848,19393,19393,307310,7950120000
33,KSB,HOSE,25/02/2019,,19469,19696,19393,19469,459980,11838920000
34,KSB,HOSE,26/02/2019,,19469,20151,19469,19924,668710,17504780000
35,KSB,HOSE,27/02/2019,,20075,20075,19772,19772,316910,8335700000
36,KSB,HOSE,28/02/2019,,19962,21022,19848,20833,1256510,34087590000
37,KSB,HOSE,01/03/2019,,21174,21931,21060,21893,1166490,33166080000
38,KSB,HOSE,04/03/2019,,21969,22045,21477,21742,612200,17579670000
39,KSB,HOSE,05/03/2019,,21363,22234,21060,22158,872000,24897550000
40,KSB,HOSE,06/03/2019,,22158,22348,21893,22348,703520,20563880000
41,KSB,HOSE,07/03/2019,,22272,23105,22007,22007,788610,23585320000
