,Symbol,Market,TradingDate,Time,Open,High,Low,Close,Volume,Value
0,LBM,HOSE,02/01/2019,,12140,12329,11343,12329,60,1920000
1,LBM,HOSE,03/01/2019,,11476,11931,11476,11931,300,9140000
2,LBM,HOSE,04/01/2019,,11931,11931,11931,11931,20,630000
3,LBM,HOSE,07/01/2019,,12121,12121,12121,12121,10,320000
4,LBM,HOSE,08/01/2019,,12121,12121,12121,12121,0,0
5,LBM,HOSE,09/01/2019,,12329,12329,11286,11286,20,620000
6,LBM,HOSE,10/01/2019,,11950,11950,10508,11950,1020,28540000
7,LBM,HOSE,11/01/2019,,12329,12329,12329,12329,10,330000
8,LBM,HOSE,14/01/2019,,12329,12329,12329,12329,0,0
9,LBM,HOSE,15/01/2019,,11476,11476,11476,11476,10,300000
10,LBM,HOSE,16/01/2019,,11362,11362,10698,10698,1020,29000000
11,LBM,HOSE,17/01/2019,,10698,11191,10698,11191,240,7000000
12,LBM,HOSE,18/01/2019,,11457,11457,11457,11457,10,300000
13,LBM,HOSE,21/01/2019,,11002,11381,11002,11381,40,1180000
14,LBM,HOSE,22/01/2019,,10812,11191,10812,11191,200,5710000
15,LBM,HOSE,23/01/2019,,11571,11571,11571,11571,10,310000
16,LBM,HOSE,24/01/2019,,11571,11571,11571,11571,0,0
17,LBM,HOSE,25/01/2019,,11571,12140,11571,12140,7880,242920000
18,LBM,HOSE,28/01/2019,,12140,12898,12102,12898,8020,257000000
19,LBM,HOSE,29/01/2019,,12140,12481,12140,12481,4360,139540000
20,LBM,HOSE,30/01/2019,,12709,13316,12481,12481,3650,120560000
21,LBM,HOSE,31/01/2019,,12898,12898,11609,12481,7010,224560000
22,LBM,HOSE,01/02/2019,,12709,12709,12709,12709,40,1340000
23,LBM,HOSE,11/02/2019,,12709,12709,12709,12709,0,0
24,LBM,HOSE,12/02/2019,,12898,12898,12519,12519,20,670000
25,LBM,HOSE,13/02/2019,,12671,12671,12671,12671,80,2670000
26,LBM,HOSE,14/02/2019,,11836,12519,11798,12500,670,20900000
27,LBM,HOSE,15/02/2019,,12500,12500,12500,12500,0,0
28,LBM,HOSE,18/02/2019,,11760,12329,11760,12329,110,3430000
29,LBM,HOSE,19/02/2019,,13088,13088,11760,11760,25180,805750000
30,LBM,HOSE,20/02/2019,,12519,12519,12519,12519,10,330000
31,LBM,HOSE,21/02/2019,,11647,12140,11647,12140,50,1570000
32,LBM,HOSE,22/02/2019,,12178,12329,12178,12329,60,1940000
33,LBM,HOSE,25/02/2019,,11514,12519,11514,12329,40,1270000
34,LBM,HOSE,26/02/2019,,12443,12519,11571,12329,1950,59830000
35,LBM,HOSE,27/02/2019,,12519,12519,11571,12443,320,9810000
36,LBM,HOSE,28/02/2019,,11950,12443,11950,12443,90,2880000
37,LBM,HOSE,01/03/2019,,12443,12443,12443,12443,20,660000
38,LBM,HOSE,04/03/2019,,11950,12329,11760,12329,6440,201430000
39,LBM,HOSE,05/03/2019,,12386,12500,11798,11798,460,14410000
40,LBM,HOSE,06/03/2019,,12386,12443,12386,12443,20,650000
41,LBM,HOSE,07/03/2019,,12519,13088,11950,12064,1230,39080000
42,LBM,HOSE,08/03/2019,,12405,12443,12405,12443,20,660000
43,LBM,HOSE,11/03/2019,,12519,12519,12519,12519,10,330000
44,LBM,HOSE,12/03/2019,,12519,12519,12519,12519,0,0
45,LBM,HOSE,13/03/2019,,12671,12898,11950,11950,5810,184220000
46,LBM,HOSE,14/03/2019,,12671,12671,11950,12329,620,20210000
47,LBM,HOSE,15/03/2019,,12329,12329,12329,12329,20,650000
48,LBM,HOSE,18/03/2019,,12140,12329,12140,12329,20,650000
49,LBM,HOSE,19/03/2019,,12709,12709,12367,12367,900,29350000
50,LBM,HOSE,20/03/2019,,12709,12709,11798,12405,2500,78410000
51,LBM,HOSE,21/03/2019,,12671,12671,12671,12671,10,330000
52,LBM,HOSE,22/03/2019,,12866,12866,12866,12866,10,330000
53,LBM,HOSE,25/03/2019,,12670,12983,12142,12514,390,12370000
54,LBM,HOSE,26/03/2019,,12006,12436,11888,12240,570,17000000
55,LBM,HOSE,27/03/2019,,12240,12240,12240,12240,50,2000000
56,LBM,HOSE,28/03/2019,,12357,12397,11732,12182,1060,32000000
57,LBM,HOSE,29/03/2019,,12182,12182,12182,12182,30,1000000
58,LBM,HOSE,01/04/2019,,12436,12436,12436,12436,30,950000
59,LBM,HOSE,02/04/2019,,11654,11654,11654,11654,10,300000
60,LBM,HOSE,03/04/2019,,11654,12162,11654,12123,1080,32260000
61,LBM,HOSE,04/04/2019,,12279,12494,12279,12494,70,2230000
62,LBM,HOSE,05/04/2019,,12494,12494,12494,12494,20,640000
63,LBM,HOSE,08/04/2019,,11810,11810,11810,11810,20,600000
64,LBM,HOSE,09/04/2019,,12240,12240,12103,12103,20,620000
65,LBM,HOSE,10/04/2019,,12103,12103,12103,12103,0,0
66,LBM,HOSE,11/04/2019,,12064,12064,12064,12064,10,310000
67,LBM,HOSE,12/04/2019,,12064,12064,12064,12064,0,0
68,LBM,HOSE,16/04/2019,,12064,12064,12064,12064,0,0
69,LBM,HOSE,17/04/2019,,12064,12064,12064,12064,0,0
70,LBM,HOSE,18/04/2019,,11693,11693,11693,11693,170,5080000
71,LBM,HOSE,19/04/2019,,11732,11927,11732,11927,310,9310000
72,LBM,HOSE,22/04/2019,,11732,11732,11732,11732,1670,50100000
73,LBM,HOSE,23/04/2019,,11341,11732,11341,11732,20,590000
