,Symbol,Market,TradingDate,Time,Open,High,Low,Close,Volume,Value
0,LDG,HOSE,02/01/2019,,10693,10805,10095,10431,628660,8770650000
1,LDG,HOSE,03/01/2019,,10431,10469,9721,9721,2366460,31258000000
2,LDG,HOSE,04/01/2019,,9571,10057,9272,9983,1021990,13228980000
3,LDG,HOSE,07/01/2019,,10319,10319,10020,10244,463250,6308600000
4,LDG,HOSE,08/01/2019,,10319,10469,10132,10469,971320,13472300000
5,LDG,HOSE,09/01/2019,,10356,10730,10356,10693,490580,6953090000
6,LDG,HOSE,10/01/2019,,10768,10917,10469,10693,714070,10236410000
7,LDG,HOSE,11/01/2019,,10693,10805,10618,10693,636910,9118070000
8,LDG,HOSE,14/01/2019,,10469,10730,10319,10693,408520,5766000000
9,LDG,HOSE,15/01/2019,,10730,11029,10693,11029,683640,9995900000
10,LDG,HOSE,16/01/2019,,10955,11179,10955,10992,302890,4464000000
11,LDG,HOSE,17/01/2019,,10992,11216,10955,11067,489260,7281000000
12,LDG,HOSE,18/01/2019,,10992,11142,10843,10843,517780,7551420000
13,LDG,HOSE,21/01/2019,,10843,11104,10693,11067,439350,6442090000
14,LDG,HOSE,22/01/2019,,11104,11104,10917,11029,496990,7301460000
15,LDG,HOSE,23/01/2019,,11029,11029,10843,10843,371460,5419190000
16,LDG,HOSE,24/01/2019,,10768,10880,10730,10880,413880,5972620000
17,LDG,HOSE,25/01/2019,,10917,10917,10693,10693,318130,4579490000
18,LDG,HOSE,28/01/2019,,10469,10730,10469,10693,298410,4238990000
19,LDG,HOSE,29/01/2019,,10693,10992,10469,10992,453930,6574820000
20,LDG,HOSE,30/01/2019,,11029,11291,11029,11067,385950,5752910000
21,LDG,HOSE,31/01/2019,,11216,11216,10917,10917,262780,3865230000
22,LDG,HOSE,01/02/2019,,10917,11067,10693,11067,271370,3957800000
23,LDG,HOSE,11/02/2019,,11067,11291,10955,11291,768170,11421230000
24,LDG,HOSE,12/02/2019,,11254,11478,11067,11216,1525110,22956980000
25,LDG,HOSE,13/02/2019,,11216,11366,10843,11142,4618800,67550750000
26,LDG,HOSE,14/02/2019,,11179,11366,10843,10992,3606530,53433850000
27,LDG,HOSE,15/02/2019,,10992,10992,10693,10730,3216780,46562800000
28,LDG,HOSE,18/02/2019,,10843,11067,10768,11029,1117820,16313600000
29,LDG,HOSE,19/02/2019,,11067,11067,10618,10618,2179070,31402360000
30,LDG,HOSE,20/02/2019,,10618,10618,10132,10618,2802170,38753100000
31,LDG,HOSE,21/02/2019,,10543,10768,10431,10730,1041020,14720070000
32,LDG,HOSE,22/02/2019,,10730,10730,10469,10506,773110,10898810000
33,LDG,HOSE,25/02/2019,,10506,10543,10356,10356,1227810,17137240000
34,LDG,HOSE,26/02/2019,,10356,10543,10319,10431,713120,9937310000
35,LDG,HOSE,27/02/2019,,10506,10843,10394,10693,1160690,16589780000
36,LDG,HOSE,28/02/2019,,10693,10730,10244,10244,1179750,16521770000
37,LDG,HOSE,01/03/2019,,10394,10581,10207,10469,1460550,20200550000
38,LDG,HOSE,04/03/2019,,10581,11179,10506,11179,3323730,48676850000
39,LDG,HOSE,05/03/2019,,11179,11441,10917,10955,1870740,28003140000
40,LDG,HOSE,06/03/2019,,10955,11179,10843,11067,1323060,19438740000
41,LDG,HOSE,07/03/2019,,11142,11179,10768,10768,1555430,22704810000
42,LDG,HOSE,08/03/2019,,10618,10693,10431,10469,1722420,24298650000
43,LDG,HOSE,11/03/2019,,10581,10618,10469,10543,616400,8699320000
44,LDG,HOSE,12/03/2019,,10693,10768,10506,10543,892620,12685090000
45,LDG,HOSE,13/03/2019,,10656,10805,10581,10693,903900,12905800000
46,LDG,HOSE,14/03/2019,,10693,10768,10581,10618,792830,13249110000
47,LDG,HOSE,15/03/2019,,10543,10730,10506,10693,1592740,22592390000
48,LDG,HOSE,18/03/2019,,10693,10917,10581,10618,2077290,29727460000
