,Symbol,Market,TradingDate,Time,Open,High,Low,Close,Volume,Value
0,LHG,HOSE,02/01/2019,,13248,13604,13212,13319,210150,3950640000
1,LHG,HOSE,03/01/2019,,13355,13355,12714,12714,332480,6024740000
2,LHG,HOSE,04/01/2019,,12500,12999,12465,12714,317850,5683130000
3,LHG,HOSE,07/01/2019,,13141,13141,12928,12963,250200,4566440000
4,LHG,HOSE,08/01/2019,,12963,13034,12714,12749,181210,3274380000
5,LHG,HOSE,09/01/2019,,12963,13034,12749,12999,158730,2873380000
6,LHG,HOSE,10/01/2019,,12999,13106,12892,12892,155360,2830060000
7,LHG,HOSE,11/01/2019,,12892,13106,12892,12963,108300,1975000000
8,LHG,HOSE,14/01/2019,,13106,13106,12892,12892,112420,2049000000
9,LHG,HOSE,15/01/2019,,12963,13177,12892,13177,207970,3818860000
10,LHG,HOSE,16/01/2019,,13248,13390,13106,13177,290570,5412000000
11,LHG,HOSE,17/01/2019,,13106,13319,13034,13034,92360,1702000000
12,LHG,HOSE,18/01/2019,,13070,13177,12928,13034,108010,1980680000
13,LHG,HOSE,21/01/2019,,13034,13212,12892,12892,577420,10610550000
14,LHG,HOSE,22/01/2019,,13070,13070,12714,12749,334850,6032140000
15,LHG,HOSE,23/01/2019,,12821,12821,12643,12749,211540,3781940000
16,LHG,HOSE,24/01/2019,,12821,13070,12821,12963,170190,3095380000
17,LHG,HOSE,25/01/2019,,13070,13070,12821,12928,110570,2014320000
18,LHG,HOSE,28/01/2019,,12928,12963,12892,12963,167490,3038940000
19,LHG,HOSE,29/01/2019,,12963,13390,12821,13390,297640,5463810000
20,LHG,HOSE,30/01/2019,,13462,13462,13177,13177,120050,2247750000
21,LHG,HOSE,31/01/2019,,13390,13462,13034,13106,80010,1475330000
22,LHG,HOSE,01/02/2019,,13284,13284,13070,13106,83380,1533470000
23,LHG,HOSE,11/02/2019,,13106,13319,13106,13284,227970,4240790000
24,LHG,HOSE,12/02/2019,,13390,13782,13284,13604,549980,10513510000
25,LHG,HOSE,13/02/2019,,13604,13711,13569,13675,311890,5978800000
26,LHG,HOSE,14/02/2019,,13604,14067,13569,13889,469600,9088210000
27,LHG,HOSE,15/02/2019,,13889,13960,13711,13711,276170,5366300000
28,LHG,HOSE,18/02/2019,,13711,13960,13711,13960,327370,6354100000
29,LHG,HOSE,19/02/2019,,14032,14174,13889,13996,403050,7940990000
30,LHG,HOSE,20/02/2019,,13960,14495,13889,14388,540590,10751210000
31,LHG,HOSE,21/02/2019,,14459,14459,13960,14138,458010,9122340000
32,LHG,HOSE,22/02/2019,,14032,14174,13925,14067,287510,5672340000
33,LHG,HOSE,25/02/2019,,14174,14174,13960,14103,391750,7725260000
34,LHG,HOSE,26/02/2019,,14138,14138,13818,13889,376460,7369290000
35,LHG,HOSE,27/02/2019,,13889,13996,13747,13853,291080,5660080000
36,LHG,HOSE,28/02/2019,,13960,13960,13462,13462,352060,6743520000
37,LHG,HOSE,01/03/2019,,13604,13889,13604,13889,182880,3521960000
38,LHG,HOSE,04/03/2019,,13889,14245,13818,14174,437310,8632730000
39,LHG,HOSE,05/03/2019,,14103,14851,14032,14637,1066970,21831690000
40,LHG,HOSE,06/03/2019,,14637,15136,14637,15100,626780,13173480000
41,LHG,HOSE,07/03/2019,,15171,15207,14851,15029,470280,9910000000
42,LHG,HOSE,08/03/2019,,14673,14886,14601,14673,477570,9879520000
43,LHG,HOSE,11/03/2019,,14779,15670,14673,15670,766170,16347710000
44,LHG,HOSE,12/03/2019,,16382,16382,15812,16026,516080,11680840000
45,LHG,HOSE,13/03/2019,,15812,16026,15599,15670,433930,9640570000
46,LHG,HOSE,14/03/2019,,15670,16168,15670,15955,534430,12484610000
47,LHG,HOSE,15/03/2019,,15812,15990,15741,15848,238830,5312700000
48,LHG,HOSE,18/03/2019,,16026,16204,15955,15990,407690,9195070000
49,LHG,HOSE,19/03/2019,,15883,15990,15527,15563,744140,16385990000
50,LHG,HOSE,20/03/2019,,15563,15670,15242,15599,437970,9487790000
51,LHG,HOSE,21/03/2019,,15527,15955,15385,15385,348240,7652160000
52,LHG,HOSE,22/03/2019,,15527,15563,15314,15420,232630,5040920000
53,LHG,HOSE,25/03/2019,,14779,15171,14744,14744,339390,7090480000
