,Symbol,Market,TradingDate,Time,Open,High,Low,Close,Volume,Value
0,LM8,HOSE,02/01/2019,,20028,20028,20028,20028,0,0
1,LM8,HOSE,03/01/2019,,19074,19074,19074,19074,10,250000
2,LM8,HOSE,04/01/2019,,19074,19074,19074,19074,0,0
3,LM8,HOSE,07/01/2019,,19074,19074,19074,19074,0,0
4,LM8,HOSE,08/01/2019,,19074,19074,19074,19074,0,0
5,LM8,HOSE,09/01/2019,,19074,19074,19074,19074,0,0
6,LM8,HOSE,10/01/2019,,19074,19074,17739,17739,830,20110000
7,LM8,HOSE,11/01/2019,,17739,17739,17739,17739,0,0
8,LM8,HOSE,14/01/2019,,18159,18159,18159,18159,50,1000000
9,LM8,HOSE,15/01/2019,,18159,18159,18159,18159,10,240000
10,LM8,HOSE,16/01/2019,,18311,18616,18311,18616,20,0
11,LM8,HOSE,17/01/2019,,18616,18616,18616,18616,0,0
12,LM8,HOSE,18/01/2019,,18616,18616,18616,18616,0,0
13,LM8,HOSE,21/01/2019,,18616,18616,18616,18616,0,0
14,LM8,HOSE,22/01/2019,,17358,19074,17319,19074,300,6830000
15,LM8,HOSE,23/01/2019,,19074,19074,19074,19074,0,0
16,LM8,HOSE,24/01/2019,,19418,19418,19418,19418,10,250000
17,LM8,HOSE,25/01/2019,,18082,18082,18082,18082,300,7110000
18,LM8,HOSE,28/01/2019,,18082,18082,18082,18082,0,0
19,LM8,HOSE,29/01/2019,,18082,18082,18082,18082,0,0
20,LM8,HOSE,30/01/2019,,18464,18464,18464,18464,60,1450000
21,LM8,HOSE,31/01/2019,,18464,18464,18464,18464,0,0
22,LM8,HOSE,01/02/2019,,18464,18464,18464,18464,0,0
23,LM8,HOSE,11/02/2019,,18464,18464,18464,18464,0,0
24,LM8,HOSE,12/02/2019,,18464,18464,18464,18464,0,0
25,LM8,HOSE,13/02/2019,,18922,18922,18922,18922,10,250000
26,LM8,HOSE,14/02/2019,,17777,17777,17701,17701,100,2320000
27,LM8,HOSE,15/02/2019,,16785,16785,16785,16785,90,1980000
28,LM8,HOSE,18/02/2019,,17167,17930,15870,16022,130,2840000
29,LM8,HOSE,19/02/2019,,16022,16022,16022,16022,0,0
30,LM8,HOSE,20/02/2019,,16022,16022,16022,16022,0,0
31,LM8,HOSE,21/02/2019,,16022,16022,16022,16022,0,0
32,LM8,HOSE,22/02/2019,,17129,17129,16060,16060,20,440000
33,LM8,HOSE,25/02/2019,,16060,16060,16060,16060,0,0
34,LM8,HOSE,26/02/2019,,17167,17167,16022,16022,60,1280000
35,LM8,HOSE,27/02/2019,,16785,16785,14916,16785,1440,28670000
36,LM8,HOSE,28/02/2019,,16785,16785,16785,16785,0,0
37,LM8,HOSE,01/03/2019,,16785,16785,16785,16785,0,0
38,LM8,HOSE,04/03/2019,,15793,15793,15793,15793,60,1240000
39,LM8,HOSE,05/03/2019,,16099,16099,16099,16099,20,420000
40,LM8,HOSE,06/03/2019,,17205,17205,17205,17205,20,450000
41,LM8,HOSE,07/03/2019,,17205,17205,17205,17205,0,0
42,LM8,HOSE,08/03/2019,,17205,17205,17205,17205,0,0
43,LM8,HOSE,11/03/2019,,17968,17968,17167,17167,120,2710000
44,LM8,HOSE,12/03/2019,,16785,16785,16785,16785,10,220000
45,LM8,HOSE,13/03/2019,,16785,16785,16785,16785,0,0
46,LM8,HOSE,14/03/2019,,17930,17930,16938,16938,1790,42050000
47,LM8,HOSE,15/03/2019,,16938,16938,16938,16938,0,0
48,LM8,HOSE,18/03/2019,,16404,16404,16404,16404,100,2150000
49,LM8,HOSE,19/03/2019,,17548,17548,15717,15717,160,3390000
50,LM8,HOSE,20/03/2019,,15717,15717,15717,15717,0,0
51,LM8,HOSE,21/03/2019,,16709,16785,15603,15603,60,1300000
52,LM8,HOSE,22/03/2019,,16633,16671,16404,16404,60,1310000
53,LM8,HOSE,25/03/2019,,16404,16404,16404,16404,0,0
54,LM8,HOSE,26/03/2019,,15450,15450,15450,15450,10,0
55,LM8,HOSE,27/03/2019,,15412,15412,15412,15412,10,0
