,Symbol,Market,TradingDate,Time,Open,High,Low,Close,Volume,Value
0,MCP,HOSE,02/01/2019,,21104,21104,21104,21104,0,0
1,MCP,HOSE,03/01/2019,,20143,20143,20143,20143,10,220000
2,MCP,HOSE,04/01/2019,,19960,19960,19960,19960,10,220000
3,MCP,HOSE,07/01/2019,,19685,19685,19685,19685,10,220000
4,MCP,HOSE,08/01/2019,,21059,21059,21059,21059,1010,23230000
5,MCP,HOSE,09/01/2019,,21059,21059,21059,21059,500,11500000
6,MCP,HOSE,10/01/2019,,20601,20601,20601,20601,10,230000
7,MCP,HOSE,11/01/2019,,19960,19960,19960,19960,10,220000
8,MCP,HOSE,14/01/2019,,18724,19960,18724,19960,210,5000000
9,MCP,HOSE,15/01/2019,,19960,19960,19960,19960,0,0
10,MCP,HOSE,16/01/2019,,19960,19960,19960,19960,0,0
11,MCP,HOSE,17/01/2019,,20601,20601,20601,20601,30,1000000
12,MCP,HOSE,18/01/2019,,21059,21059,19365,19365,3370,77490000
13,MCP,HOSE,21/01/2019,,19365,19365,19365,19365,0,0
14,MCP,HOSE,22/01/2019,,19365,19365,19365,19365,0,0
15,MCP,HOSE,23/01/2019,,20692,20692,20692,20692,30,680000
16,MCP,HOSE,24/01/2019,,20692,20692,20692,20692,0,0
17,MCP,HOSE,25/01/2019,,20601,20601,20601,20601,400,9000000
18,MCP,HOSE,28/01/2019,,20601,20601,20601,20601,0,0
19,MCP,HOSE,29/01/2019,,20601,20601,20601,20601,0,0
20,MCP,HOSE,30/01/2019,,20601,20601,20601,20601,0,0
21,MCP,HOSE,31/01/2019,,20601,20601,20601,20601,0,0
22,MCP,HOSE,01/02/2019,,20601,20601,20601,20601,0,0
23,MCP,HOSE,11/02/2019,,20601,20601,20601,20601,0,0
24,MCP,HOSE,12/02/2019,,20601,20601,20601,20601,0,0
25,MCP,HOSE,13/02/2019,,22020,22020,21974,22020,3200,76950000
26,MCP,HOSE,14/02/2019,,23347,23347,22890,22890,390,9850000
27,MCP,HOSE,15/02/2019,,23805,23805,23805,23805,800,20800000
28,MCP,HOSE,18/02/2019,,23805,23805,23805,23805,0,0
29,MCP,HOSE,19/02/2019,,22249,25133,22249,25133,430,10480000
30,MCP,HOSE,20/02/2019,,23393,23393,23393,23393,600,15330000
31,MCP,HOSE,21/02/2019,,21837,21837,21791,21791,480,11440000
32,MCP,HOSE,22/02/2019,,20326,20601,20326,20601,320,7110000
33,MCP,HOSE,25/02/2019,,19319,19319,19319,19319,100,2110000
34,MCP,HOSE,26/02/2019,,19227,19227,19227,19227,990,20790000
35,MCP,HOSE,27/02/2019,,19227,19227,19227,19227,0,0
36,MCP,HOSE,28/02/2019,,18312,18312,18312,18312,100,2000000
37,MCP,HOSE,01/03/2019,,17396,19456,17396,19456,120,2460000
38,MCP,HOSE,04/03/2019,,20784,20784,20784,20784,30,680000
39,MCP,HOSE,05/03/2019,,20784,20784,20784,20784,0,0
40,MCP,HOSE,06/03/2019,,21974,21974,19456,19456,240,5680000
41,MCP,HOSE,07/03/2019,,19319,19319,19319,19319,10,210000
42,MCP,HOSE,08/03/2019,,20647,20647,20647,20647,130,2930000
43,MCP,HOSE,11/03/2019,,21974,21974,19273,19273,530,12660000
44,MCP,HOSE,12/03/2019,,20601,20601,20601,20601,30,680000
45,MCP,HOSE,13/03/2019,,21974,21974,21974,21974,90,2160000
46,MCP,HOSE,14/03/2019,,20463,23347,20463,23347,1450,32470000
47,MCP,HOSE,15/03/2019,,24263,24263,24263,24263,200,5300000
48,MCP,HOSE,18/03/2019,,25865,25865,25636,25636,320,8960000
49,MCP,HOSE,19/03/2019,,23851,25179,23851,24721,12270,330110000
50,MCP,HOSE,20/03/2019,,24721,24721,23027,23027,340,9160000
51,MCP,HOSE,21/03/2019,,24263,24263,24263,24263,110,2920000
52,MCP,HOSE,22/03/2019,,24721,24721,24721,24721,100,2700000
53,MCP,HOSE,25/03/2019,,24721,25636,24721,25636,110,3070000
54,MCP,HOSE,26/03/2019,,25636,25636,25636,25636,0,0
55,MCP,HOSE,27/03/2019,,25636,25636,25636,25636,0,0
56,MCP,HOSE,28/03/2019,,25636,25636,25636,25636,0,0
57,MCP,HOSE,29/03/2019,,25636,25636,25636,25636,10,0
58,MCP,HOSE,01/04/2019,,25636,25636,25636,25636,0,0
59,MCP,HOSE,02/04/2019,,25636,25636,25636,25636,0,0
60,MCP,HOSE,03/04/2019,,25636,25636,25636,25636,0,0
61,MCP,HOSE,04/04/2019,,25636,25636,25636,25636,0,0
62,MCP,HOSE,05/04/2019,,24721,24721,24721,24721,20,540000
63,MCP,HOSE,08/04/2019,,23805,23805,23805,23805,100,2600000
64,MCP,HOSE,09/04/2019,,22890,22935,22890,22890,250,6250000
65,MCP,HOSE,10/04/2019,,22890,22890,22890,22890,0,0
66,MCP,HOSE,11/04/2019,,24263,24263,24263,24263,10,270000
67,MCP,HOSE,12/04/2019,,24263,24263,24263,24263,0,0
68,MCP,HOSE,16/04/2019,,23439,23439,23347,23347,20,510000
69,MCP,HOSE,17/04/2019,,22935,22935,22935,22935,10,250000
70,MCP,HOSE,18/04/2019,,22935,22935,22935,22935,0,0
71,MCP,HOSE,19/04/2019,,22890,22890,22432,22432,1130,28240000
72,MCP,HOSE,22/04/2019,,22432,22432,22432,22432,0,0
73,MCP,HOSE,23/04/2019,,22432,22432,22432,22432,0,0
74,MCP,HOSE,24/04/2019,,22432,22432,22432,22432,0,0
75,MCP,HOSE,25/04/2019,,23805,23805,22890,22890,40,1.02
76,MCP,HOSE,26/04/2019,,22890,23714,22890,23714,30,770000
77,MCP,HOSE,02/05/2019,,23714,23714,23714,23714,0,0
78,MCP,HOSE,03/05/2019,,23668,23760,23668,23760,40,1040000
79,MCP,HOSE,06/05/2019,,23760,23760,23760,23760,0,0
80,MCP,HOSE,07/05/2019,,22111,22111,22111,22111,40,970000
81,MCP,HOSE,08/05/2019,,22111,22111,22111,22111,0,0
82,MCP,HOSE,09/05/2019,,20601,23622,20601,23622,1020,23010000
83,MCP,HOSE,10/05/2019,,24721,24721,24721,24721,10,270000
84,MCP,HOSE,13/05/2019,,24721,24721,24721,24721,0,0
85,MCP,HOSE,14/05/2019,,23027,23027,23027,23027,50,1260000
86,MCP,HOSE,15/05/2019,,23027,24492,21425,21425,30,750000
87,MCP,HOSE,16/05/2019,,22890,22890,19960,22890,2220,48850000
88,MCP,HOSE,17/05/2019,,22890,24446,22890,24446,20,1000000
89,MCP,HOSE,20/05/2019,,24446,24446,24446,24446,0,0
90,MCP,HOSE,21/05/2019,,22752,26140,22752,22752,120,3130000
91,MCP,HOSE,22/05/2019,,21196,23302,21196,21196,570,13240000
92,MCP,HOSE,23/05/2019,,21471,22615,19731,22615,2340,53000000
93,MCP,HOSE,24/05/2019,,21059,22890,21059,22890,6440,151950000
94,MCP,HOSE,27/05/2019,,21287,22890,21287,22890,4140,99130000
95,MCP,HOSE,28/05/2019,,22890,22890,22890,22890,700,17500000
96,MCP,HOSE,29/05/2019,,21333,22890,21333,22890,4610,108460000
97,MCP,HOSE,30/05/2019,,22844,22844,21928,21928,30,740000
98,MCP,HOSE,31/05/2019,,21104,22844,21059,22844,400,9610000
99,MCP,HOSE,03/06/2019,,21425,21425,21333,21333,1650,38450000
100,MCP,HOSE,04/06/2019,,19960,21974,19960,21974,5010,120220000
101,MCP,HOSE,05/06/2019,,21150,22707,20509,22707,3360,75480000
102,MCP,HOSE,06/06/2019,,21150,21150,21150,21150,20,460000
103,MCP,HOSE,07/06/2019,,19777,21974,19777,21928,3370,73990000
104,MCP,HOSE,10/06/2019,,21974,22615,21974,22615,40,970000
105,MCP,HOSE,11/06/2019,,21059,21059,21059,21059,460,10580000
106,MCP,HOSE,12/06/2019,,21745,21745,19594,19594,2390,51340000
107,MCP,HOSE,13/06/2019,,18312,20463,18312,18403,370,7460000
108,MCP,HOSE,14/06/2019,,18632,19594,17488,19502,3740,72250000
109,MCP,HOSE,17/06/2019,,19182,19182,18220,18907,2060,41040000
110,MCP,HOSE,18/06/2019,,18678,18678,17625,17625,320,6180000
111,MCP,HOSE,19/06/2019,,18174,18724,16481,18724,5950,116940000
112,MCP,HOSE,20/06/2019,,18174,18724,16481,18724,5950,116940000
113,MCP,HOSE,21/06/2019,,20509,20830,18403,20601,2420,49250000
114,MCP,HOSE,24/06/2019,,20555,20555,20555,20555,500,11230000
115,MCP,HOSE,25/06/2019,,20463,21837,20463,21516,4630,105000000
116,MCP,HOSE,26/06/2019,,22798,22798,20097,20967,1470,33380000
117,MCP,HOSE,27/06/2019,,21974,21974,21974,21974,10,240000
118,MCP,HOSE,28/06/2019,,21425,21425,21425,21425,2000,46800000
119,MCP,HOSE,01/07/2019,,21425,21425,21425,21425,0,0
120,MCP,HOSE,02/07/2019,,20143,21883,20143,21883,2030,44710000
121,MCP,HOSE,03/07/2019,,21883,21883,21883,21883,0,0
122,MCP,HOSE,04/07/2019,,21059,21059,21059,21059,20,460000
123,MCP,HOSE,05/07/2019,,20143,21425,20143,21425,590,12990000
124,MCP,HOSE,08/07/2019,,19960,19960,19960,19960,10,220000
125,MCP,HOSE,09/07/2019,,21242,21242,19914,19914,160,3550000
126,MCP,HOSE,10/07/2019,,21242,21242,18541,21196,2400,51910000
127,MCP,HOSE,11/07/2019,,21196,21196,21196,21196,100,2000000
128,MCP,HOSE,12/07/2019,,21196,21196,19777,19777,2030,47000000
129,MCP,HOSE,15/07/2019,,18770,20875,18495,20875,2400,49000000
130,MCP,HOSE,16/07/2019,,20875,20875,20875,20875,50,1000000
131,MCP,HOSE,17/07/2019,,20875,20875,20875,20875,0,0
132,MCP,HOSE,18/07/2019,,19456,19456,19456,19456,60,1000000
133,MCP,HOSE,19/07/2019,,20647,20647,18129,19594,350,8000000
134,MCP,HOSE,22/07/2019,,18358,19502,18312,19502,740,15000000
135,MCP,HOSE,23/07/2019,,20647,20647,18358,18358,30,1000000
136,MCP,HOSE,24/07/2019,,19410,19410,19410,19410,50,1000000
137,MCP,HOSE,25/07/2019,,19365,19365,19365,19365,80,2000000
138,MCP,HOSE,26/07/2019,,19410,19410,18037,18037,660,13000000
139,MCP,HOSE,29/07/2019,,16893,18541,16847,18541,2060,38000000
140,MCP,HOSE,30/07/2019,,18998,19594,18998,19594,850,18000000
141,MCP,HOSE,31/07/2019,,18998,19594,18998,19594,0,0
142,MCP,HOSE,01/08/2019,,18312,19227,18266,18266,60,1000000
143,MCP,HOSE,02/08/2019,,17076,19044,17030,19044,2020,38000000
144,MCP,HOSE,05/08/2019,,19227,20006,19227,20006,70,2000000
145,MCP,HOSE,06/08/2019,,18632,18632,18632,18632,70,1000000
146,MCP,HOSE,07/08/2019,,17396,18586,17350,18403,120,2000000
147,MCP,HOSE,08/08/2019,,17396,18632,17396,18632,80,2000000
148,MCP,HOSE,09/08/2019,,17396,17396,17350,17350,1890,36000000
149,MCP,HOSE,12/08/2019,,16206,16938,16206,16938,30,1000000
150,MCP,HOSE,13/08/2019,,16297,16297,16297,16297,30,1000000
151,MCP,HOSE,14/08/2019,,15657,15657,15657,15657,10,0
152,MCP,HOSE,15/08/2019,,14787,16435,14787,16389,60,1000000
153,MCP,HOSE,16/08/2019,,17076,17076,15702,17076,60,1000000
