,Symbol,Market,TradingDate,Time,Open,High,Low,Close,Volume,Value
0,MIG,UPCOM,02/01/2019,,7390,7390,7390,7390,100,1290000
1,MIG,UPCOM,03/01/2019,,7161,7161,6989,7161,59435,736926500
2,MIG,UPCOM,04/01/2019,,7104,7390,7104,7390,18617,233352500
3,MIG,UPCOM,07/01/2019,,7390,7448,7333,7448,123400,1590360000
4,MIG,UPCOM,08/01/2019,,7390,7390,7333,7390,106300,1369220000
5,MIG,UPCOM,09/01/2019,,7390,7734,7390,7505,76500,1011100000
6,MIG,UPCOM,10/01/2019,,7562,7849,7448,7734,89710,1208714000
7,MIG,UPCOM,11/01/2019,,7906,7906,7849,7906,22050,303245000
8,MIG,UPCOM,14/01/2019,,7734,7963,7677,7849,100636,1377026100
9,MIG,UPCOM,15/01/2019,,7963,8021,7849,7963,50000,696480000
10,MIG,UPCOM,16/01/2019,,7906,8021,7849,7963,62423,864625100
11,MIG,UPCOM,17/01/2019,,7963,7963,7906,7906,28000,388400000
12,MIG,UPCOM,18/01/2019,,7906,7906,7906,7906,14900,205620000
13,MIG,UPCOM,21/01/2019,,8307,8307,7963,7963,86420,1210221000
14,MIG,UPCOM,22/01/2019,,8078,8078,8021,8078,32500,457870000
15,MIG,UPCOM,23/01/2019,,8021,8021,8021,8021,800,11200000
16,MIG,UPCOM,24/01/2019,,8078,8135,8078,8135,11500,163190000
17,MIG,UPCOM,25/01/2019,,8021,8021,8021,8021,182000,2548000000
18,MIG,UPCOM,28/01/2019,,8021,8021,8021,8021,86129,1205803100
19,MIG,UPCOM,29/01/2019,,7849,7849,7849,7849,440,6040000
20,MIG,UPCOM,30/01/2019,,8499,8625,8373,8373,16421,220913500
21,MIG,UPCOM,31/01/2019,,7869,7869,7869,7869,1010,12635000
22,MIG,UPCOM,01/02/2019,,8373,8751,8373,8436,7125,95932500
23,MIG,UPCOM,11/02/2019,,9380,9380,9380,9380,100,1490000
24,MIG,UPCOM,12/02/2019,,8814,8814,8814,8814,29300,410200000
25,MIG,UPCOM,13/02/2019,,8499,8562,8373,8562,9556,129073200
26,MIG,UPCOM,14/02/2019,,8688,8688,8436,8436,10354,141049400
27,MIG,UPCOM,15/02/2019,,8436,8499,8310,8310,29700,398650000
28,MIG,UPCOM,18/02/2019,,8184,8184,8121,8184,13050,169355000
29,MIG,UPCOM,19/02/2019,,8184,8184,8184,8184,0,0
30,MIG,UPCOM,20/02/2019,,8121,8499,8121,8184,731500,9776240000
31,MIG,UPCOM,21/02/2019,,8436,8436,8184,8184,20000,262000000
32,MIG,UPCOM,22/02/2019,,8184,8499,8121,8436,119500,1582490000
33,MIG,UPCOM,25/02/2019,,8499,8877,8499,8688,296540,4132230000
34,MIG,UPCOM,26/02/2019,,8751,8814,8688,8688,196900,2753140000
35,MIG,UPCOM,27/02/2019,,8499,8499,8310,8499,26250,353300000
36,MIG,UPCOM,28/02/2019,,8688,8688,8184,8688,50205,682697500
37,MIG,UPCOM,01/03/2019,,8688,8688,8562,8625,36300,500000000
38,MIG,UPCOM,04/03/2019,,8499,8688,8310,8310,119270,1583738000
39,MIG,UPCOM,05/03/2019,,8436,8688,8184,8688,83640,1108524000
40,MIG,UPCOM,06/03/2019,,8373,8499,8373,8499,21050,283665000
41,MIG,UPCOM,07/03/2019,,8499,8499,8499,8499,15000,202500000
42,MIG,UPCOM,08/03/2019,,8373,8499,8310,8499,42200,566760000
43,MIG,UPCOM,11/03/2019,,8247,8247,8121,8121,83715,1086984500
44,MIG,UPCOM,12/03/2019,,8121,8625,8058,8184,67010,873016000
45,MIG,UPCOM,13/03/2019,,8247,8499,8247,8499,26015,350796500
46,MIG,UPCOM,14/03/2019,,8499,8625,8499,8562,52700,712010000
47,MIG,UPCOM,15/03/2019,,8562,8562,8436,8562,12335,166619000
48,MIG,UPCOM,18/03/2019,,8499,8625,8499,8625,34900,473720000
49,MIG,UPCOM,19/03/2019,,9758,9758,8499,8562,90300,1231420000
50,MIG,UPCOM,20/03/2019,,8562,8562,8562,8562,11010,149736000
51,MIG,UPCOM,21/03/2019,,8625,9129,8625,8877,183903,2597520800
52,MIG,UPCOM,22/03/2019,,8877,9003,8688,8688,56107,791267300
53,MIG,UPCOM,25/03/2019,,8688,8688,8562,8688,73400,1005620000
54,MIG,UPCOM,26/03/2019,,8751,8751,8625,8625,37400,513650000
55,MIG,UPCOM,27/03/2019,,8688,8688,8625,8625,23300,319810000
56,MIG,UPCOM,28/03/2019,,8625,8625,8625,8625,8500,116450000
57,MIG,UPCOM,29/03/2019,,8625,8625,8625,8625,1300,17810000
58,MIG,UPCOM,01/04/2019,,8499,8625,8499,8625,11000,150100000
59,MIG,UPCOM,02/04/2019,,8562,8688,8562,8688,9000,123400000
60,MIG,UPCOM,03/04/2019,,8625,8877,8625,8814,75100,1040180000
61,MIG,UPCOM,04/04/2019,,8688,8688,8625,8625,12000,164650000
62,MIG,UPCOM,05/04/2019,,8814,8877,8814,8814,24582,344348000
63,MIG,UPCOM,08/04/2019,,8688,8688,8688,8688,4600,63480000
64,MIG,UPCOM,09/04/2019,,8562,8688,8562,8688,13000,179200000
65,MIG,UPCOM,10/04/2019,,8688,8688,8625,8688,16732,230808800
66,MIG,UPCOM,11/04/2019,,8688,8751,8373,8625,8703,118711700
67,MIG,UPCOM,12/04/2019,,8625,8751,8625,8751,71020,981180000
68,MIG,UPCOM,16/04/2019,,8751,8751,8499,8751,16200,224120000
69,MIG,UPCOM,17/04/2019,,8751,9506,8751,9129,253954,3677291100
70,MIG,UPCOM,18/04/2019,,9192,9317,9192,9254,152307,2238100800
71,MIG,UPCOM,19/04/2019,,9317,9380,9254,9317,100525,1489012500
72,MIG,UPCOM,22/04/2019,,9317,9317,9129,9192,47900,699320000
73,MIG,UPCOM,23/04/2019,,9317,9317,8940,9129,76292,1098740300
74,MIG,UPCOM,24/04/2019,,9066,9192,9066,9129,105118,1516299200
75,MIG,UPCOM,25/04/2019,,9066,9254,9066,9254,159340,2306556000
76,MIG,UPCOM,26/04/2019,,9129,9758,9129,9380,383683,5754556700
77,MIG,UPCOM,02/05/2019,,9380,9695,9129,9443,76510,1154287900
78,MIG,UPCOM,03/05/2019,,9443,9569,9443,9506,181422,2723592600
79,MIG,UPCOM,06/05/2019,,9443,9443,9254,9443,81920,1218256000
80,MIG,UPCOM,07/05/2019,,9380,9380,9192,9380,56860,838816000
81,MIG,UPCOM,08/05/2019,,9385,9718,9319,9652,67500,967790000
82,MIG,UPCOM,09/05/2019,,9652,9652,9452,9585,13400,192930000
83,MIG,UPCOM,10/05/2019,,9585,9585,9385,9452,12800,181570000
84,MIG,UPCOM,13/05/2019,,9385,9385,9053,9385,56710,787988000
85,MIG,UPCOM,14/05/2019,,8853,9252,8853,9119,13110,179736000
86,MIG,UPCOM,15/05/2019,,9119,9452,9119,9119,39700,548160000
87,MIG,UPCOM,16/05/2019,,9186,9252,9053,9053,18800,258890000
88,MIG,UPCOM,17/05/2019,,9053,9119,8920,8986,210000,2823800000
89,MIG,UPCOM,20/05/2019,,8920,9053,8786,8920,65986,882353600
90,MIG,UPCOM,21/05/2019,,8986,9252,8986,9252,37200,512210000
91,MIG,UPCOM,22/05/2019,,9186,9186,9053,9053,8600,117720000
92,MIG,UPCOM,23/05/2019,,8986,9119,8920,8920,73300,985000000
93,MIG,UPCOM,24/05/2019,,9053,9053,8920,8920,11000,147990000
94,MIG,UPCOM,27/05/2019,,8920,8986,8786,8986,34428,458092400
95,MIG,UPCOM,28/05/2019,,8786,8920,8786,8853,70600,934360000
96,MIG,UPCOM,29/05/2019,,8853,8853,8520,8520,153550,1986755000
97,MIG,UPCOM,30/05/2019,,8587,8587,8320,8520,57790,736132000
98,MIG,UPCOM,31/05/2019,,8387,8520,8387,8520,28700,363630000
99,MIG,UPCOM,03/06/2019,,8387,8454,8320,8454,4700,58980000
100,MIG,UPCOM,04/06/2019,,8920,8920,8454,8454,4200,55210000
101,MIG,UPCOM,05/06/2019,,8587,8587,8520,8520,400,5130000
102,MIG,UPCOM,06/06/2019,,8520,8520,8520,8520,20770,265835000
103,MIG,UPCOM,07/06/2019,,8520,8587,8520,8587,3700,47710000
104,MIG,UPCOM,10/06/2019,,8786,8786,8587,8653,16328,212224000
105,MIG,UPCOM,11/06/2019,,8653,8653,8587,8653,5400,70090000
106,MIG,UPCOM,12/06/2019,,8587,8653,8587,8587,7400,95480000
107,MIG,UPCOM,13/06/2019,,8653,8653,8653,8653,39700,516100000
108,MIG,UPCOM,14/06/2019,,8653,8653,8653,8653,33700,438100000
109,MIG,UPCOM,17/06/2019,,8653,8653,8520,8520,14174,181897200
110,MIG,UPCOM,18/06/2019,,8387,8387,8320,8320,5900,73770000
111,MIG,UPCOM,19/06/2019,,8520,8520,8454,8454,8600,109270000
112,MIG,UPCOM,20/06/2019,,8454,8454,8454,8454,1100,14000000
113,MIG,UPCOM,21/06/2019,,8454,8520,8387,8387,14000,178000000
114,MIG,UPCOM,24/06/2019,,8520,8520,8520,8520,20100,257280000
115,MIG,UPCOM,25/06/2019,,8520,8520,8520,8520,4300,55040000
116,MIG,UPCOM,26/06/2019,,8520,8520,8520,8520,14500,185600000
117,MIG,UPCOM,27/06/2019,,8520,8520,8454,8520,17100,218580000
118,MIG,UPCOM,28/06/2019,,8520,8520,8387,8520,55444,702464400
119,MIG,UPCOM,01/07/2019,,8387,8387,8387,8387,5100,64260000
120,MIG,UPCOM,02/07/2019,,8387,8520,8387,8454,30460,386278000
121,MIG,UPCOM,03/07/2019,,8320,8454,8320,8387,8300,104510000
122,MIG,UPCOM,04/07/2019,,8520,8520,8387,8387,23400,296590000
123,MIG,UPCOM,05/07/2019,,8387,8520,8387,8454,26800,339900000
124,MIG,UPCOM,08/07/2019,,8387,8454,8320,8320,12800,160970000
125,MIG,UPCOM,09/07/2019,,8121,8387,8054,8254,14404,178169200
126,MIG,UPCOM,10/07/2019,,8254,8320,8254,8320,11300,140420000
127,MIG,UPCOM,11/07/2019,,8254,8254,8254,8254,900,11160000
128,MIG,UPCOM,12/07/2019,,8254,8320,8254,8254,19800,245720000
129,MIG,UPCOM,15/07/2019,,8254,8254,8254,8254,600,7440000
130,MIG,UPCOM,16/07/2019,,8387,8387,8320,8320,57800,722650000
131,MIG,UPCOM,17/07/2019,,8520,8520,8387,8387,2500,31520000
132,MIG,UPCOM,18/07/2019,,8387,8387,8320,8320,54500,681390000
133,MIG,UPCOM,19/07/2019,,8320,8320,8254,8254,20000,248010000
134,MIG,UPCOM,22/07/2019,,8187,8320,8187,8320,30700,378840000
135,MIG,UPCOM,23/07/2019,,8187,8786,8187,8320,248100,3103750000
136,MIG,UPCOM,24/07/2019,,8387,8387,8320,8387,28000,351300000
137,MIG,UPCOM,25/07/2019,,8520,8520,8320,8387,10300,128990000
138,MIG,UPCOM,26/07/2019,,8387,8387,8254,8387,21200,263820000
139,MIG,UPCOM,29/07/2019,,8254,8454,8254,8454,33200,415650000
140,MIG,UPCOM,30/07/2019,,8520,8520,8254,8387,10000,124440000
141,MIG,UPCOM,31/07/2019,,8254,8320,8187,8320,85500,1064180000
142,MIG,UPCOM,01/08/2019,,8254,8320,8254,8320,38500,479140000
143,MIG,UPCOM,02/08/2019,,8653,8653,8054,8320,25200,312040000
144,MIG,UPCOM,05/08/2019,,8054,8121,7721,8121,4500,54790000
145,MIG,UPCOM,06/08/2019,,8121,8121,7788,7788,38900,470970000
146,MIG,UPCOM,07/08/2019,,8054,8054,7788,8054,7000,83810000
147,MIG,UPCOM,08/08/2019,,8054,8054,7788,7988,15000,179460000
