,Symbol,Market,TradingDate,Time,Open,High,Low,Close,Volume,Value
0,NAV,HOSE,02/01/2019,,4223,4746,4223,4746,510,3630000
1,NAV,HOSE,03/01/2019,,4419,4989,4419,4989,50,410000
2,NAV,HOSE,04/01/2019,,4645,5102,4645,5102,20,160000
3,NAV,HOSE,07/01/2019,,4746,4746,4746,4746,460,3680000
4,NAV,HOSE,08/01/2019,,4859,5049,4752,4989,90,740000
5,NAV,HOSE,09/01/2019,,4989,5019,4651,4752,2070,16780000
6,NAV,HOSE,10/01/2019,,4752,5084,4752,5084,3900,31810000
7,NAV,HOSE,11/01/2019,,5353,5353,5353,5353,20,170000
8,NAV,HOSE,14/01/2019,,4982,5174,4982,4982,1410,11000000
9,NAV,HOSE,15/01/2019,,4637,5238,4637,5238,79270,601850000
10,NAV,HOSE,16/01/2019,,4880,5238,4873,5238,150,1000000
11,NAV,HOSE,17/01/2019,,4880,5557,4880,5557,20,0
12,NAV,HOSE,18/01/2019,,5174,5174,5174,5174,510,4130000
13,NAV,HOSE,21/01/2019,,4816,5040,4816,5040,3010,23050000
14,NAV,HOSE,22/01/2019,,5040,5040,4688,5033,10810,81310000
15,NAV,HOSE,23/01/2019,,4854,4854,4816,4816,980,7420000
16,NAV,HOSE,24/01/2019,,4816,5110,4816,5110,1270,9580000
17,NAV,HOSE,25/01/2019,,4752,4752,4752,4752,1010,7510000
18,NAV,HOSE,28/01/2019,,4752,4752,4752,4752,1430,10640000
19,NAV,HOSE,29/01/2019,,4759,4759,4759,4759,20,150000
20,NAV,HOSE,30/01/2019,,4759,4759,4759,4759,500,3730000
21,NAV,HOSE,31/01/2019,,4790,4790,4790,4790,10,80000
22,NAV,HOSE,01/02/2019,,4854,4854,4854,4854,20,150000
23,NAV,HOSE,11/02/2019,,4861,4861,4861,4861,150,1140000
24,NAV,HOSE,12/02/2019,,4880,4880,4880,4880,10,80000
25,NAV,HOSE,13/02/2019,,5218,5218,5218,5218,10,80000
26,NAV,HOSE,14/02/2019,,5582,5582,5582,5582,300,2620000
27,NAV,HOSE,15/02/2019,,5193,5429,5193,5238,1950,16290000
28,NAV,HOSE,18/02/2019,,4873,4873,4873,4873,10,80000
29,NAV,HOSE,19/02/2019,,4873,5212,4873,5212,1450,11600000
30,NAV,HOSE,20/02/2019,,5212,5212,5212,5212,0,0
31,NAV,HOSE,21/02/2019,,5576,5576,5576,5576,40,350000
32,NAV,HOSE,22/02/2019,,5186,5940,5186,5186,3520,28620000
33,NAV,HOSE,25/02/2019,,5110,5110,5110,5110,3530,28240000
