,Symbol,Market,TradingDate,Time,Open,High,Low,Close,Volume,Value
0,NHA,HNX,02/01/2019,,2603,2682,2524,2682,7911,52161500
1,NHA,HNX,03/01/2019,,2682,2839,2682,2839,1600,11480000
2,NHA,HNX,04/01/2019,,2800,2800,2642,2642,5700,38630000
3,NHA,HNX,07/01/2019,,2642,2642,2642,2642,3000,20100000
4,NHA,HNX,08/01/2019,,2721,2721,2485,2563,75200,486930000
5,NHA,HNX,09/01/2019,,2563,2682,2563,2563,16500,108770000
6,NHA,HNX,10/01/2019,,2721,2721,2721,2721,1600,11040000
7,NHA,HNX,11/01/2019,,2682,2879,2642,2879,5500,38370000
8,NHA,HNX,14/01/2019,,2682,2682,2682,2682,400,2720000
9,NHA,HNX,15/01/2019,,2682,2800,2682,2800,2000,13900000
10,NHA,HNX,16/01/2019,,2800,2800,2682,2682,1900,13370000
11,NHA,HNX,17/01/2019,,2642,2642,2642,2642,884,5906000
12,NHA,HNX,18/01/2019,,2682,2682,2642,2642,5000,33600000
13,NHA,HNX,21/01/2019,,2682,2839,2682,2800,27900,197330000
14,NHA,HNX,22/01/2019,,2800,2800,2761,2761,4562,32121600
15,NHA,HNX,23/01/2019,,2800,2839,2761,2839,23532,169288000
16,NHA,HNX,24/01/2019,,2839,2839,2839,2839,300,2160000
17,NHA,HNX,25/01/2019,,2839,2839,2839,2839,1300,9360000
18,NHA,HNX,28/01/2019,,2761,2918,2761,2918,3020,21604000
19,NHA,HNX,29/01/2019,,2879,2918,2879,2918,604,4418000
20,NHA,HNX,30/01/2019,,2800,2800,2800,2800,5042,35785600
21,NHA,HNX,31/01/2019,,2879,2879,2761,2761,8300,58190000
22,NHA,HNX,01/02/2019,,2761,2839,2761,2839,11500,80720000
23,NHA,HNX,11/02/2019,,2839,2839,2800,2800,2650,18825000
24,NHA,HNX,12/02/2019,,2800,2800,2761,2761,9100,64080000
25,NHA,HNX,13/02/2019,,2761,2958,2761,2879,23700,168010000
26,NHA,HNX,14/02/2019,,2839,2997,2800,2997,12700,92670000
27,NHA,HNX,15/02/2019,,2958,2997,2958,2958,13520,101404000
28,NHA,HNX,18/02/2019,,2997,3116,2958,3076,7600,57980000
29,NHA,HNX,19/02/2019,,2958,3076,2879,2918,23800,175380000
30,NHA,HNX,20/02/2019,,2958,2997,2879,2958,11620,85880000
31,NHA,HNX,21/02/2019,,2997,2997,2839,2918,12700,92720000
32,NHA,HNX,22/02/2019,,2918,2958,2879,2918,7100,52350000
33,NHA,HNX,25/02/2019,,2958,2958,2800,2958,20200,145560000
34,NHA,HNX,26/02/2019,,2918,2918,2918,2918,1100,8140000
35,NHA,HNX,27/02/2019,,2918,2997,2918,2958,5300,39590000
36,NHA,HNX,28/02/2019,,2997,2997,2958,2958,1600,12010000
37,NHA,HNX,01/03/2019,,2879,2918,2879,2879,2100,15420000
38,NHA,HNX,04/03/2019,,2958,2958,2879,2918,17543,129391000
39,NHA,HNX,05/03/2019,,2879,2958,2839,2918,27200,200770000
40,NHA,HNX,06/03/2019,,2958,3155,2918,3037,9000,67790000
41,NHA,HNX,07/03/2019,,3076,3116,3076,3116,3000,23600000
42,NHA,HNX,08/03/2019,,3076,3076,2997,2997,4500,34800000
43,NHA,HNX,11/03/2019,,2918,2997,2879,2997,12000,88230000
44,NHA,HNX,12/03/2019,,3273,3273,2958,3116,7400,56670000
45,NHA,HNX,13/03/2019,,2997,3076,2958,3076,9000,68230000
46,NHA,HNX,14/03/2019,,2958,2997,2958,2997,10600,80060000
47,NHA,HNX,15/03/2019,,2997,2997,2958,2997,4400,33240000
48,NHA,HNX,18/03/2019,,2958,3037,2958,2997,3500,26350000
49,NHA,HNX,19/03/2019,,2958,2958,2958,2958,543,4068200
50,NHA,HNX,20/03/2019,,2958,2958,2958,2958,100,750000
51,NHA,HNX,21/03/2019,,2839,2958,2839,2958,1400,10310000
52,NHA,HNX,22/03/2019,,2958,2958,2958,2958,0,0
53,NHA,HNX,25/03/2019,,2800,2918,2800,2918,3400,24200000
54,NHA,HNX,26/03/2019,,2918,2958,2918,2958,11200,83370000
55,NHA,HNX,27/03/2019,,2958,2958,2958,2958,4200,31500000
56,NHA,HNX,28/03/2019,,2958,3037,2958,3037,4700,35380000
57,NHA,HNX,29/03/2019,,3116,3116,3037,3076,19200,149160000
58,NHA,HNX,01/04/2019,,3116,3155,3116,3155,210,1668000
59,NHA,HNX,02/04/2019,,3155,3234,3116,3234,9900,79570000
60,NHA,HNX,03/04/2019,,3194,3273,3155,3273,8100,65160000
61,NHA,HNX,04/04/2019,,3234,3234,3234,3234,4000,32800000
62,NHA,HNX,05/04/2019,,3234,3470,3037,3037,8500,66930000
63,NHA,HNX,08/04/2019,,3194,3273,3155,3155,12531,101338000
64,NHA,HNX,09/04/2019,,3155,3273,3155,3273,3300,26700000
65,NHA,HNX,10/04/2019,,3273,3352,3273,3273,14700,122880000
66,NHA,HNX,11/04/2019,,3116,3194,3116,3194,1520,12116000
67,NHA,HNX,12/04/2019,,3273,3273,3273,3273,100,830000
68,NHA,HNX,16/04/2019,,3155,3273,3116,3273,2000,16170000
69,NHA,HNX,17/04/2019,,3194,3194,3194,3194,200,1620000
70,NHA,HNX,18/04/2019,,3155,3155,3155,3155,300,2400000
71,NHA,HNX,19/04/2019,,2958,3155,2958,3116,4600,34710000
72,NHA,HNX,22/04/2019,,2958,2958,2918,2918,14000,103830000
73,NHA,HNX,23/04/2019,,2879,2879,2879,2879,2000,14600000
74,NHA,HNX,24/04/2019,,2879,3037,2879,3037,2420,18054000
75,NHA,HNX,25/04/2019,,2918,3037,2839,2839,25800,186500000
76,NHA,HNX,26/04/2019,,2918,2918,2918,2918,300,2220000
77,NHA,HNX,02/05/2019,,2958,2958,2958,2958,100,750000
78,NHA,HNX,03/05/2019,,2958,2958,2958,2958,2900,21750000
79,NHA,HNX,06/05/2019,,2839,2839,2839,2839,3300,23760000
