,Symbol,Market,TradingDate,Time,Open,High,Low,Close,Volume,Value
0,NHT,UPCOM,02/01/2019,,10892,10892,10892,10892,300,13590000
1,NHT,UPCOM,03/01/2019,,10892,10892,10892,10892,0,0
2,NHT,UPCOM,04/01/2019,,10868,10892,10868,10892,350,15720000
3,NHT,UPCOM,07/01/2019,,10868,10892,10868,10892,28,1204000
4,NHT,UPCOM,08/01/2019,,10868,10940,10868,10940,500,22680000
5,NHT,UPCOM,09/01/2019,,10868,10940,10868,10916,2000,90800000
6,NHT,UPCOM,10/01/2019,,10916,10964,10868,10940,2700,122640000
7,NHT,UPCOM,11/01/2019,,10940,11180,10940,11180,2300,105400000
8,NHT,UPCOM,14/01/2019,,11012,11421,11012,11421,4500,207600000
9,NHT,UPCOM,15/01/2019,,11180,11180,11180,11180,300,13950000
10,NHT,UPCOM,16/01/2019,,12022,12022,12022,12022,500,25000000
11,NHT,UPCOM,17/01/2019,,12022,12022,12022,12022,0,0
12,NHT,UPCOM,18/01/2019,,12022,12022,12022,12022,0,0
13,NHT,UPCOM,21/01/2019,,12022,12022,12022,12022,0,0
14,NHT,UPCOM,22/01/2019,,12022,12022,12022,12022,0,0
15,NHT,UPCOM,23/01/2019,,10940,10940,10940,10940,400,18200000
16,NHT,UPCOM,24/01/2019,,10940,10940,10940,10940,20,906000
17,NHT,UPCOM,25/01/2019,,10940,10940,10940,10940,0,0
18,NHT,UPCOM,28/01/2019,,12022,12022,12022,12022,210,10502000
19,NHT,UPCOM,29/01/2019,,12022,12022,12022,12022,0,0
20,NHT,UPCOM,30/01/2019,,11300,11300,11300,11300,1200,56400000
21,NHT,UPCOM,31/01/2019,,11300,11300,11300,11300,0,0
22,NHT,UPCOM,01/02/2019,,11781,11781,11300,11300,1100,51900000
23,NHT,UPCOM,11/02/2019,,11300,11421,11300,11421,800,37850000
24,NHT,UPCOM,12/02/2019,,11781,11781,11781,11781,101,4943300
25,NHT,UPCOM,13/02/2019,,11373,11373,11300,11300,1500,70700000
26,NHT,UPCOM,14/02/2019,,11324,11324,11300,11300,0,0
27,NHT,UPCOM,15/02/2019,,11324,11324,11300,11300,0,0
28,NHT,UPCOM,18/02/2019,,11324,11324,11300,11300,1,48900
29,NHT,UPCOM,19/02/2019,,11324,11324,11300,11300,0,0
30,NHT,UPCOM,20/02/2019,,11324,11324,11300,11300,0,0
31,NHT,UPCOM,21/02/2019,,11324,11324,11300,11300,0,0
32,NHT,UPCOM,22/02/2019,,11324,11324,11300,11300,25,1112500
33,NHT,UPCOM,25/02/2019,,11324,11324,11300,11300,0,0
34,NHT,UPCOM,26/02/2019,,11324,11324,11300,11300,0,0
35,NHT,UPCOM,27/02/2019,,11324,11324,11300,11300,0,0
36,NHT,UPCOM,28/02/2019,,11324,11324,11300,11300,0,0
37,NHT,UPCOM,01/03/2019,,11324,11324,11300,11300,0,0
38,NHT,UPCOM,04/03/2019,,11324,11324,11300,11300,0,0
39,NHT,UPCOM,05/03/2019,,11324,11324,11300,11300,25,1175000
40,NHT,UPCOM,06/03/2019,,13008,13008,13008,13008,22225,1202372500
41,NHT,UPCOM,07/03/2019,,14667,14667,12983,13008,11600,634420000
42,NHT,UPCOM,08/03/2019,,14186,14186,13585,13585,950,54540000
43,NHT,UPCOM,11/03/2019,,13849,13849,13585,13585,10,518000
44,NHT,UPCOM,12/03/2019,,13585,13585,13464,13464,1015,57022500
45,NHT,UPCOM,13/03/2019,,13224,13224,13224,13224,200,11000000
46,NHT,UPCOM,14/03/2019,,13224,13224,13224,13224,550,30105000
47,NHT,UPCOM,15/03/2019,,12983,13224,12983,13224,2300,125300000
48,NHT,UPCOM,18/03/2019,,13224,13464,13224,13464,1065,58995000
49,NHT,UPCOM,19/03/2019,,13464,13464,13464,13464,200,11200000
50,NHT,UPCOM,20/03/2019,,13464,13464,13464,13464,20,1118000
