,Symbol,Market,TradingDate,Time,Open,High,Low,Close,Volume,Value
0,NKG,HOSE,02/01/2019,,5184,5197,5000,5000,37950,293580000
1,NKG,HOSE,03/01/2019,,5000,5105,4763,4763,323560,2407940000
2,NKG,HOSE,04/01/2019,,4763,4763,4481,4632,67540,473110000
3,NKG,HOSE,07/01/2019,,4632,4796,4632,4632,76720,545270000
4,NKG,HOSE,08/01/2019,,4632,4718,4606,4632,79850,563950000
5,NKG,HOSE,09/01/2019,,4639,4731,4632,4639,302440,2150970000
6,NKG,HOSE,10/01/2019,,4665,4711,4599,4599,113700,799680000
7,NKG,HOSE,11/01/2019,,4599,4685,4573,4586,303410,2124620000
8,NKG,HOSE,14/01/2019,,4599,4652,4540,4540,245880,1720000000
9,NKG,HOSE,15/01/2019,,4534,4599,4534,4599,237420,1646440000
10,NKG,HOSE,16/01/2019,,4593,4652,4507,4507,84770,588000000
11,NKG,HOSE,17/01/2019,,4507,4514,4336,4336,226660,1519000000
12,NKG,HOSE,18/01/2019,,4336,4389,4304,4304,196690,1300950000
13,NKG,HOSE,21/01/2019,,4304,4310,4244,4271,133270,867780000
14,NKG,HOSE,22/01/2019,,4251,4304,4205,4225,251230,1627980000
15,NKG,HOSE,23/01/2019,,4244,4258,4205,4225,203620,1305060000
16,NKG,HOSE,24/01/2019,,4218,4258,4205,4205,173370,1114470000
17,NKG,HOSE,25/01/2019,,4205,4238,4185,4205,260720,1668460000
18,NKG,HOSE,28/01/2019,,4205,4238,4179,4192,305740,1956620000
19,NKG,HOSE,29/01/2019,,4192,4205,4159,4172,199610,1266840000
20,NKG,HOSE,30/01/2019,,4179,4179,4106,4133,307930,1948160000
21,NKG,HOSE,31/01/2019,,4041,4133,3995,4014,501950,3088760000
22,NKG,HOSE,01/02/2019,,3745,4074,3745,3942,312810,1874400000
23,NKG,HOSE,11/02/2019,,3995,4041,3988,4041,163770,998530000
24,NKG,HOSE,12/02/2019,,4041,4323,4041,4323,420480,2721170000
25,NKG,HOSE,13/02/2019,,4455,4626,4435,4626,1124020,7854600000
26,NKG,HOSE,14/02/2019,,4724,4947,4724,4947,1921910,14336790000
27,NKG,HOSE,15/02/2019,,4882,5053,4862,5007,1079820,8198200000
28,NKG,HOSE,18/02/2019,,4993,5046,4895,4928,493470,3733830000
29,NKG,HOSE,19/02/2019,,4928,4928,4803,4803,487310,3606440000
30,NKG,HOSE,20/02/2019,,4770,4862,4737,4862,514040,3758560000
31,NKG,HOSE,21/02/2019,,4862,4888,4823,4855,498740,3690280000
32,NKG,HOSE,22/02/2019,,4849,5177,4777,5059,1179310,9055490000
33,NKG,HOSE,25/02/2019,,5191,5223,5099,5125,1852910,14564250000
34,NKG,HOSE,26/02/2019,,5125,5256,5125,5138,1097600,8670020000
35,NKG,HOSE,27/02/2019,,5151,5223,5118,5138,1102310,8665780000
36,NKG,HOSE,28/02/2019,,5131,5184,5013,5059,652800,5070500000
37,NKG,HOSE,01/03/2019,,5046,5125,5039,5059,533120,4125790000
38,NKG,HOSE,04/03/2019,,5256,5289,5125,5223,1333130,10633220000
39,NKG,HOSE,05/03/2019,,5329,5388,5223,5223,1724800,13859590000
40,NKG,HOSE,06/03/2019,,5223,5256,5118,5118,484710,3793390000
41,NKG,HOSE,07/03/2019,,5217,5217,4934,4934,898500,6873760000
42,NKG,HOSE,08/03/2019,,4777,4921,4737,4763,992340,7218070000
43,NKG,HOSE,11/03/2019,,4763,4921,4763,4842,265270,1950130000
44,NKG,HOSE,12/03/2019,,4921,4921,4783,4783,824150,6050080000
45,NKG,HOSE,13/03/2019,,4862,4862,4796,4796,460020,3370620000
46,NKG,HOSE,14/03/2019,,4796,4829,4770,4796,446490,3310150000
47,NKG,HOSE,15/03/2019,,4796,4796,4665,4704,472200,3406750000
48,NKG,HOSE,18/03/2019,,4718,4836,4718,4816,706390,5166750000
49,NKG,HOSE,19/03/2019,,4796,4803,4731,4757,267110,1933310000
50,NKG,HOSE,20/03/2019,,4757,4849,4750,4803,516770,3770740000
51,NKG,HOSE,21/03/2019,,4777,4829,4731,4737,195100,1417580000
52,NKG,HOSE,22/03/2019,,4796,4796,4737,4763,212390,1536950000
53,NKG,HOSE,25/03/2019,,4763,4763,4599,4619,239350,1693380000
54,NKG,HOSE,26/03/2019,,4619,4685,4619,4685,113130,800000000
55,NKG,HOSE,27/03/2019,,4672,4744,4672,4718,244870,1755000000
56,NKG,HOSE,28/03/2019,,4731,4829,4711,4796,413200,3007000000
57,NKG,HOSE,29/03/2019,,4796,4803,4777,4796,156910,1144000000
58,NKG,HOSE,01/04/2019,,4796,4829,4757,4829,514230,3754770000
59,NKG,HOSE,02/04/2019,,4862,4961,4823,4829,305310,2278850000
60,NKG,HOSE,03/04/2019,,4803,5118,4763,5118,1839110,13965620000
61,NKG,HOSE,04/04/2019,,5283,5322,5184,5223,1429770,11392670000
62,NKG,HOSE,05/04/2019,,5322,5322,4993,4993,547430,4313560000
63,NKG,HOSE,08/04/2019,,4993,5158,4993,5007,586590,4505020000
64,NKG,HOSE,09/04/2019,,5007,5059,4665,4796,734210,5453490000
65,NKG,HOSE,10/04/2019,,4796,4849,4731,4796,370010,2695220000
66,NKG,HOSE,11/04/2019,,4842,4895,4777,4895,325450,2387250000
67,NKG,HOSE,12/04/2019,,4862,4895,4836,4855,223530,1653780000
68,NKG,HOSE,16/04/2019,,4862,4862,4724,4737,262400,1903280000
69,NKG,HOSE,17/04/2019,,4737,4790,4468,4488,526890,3704930000
70,NKG,HOSE,18/04/2019,,4382,4468,4290,4415,608190,4066050000
71,NKG,HOSE,19/04/2019,,4455,4586,4402,4468,451080,3090180000
72,NKG,HOSE,22/04/2019,,4468,4586,4369,4376,271260,1824740000
73,NKG,HOSE,23/04/2019,,4369,4468,4369,4376,210160,1410220000
74,NKG,HOSE,24/04/2019,,4402,4448,4382,4448,188420,1268470000
75,NKG,HOSE,25/04/2019,,4461,4461,4402,4402,114510,770.57
76,NKG,HOSE,26/04/2019,,4409,4461,4369,4442,236240,1585870000
77,NKG,HOSE,02/05/2019,,4146,4310,4146,4310,859760,5509940000
78,NKG,HOSE,03/05/2019,,4225,4356,4225,4304,186840,1226880000
79,NKG,HOSE,06/05/2019,,4159,4238,4106,4106,285450,1806760000
80,NKG,HOSE,07/05/2019,,4139,4139,4008,4008,243720,1519710000
81,NKG,HOSE,08/05/2019,,4008,4067,3968,4028,148080,903480000
82,NKG,HOSE,09/05/2019,,4028,4060,4001,4041,66970,410580000
83,NKG,HOSE,10/05/2019,,4041,4060,4028,4060,57500,353740000
84,NKG,HOSE,13/05/2019,,4060,4126,4008,4080,342020,2120150000
85,NKG,HOSE,14/05/2019,,4080,4146,4047,4139,85460,530600000
86,NKG,HOSE,15/05/2019,,4139,4152,4100,4139,104080,652540000
87,NKG,HOSE,16/05/2019,,4113,4238,4113,4146,221310,1395980000
88,NKG,HOSE,17/05/2019,,4198,4205,4080,4152,79350,497000000
89,NKG,HOSE,20/05/2019,,4152,4152,4074,4146,107110,673100000
90,NKG,HOSE,21/05/2019,,4139,4139,4093,4106,63120,394720000
91,NKG,HOSE,22/05/2019,,4113,4264,4113,4205,221500,1410630000
