,Symbol,Market,TradingDate,Time,Open,High,Low,Close,Volume,Value
0,NNC,HOSE,02/01/2019,,34304,34629,34231,34231,3470,165010000
1,NNC,HOSE,03/01/2019,,34304,34376,33942,34267,5150,244300000
2,NNC,HOSE,04/01/2019,,34087,34304,34087,34304,9470,447600000
3,NNC,HOSE,07/01/2019,,34881,34881,34304,34665,12550,603070000
4,NNC,HOSE,08/01/2019,,34665,34737,34484,34484,7260,348480000
5,NNC,HOSE,09/01/2019,,34737,34809,34592,34809,11050,530730000
6,NNC,HOSE,10/01/2019,,34737,34773,34592,34592,7790,374420000
7,NNC,HOSE,11/01/2019,,34592,34665,34592,34592,4730,226580000
8,NNC,HOSE,14/01/2019,,34592,34809,34592,34809,12250,587000000
9,NNC,HOSE,15/01/2019,,35170,35387,35170,35387,17200,839260000
10,NNC,HOSE,16/01/2019,,35748,35748,35170,35170,1430,70000000
11,NNC,HOSE,17/01/2019,,35170,35531,35170,35242,4270,209000000
12,NNC,HOSE,18/01/2019,,35098,35315,35026,35170,4720,229390000
13,NNC,HOSE,21/01/2019,,35170,35748,35026,35531,11450,560540000
14,NNC,HOSE,22/01/2019,,36687,36831,35820,36109,19670,993310000
15,NNC,HOSE,23/01/2019,,35603,36326,35603,36109,5230,260910000
16,NNC,HOSE,24/01/2019,,36109,36109,35748,35820,6650,330160000
17,NNC,HOSE,25/01/2019,,36831,36831,35748,36687,5400,267590000
18,NNC,HOSE,28/01/2019,,36615,36831,36542,36831,16410,831820000
19,NNC,HOSE,29/01/2019,,36831,37120,36687,37120,25250,1291820000
20,NNC,HOSE,30/01/2019,,37120,37553,36976,37481,23660,1223780000
21,NNC,HOSE,31/01/2019,,37553,37553,37481,37553,45120,2344770000
22,NNC,HOSE,01/02/2019,,37553,37914,36976,37770,23510,1222910000
23,NNC,HOSE,11/02/2019,,37770,37914,37481,37553,28160,1469010000
24,NNC,HOSE,12/02/2019,,37626,37626,37409,37626,36260,1885060000
25,NNC,HOSE,13/02/2019,,37626,37842,37481,37698,52760,2753040000
26,NNC,HOSE,14/02/2019,,37626,37626,37481,37553,12530,651520000
27,NNC,HOSE,15/02/2019,,37553,37553,37337,37337,24480,1269010000
28,NNC,HOSE,18/02/2019,,37553,37770,37409,37553,77060,4001900000
29,NNC,HOSE,19/02/2019,,37409,37481,37192,37481,16730,864950000
30,NNC,HOSE,20/02/2019,,37337,37481,37337,37409,37140,1922060000
31,NNC,HOSE,21/02/2019,,37337,37409,37265,37409,16130,833920000
32,NNC,HOSE,22/02/2019,,37409,37481,37409,37409,38230,1981160000
33,NNC,HOSE,25/02/2019,,37409,37409,37265,37265,36620,1893820000
34,NNC,HOSE,26/02/2019,,37337,37337,37265,37337,72390,3735800000
35,NNC,HOSE,27/02/2019,,37563,37863,37187,37488,40450,2016690000
36,NNC,HOSE,28/02/2019,,37488,37488,37187,37187,16860,837610000
