,Symbol,Market,TradingDate,Time,Open,High,Low,Close,Volume,Value
0,NO1,HOSE,28/11/2022,,10700,11500,10150,10450,681600,7342355000
1,NO1,HOSE,29/11/2022,,10400,10450,9900,9950,463300,4667219000
2,NO1,HOSE,30/11/2022,,9950,10250,9450,9500,145600,1443418000
3,NO1,HOSE,01/12/2022,,9500,9500,8840,9000,373800,3335491000
4,NO1,HOSE,02/12/2022,,8800,9000,8370,9000,182700,1582871000
5,NO1,HOSE,05/12/2022,,9000,9350,9000,9180,235000,2147370000
6,NO1,HOSE,06/12/2022,,9180,9200,8850,8980,141800,1276951000
7,NO1,HOSE,07/12/2022,,8970,9050,8800,8990,257600,2308713000
8,NO1,HOSE,08/12/2022,,8990,9200,8950,9200,325300,2962932000
9,NO1,HOSE,09/12/2022,,9200,9200,8920,9100,530200,4797016000
10,NO1,HOSE,12/12/2022,,9100,9200,9050,9100,173600,1586664000
11,NO1,HOSE,13/12/2022,,9100,9120,8900,9000,168400,1517910000
12,NO1,HOSE,14/12/2022,,9000,9120,9000,9040,115400,1044868000
13,NO1,HOSE,15/12/2022,,9040,9080,8950,9030,72300,654084000
14,NO1,HOSE,16/12/2022,,9030,9050,9000,9050,20400,184155000
15,NO1,HOSE,19/12/2022,,9050,9050,8900,9000,28500,255407000
16,NO1,HOSE,20/12/2022,,8950,8990,8660,8990,21800,192476000
17,NO1,HOSE,21/12/2022,,8990,8990,8700,8990,21300,187970000
18,NO1,HOSE,22/12/2022,,8950,8950,8600,8950,12700,111416000
19,NO1,HOSE,23/12/2022,,8950,8950,8720,8940,6700,59448000
20,NO1,HOSE,26/12/2022,,8900,8950,8680,8940,15200,133913000
21,NO1,HOSE,27/12/2022,,8940,8940,8800,8940,7300,64898000
22,NO1,HOSE,28/12/2022,,8940,8940,8920,8940,3800,33957000
23,NO1,HOSE,29/12/2022,,8920,8960,8500,8960,13000,114257000
24,NO1,HOSE,30/12/2022,,8960,9000,8950,9000,8500,76196000
25,NO1,HOSE,03/01/2023,,9000,9000,8970,8970,3300,29627000
26,NO1,HOSE,04/01/2023,,8960,8970,8800,8960,18700,167003000
27,NO1,HOSE,05/01/2023,,8960,8970,8960,8970,13000,116560000
28,NO1,HOSE,06/01/2023,,8960,8960,8960,8960,600,5376000
29,NO1,HOSE,09/01/2023,,8960,8960,8950,8950,300,2686000
30,NO1,HOSE,10/01/2023,,8950,8950,8610,8950,18800,167620000
31,NO1,HOSE,11/01/2023,,8900,8960,8850,8950,13600,121574000
32,NO1,HOSE,12/01/2023,,8900,8950,8850,8950,2800,24940000
33,NO1,HOSE,13/01/2023,,8960,8960,8950,8950,2800,25080000
34,NO1,HOSE,16/01/2023,,8900,8960,8850,8960,21900,195701000
35,NO1,HOSE,17/01/2023,,8900,8970,8900,8960,31900,285882000
36,NO1,HOSE,18/01/2023,,8960,8960,8960,8960,800,7168000
37,NO1,HOSE,19/01/2023,,8900,8970,8900,8970,2500,22385000
38,NO1,HOSE,27/01/2023,,8930,8970,8930,8970,3200,28584000
39,NO1,HOSE,30/01/2023,,8970,9020,8970,9000,42600,382760000
40,NO1,HOSE,31/01/2023,,9000,9000,8950,8990,36000,323396000
41,NO1,HOSE,01/02/2023,,8970,8970,8900,8970,28100,251966000
42,NO1,HOSE,02/02/2023,,8950,8990,8700,8700,45500,404580000
43,NO1,HOSE,03/02/2023,,8800,8950,8800,8950,20400,180970000
44,NO1,HOSE,06/02/2023,,8900,8950,8800,8950,31800,283631000
45,NO1,HOSE,07/02/2023,,8900,8960,8900,8960,11800,105643000
46,NO1,HOSE,08/02/2023,,8960,8980,8390,8700,44600,397329000
47,NO1,HOSE,09/02/2023,,8700,8890,8650,8800,24600,215567000
48,NO1,HOSE,10/02/2023,,8800,8950,8800,8950,40700,363192000
49,NO1,HOSE,13/02/2023,,8950,8980,8800,8950,36000,322026000
50,NO1,HOSE,14/02/2023,,8950,8950,8710,8710,16800,149460000
51,NO1,HOSE,15/02/2023,,8800,8960,8700,8950,35800,319501000
52,NO1,HOSE,16/02/2023,,8950,8950,8870,8950,26800,239502000
53,NO1,HOSE,17/02/2023,,8940,8950,8800,8940,22500,200884000
54,NO1,HOSE,20/02/2023,,8900,8940,8900,8940,23100,206234000
55,NO1,HOSE,21/02/2023,,8920,8930,8920,8930,10400,92771000
56,NO1,HOSE,22/02/2023,,8820,8930,8800,8930,59200,527825000
57,NO1,HOSE,23/02/2023,,8850,8880,8660,8880,13200,115340000
58,NO1,HOSE,24/02/2023,,8880,8960,8880,8960,41000,366479000
59,NO1,HOSE,27/02/2023,,8850,8960,8800,8930,65500,586291000
60,NO1,HOSE,28/02/2023,,8950,8950,8950,8950,35200,315040000
61,NO1,HOSE,01/03/2023,,8950,8950,8930,8930,2800,25044000
