,Symbol,Market,TradingDate,Time,Open,High,Low,Close,Volume,Value
0,NSC,HOSE,02/01/2019,,69025,71326,69025,71326,460,40340000
1,NSC,HOSE,03/01/2019,,69025,71326,69025,71247,370,32710000
2,NSC,HOSE,04/01/2019,,68311,70532,67438,70532,1490,128500000
3,NSC,HOSE,07/01/2019,,74420,74420,68628,68628,2740,237200000
4,NSC,HOSE,08/01/2019,,66645,68628,65851,68628,4010,340000000
5,NSC,HOSE,09/01/2019,,71247,71247,66169,66169,430,35930000
6,NSC,HOSE,10/01/2019,,69025,70453,69025,70453,120,10630000
7,NSC,HOSE,11/01/2019,,69501,71009,66804,70929,700,61520000
8,NSC,HOSE,14/01/2019,,71961,71961,67438,70532,660,58000000
9,NSC,HOSE,15/01/2019,,70374,71802,68311,71167,180,16050000
10,NSC,HOSE,16/01/2019,,70612,70612,68708,69422,800,70000000
11,NSC,HOSE,17/01/2019,,69580,69660,68470,69580,1870,164000000
12,NSC,HOSE,18/01/2019,,70612,70612,68232,68232,70,6050000
13,NSC,HOSE,21/01/2019,,68232,70612,66645,69818,1930,165990000
14,NSC,HOSE,22/01/2019,,71247,71247,71247,71247,70,6290000
15,NSC,HOSE,23/01/2019,,71247,71247,71247,71247,80,7180000
16,NSC,HOSE,24/01/2019,,69739,69739,68152,68152,1970,169920000
17,NSC,HOSE,25/01/2019,,69263,69263,66804,69025,110,9510000
18,NSC,HOSE,28/01/2019,,69263,71643,69263,71643,100,8960000
19,NSC,HOSE,29/01/2019,,71643,71643,71643,71643,160,14450000
20,NSC,HOSE,30/01/2019,,71405,71405,68470,70532,1100,97790000
21,NSC,HOSE,31/01/2019,,70532,70532,70532,70532,0,0
22,NSC,HOSE,01/02/2019,,71881,71881,70612,70612,230,20500000
23,NSC,HOSE,11/02/2019,,70612,75372,70612,74579,1420,126770000
24,NSC,HOSE,12/02/2019,,71485,73706,69898,73547,300,27180000
25,NSC,HOSE,13/02/2019,,73468,73468,73468,73468,50,4630000
26,NSC,HOSE,14/02/2019,,74182,74182,74182,74182,50,4680000
27,NSC,HOSE,15/02/2019,,70691,72913,69818,72199,2820,250600000
28,NSC,HOSE,18/02/2019,,72199,72199,69104,72040,1880,169430000
29,NSC,HOSE,19/02/2019,,72040,72040,70612,72040,150,13400000
30,NSC,HOSE,20/02/2019,,70056,71405,70056,71405,1250,111840000
31,NSC,HOSE,21/02/2019,,72040,72040,69422,70612,6010,535620000
32,NSC,HOSE,22/02/2019,,71326,71326,70612,71326,5170,460250000
33,NSC,HOSE,25/02/2019,,70612,70612,70532,70612,3950,351550000
34,NSC,HOSE,26/02/2019,,71405,71405,69818,71326,3870,343040000
35,NSC,HOSE,27/02/2019,,70215,71247,69818,71247,5460,481950000
