,Symbol,Market,TradingDate,Time,Open,High,Low,Close,Volume,Value
0,NVL,HOSE,02/01/2019,,35888,35888,34942,35888,478860,30401530000
1,NVL,HOSE,03/01/2019,,35554,35554,34886,35053,629490,39663070000
2,NVL,HOSE,04/01/2019,,34775,35331,33940,35164,626290,38943740000
3,NVL,HOSE,07/01/2019,,34775,35053,33996,34497,721650,44752560000
4,NVL,HOSE,08/01/2019,,34497,34497,32104,32104,621630,36590890000
5,NVL,HOSE,09/01/2019,,32160,33384,29879,32716,1165350,64669160000
6,NVL,HOSE,10/01/2019,,32271,33273,32271,32939,470210,27862710000
7,NVL,HOSE,11/01/2019,,32549,33273,32549,32995,627520,37209480000
8,NVL,HOSE,14/01/2019,,32549,32661,31659,32327,717640,41457000000
9,NVL,HOSE,15/01/2019,,31993,32494,31659,32327,573010,33101760000
10,NVL,HOSE,16/01/2019,,32104,32327,31604,31993,475490,27236000000
11,NVL,HOSE,17/01/2019,,31770,31993,31604,31604,396210,22639000000
12,NVL,HOSE,18/01/2019,,31604,31993,31604,31715,324670,18531190000
13,NVL,HOSE,21/01/2019,,31715,31937,31659,31770,354580,20257740000
14,NVL,HOSE,22/01/2019,,31826,31882,31270,31659,535670,30398090000
15,NVL,HOSE,23/01/2019,,31659,31826,31437,31826,453150,25818740000
16,NVL,HOSE,24/01/2019,,31770,31882,31548,31770,412780,23542670000
17,NVL,HOSE,25/01/2019,,31770,31937,31158,31715,352410,20050910000
18,NVL,HOSE,28/01/2019,,31715,31826,31604,31770,421070,24008420000
19,NVL,HOSE,29/01/2019,,31770,31937,31548,31937,508370,28985040000
20,NVL,HOSE,30/01/2019,,31715,31882,31659,31770,394750,22545420000
21,NVL,HOSE,31/01/2019,,31715,31826,31325,31492,554770,31455260000
22,NVL,HOSE,01/02/2019,,31492,31659,31047,31548,571270,32188190000
23,NVL,HOSE,11/02/2019,,31604,32216,31548,31993,440830,25352880000
24,NVL,HOSE,12/02/2019,,31993,32160,31882,31993,426710,24541510000
25,NVL,HOSE,13/02/2019,,31993,32160,31770,31993,456420,26240930000
26,NVL,HOSE,14/02/2019,,32049,32939,31993,32216,656330,38281080000
27,NVL,HOSE,15/02/2019,,32216,32438,31993,31993,511960,29641620000
28,NVL,HOSE,18/02/2019,,31993,32382,31993,32216,583930,33795900000
29,NVL,HOSE,19/02/2019,,32216,32382,32160,32271,634820,36827540000
30,NVL,HOSE,20/02/2019,,32160,32382,32160,32327,424150,24616770000
31,NVL,HOSE,21/02/2019,,32327,32438,32160,32438,720560,41889670000
