,Symbol,Market,TradingDate,Time,Open,High,Low,Close,Volume,Value
0,OCB,HOSE,28/01/2021,,9787,11147,9787,9787,7273800,137472980000.0020
1,OCB,HOSE,29/01/2021,,10454,10454,9920,10454,6203000,121087920000.0010
2,OCB,HOSE,01/02/2021,,11094,11094,10454,10507,6397000,130534950000
3,OCB,HOSE,02/02/2021,,10667,10854,10454,10854,4126000,82778679999.9999
4,OCB,HOSE,03/02/2021,,10987,11414,10881,11414,5828400,121983340000
5,OCB,HOSE,04/02/2021,,11467,11467,11121,11201,4028300,85564974999.9999
6,OCB,HOSE,05/02/2021,,11254,11414,11121,11121,3432700,72102099999.9999
7,OCB,HOSE,08/02/2021,,11201,11201,10507,10667,3452100,70886739999.9999
8,OCB,HOSE,09/02/2021,,10694,11147,10614,11147,2879100,59163355000
9,OCB,HOSE,17/02/2021,,11414,11441,11201,11254,2533500,53809095000.0001
10,OCB,HOSE,18/02/2021,,11307,11334,11201,11201,2655700,56053485000.0001
11,OCB,HOSE,19/02/2021,,11201,11334,11121,11227,2430800,51206545000.0001
12,OCB,HOSE,22/02/2021,,11254,11627,11254,11387,5151400,110607100000
13,OCB,HOSE,23/02/2021,,11414,11494,11334,11441,2263100,48494334999.9998
14,OCB,HOSE,24/02/2021,,11441,11467,11041,11147,3060000,64842565000
15,OCB,HOSE,25/02/2021,,11201,11254,11094,11147,2291600,47858915000.0001
16,OCB,HOSE,26/02/2021,,10907,11147,10907,11147,2371800,48884244999.9999
17,OCB,HOSE,01/03/2021,,11227,11467,11147,11361,3508600,74395659999.9999
18,OCB,HOSE,02/03/2021,,11441,11441,11201,11254,3241400,68910335000.0001
19,OCB,HOSE,03/03/2021,,11281,11281,11147,11201,2344300,49238464999.9998
20,OCB,HOSE,04/03/2021,,11201,11227,10987,11014,2509400,52401785000
21,OCB,HOSE,05/03/2021,,10934,11281,10934,11281,3108500,64724579999.9999
22,OCB,HOSE,08/03/2021,,11414,11467,11334,11441,4842400,103609845000
23,OCB,HOSE,09/03/2021,,11441,12241,11307,12241,15494500,341714520000.0020
24,OCB,HOSE,10/03/2021,,12534,12961,12481,12881,8341400,199920820000
25,OCB,HOSE,11/03/2021,,12881,13014,12694,12961,6384900,153727184999.9990
26,OCB,HOSE,12/03/2021,,12854,13174,12747,13174,7448700,180101100000
27,OCB,HOSE,15/03/2021,,13281,13361,13067,13227,6493900,161213325000.0010
28,OCB,HOSE,16/03/2021,,13201,13201,12907,13174,3542700,86859955000
29,OCB,HOSE,17/03/2021,,13147,13174,12934,13174,5211500,127969445000
30,OCB,HOSE,18/03/2021,,13334,13467,13174,13227,4715700,117888370000
31,OCB,HOSE,19/03/2021,,13254,13387,13174,13281,3745800,93179560000.0002
32,OCB,HOSE,22/03/2021,,13334,13547,13281,13441,4116600,103857430000
33,OCB,HOSE,23/03/2021,,13334,13441,12934,13121,4736400,117246250000.0010
34,OCB,HOSE,24/03/2021,,12907,13121,12667,12721,3882000,94101999999.9997
35,OCB,HOSE,25/03/2021,,12907,12907,12561,12561,3602200,85916415000
36,OCB,HOSE,26/03/2021,,12534,12641,12001,12561,6985600,162665315000
37,OCB,HOSE,29/03/2021,,12561,12854,12561,12774,3597100,85820904999.9999
38,OCB,HOSE,30/03/2021,,12827,12881,12721,12854,3200900,76825480000.0002
39,OCB,HOSE,31/03/2021,,12907,12961,12827,12881,2303700,55729114999.9998
40,OCB,HOSE,01/04/2021,,12881,13094,12881,13067,4940400,120366825000
41,OCB,HOSE,02/04/2021,,13121,13307,13121,13174,3447300,85490270000.0006
42,OCB,HOSE,05/04/2021,,13281,13334,13041,13121,3062000,75640840000
43,OCB,HOSE,06/04/2021,,13067,13254,13041,13067,3630600,89184815000.0004
44,OCB,HOSE,07/04/2021,,13067,13147,12961,13094,2848300,69645225000
45,OCB,HOSE,08/04/2021,,13334,13334,13067,13201,3409600,84431000000
