,Symbol,Market,TradingDate,Time,Open,High,Low,Close,Volume,Value
0,ORS,HNX,02/01/2019,,2068,2068,2068,2068,0,0
1,ORS,HNX,03/01/2019,,2068,2068,2068,2068,0,0
2,ORS,HNX,04/01/2019,,2068,2068,2068,2068,0,0
3,ORS,HNX,07/01/2019,,2068,2068,2068,2068,0,0
4,ORS,HNX,08/01/2019,,2068,2068,2068,2068,0,0
5,ORS,HNX,09/01/2019,,2068,2068,2068,2068,0,0
6,ORS,HNX,10/01/2019,,2135,2135,2135,2135,7100,22720000
7,ORS,HNX,11/01/2019,,2135,2135,2135,2135,0,0
8,ORS,HNX,14/01/2019,,1935,2001,1935,2001,3900,11510000
9,ORS,HNX,15/01/2019,,1935,1935,1935,1935,4100,11890000
10,ORS,HNX,16/01/2019,,2068,2068,2068,2068,500,1550000
11,ORS,HNX,17/01/2019,,2068,2068,2068,2068,0,0
12,ORS,HNX,18/01/2019,,2068,2068,2068,2068,0,0
13,ORS,HNX,21/01/2019,,2068,2068,2068,2068,0,0
14,ORS,HNX,22/01/2019,,2068,2068,2068,2068,0,0
15,ORS,HNX,23/01/2019,,2068,2068,2068,2068,0,0
16,ORS,HNX,24/01/2019,,2068,2068,2068,2068,0,0
17,ORS,HNX,25/01/2019,,2068,2068,2001,2001,35000,106730000
18,ORS,HNX,28/01/2019,,2001,2001,1935,1935,32000,93860000
19,ORS,HNX,29/01/2019,,1935,1935,1935,1935,100,290000
20,ORS,HNX,30/01/2019,,1935,1935,1868,1868,25100,72290000
21,ORS,HNX,31/01/2019,,1868,1868,1868,1868,10000,28000000
22,ORS,HNX,01/02/2019,,1868,1868,1868,1868,8300,23240000
23,ORS,HNX,11/02/2019,,1868,1868,1868,1868,0,0
24,ORS,HNX,12/02/2019,,1868,1868,1868,1868,100,280000
25,ORS,HNX,13/02/2019,,1868,1868,1868,1868,0,0
26,ORS,HNX,14/02/2019,,1935,2001,1935,2001,4100,11900000
27,ORS,HNX,15/02/2019,,2001,2001,2001,2001,0,0
28,ORS,HNX,18/02/2019,,2001,2135,1801,2068,111200,333730000
29,ORS,HNX,19/02/2019,,2001,2068,2001,2068,38000,116650000
30,ORS,HNX,20/02/2019,,2068,2068,2068,2068,0,0
31,ORS,HNX,21/02/2019,,2001,2001,2001,2001,10100,30300000
32,ORS,HNX,22/02/2019,,2001,2001,2001,2001,0,0
33,ORS,HNX,25/02/2019,,1868,2001,1801,2001,1600,4380000
34,ORS,HNX,26/02/2019,,2001,2001,1935,2001,45100,135000000
35,ORS,HNX,27/02/2019,,1935,2135,1801,2135,20800,57500000
36,ORS,HNX,28/02/2019,,2001,2068,2001,2068,3800,11650000
37,ORS,HNX,01/03/2019,,2068,2068,2068,2068,0,0
38,ORS,HNX,04/03/2019,,2135,2135,2068,2068,22400,70720000
39,ORS,HNX,05/03/2019,,2068,2068,2068,2068,0,0
40,ORS,HNX,06/03/2019,,2135,2135,2135,2135,2000,6400000
41,ORS,HNX,07/03/2019,,2135,2135,2135,2135,0,0
42,ORS,HNX,08/03/2019,,2135,2135,2135,2135,1000,3200000
43,ORS,HNX,11/03/2019,,2135,2135,2135,2135,11100,35520000
44,ORS,HNX,12/03/2019,,2135,2201,2135,2201,7000,22800000
45,ORS,HNX,13/03/2019,,2201,2201,2135,2135,10000,32900000
46,ORS,HNX,14/03/2019,,2135,2201,1935,2001,138500,425330000
47,ORS,HNX,15/03/2019,,2001,2201,2001,2135,18200,56590000
48,ORS,HNX,18/03/2019,,2001,2268,2001,2268,8510,26050000
49,ORS,HNX,19/03/2019,,2135,2268,2135,2201,22490,75029000
50,ORS,HNX,20/03/2019,,2135,2268,2135,2268,7000,22770000
51,ORS,HNX,21/03/2019,,2201,2268,2068,2201,14200,47160000
52,ORS,HNX,22/03/2019,,2201,2268,2201,2268,9500,32000000
53,ORS,HNX,25/03/2019,,2335,2335,2201,2335,22300,76890000
54,ORS,HNX,26/03/2019,,2335,2468,2335,2468,56800,206730000
