,Symbol,Market,TradingDate,Time,Open,High,Low,Close,Volume,Value
0,PDN,HOSE,02/01/2019,,17896,19243,17731,17896,350,22820000
1,PDN,HOSE,03/01/2019,,17896,17896,17896,17896,0,0
2,PDN,HOSE,04/01/2019,,17896,17896,17896,17896,0,0
3,PDN,HOSE,07/01/2019,,17896,17896,17896,17896,0,0
4,PDN,HOSE,08/01/2019,,18418,18418,18418,18418,20,1340000
5,PDN,HOSE,09/01/2019,,19326,19326,18006,18006,1410,92400000
6,PDN,HOSE,10/01/2019,,18006,18006,18006,18006,0,0
7,PDN,HOSE,11/01/2019,,17869,19106,17071,19106,2010,125280000
8,PDN,HOSE,14/01/2019,,19436,19436,19436,19436,10,1000000
9,PDN,HOSE,15/01/2019,,19216,19243,18721,19216,520,36330000
10,PDN,HOSE,16/01/2019,,18171,18171,17951,17951,720,48000000
11,PDN,HOSE,17/01/2019,,18418,19188,18418,19188,3010,208000000
12,PDN,HOSE,18/01/2019,,19628,19628,19628,19628,10,710000
13,PDN,HOSE,21/01/2019,,19628,19628,19628,19628,0,0
14,PDN,HOSE,22/01/2019,,20178,20178,20178,20178,400,29360000
15,PDN,HOSE,23/01/2019,,18913,18913,18913,18913,10,690000
16,PDN,HOSE,24/01/2019,,18913,18913,18913,18913,0,0
17,PDN,HOSE,25/01/2019,,18913,18913,18913,18913,0,0
18,PDN,HOSE,28/01/2019,,20095,20095,20095,20095,10,730000
19,PDN,HOSE,29/01/2019,,20095,20095,20095,20095,0,0
20,PDN,HOSE,30/01/2019,,20178,20178,20178,20178,5400,396360000
21,PDN,HOSE,31/01/2019,,20178,20178,20178,20178,0,0
22,PDN,HOSE,01/02/2019,,20178,20178,20178,20178,40,2940000
23,PDN,HOSE,11/02/2019,,21167,21167,21167,21167,10,770000
24,PDN,HOSE,12/02/2019,,21167,21992,21167,21992,30,2370000
25,PDN,HOSE,13/02/2019,,20453,21965,20453,21965,150,11220000
26,PDN,HOSE,14/02/2019,,23229,23229,22817,23092,3010,252750000
27,PDN,HOSE,15/02/2019,,23092,23092,23092,23092,0,0
28,PDN,HOSE,18/02/2019,,21497,21497,21497,21497,3760,294030000
29,PDN,HOSE,19/02/2019,,22872,22872,22872,22872,10,830000
30,PDN,HOSE,20/02/2019,,22872,22872,22872,22872,0,0
31,PDN,HOSE,21/02/2019,,22377,22377,22377,22377,10,810000
32,PDN,HOSE,22/02/2019,,22322,22349,22322,22349,400,32510000
33,PDN,HOSE,25/02/2019,,20865,22817,20837,22817,2050,155680000
34,PDN,HOSE,26/02/2019,,22817,22817,22817,22817,0,0
35,PDN,HOSE,27/02/2019,,21222,21222,21222,21222,420,32420000
36,PDN,HOSE,28/02/2019,,19930,19930,19930,19930,10,730000
37,PDN,HOSE,01/03/2019,,21167,21167,21167,21167,10,770000
38,PDN,HOSE,04/03/2019,,22267,22487,20068,20068,580,42510000
39,PDN,HOSE,05/03/2019,,20068,21167,20068,21167,110,8070000
40,PDN,HOSE,06/03/2019,,21167,21937,21167,21937,100,7780000
41,PDN,HOSE,07/03/2019,,20645,20645,20645,20645,10,750000
42,PDN,HOSE,08/03/2019,,21662,21910,21580,21580,60,4730000
43,PDN,HOSE,11/03/2019,,21580,21580,21580,21580,50,3930000
44,PDN,HOSE,12/03/2019,,21195,21717,21195,21717,1020,78680000
45,PDN,HOSE,13/03/2019,,21717,21717,21470,21470,1280,101110000
46,PDN,HOSE,14/03/2019,,21470,21470,21470,21470,30,21090000
47,PDN,HOSE,15/03/2019,,20892,20892,20892,20892,620,47120000
48,PDN,HOSE,18/03/2019,,20892,20892,20892,20892,0,0
49,PDN,HOSE,19/03/2019,,22267,22294,21992,22294,1540,123760000
50,PDN,HOSE,20/03/2019,,21222,22130,21167,22130,4460,343470000
51,PDN,HOSE,21/03/2019,,22130,22130,21992,21992,420,33650000
52,PDN,HOSE,22/03/2019,,22130,22130,21992,21992,1080,86550000
53,PDN,HOSE,25/03/2019,,21167,21992,21167,21855,4230,329090000
54,PDN,HOSE,26/03/2019,,21415,21717,21415,21717,100,8000000
55,PDN,HOSE,27/03/2019,,21305,23147,21305,23147,2110,169000000
56,PDN,HOSE,28/03/2019,,21717,24686,21717,24686,4410,386000000
57,PDN,HOSE,29/03/2019,,24164,25566,24164,25566,1700,156000000
58,PDN,HOSE,01/04/2019,,25428,25428,23916,23916,420,36650000
59,PDN,HOSE,02/04/2019,,23916,23944,22294,22294,1420,121750000
60,PDN,HOSE,03/04/2019,,22294,22294,22294,22294,100,8110000
61,PDN,HOSE,04/04/2019,,22294,23367,21167,23367,4630,371380000
62,PDN,HOSE,05/04/2019,,22542,23916,22542,23367,12420,1033220000
63,PDN,HOSE,08/04/2019,,23367,23367,23367,23367,0,0
64,PDN,HOSE,09/04/2019,,22267,23367,22267,23367,530,43130000
65,PDN,HOSE,10/04/2019,,22542,23367,22542,23367,300,24900000
66,PDN,HOSE,11/04/2019,,24191,24191,22294,23367,1260,102680000
67,PDN,HOSE,12/04/2019,,23367,23367,23367,23367,100,8500000
68,PDN,HOSE,16/04/2019,,22542,23092,22020,23092,2050,165340000
69,PDN,HOSE,17/04/2019,,22817,23339,22817,23339,190,15960000
70,PDN,HOSE,18/04/2019,,23339,23339,23339,23339,0,0
71,PDN,HOSE,19/04/2019,,22817,23339,22267,23229,1560,128120000
72,PDN,HOSE,22/04/2019,,23092,23339,22267,23339,610,49770000
73,PDN,HOSE,23/04/2019,,23367,23367,23367,23367,1510,128350000
74,PDN,HOSE,24/04/2019,,23092,23312,23092,23312,110,9320000
75,PDN,HOSE,25/04/2019,,23312,23312,23312,23312,0,0
76,PDN,HOSE,26/04/2019,,22542,23339,22542,22817,5110,419150000
77,PDN,HOSE,02/05/2019,,22542,22542,22542,22542,2050,168100000
78,PDN,HOSE,03/05/2019,,22432,22432,22432,22432,300,24480000
79,PDN,HOSE,06/05/2019,,22542,22542,22542,22542,2200,180400000
80,PDN,HOSE,07/05/2019,,22294,22542,22294,22542,70,5700000
81,PDN,HOSE,08/05/2019,,22542,22542,22542,22542,0,0
82,PDN,HOSE,09/05/2019,,22542,22542,22542,22542,410,33620000
83,PDN,HOSE,10/05/2019,,22542,22542,22542,22542,0,0
84,PDN,HOSE,13/05/2019,,22542,22542,21992,21992,610,50000000
85,PDN,HOSE,14/05/2019,,22542,22542,22542,22542,10,820000
86,PDN,HOSE,15/05/2019,,22542,22542,22542,22542,200,16400000
87,PDN,HOSE,16/05/2019,,23202,23202,22130,22542,180,14790000
88,PDN,HOSE,17/05/2019,,22542,22542,22542,22542,0,0
89,PDN,HOSE,20/05/2019,,23339,23339,22542,22542,120,9900000
90,PDN,HOSE,21/05/2019,,22020,22020,21992,21992,3900,312050000
91,PDN,HOSE,22/05/2019,,21992,23202,21992,22542,4340,349210000
92,PDN,HOSE,23/05/2019,,23696,23696,22817,23092,1850,156000000
93,PDN,HOSE,24/05/2019,,23092,23092,22542,22542,320,26280000
94,PDN,HOSE,27/05/2019,,22817,22817,22817,22817,10,830000
95,PDN,HOSE,28/05/2019,,23092,23092,22047,22047,470,38020000
96,PDN,HOSE,29/05/2019,,22404,22404,22020,22020,950,76180000
