,Symbol,Market,TradingDate,Time,Open,High,Low,Close,Volume,Value
0,PDR,HOSE,02/01/2019,,9795,9833,9641,9718,635920,16141050000
1,PDR,HOSE,03/01/2019,,9679,9718,9487,9641,555930,13924260000
2,PDR,HOSE,04/01/2019,,9564,9756,9468,9699,511650,12850930000
3,PDR,HOSE,07/01/2019,,9699,9795,9602,9641,661440,16725360000
4,PDR,HOSE,08/01/2019,,9641,9699,9506,9641,291750,7276710000
5,PDR,HOSE,09/01/2019,,9641,9775,9583,9641,492820,12425850000
6,PDR,HOSE,10/01/2019,,9641,9987,9468,9987,587780,14758390000
7,PDR,HOSE,11/01/2019,,9987,9987,9718,9948,632740,16302440000
8,PDR,HOSE,14/01/2019,,9948,9987,9775,9852,421970,10858000000
9,PDR,HOSE,15/01/2019,,9833,9929,9699,9871,459160,11729520000
10,PDR,HOSE,16/01/2019,,9910,9910,9660,9871,448210,11428000000
11,PDR,HOSE,17/01/2019,,9833,9871,9602,9833,394500,10026000000
12,PDR,HOSE,18/01/2019,,9795,9833,9583,9795,649650,16375130000
13,PDR,HOSE,21/01/2019,,9756,9795,9641,9737,442840,11196450000
14,PDR,HOSE,22/01/2019,,9737,9833,9583,9795,578600,14632210000
15,PDR,HOSE,23/01/2019,,9795,9795,9602,9718,476100,12019140000
16,PDR,HOSE,24/01/2019,,9718,9737,9545,9602,692810,17411280000
17,PDR,HOSE,25/01/2019,,9602,9641,9526,9622,319520,7971530000
18,PDR,HOSE,28/01/2019,,9602,9833,9602,9833,634300,16047620000
19,PDR,HOSE,29/01/2019,,9814,10006,9737,9987,803300,20667270000
20,PDR,HOSE,30/01/2019,,9948,10179,9891,10044,794390,20706380000
21,PDR,HOSE,31/01/2019,,10063,10063,9891,9891,608720,15817100000
22,PDR,HOSE,01/02/2019,,9891,10102,9871,10102,552180,14247100000
23,PDR,HOSE,11/02/2019,,10102,10294,10102,10179,1052470,27786250000
24,PDR,HOSE,12/02/2019,,10179,10409,10179,10371,1225630,32707360000
25,PDR,HOSE,13/02/2019,,10371,10428,10236,10332,811840,21820740000
26,PDR,HOSE,14/02/2019,,10332,10371,10217,10294,730000,19520000000
27,PDR,HOSE,15/02/2019,,10294,10294,10198,10294,616710,16427610000
28,PDR,HOSE,18/02/2019,,10294,10371,10179,10294,680910,18191320000
29,PDR,HOSE,19/02/2019,,10294,10332,10179,10217,675680,17992910000
30,PDR,HOSE,20/02/2019,,10217,10236,10140,10198,605000,16018760000
31,PDR,HOSE,21/02/2019,,10198,10294,10159,10198,726710,19310540000
32,PDR,HOSE,22/02/2019,,10198,10275,10179,10217,560690,14930930000
33,PDR,HOSE,25/02/2019,,10217,10294,10159,10294,821140,21876220000
34,PDR,HOSE,26/02/2019,,10294,10313,10140,10255,559640,14933740000
35,PDR,HOSE,27/02/2019,,10255,10275,10083,10179,485610,12864700000
36,PDR,HOSE,28/02/2019,,10179,10179,10025,10025,365250,9594210000
37,PDR,HOSE,01/03/2019,,10025,10140,10006,10063,755970,19822340000
38,PDR,HOSE,04/03/2019,,10102,10294,10063,10255,915870,24182130000
