,Symbol,Market,TradingDate,Time,Open,High,Low,Close,Volume,Value
0,PET,HOSE,02/01/2019,,5199,5455,5199,5218,20000,163880000
1,PET,HOSE,03/01/2019,,5282,5282,5154,5218,96040,775170000
2,PET,HOSE,04/01/2019,,5218,5218,5070,5199,96480,771320000
3,PET,HOSE,07/01/2019,,5199,5231,5166,5199,34970,282650000
4,PET,HOSE,08/01/2019,,5314,5314,5166,5199,5230,42290000
5,PET,HOSE,09/01/2019,,5199,5256,5186,5199,63570,515610000
6,PET,HOSE,10/01/2019,,5199,5263,5134,5147,80620,648820000
7,PET,HOSE,11/01/2019,,5250,5250,5166,5211,24040,193670000
8,PET,HOSE,14/01/2019,,5211,5211,5166,5166,8520,69000000
9,PET,HOSE,15/01/2019,,5166,5205,5160,5166,12170,97990000
10,PET,HOSE,16/01/2019,,5256,5263,5173,5173,5790,47000000
11,PET,HOSE,17/01/2019,,5256,5256,5166,5173,24460,197000000
12,PET,HOSE,18/01/2019,,5218,5218,5134,5186,36000,289600000
13,PET,HOSE,21/01/2019,,5179,5263,5141,5160,75250,606480000
14,PET,HOSE,22/01/2019,,5160,5224,5160,5186,79820,642760000
15,PET,HOSE,23/01/2019,,5141,5211,5141,5211,16880,135910000
16,PET,HOSE,24/01/2019,,5154,5224,5147,5211,37730,303460000
17,PET,HOSE,25/01/2019,,5211,5211,5166,5199,32940,265530000
18,PET,HOSE,28/01/2019,,5199,5199,5134,5192,60460,484720000
19,PET,HOSE,29/01/2019,,5154,5186,5134,5186,81710,655150000
20,PET,HOSE,30/01/2019,,5186,5186,5141,5186,22150,178110000
21,PET,HOSE,31/01/2019,,5211,5327,5192,5308,94620,772540000
22,PET,HOSE,01/02/2019,,5308,5391,5276,5391,21940,183750000
23,PET,HOSE,11/02/2019,,5391,5545,5391,5545,72670,618830000
24,PET,HOSE,12/02/2019,,5519,5584,5455,5584,119300,1029560000
25,PET,HOSE,13/02/2019,,5577,5584,5475,5577,89010,765980000
26,PET,HOSE,14/02/2019,,5577,5577,5475,5519,73940,635840000
27,PET,HOSE,15/02/2019,,5545,5571,5487,5532,104080,895200000
28,PET,HOSE,18/02/2019,,5571,5648,5532,5622,123040,1069860000
29,PET,HOSE,19/02/2019,,5629,5699,5622,5622,189070,1665320000
30,PET,HOSE,20/02/2019,,5648,5706,5622,5648,249570,2199250000
31,PET,HOSE,21/02/2019,,5667,5667,5635,5648,24380,214520000
32,PET,HOSE,22/02/2019,,5648,5699,5648,5654,172000,1516280000
33,PET,HOSE,25/02/2019,,5699,5712,5661,5680,22690,201290000
34,PET,HOSE,26/02/2019,,5648,5699,5487,5680,53490,472810000
35,PET,HOSE,27/02/2019,,5648,5699,5552,5648,282160,2476870000
36,PET,HOSE,28/02/2019,,5680,5680,5616,5616,251720,2209310000
37,PET,HOSE,01/03/2019,,5648,5680,5629,5648,90880,799700000
38,PET,HOSE,04/03/2019,,5654,5802,5654,5776,125690,1126360000
39,PET,HOSE,05/03/2019,,5783,5847,5783,5834,116320,1055800000
40,PET,HOSE,06/03/2019,,5840,5840,5776,5802,20450,184530000
41,PET,HOSE,07/03/2019,,5840,5847,5654,5686,31170,277890000
42,PET,HOSE,08/03/2019,,5770,5770,5648,5654,90150,794240000
43,PET,HOSE,11/03/2019,,5654,5654,5648,5654,20600,181470000
44,PET,HOSE,12/03/2019,,5699,5750,5648,5712,40670,358780000
45,PET,HOSE,13/03/2019,,5718,5821,5712,5808,160940,1448110000
46,PET,HOSE,14/03/2019,,5808,5808,5776,5776,17510,161390000
47,PET,HOSE,15/03/2019,,5840,5969,5834,5937,186480,1716090000
48,PET,HOSE,18/03/2019,,5937,6001,5930,6001,102470,953420000
49,PET,HOSE,19/03/2019,,6033,6046,6001,6033,171860,1611300000
50,PET,HOSE,20/03/2019,,6033,6033,5937,5969,45710,424530000
51,PET,HOSE,21/03/2019,,5969,6033,5872,5930,74060,687610000
52,PET,HOSE,22/03/2019,,5937,5956,5937,5937,64790,599410000
53,PET,HOSE,25/03/2019,,5937,5937,5783,5840,62960,571540000
54,PET,HOSE,26/03/2019,,5840,5840,5789,5840,90250,817000000
