,Symbol,Market,TradingDate,Time,Open,High,Low,Close,Volume,Value
0,PHC,HOSE,02/01/2019,,7364,7364,7189,7218,63850,797870000
1,PHC,HOSE,03/01/2019,,7218,7247,6985,7102,52710,644700000
2,PHC,HOSE,04/01/2019,,6985,7102,6752,7073,53810,644250000
3,PHC,HOSE,07/01/2019,,7276,7334,7131,7160,147650,1827770000
4,PHC,HOSE,08/01/2019,,7160,7189,7073,7131,51750,633660000
5,PHC,HOSE,09/01/2019,,7131,7305,7102,7189,116210,1436720000
6,PHC,HOSE,10/01/2019,,7218,7247,7073,7160,79460,982010000
7,PHC,HOSE,11/01/2019,,7014,7160,7014,7102,106720,1298570000
8,PHC,HOSE,14/01/2019,,7218,7218,6898,7102,66690,810000000
9,PHC,HOSE,15/01/2019,,7102,7131,6956,7102,123950,1507520000
10,PHC,HOSE,16/01/2019,,7073,7073,7014,7043,200590,2428000000
11,PHC,HOSE,17/01/2019,,6811,7073,6811,7073,291920,3482000000
12,PHC,HOSE,18/01/2019,,7131,7131,6927,7102,109600,1320900000
13,PHC,HOSE,21/01/2019,,7189,7247,6985,7189,152120,1869740000
14,PHC,HOSE,22/01/2019,,7043,7218,7014,7160,147640,1812320000
15,PHC,HOSE,23/01/2019,,7189,7218,6985,7218,108730,1326530000
16,PHC,HOSE,24/01/2019,,7189,7218,6927,7218,116700,1429180000
17,PHC,HOSE,25/01/2019,,7218,7364,7160,7334,160860,2003180000
18,PHC,HOSE,28/01/2019,,7334,7334,7247,7276,119490,1497610000
19,PHC,HOSE,29/01/2019,,7276,7276,7043,7276,95260,1175380000
20,PHC,HOSE,30/01/2019,,7247,7276,7073,7131,114180,1412200000
21,PHC,HOSE,31/01/2019,,7131,7218,7073,7131,73400,899480000
22,PHC,HOSE,01/02/2019,,7131,7364,7131,7334,190750,2375220000
23,PHC,HOSE,11/02/2019,,7364,7567,7364,7538,209560,2687880000
24,PHC,HOSE,12/02/2019,,7596,7713,7567,7713,256180,3363210000
25,PHC,HOSE,13/02/2019,,7771,8120,7742,7975,214620,2917170000
26,PHC,HOSE,14/02/2019,,8004,8033,7800,7887,209640,2848530000
27,PHC,HOSE,15/02/2019,,7917,8004,7742,7917,266420,3618430000
28,PHC,HOSE,18/02/2019,,8004,8149,7946,8033,268220,3700460000
29,PHC,HOSE,19/02/2019,,8033,8091,7946,7946,169620,2329450000
30,PHC,HOSE,20/02/2019,,8004,8004,7858,7917,127510,1733940000
31,PHC,HOSE,21/02/2019,,7917,7917,7655,7655,146870,1963480000
32,PHC,HOSE,22/02/2019,,7655,7800,7655,7713,170640,2259960000
33,PHC,HOSE,25/02/2019,,7858,7858,7742,7771,228300,3053270000
34,PHC,HOSE,26/02/2019,,7742,7771,7655,7742,138330,1833010000
35,PHC,HOSE,27/02/2019,,7742,7858,7742,7800,136950,1836840000
36,PHC,HOSE,28/02/2019,,7829,7858,7567,7655,158680,2108640000
37,PHC,HOSE,01/03/2019,,7655,7800,7655,7800,146180,1944310000
38,PHC,HOSE,04/03/2019,,7858,8208,7800,8178,438280,6006750000
39,PHC,HOSE,05/03/2019,,8004,8266,8004,8149,272870,3817760000
40,PHC,HOSE,06/03/2019,,8178,8208,8033,8091,198620,2775240000
41,PHC,HOSE,07/03/2019,,8178,8208,7975,8091,170330,2372140000
42,PHC,HOSE,08/03/2019,,8004,8062,7887,7887,146730,2007020000
