,Symbol,Market,TradingDate,Time,Open,High,Low,Close,Volume,Value
0,PLX,HOSE,02/01/2019,,44638,45878,44638,44969,380020,20823850000
1,PLX,HOSE,03/01/2019,,44969,45465,43398,44307,450490,24196570000
2,PLX,HOSE,04/01/2019,,43811,45630,43811,45382,302070,16348850000
3,PLX,HOSE,07/01/2019,,45878,46043,45547,45630,187920,10408480000
4,PLX,HOSE,08/01/2019,,45878,45878,44059,44721,352050,19011420000
5,PLX,HOSE,09/01/2019,,45382,45630,44638,44803,343920,18740860000
6,PLX,HOSE,10/01/2019,,45299,45713,44969,45547,280830,15430370000
7,PLX,HOSE,11/01/2019,,45795,46291,45465,45713,337760,18747810000
8,PLX,HOSE,14/01/2019,,45713,45878,44721,45382,125040,6854000000
9,PLX,HOSE,15/01/2019,,45382,46126,45134,45713,230330,12731730000
10,PLX,HOSE,16/01/2019,,46291,46539,45795,45878,252480,14097000000
11,PLX,HOSE,17/01/2019,,45878,46043,45217,45217,197100,10873000000
12,PLX,HOSE,18/01/2019,,45217,45630,44969,44969,188280,10289500000
13,PLX,HOSE,21/01/2019,,45465,46209,44886,45713,273200,15071300000
14,PLX,HOSE,22/01/2019,,45465,45465,44142,44225,729490,39402810000
15,PLX,HOSE,23/01/2019,,43811,44555,43811,43977,486420,25891910000
16,PLX,HOSE,24/01/2019,,43977,44473,43894,43977,653530,34812640000
17,PLX,HOSE,25/01/2019,,43977,44555,43977,44473,169160,9082760000
18,PLX,HOSE,28/01/2019,,44638,44803,44142,44225,516670,27759780000
19,PLX,HOSE,29/01/2019,,44142,44307,43894,44225,311730,16630140000
20,PLX,HOSE,30/01/2019,,44225,44390,44059,44059,452470,24186030000
21,PLX,HOSE,31/01/2019,,44638,45134,44059,44555,911200,49136020000
22,PLX,HOSE,01/02/2019,,44307,44803,44225,44225,1199400,64303830000
23,PLX,HOSE,11/02/2019,,45051,45961,44803,45961,746520,41102190000
24,PLX,HOSE,12/02/2019,,46291,46539,45795,46043,957300,53546510000
25,PLX,HOSE,13/02/2019,,46043,47366,46043,47201,1941970,109882920000
26,PLX,HOSE,14/02/2019,,47118,47449,46787,46870,1004440,57180670000
27,PLX,HOSE,15/02/2019,,46870,47614,46705,46870,1351010,77212140000
28,PLX,HOSE,18/02/2019,,47118,48771,47118,48771,2268090,131152010000
29,PLX,HOSE,19/02/2019,,48606,48771,47531,47697,1293550,75613690000
30,PLX,HOSE,20/02/2019,,47697,47697,46787,46953,927820,53043610000
31,PLX,HOSE,21/02/2019,,47035,48275,47035,48193,1723040,99673290000
32,PLX,HOSE,22/02/2019,,47779,48771,47779,48358,1129680,66025010000
33,PLX,HOSE,25/02/2019,,48771,49102,48440,48440,1366700,80596870000
34,PLX,HOSE,26/02/2019,,48275,48358,47118,47118,1456500,83837310000
35,PLX,HOSE,27/02/2019,,47531,47614,46622,46870,1784860,101309420000
36,PLX,HOSE,28/02/2019,,47118,47531,46539,46705,2532900,143917340000
37,PLX,HOSE,01/03/2019,,46705,48523,46705,48440,2076360,118802600000
38,PLX,HOSE,04/03/2019,,48440,50259,48440,49928,3433740,205786380000
39,PLX,HOSE,05/03/2019,,49515,50094,48854,49102,2693520,161351840000
40,PLX,HOSE,06/03/2019,,49184,50838,49102,50838,3156200,189878990000
41,PLX,HOSE,07/03/2019,,50838,51251,50342,50424,1802470,110459640000
42,PLX,HOSE,08/03/2019,,49928,50838,49763,50011,2534770,153931350000
43,PLX,HOSE,11/03/2019,,50011,50176,49432,49928,2131290,128438950000
44,PLX,HOSE,12/03/2019,,50590,51251,50259,51251,2858810,175118400000
45,PLX,HOSE,13/03/2019,,51251,51912,50920,51086,2346380,145597650000
46,PLX,HOSE,14/03/2019,,51664,51664,50424,50755,1416870,94448280000
47,PLX,HOSE,15/03/2019,,50590,51747,50342,51582,2274270,141035650000
48,PLX,HOSE,18/03/2019,,51582,52326,51003,51664,1714570,107044850000
49,PLX,HOSE,19/03/2019,,51664,51912,51086,51334,1816150,113127150000
50,PLX,HOSE,20/03/2019,,51003,51251,50259,51003,1699650,104369320000
51,PLX,HOSE,21/03/2019,,51251,51416,47945,49184,2115260,127996190000
52,PLX,HOSE,22/03/2019,,49515,49515,48688,48771,1606140,95167070000
53,PLX,HOSE,25/03/2019,,47862,48358,47449,47945,1861980,107976810000
54,PLX,HOSE,26/03/2019,,48688,48688,47531,47697,1212450,70110000000
55,PLX,HOSE,27/03/2019,,48688,48771,47945,48606,621860,36477000000
56,PLX,HOSE,28/03/2019,,48275,49350,47945,49184,836530,49471000000
57,PLX,HOSE,29/03/2019,,49184,49598,49019,49102,1256540,75009000000
58,PLX,HOSE,01/04/2019,,49350,50424,49350,50424,1200470,72465690000
59,PLX,HOSE,02/04/2019,,50838,51003,49763,49846,655270,39885450000
60,PLX,HOSE,03/04/2019,,49846,50507,49763,50259,829910,50439770000
61,PLX,HOSE,04/04/2019,,50259,50507,50094,50259,608720,37028040000
62,PLX,HOSE,05/04/2019,,50259,50838,50094,50755,773290,47226580000
63,PLX,HOSE,08/04/2019,,51251,51830,50838,51747,1412570,87803660000
64,PLX,HOSE,09/04/2019,,52078,52078,51086,51086,1635520,101777180000
65,PLX,HOSE,10/04/2019,,50672,51086,50176,50424,830410,50836920000
66,PLX,HOSE,11/04/2019,,50672,50672,50094,50259,607620,37038570000
67,PLX,HOSE,12/04/2019,,50011,50507,49846,50424,424050,25753100000
68,PLX,HOSE,16/04/2019,,49763,50590,49763,50424,775260,47019430000
69,PLX,HOSE,17/04/2019,,50672,51334,50507,50507,1350850,83402110000
70,PLX,HOSE,18/04/2019,,50424,50590,49432,50011,538860,32568500000
71,PLX,HOSE,19/04/2019,,50094,50424,49928,50176,457310,27726060000
72,PLX,HOSE,22/04/2019,,50094,50590,49763,50011,488510,29611380000
73,PLX,HOSE,23/04/2019,,50011,50920,50011,50672,757150,46306080000
74,PLX,HOSE,24/04/2019,,50755,51168,50755,51086,790290,48725810000
75,PLX,HOSE,25/04/2019,,50590,51003,50590,50838,354690,21800.74
76,PLX,HOSE,26/04/2019,,50672,51582,50672,51499,1410390,87570060000
77,PLX,HOSE,02/05/2019,,51912,51912,51251,51664,443010,27662030000
78,PLX,HOSE,03/05/2019,,51664,51664,50920,50920,332640,20564910000
79,PLX,HOSE,06/05/2019,,50259,50672,50011,50424,1048040,63907880000
80,PLX,HOSE,07/05/2019,,50672,51003,50424,50590,417000,25545970000
81,PLX,HOSE,08/05/2019,,50424,50672,50011,50342,415580,25339110000
82,PLX,HOSE,09/05/2019,,50342,50590,50011,50094,536070,32593770000
83,PLX,HOSE,10/05/2019,,50507,51003,50176,50672,327390,19998460000
84,PLX,HOSE,13/05/2019,,50838,50838,50259,50259,257440,15732620000
85,PLX,HOSE,14/05/2019,,50259,51582,50259,51582,1070900,66375180000
86,PLX,HOSE,15/05/2019,,51830,53731,51830,53235,1828520,116986780000
87,PLX,HOSE,16/05/2019,,53235,53731,52904,53235,837330,54005330000
88,PLX,HOSE,17/05/2019,,53566,54144,53235,53566,768370,49923000000
89,PLX,HOSE,20/05/2019,,53566,54971,53318,54723,1066800,69873500000
90,PLX,HOSE,21/05/2019,,54723,54806,53896,54227,736610,48420490000
91,PLX,HOSE,22/05/2019,,54475,54971,54227,54806,988930,65260530000
92,PLX,HOSE,23/05/2019,,54558,55797,53896,55797,1139760,75064000000
93,PLX,HOSE,24/05/2019,,54971,55384,54144,54558,1466210,97284620000
94,PLX,HOSE,27/05/2019,,54558,54888,54310,54558,653220,43140000000
95,PLX,HOSE,28/05/2019,,54888,55715,54475,55715,760700,50600560000
96,PLX,HOSE,29/05/2019,,55467,55467,54971,55219,534840,35718840000
97,PLX,HOSE,30/05/2019,,55906,56078,55562,55734,701090,45485410000
98,PLX,HOSE,31/05/2019,,55476,55562,54099,54271,1037660,66016580000
99,PLX,HOSE,03/06/2019,,51605,53755,51605,52723,1010070,62039330000
100,PLX,HOSE,04/06/2019,,53325,53497,52723,53497,385590,23816320000
101,PLX,HOSE,05/06/2019,,54185,54185,53239,53325,289450,18030110000
102,PLX,HOSE,06/06/2019,,52035,53583,52035,53067,347040,21292520000
103,PLX,HOSE,07/06/2019,,53755,53755,52551,53669,329820,20456340000
104,PLX,HOSE,10/06/2019,,53669,54271,53497,53669,277790,17377520000
105,PLX,HOSE,11/06/2019,,53411,54099,53411,53669,371780,23231320000
106,PLX,HOSE,12/06/2019,,53669,53669,53153,53153,276490,17150380000
107,PLX,HOSE,13/06/2019,,52723,53325,52637,52895,188640,11600400000
108,PLX,HOSE,14/06/2019,,53239,53411,52809,52809,138480,8564970000
109,PLX,HOSE,17/06/2019,,53325,53325,52551,52723,204660,12566200000
110,PLX,HOSE,18/06/2019,,52551,52895,52207,52465,210760,12862450000
111,PLX,HOSE,19/06/2019,,53325,53325,52637,52895,207820,12794460000
112,PLX,HOSE,20/06/2019,,53325,53325,52637,52895,207820,12794460000
113,PLX,HOSE,21/06/2019,,54185,55046,53927,54185,501900,31683100000
114,PLX,HOSE,24/06/2019,,54185,54185,53497,53755,489060,30568720000
115,PLX,HOSE,25/06/2019,,53669,53669,53067,53239,589610,36537820000
116,PLX,HOSE,26/06/2019,,53239,54099,53239,54013,296970,18579800000
117,PLX,HOSE,27/06/2019,,53841,54099,53239,53239,217100,13499570000
118,PLX,HOSE,28/06/2019,,53583,53755,51175,51175,597200,36517560000
119,PLX,HOSE,01/07/2019,,53325,54444,52981,54444,784510,49094220000
120,PLX,HOSE,02/07/2019,,54530,55304,54444,55218,2425770,155222090000
121,PLX,HOSE,03/07/2019,,55132,55390,54874,55046,1463210,93809280000
122,PLX,HOSE,04/07/2019,,55046,55390,54960,55304,1755450,112842750000
123,PLX,HOSE,05/07/2019,,55562,55648,55304,55476,2258300,145640180000
124,PLX,HOSE,08/07/2019,,55734,55734,54874,54960,1660650,106309040000
125,PLX,HOSE,09/07/2019,,54960,55132,54616,55046,1514430,96864280000
126,PLX,HOSE,10/07/2019,,54960,55218,54874,55046,1606680,102861700000
127,PLX,HOSE,11/07/2019,,55132,55648,55132,55562,920080,59283000000
128,PLX,HOSE,12/07/2019,,55734,55734,55390,55476,3474210,224096000000
129,PLX,HOSE,15/07/2019,,55734,55820,55476,55562,446330,28844000000
130,PLX,HOSE,16/07/2019,,55476,55562,55132,55304,2151300,138325000000
131,PLX,HOSE,17/07/2019,,55390,55562,55132,55304,2686790,172768000000
132,PLX,HOSE,18/07/2019,,55304,55390,55132,55218,2228450,143178000000
133,PLX,HOSE,19/07/2019,,55218,55390,55132,55132,1465170,93993000000
