,Symbol,Market,TradingDate,Time,Open,High,Low,Close,Volume,Value
0,PMG,HOSE,02/01/2019,,15766,16094,15766,16094,38190,746170000
1,PMG,HOSE,03/01/2019,,16053,16094,15930,15930,19310,377680000
2,PMG,HOSE,04/01/2019,,15848,15930,15725,15766,35350,681890000
3,PMG,HOSE,07/01/2019,,15766,15807,15520,15561,103370,1976300000
4,PMG,HOSE,08/01/2019,,15520,15520,14824,14824,61890,1147740000
5,PMG,HOSE,09/01/2019,,14783,14865,14783,14824,14520,262860000
6,PMG,HOSE,10/01/2019,,14783,15356,14783,15356,48300,892570000
7,PMG,HOSE,11/01/2019,,15315,15438,15315,15438,40420,758820000
8,PMG,HOSE,14/01/2019,,15397,15848,15397,15807,52850,1010000000
9,PMG,HOSE,15/01/2019,,15807,16053,15807,16053,60580,1177360000
10,PMG,HOSE,16/01/2019,,16053,16298,15971,16257,128190,2524000000
11,PMG,HOSE,17/01/2019,,16257,16421,16216,16421,50910,1018000000
12,PMG,HOSE,18/01/2019,,16421,16421,16175,16339,120190,2393600000
13,PMG,HOSE,21/01/2019,,16339,16421,16134,16380,90360,1800510000
14,PMG,HOSE,22/01/2019,,16380,16421,16094,16094,49500,983490000
15,PMG,HOSE,23/01/2019,,16094,16094,15725,15889,97870,1897580000
16,PMG,HOSE,24/01/2019,,15889,15930,15848,15930,20440,397130000
17,PMG,HOSE,25/01/2019,,15930,15971,15889,15930,15560,302520000
18,PMG,HOSE,28/01/2019,,15930,16380,15848,16380,100120,1964260000
19,PMG,HOSE,29/01/2019,,16339,16667,16257,16667,64220,1290240000
20,PMG,HOSE,30/01/2019,,16462,16462,16380,16380,60640,1216740000
21,PMG,HOSE,31/01/2019,,16380,16380,16094,16094,97200,1921240000
22,PMG,HOSE,01/02/2019,,16094,16134,15889,16134,128360,2507060000
23,PMG,HOSE,11/02/2019,,16134,16421,16134,16339,42350,841390000
24,PMG,HOSE,12/02/2019,,16339,16462,16339,16421,53410,1070820000
25,PMG,HOSE,13/02/2019,,16421,16585,16421,16544,55560,1118840000
26,PMG,HOSE,14/02/2019,,16544,16626,16544,16585,54620,1105460000
27,PMG,HOSE,15/02/2019,,16585,16667,16585,16585,55650,1130060000
28,PMG,HOSE,18/02/2019,,16585,16708,16544,16708,96050,1951570000
29,PMG,HOSE,19/02/2019,,16708,16831,16708,16790,98530,2016130000
30,PMG,HOSE,20/02/2019,,16790,16790,16626,16626,86570,1765590000
31,PMG,HOSE,21/02/2019,,16626,16749,16626,16667,83580,1704990000
32,PMG,HOSE,22/02/2019,,16667,16708,16585,16667,96330,1957740000
33,PMG,HOSE,25/02/2019,,16667,16708,16626,16626,62970,1281010000
34,PMG,HOSE,26/02/2019,,16626,16626,16339,16339,55520,1114860000
35,PMG,HOSE,27/02/2019,,16298,16421,16216,16298,80140,1596760000
36,PMG,HOSE,28/02/2019,,16298,16380,16298,16339,83470,1665040000
37,PMG,HOSE,01/03/2019,,16339,16421,16339,16380,79310,1586250000
38,PMG,HOSE,04/03/2019,,16380,16544,16380,16544,76580,1539690000
39,PMG,HOSE,05/03/2019,,16544,16667,16544,16626,94540,1916150000
40,PMG,HOSE,06/03/2019,,16626,16667,16298,16626,92050,1860270000
41,PMG,HOSE,07/03/2019,,16626,16667,16503,16503,49230,997770000
42,PMG,HOSE,08/03/2019,,16462,16462,16380,16380,37470,751730000
43,PMG,HOSE,11/03/2019,,16380,16503,16380,16462,30810,618230000
44,PMG,HOSE,12/03/2019,,16462,16503,16421,16462,64260,1291320000
45,PMG,HOSE,13/03/2019,,16462,16503,16462,16462,56920,1144190000
46,PMG,HOSE,14/03/2019,,16462,16503,16380,16462,38950,836460000
47,PMG,HOSE,15/03/2019,,16462,16462,16462,16462,40810,820280000
48,PMG,HOSE,18/03/2019,,16462,16626,16462,16585,37900,765670000
49,PMG,HOSE,19/03/2019,,16585,17035,16585,17035,98400,2017390000
50,PMG,HOSE,20/03/2019,,17035,17486,17035,17281,89740,1891580000
51,PMG,HOSE,21/03/2019,,17281,17445,17158,17158,95960,2033220000
52,PMG,HOSE,22/03/2019,,17158,17158,16872,17076,113950,2367940000
53,PMG,HOSE,25/03/2019,,16913,16913,16667,16667,55590,1141350000
54,PMG,HOSE,26/03/2019,,16667,16708,16585,16667,40270,819000000
55,PMG,HOSE,27/03/2019,,16708,16790,16667,16790,42090,860000000
56,PMG,HOSE,28/03/2019,,16790,16790,16708,16708,25390,519000000
57,PMG,HOSE,29/03/2019,,16708,16749,16708,16708,19050,389000000
58,PMG,HOSE,01/04/2019,,16749,16749,16749,16749,40060,819230000
59,PMG,HOSE,02/04/2019,,16749,16831,16749,16790,24010,492090000
60,PMG,HOSE,03/04/2019,,16790,16831,16749,16790,27180,556990000
61,PMG,HOSE,04/04/2019,,16790,16831,16749,16790,24000,491740000
62,PMG,HOSE,05/04/2019,,16749,16953,16749,16913,66390,1363160000
63,PMG,HOSE,08/04/2019,,16953,16994,16953,16953,26520,548980000
64,PMG,HOSE,09/04/2019,,16953,16994,16831,16913,29750,614840000
65,PMG,HOSE,10/04/2019,,16872,16872,16790,16790,24370,500560000
66,PMG,HOSE,11/04/2019,,16749,16872,16749,16831,26680,547910000
67,PMG,HOSE,12/04/2019,,16831,16872,16708,16749,97770,1999650000
68,PMG,HOSE,16/04/2019,,16749,16749,16175,16175,114980,2305490000
69,PMG,HOSE,17/04/2019,,16298,16667,16298,16626,58320,1171470000
70,PMG,HOSE,18/04/2019,,16626,16667,16585,16626,18320,372050000
71,PMG,HOSE,19/04/2019,,16626,16708,16585,16585,29340,596150000
72,PMG,HOSE,22/04/2019,,16585,16626,16585,16585,53900,1092050000
73,PMG,HOSE,23/04/2019,,16585,16872,16585,16872,46520,953770000
74,PMG,HOSE,24/04/2019,,16790,16831,16749,16749,62890,1288810000
75,PMG,HOSE,25/04/2019,,16749,16749,16667,16749,18160,370.98
76,PMG,HOSE,26/04/2019,,16749,17281,16749,16872,286940,5993650000
77,PMG,HOSE,02/05/2019,,16872,16953,16872,16872,38280,789380000
78,PMG,HOSE,03/05/2019,,16872,16872,16790,16831,27020,554600000
79,PMG,HOSE,06/05/2019,,16831,16872,16708,16708,44800,918740000
80,PMG,HOSE,07/05/2019,,16708,16790,16708,16749,34020,695540000
81,PMG,HOSE,08/05/2019,,16749,16749,16708,16708,28850,589520000
