,Symbol,Market,TradingDate,Time,Open,High,Low,Close,Volume,Value
0,PNJ,HOSE,02/01/2019,,47362,47667,46753,46753,142060,13209800000
1,PNJ,HOSE,03/01/2019,,46753,47108,45126,45228,398110,35869130000
2,PNJ,HOSE,04/01/2019,,44466,45736,43907,45736,242880,21243070000
3,PNJ,HOSE,07/01/2019,,46499,46753,46041,46448,214970,19691280000
4,PNJ,HOSE,08/01/2019,,46244,46448,45736,46244,132390,11957690000
5,PNJ,HOSE,09/01/2019,,46600,46600,45990,46499,166090,15162570000
6,PNJ,HOSE,10/01/2019,,46600,47108,46295,46905,153450,14132970000
7,PNJ,HOSE,11/01/2019,,47007,47058,46702,47007,237830,21972810000
8,PNJ,HOSE,14/01/2019,,46956,47007,46499,46702,151770,13928000000
9,PNJ,HOSE,15/01/2019,,46295,46753,46295,46702,94060,8622100000
10,PNJ,HOSE,16/01/2019,,46956,46956,46448,46600,92390,8471000000
11,PNJ,HOSE,17/01/2019,,46346,46549,45736,45736,278850,25303000000
12,PNJ,HOSE,18/01/2019,,45990,45990,45330,45330,126480,11333280000
13,PNJ,HOSE,21/01/2019,,45431,46702,45431,46600,162760,14866330000
14,PNJ,HOSE,22/01/2019,,46600,46651,46041,46041,160140,14609240000
15,PNJ,HOSE,23/01/2019,,45889,46244,45889,45990,76830,6964890000
16,PNJ,HOSE,24/01/2019,,45990,46346,45990,46092,70270,6371860000
17,PNJ,HOSE,25/01/2019,,46092,46956,46092,46753,205020,18805120000
18,PNJ,HOSE,28/01/2019,,47261,47972,47007,47871,337020,31606840000
19,PNJ,HOSE,29/01/2019,,48074,48074,47515,47769,92370,8670760000
20,PNJ,HOSE,30/01/2019,,47769,47871,47566,47667,133150,12513320000
21,PNJ,HOSE,31/01/2019,,47769,48531,47769,48277,326950,31037700000
22,PNJ,HOSE,01/02/2019,,48531,48531,47769,48074,223210,21110660000
23,PNJ,HOSE,11/02/2019,,48735,49548,48582,49548,344550,33374350000
24,PNJ,HOSE,12/02/2019,,49548,49548,48785,49192,306350,29655320000
25,PNJ,HOSE,13/02/2019,,49192,50056,48836,49598,379710,36900020000
26,PNJ,HOSE,14/02/2019,,49649,50005,49344,49395,398610,38933010000
27,PNJ,HOSE,15/02/2019,,49446,49446,49141,49141,280730,27226550000
28,PNJ,HOSE,18/02/2019,,49446,49446,48785,49446,268310,25950010000
29,PNJ,HOSE,19/02/2019,,49446,50767,49446,49751,698600,69005830000
30,PNJ,HOSE,20/02/2019,,49903,50361,49751,50259,338710,33455640000
31,PNJ,HOSE,21/02/2019,,50462,50564,49903,50310,290870,28763470000
32,PNJ,HOSE,22/02/2019,,49853,50666,49853,50361,333910,32996570000
33,PNJ,HOSE,25/02/2019,,50564,51580,50564,50818,397930,39861550000
34,PNJ,HOSE,26/02/2019,,51072,51072,49649,49903,339880,33508310000
35,PNJ,HOSE,27/02/2019,,49954,50513,49700,50107,260850,25640260000
36,PNJ,HOSE,28/02/2019,,50056,50056,48989,48989,474790,46164240000
37,PNJ,HOSE,01/03/2019,,48989,50056,48989,50056,235110,23012830000
38,PNJ,HOSE,04/03/2019,,50208,51428,50208,51275,629820,63393990000
39,PNJ,HOSE,05/03/2019,,51225,51428,50564,50869,322490,32413900000
40,PNJ,HOSE,06/03/2019,,50513,51275,50513,50767,198530,19783680000
41,PNJ,HOSE,07/03/2019,,50767,51072,50564,50716,224060,22368840000
42,PNJ,HOSE,08/03/2019,,50310,50564,50107,50208,293560,29059050000
43,PNJ,HOSE,11/03/2019,,50310,50564,50107,50564,177090,17564190000
44,PNJ,HOSE,12/03/2019,,51072,51428,50615,50767,314170,31509380000
45,PNJ,HOSE,13/03/2019,,50767,51834,50767,51834,576240,58366270000
46,PNJ,HOSE,14/03/2019,,52089,52851,51936,52851,380630,42990690000
47,PNJ,HOSE,15/03/2019,,52952,53308,52393,52851,318000,33142650000
48,PNJ,HOSE,18/03/2019,,52851,52952,52393,52851,206710,21440700000
49,PNJ,HOSE,19/03/2019,,53359,53359,51834,51987,274850,28524600000
50,PNJ,HOSE,20/03/2019,,51987,52343,51326,51580,250190,25479590000
51,PNJ,HOSE,21/03/2019,,51580,52139,51072,51072,281010,28473190000
52,PNJ,HOSE,22/03/2019,,51072,52089,50412,51936,470560,47456490000
53,PNJ,HOSE,25/03/2019,,50818,51326,50310,50666,263520,26311510000
54,PNJ,HOSE,26/03/2019,,50666,51275,50361,50666,152410,15225000000
55,PNJ,HOSE,27/03/2019,,50716,51072,50564,50767,128380,12827000000
56,PNJ,HOSE,28/03/2019,,50361,50767,50361,50615,94860,9428000000
57,PNJ,HOSE,29/03/2019,,50615,50920,50259,50564,172610,17147000000
58,PNJ,HOSE,01/04/2019,,50564,51072,50412,50971,198660,19862180000
59,PNJ,HOSE,02/04/2019,,51275,51275,50412,50666,114830,11467590000
60,PNJ,HOSE,03/04/2019,,50818,50818,50259,50310,161530,16010110000
61,PNJ,HOSE,04/04/2019,,50462,51326,50056,51326,508480,51075790000
62,PNJ,HOSE,05/04/2019,,51784,51784,51072,51072,253480,25664380000
63,PNJ,HOSE,08/04/2019,,51326,51530,50920,51479,228910,23106110000
64,PNJ,HOSE,09/04/2019,,51784,52698,51631,51631,630570,64648610000
65,PNJ,HOSE,10/04/2019,,51326,51530,50716,50767,255050,25568560000
66,PNJ,HOSE,11/04/2019,,51275,51275,50767,50920,51790,5182120000
67,PNJ,HOSE,12/04/2019,,50513,50818,50513,50615,110800,11051080000
68,PNJ,HOSE,16/04/2019,,50412,50513,50056,50157,261580,25846350000
69,PNJ,HOSE,17/04/2019,,50208,50920,50157,50412,244000,24258910000
70,PNJ,HOSE,18/04/2019,,50412,50412,49446,49446,195450,19168640000
71,PNJ,HOSE,19/04/2019,,49446,50056,49446,49649,142320,13898150000
72,PNJ,HOSE,22/04/2019,,49802,50056,49344,50056,380410,37216670000
73,PNJ,HOSE,23/04/2019,,50056,50818,50056,50716,317750,31645530000
74,PNJ,HOSE,24/04/2019,,50920,50920,50615,50818,124360,12420820000
75,PNJ,HOSE,25/04/2019,,50716,50818,50361,50462,70420,7001
76,PNJ,HOSE,26/04/2019,,50462,50920,50310,50869,194500,19414090000
77,PNJ,HOSE,02/05/2019,,50971,52343,50920,52343,610080,62255580000
78,PNJ,HOSE,03/05/2019,,52343,52952,52139,52190,369240,38104350000
79,PNJ,HOSE,06/05/2019,,51479,51834,50818,51784,432670,43688940000
80,PNJ,HOSE,07/05/2019,,51834,51885,51275,51631,169030,17192390000
81,PNJ,HOSE,08/05/2019,,50920,51631,50920,51326,200610,20287290000
82,PNJ,HOSE,09/05/2019,,51123,51479,50564,50716,355930,35759280000
83,PNJ,HOSE,10/05/2019,,51072,51326,50615,51072,183020,18339950000
84,PNJ,HOSE,13/05/2019,,51072,51225,50971,51225,159350,16029160000
85,PNJ,HOSE,14/05/2019,,51275,51580,51072,51275,249390,25148790000
86,PNJ,HOSE,15/05/2019,,51326,52241,51275,52089,1053400,107584230000
87,PNJ,HOSE,16/05/2019,,52393,52648,52292,52292,361760,37315580000
88,PNJ,HOSE,17/05/2019,,52343,52343,51987,52089,245590,25179000000
