,Symbol,Market,TradingDate,Time,Open,High,Low,Close,Volume,Value
0,POM,HOSE,02/01/2019,,7208,7565,7043,7565,2930,24050000
1,POM,HOSE,03/01/2019,,7217,7304,7043,7217,10010,83110000
2,POM,HOSE,04/01/2019,,7130,7130,7043,7130,700,5670000
3,POM,HOSE,07/01/2019,,7130,7130,7130,7130,4200,34440000
4,POM,HOSE,08/01/2019,,7043,7130,6869,7043,2850,22910000
5,POM,HOSE,09/01/2019,,7043,7043,6956,7043,10550,84570000
6,POM,HOSE,10/01/2019,,6869,7043,6869,7043,360,2880000
7,POM,HOSE,11/01/2019,,6869,7530,6869,7478,500,4100000
8,POM,HOSE,14/01/2019,,7652,7652,7391,7478,4410,38000000
9,POM,HOSE,15/01/2019,,7391,7478,7043,7478,6850,56090000
10,POM,HOSE,16/01/2019,,7391,7565,7391,7478,3180,27000000
11,POM,HOSE,17/01/2019,,7478,7478,7478,7478,370,3000000
12,POM,HOSE,18/01/2019,,7478,7478,7130,7426,1420,11770000
13,POM,HOSE,21/01/2019,,7130,7130,6956,6999,13980,111890000
14,POM,HOSE,22/01/2019,,6999,7043,6956,6956,2100,16910000
15,POM,HOSE,23/01/2019,,6956,6956,6956,6956,7100,56800000
16,POM,HOSE,24/01/2019,,6956,6956,6956,6956,6740,53920000
17,POM,HOSE,25/01/2019,,6913,6913,6521,6913,13490,104390000
18,POM,HOSE,28/01/2019,,6608,6947,6608,6947,3070,23360000
19,POM,HOSE,29/01/2019,,6869,6869,6869,6869,760,6000000
20,POM,HOSE,30/01/2019,,6869,6869,6869,6869,1500,11850000
21,POM,HOSE,31/01/2019,,6869,6965,6869,6956,2400,19200000
22,POM,HOSE,01/02/2019,,7260,7260,6965,7043,3500,28470000
23,POM,HOSE,11/02/2019,,7391,7478,6556,7391,330,2700000
24,POM,HOSE,12/02/2019,,7130,7130,7069,7069,17370,141760000
25,POM,HOSE,13/02/2019,,7130,7382,7060,7382,17470,142540000
26,POM,HOSE,14/02/2019,,7217,7382,7130,7382,8970,73820000
27,POM,HOSE,15/02/2019,,7130,7347,7086,7130,12160,99640000
28,POM,HOSE,18/02/2019,,7208,7217,7130,7199,5060,41600000
29,POM,HOSE,19/02/2019,,7199,7217,7086,7086,14640,120430000
30,POM,HOSE,20/02/2019,,7086,7086,7086,7086,1370,11170000
31,POM,HOSE,21/02/2019,,7086,7165,7086,7121,4970,40670000
32,POM,HOSE,22/02/2019,,7130,7226,7130,7217,30270,249700000
33,POM,HOSE,25/02/2019,,7721,7721,7478,7721,20720,183620000
34,POM,HOSE,26/02/2019,,8173,8260,7826,8173,22870,208080000
35,POM,HOSE,27/02/2019,,8599,8608,7912,7912,8050,75890000
36,POM,HOSE,28/02/2019,,7912,8260,7912,7912,13850,127070000
37,POM,HOSE,01/03/2019,,7912,8434,7912,8260,9640,91460000
38,POM,HOSE,04/03/2019,,8695,8695,8086,8086,25010,244410000
39,POM,HOSE,05/03/2019,,8086,8260,7999,8173,12740,118310000
40,POM,HOSE,06/03/2019,,8173,8347,8008,8260,4770,44520000
41,POM,HOSE,07/03/2019,,7912,8086,7912,8086,680,6310000
42,POM,HOSE,08/03/2019,,7912,7912,7739,7826,5690,51010000
