,Symbol,Market,TradingDate,Time,Open,High,Low,Close,Volume,Value
0,PPC,HOSE,02/01/2019,,12304,12611,12304,12372,186790,3383360000
1,PPC,HOSE,03/01/2019,,12372,12441,12304,12304,180760,3268150000
2,PPC,HOSE,04/01/2019,,12304,12372,12099,12372,33520,605480000
3,PPC,HOSE,07/01/2019,,12441,12680,12441,12680,290930,5364970000
4,PPC,HOSE,08/01/2019,,12748,13329,12714,12851,390980,7389880000
5,PPC,HOSE,09/01/2019,,12987,13261,12953,12953,211710,4057880000
6,PPC,HOSE,10/01/2019,,13124,13124,12987,13022,352980,6730060000
7,PPC,HOSE,11/01/2019,,13022,13295,13022,13227,357260,6881480000
8,PPC,HOSE,14/01/2019,,13227,13534,13090,13363,357600,6967000000
9,PPC,HOSE,15/01/2019,,13363,13466,13192,13227,225550,4405090000
10,PPC,HOSE,16/01/2019,,13363,13466,13124,13363,442070,8602000000
11,PPC,HOSE,17/01/2019,,13398,13432,13227,13227,247630,4845000000
12,PPC,HOSE,18/01/2019,,13261,14149,13227,13876,787040,15867950000
13,PPC,HOSE,21/01/2019,,13876,14355,13876,14047,396670,8167850000
14,PPC,HOSE,22/01/2019,,14286,14286,13876,13944,267710,5497260000
15,PPC,HOSE,23/01/2019,,13739,14730,13739,14628,554160,11640020000
16,PPC,HOSE,24/01/2019,,14765,15004,14628,14696,337120,7294420000
17,PPC,HOSE,25/01/2019,,14696,14901,14560,14867,510510,11006150000
18,PPC,HOSE,28/01/2019,,14696,15038,14696,14901,407390,8886670000
19,PPC,HOSE,29/01/2019,,14765,15380,14628,15311,473510,10405070000
20,PPC,HOSE,30/01/2019,,15517,15653,15311,15380,317110,7176360000
21,PPC,HOSE,31/01/2019,,15619,15619,15209,15448,400380,9035560000
22,PPC,HOSE,01/02/2019,,15346,15517,15106,15517,378040,8490880000
23,PPC,HOSE,11/02/2019,,15722,16268,15585,16200,593510,13853210000
24,PPC,HOSE,12/02/2019,,16200,16303,15927,15927,588840,13942460000
25,PPC,HOSE,13/02/2019,,16063,16063,15448,15824,610680,14121800000
26,PPC,HOSE,14/02/2019,,16029,16747,15824,16405,521890,12458730000
27,PPC,HOSE,15/02/2019,,16337,16371,16132,16371,258070,6156910000
28,PPC,HOSE,18/02/2019,,16268,16371,16063,16166,336490,7986880000
29,PPC,HOSE,19/02/2019,,16405,16405,15551,15653,498250,11732460000
30,PPC,HOSE,20/02/2019,,15585,15961,15106,15448,621440,14133430000
31,PPC,HOSE,21/02/2019,,15927,16405,15619,15858,533570,12391310000
32,PPC,HOSE,22/02/2019,,15722,15893,15517,15858,276450,6355300000
33,PPC,HOSE,25/02/2019,,15893,15995,15653,15790,339730,7824860000
34,PPC,HOSE,26/02/2019,,15722,16679,15722,16610,1134690,27205920000
35,PPC,HOSE,27/02/2019,,16610,17020,16542,16952,739490,18233010000
36,PPC,HOSE,28/02/2019,,16679,16849,16200,16200,615280,14922630000
37,PPC,HOSE,01/03/2019,,16200,16610,16063,16405,302140,7193030000
38,PPC,HOSE,04/03/2019,,16405,16713,15585,15653,1231850,28813240000
39,PPC,HOSE,05/03/2019,,15653,16405,15585,16405,837690,19482100000
40,PPC,HOSE,06/03/2019,,16405,16644,16132,16371,339590,8143650000
41,PPC,HOSE,07/03/2019,,16268,16747,16268,16371,974140,23622760000
42,PPC,HOSE,08/03/2019,,16371,16371,15995,16200,388780,9219330000
43,PPC,HOSE,11/03/2019,,16337,16644,16234,16371,527580,12686180000
44,PPC,HOSE,12/03/2019,,16610,17499,16405,17499,1907020,47515360000
45,PPC,HOSE,13/03/2019,,17943,18558,17499,17499,1646540,43252970000
46,PPC,HOSE,14/03/2019,,17499,18046,17362,17533,696880,19202540000
47,PPC,HOSE,15/03/2019,,17362,17841,17225,17841,1136030,29169250000
48,PPC,HOSE,18/03/2019,,17841,17909,17294,17294,1296020,33300140000
49,PPC,HOSE,19/03/2019,,17294,17567,16542,16542,1104560,27555030000
50,PPC,HOSE,20/03/2019,,16542,17670,16337,17670,1579920,39469240000
51,PPC,HOSE,21/03/2019,,18012,18012,16439,16439,1081670,27421010000
52,PPC,HOSE,22/03/2019,,16747,17157,16474,16849,1069090,26212670000
53,PPC,HOSE,25/03/2019,,15927,16542,15927,16098,953740,22528490000
54,PPC,HOSE,26/03/2019,,16200,16542,16098,16200,448490,10656000000
