,Symbol,Market,TradingDate,Time,Open,High,Low,Close,Volume,Value
0,PTB,HOSE,02/01/2019,,33544,33819,32774,32774,33350,2011240000
1,PTB,HOSE,03/01/2019,,32774,32994,31344,32444,145120,8419170000
2,PTB,HOSE,04/01/2019,,32169,32884,31344,32444,66370,3904720000
3,PTB,HOSE,07/01/2019,,32719,32939,32664,32774,35730,2128500000
4,PTB,HOSE,08/01/2019,,32774,32774,32719,32774,30340,1808050000
5,PTB,HOSE,09/01/2019,,33654,33654,32774,32994,26850,1611180000
6,PTB,HOSE,10/01/2019,,32994,32994,32719,32774,22910,1371200000
7,PTB,HOSE,11/01/2019,,32774,32884,32444,32499,50980,3020080000
8,PTB,HOSE,14/01/2019,,32499,32499,32169,32389,41250,2429000000
9,PTB,HOSE,15/01/2019,,32334,32389,32169,32224,47300,2779850000
10,PTB,HOSE,16/01/2019,,32224,32884,32114,32279,48020,2816000000
11,PTB,HOSE,17/01/2019,,32279,32444,32114,32114,38260,2240000000
12,PTB,HOSE,18/01/2019,,31949,32169,31784,31839,96870,5629620000
13,PTB,HOSE,21/01/2019,,31509,32389,31509,32114,66130,3866420000
14,PTB,HOSE,22/01/2019,,31894,32169,31894,31894,28460,1654490000
15,PTB,HOSE,23/01/2019,,31839,32004,31729,31729,41900,2427310000
16,PTB,HOSE,24/01/2019,,31894,32444,31784,32279,47100,2750180000
17,PTB,HOSE,25/01/2019,,32334,33159,32334,32994,120790,7205940000
18,PTB,HOSE,28/01/2019,,33214,33214,32169,32444,40190,2375290000
19,PTB,HOSE,29/01/2019,,32004,32444,32004,32444,36450,2144080000
20,PTB,HOSE,30/01/2019,,32334,32334,32224,32279,38060,2233460000
21,PTB,HOSE,31/01/2019,,32169,32884,32169,32554,60930,3600840000
22,PTB,HOSE,01/02/2019,,32554,32939,32389,32499,44310,2617970000
23,PTB,HOSE,11/02/2019,,32389,33379,32389,33104,116150,6971960000
24,PTB,HOSE,12/02/2019,,33104,33214,33049,33104,41700,2511660000
25,PTB,HOSE,13/02/2019,,33104,33544,32554,32554,122260,7323520000
26,PTB,HOSE,14/02/2019,,32994,34094,32994,33544,134760,8227660000
27,PTB,HOSE,15/02/2019,,33544,33819,33324,33544,96900,5910700000
28,PTB,HOSE,18/02/2019,,33544,34094,33214,33434,41080,2503760000
29,PTB,HOSE,19/02/2019,,33379,33434,32994,33159,132730,8038990000
30,PTB,HOSE,20/02/2019,,33049,33214,32829,33104,54590,3275560000
31,PTB,HOSE,21/02/2019,,32994,33819,32499,32499,141390,8488660000
32,PTB,HOSE,22/02/2019,,32939,33269,32774,32994,170160,10209890000
33,PTB,HOSE,25/02/2019,,33544,34368,33544,34094,166950,10289470000
34,PTB,HOSE,26/02/2019,,34094,34643,34039,34094,113480,7063360000
35,PTB,HOSE,27/02/2019,,34533,35193,34094,34533,212650,13377800000
36,PTB,HOSE,28/02/2019,,34478,34918,33984,34204,141220,8770480000
37,PTB,HOSE,01/03/2019,,34259,35028,34259,34918,114610,7226930000
38,PTB,HOSE,04/03/2019,,34918,35468,34918,35138,136200,8717640000
39,PTB,HOSE,05/03/2019,,35193,35413,34918,35138,90010,5763650000
40,PTB,HOSE,06/03/2019,,35358,35358,34533,34918,101360,6406140000
41,PTB,HOSE,07/03/2019,,35138,35193,34918,34918,49510,3151460000
42,PTB,HOSE,08/03/2019,,34698,35193,34643,35028,69090,4397090000
43,PTB,HOSE,11/03/2019,,35028,35578,34588,34973,336440,21419540000
44,PTB,HOSE,12/03/2019,,35468,35688,35138,35468,158630,10193650000
45,PTB,HOSE,13/03/2019,,35688,35688,35138,35138,84270,5424250000
46,PTB,HOSE,14/03/2019,,35468,35468,34643,35138,101310,6457470000
47,PTB,HOSE,15/03/2019,,35028,35083,34423,34588,93280,5877450000
48,PTB,HOSE,18/03/2019,,34588,35083,34588,35083,41430,2629490000
49,PTB,HOSE,19/03/2019,,35248,35248,32939,34204,181910,11391860000
50,PTB,HOSE,20/03/2019,,34204,34204,33544,33654,200730,12330620000
51,PTB,HOSE,21/03/2019,,33764,34533,33654,33654,173990,10721520000
52,PTB,HOSE,22/03/2019,,33654,34533,33654,34533,140770,8732800000
53,PTB,HOSE,25/03/2019,,34533,34533,33654,34094,96350,5941930000
54,PTB,HOSE,26/03/2019,,34094,34533,33984,34533,123200,7668000000
55,PTB,HOSE,27/03/2019,,34588,35083,34368,34533,174310,10982000000
56,PTB,HOSE,28/03/2019,,34368,34588,34259,34478,117240,7344000000
57,PTB,HOSE,29/03/2019,,34533,34863,34368,34643,77140,4853000000
58,PTB,HOSE,01/04/2019,,34643,34918,34643,34863,206360,13056590000
59,PTB,HOSE,02/04/2019,,34918,34973,34423,34588,189860,11962090000
60,PTB,HOSE,03/04/2019,,34588,34643,34368,34643,174000,10898070000
61,PTB,HOSE,04/04/2019,,34698,34863,34478,34643,114740,7224020000
62,PTB,HOSE,05/04/2019,,34643,35743,34643,35303,279830,17983720000
63,PTB,HOSE,08/04/2019,,35303,36678,35303,36348,369360,24261190000
64,PTB,HOSE,09/04/2019,,36403,36403,35468,35743,239960,15662920000
