,Symbol,Market,TradingDate,Time,Open,High,Low,Close,Volume,Value
0,PTL,HOSE,02/01/2019,,2740,2940,2740,2940,9940,27260000
1,PTL,HOSE,03/01/2019,,2940,2940,2940,2940,110,320000
2,PTL,HOSE,04/01/2019,,2940,2940,2940,2940,110,320000
3,PTL,HOSE,07/01/2019,,2800,2800,2740,2800,80300,224540000
4,PTL,HOSE,08/01/2019,,2800,2800,2800,2800,110,310000
5,PTL,HOSE,09/01/2019,,2610,2800,2610,2800,280,750000
6,PTL,HOSE,10/01/2019,,2630,2790,2610,2790,4760,12470000
7,PTL,HOSE,11/01/2019,,2610,2800,2610,2800,1610,4320000
8,PTL,HOSE,14/01/2019,,2840,2840,2840,2840,110,0
9,PTL,HOSE,15/01/2019,,2650,2650,2650,2650,2230,5910000
10,PTL,HOSE,16/01/2019,,2750,2750,2750,2750,110,0
11,PTL,HOSE,17/01/2019,,2560,2780,2560,2780,4370,12000000
12,PTL,HOSE,18/01/2019,,2740,2750,2740,2750,3210,8820000
13,PTL,HOSE,21/01/2019,,2750,2750,2750,2750,1500,4130000
14,PTL,HOSE,22/01/2019,,2750,2750,2750,2750,210,580000
15,PTL,HOSE,23/01/2019,,2750,2750,2750,2750,210,580000
16,PTL,HOSE,24/01/2019,,2750,2750,2570,2730,810,2100000
17,PTL,HOSE,25/01/2019,,2740,2740,2740,2740,760,2080000
18,PTL,HOSE,28/01/2019,,2790,2790,2790,2790,110,310000
19,PTL,HOSE,29/01/2019,,2790,2790,2790,2790,250,700000
20,PTL,HOSE,30/01/2019,,2790,2790,2790,2790,120,330000
21,PTL,HOSE,31/01/2019,,2790,2790,2790,2790,210,590000
22,PTL,HOSE,01/02/2019,,2610,2610,2610,2610,100,260000
23,PTL,HOSE,11/02/2019,,2690,2690,2690,2690,2010,5410000
24,PTL,HOSE,12/02/2019,,2510,2680,2510,2680,3440,8740000
25,PTL,HOSE,13/02/2019,,2690,2690,2690,2690,310,830000
26,PTL,HOSE,14/02/2019,,2520,2520,2520,2520,5020,12650000
27,PTL,HOSE,15/02/2019,,2670,2670,2670,2670,310,830000
