,Symbol,Market,TradingDate,Time,Open,High,Low,Close,Volume,Value
0,QBS,HOSE,02/01/2019,,4500,4500,4400,4410,215800,957790000
1,QBS,HOSE,03/01/2019,,4450,4450,4390,4400,123820,547320000
2,QBS,HOSE,04/01/2019,,4400,4600,4380,4600,11300,51120000
3,QBS,HOSE,07/01/2019,,4540,4580,4280,4400,568700,2477260000
4,QBS,HOSE,08/01/2019,,4400,4480,4300,4480,185390,810060000
5,QBS,HOSE,09/01/2019,,4450,4520,4450,4520,334050,1496490000
6,QBS,HOSE,10/01/2019,,4500,4520,4400,4500,317650,1423700000
7,QBS,HOSE,11/01/2019,,4520,4520,4430,4500,223180,999140000
8,QBS,HOSE,14/01/2019,,4510,4550,4440,4490,57190,258000000
9,QBS,HOSE,15/01/2019,,4460,4580,4460,4490,337210,1521630000
10,QBS,HOSE,16/01/2019,,4500,4780,4500,4700,167210,769000000
11,QBS,HOSE,17/01/2019,,4800,4800,4630,4630,409120,1915000000
12,QBS,HOSE,18/01/2019,,4610,4680,4570,4570,197230,907430000
13,QBS,HOSE,21/01/2019,,4510,4570,4460,4500,73700,333960000
14,QBS,HOSE,22/01/2019,,4480,4600,4190,4600,390100,1702600000
15,QBS,HOSE,23/01/2019,,4510,4580,4390,4450,179430,803950000
16,QBS,HOSE,24/01/2019,,4600,4600,4500,4550,355890,1604520000
17,QBS,HOSE,25/01/2019,,4480,4580,4460,4490,104220,472920000
18,QBS,HOSE,28/01/2019,,4500,4530,4490,4490,67500,304440000
19,QBS,HOSE,29/01/2019,,4490,4520,4460,4480,311290,1394810000
20,QBS,HOSE,30/01/2019,,4480,4480,4400,4480,103760,461710000
21,QBS,HOSE,31/01/2019,,4500,4500,4450,4490,356890,1597910000
22,QBS,HOSE,01/02/2019,,4500,4530,4490,4490,324090,1460510000
23,QBS,HOSE,11/02/2019,,4460,4590,4460,4520,119490,540470000
24,QBS,HOSE,12/02/2019,,4520,4520,4210,4490,155160,676670000
25,QBS,HOSE,13/02/2019,,4450,4490,4360,4460,79000,347520000
26,QBS,HOSE,14/02/2019,,4520,4520,4360,4400,45630,200240000
27,QBS,HOSE,15/02/2019,,4360,4390,4300,4360,69840,302590000
28,QBS,HOSE,18/02/2019,,4330,4480,4300,4360,25800,112080000
29,QBS,HOSE,19/02/2019,,4400,4400,4270,4300,88720,382350000
30,QBS,HOSE,20/02/2019,,4350,4400,4270,4340,27120,116280000
31,QBS,HOSE,21/02/2019,,4290,4300,4210,4300,41880,177210000
32,QBS,HOSE,22/02/2019,,4210,4280,4200,4280,26060,110340000
33,QBS,HOSE,25/02/2019,,4250,4350,4220,4240,12510,53380000
34,QBS,HOSE,26/02/2019,,4220,4270,4180,4240,68720,289000000
35,QBS,HOSE,27/02/2019,,4290,4290,4160,4180,15570,65270000
36,QBS,HOSE,28/02/2019,,4160,4240,4100,4140,48360,200230000
37,QBS,HOSE,01/03/2019,,4230,4230,4080,4200,10180,42040000
38,QBS,HOSE,04/03/2019,,4200,4400,4110,4390,69800,299820000
39,QBS,HOSE,05/03/2019,,4380,4390,4350,4380,28360,123910000
40,QBS,HOSE,06/03/2019,,4350,4390,4280,4310,37760,163360000
41,QBS,HOSE,07/03/2019,,4340,4380,4320,4330,32200,139780000
42,QBS,HOSE,08/03/2019,,4340,4360,4210,4330,36320,154010000
43,QBS,HOSE,11/03/2019,,4330,4380,4320,4330,22450,97140000
44,QBS,HOSE,12/03/2019,,4390,4390,4280,4300,54450,235390000
45,QBS,HOSE,13/03/2019,,4280,4340,4190,4300,51860,218910000
46,QBS,HOSE,14/03/2019,,4220,4300,4190,4300,113270,564690000
47,QBS,HOSE,15/03/2019,,4290,4290,4200,4260,23420,98440000
48,QBS,HOSE,18/03/2019,,4210,4250,4180,4250,71260,299780000
49,QBS,HOSE,19/03/2019,,4300,4300,4150,4150,54850,228400000
50,QBS,HOSE,20/03/2019,,4190,4200,4150,4200,23910,99340000
51,QBS,HOSE,21/03/2019,,4150,4230,4150,4220,20170,84420000
52,QBS,HOSE,22/03/2019,,4220,4220,4150,4200,17940,74550000
53,QBS,HOSE,25/03/2019,,4140,4190,4100,4170,25560,105380000
54,QBS,HOSE,26/03/2019,,4020,4170,4020,4150,10690,44000000
55,QBS,HOSE,27/03/2019,,4150,4150,4080,4130,74140,305000000
56,QBS,HOSE,28/03/2019,,4130,4130,4000,4080,95570,386000000
57,QBS,HOSE,29/03/2019,,3930,4090,3930,4070,57200,230000000
58,QBS,HOSE,01/04/2019,,4070,4070,4000,4010,53080,212930000
59,QBS,HOSE,02/04/2019,,4030,4060,4010,4050,34740,140600000
60,QBS,HOSE,03/04/2019,,4050,4100,4050,4100,23320,94500000
61,QBS,HOSE,04/04/2019,,4000,4050,3970,4020,67650,270740000
62,QBS,HOSE,05/04/2019,,4040,4050,3980,4000,31200,125050000
63,QBS,HOSE,08/04/2019,,4050,4050,3740,3950,96630,382160000
64,QBS,HOSE,09/04/2019,,3850,3950,3800,3800,130490,498730000
65,QBS,HOSE,10/04/2019,,3800,3800,3710,3790,64700,244030000
66,QBS,HOSE,11/04/2019,,3830,3830,3670,3700,155050,574400000
67,QBS,HOSE,12/04/2019,,3700,3950,3670,3950,81240,308680000
68,QBS,HOSE,16/04/2019,,3900,4020,3900,4020,43430,171920000
69,QBS,HOSE,17/04/2019,,3990,3990,3820,3860,14490,56640000
70,QBS,HOSE,18/04/2019,,3820,3850,3700,3710,42510,158020000
71,QBS,HOSE,19/04/2019,,3750,3820,3660,3760,209230,786710000
