,Symbol,Market,TradingDate,Time,Open,High,Low,Close,Volume,Value
0,REE,HOSE,02/01/2019,,20733,20733,20433,20433,329830,10169370000
1,REE,HOSE,03/01/2019,,20433,20500,19933,20000,588400,17811610000
2,REE,HOSE,04/01/2019,,19933,20133,19633,19866,179540,5349140000
3,REE,HOSE,07/01/2019,,20266,20366,20133,20133,158080,4803660000
4,REE,HOSE,08/01/2019,,20133,20300,20000,20000,191810,5784700000
5,REE,HOSE,09/01/2019,,20300,20466,20133,20400,248000,7563850000
6,REE,HOSE,10/01/2019,,20466,21033,20400,20733,433130,13491910000
7,REE,HOSE,11/01/2019,,21000,21066,20800,21000,299510,9397850000
8,REE,HOSE,14/01/2019,,21066,21066,20833,20866,250710,7867000000
9,REE,HOSE,15/01/2019,,20933,21400,20800,21400,314660,9965530000
10,REE,HOSE,16/01/2019,,21400,21533,21200,21233,193270,6169000000
11,REE,HOSE,17/01/2019,,21200,21266,21033,21033,147070,4655000000
12,REE,HOSE,18/01/2019,,21066,21666,21033,21400,377760,12071310000
13,REE,HOSE,21/01/2019,,21400,21866,21333,21800,280480,9088330000
14,REE,HOSE,22/01/2019,,21733,21800,21466,21600,221760,7194710000
15,REE,HOSE,23/01/2019,,21600,21700,21333,21600,219940,7109120000
16,REE,HOSE,24/01/2019,,21766,21966,21466,21933,405190,13235570000
17,REE,HOSE,25/01/2019,,21933,22233,21933,21933,577380,19117520000
18,REE,HOSE,28/01/2019,,21900,22066,21800,21933,246170,8101460000
19,REE,HOSE,29/01/2019,,21900,22000,21633,22000,317940,10385890000
20,REE,HOSE,30/01/2019,,22600,22866,22466,22500,984640,33397360000
21,REE,HOSE,31/01/2019,,22600,22666,22400,22466,287700,9715270000
22,REE,HOSE,01/02/2019,,22466,22666,22200,22466,1100000,36832330000
23,REE,HOSE,11/02/2019,,22733,23066,22500,23066,355610,12123380000
24,REE,HOSE,12/02/2019,,23333,23600,23233,23233,602640,21123790000
25,REE,HOSE,13/02/2019,,23400,23500,23266,23300,698550,24506060000
26,REE,HOSE,14/02/2019,,23300,23333,23066,23266,424900,14810740000
27,REE,HOSE,15/02/2019,,23333,23533,23066,23400,688390,24033030000
28,REE,HOSE,18/02/2019,,23466,24000,23466,23966,836520,29838970000
29,REE,HOSE,19/02/2019,,24000,24066,23533,23666,1142710,40765490000
30,REE,HOSE,20/02/2019,,23500,23666,23300,23600,513100,18060690000
31,REE,HOSE,21/02/2019,,23666,23833,23566,23700,528250,18774010000
32,REE,HOSE,22/02/2019,,23500,23733,23400,23666,703850,24944780000
33,REE,HOSE,25/02/2019,,23766,23833,23566,23733,918150,32628540000
34,REE,HOSE,26/02/2019,,24085,24226,23804,23945,850060,29043840000
35,REE,HOSE,27/02/2019,,24155,24155,23874,23874,317890,10850010000
36,REE,HOSE,28/02/2019,,23874,23874,23207,23207,938110,31304680000
37,REE,HOSE,01/03/2019,,23313,23418,23207,23207,690950,22925850000
38,REE,HOSE,04/03/2019,,23207,23488,23172,23242,854640,28435040000
39,REE,HOSE,05/03/2019,,23242,23839,23032,23699,809130,27066860000
40,REE,HOSE,06/03/2019,,23804,24506,23804,24226,1271520,43715270000
41,REE,HOSE,07/03/2019,,24296,24331,23874,23910,513370,17637760000
42,REE,HOSE,08/03/2019,,23734,23874,23242,23804,460330,15483930000
43,REE,HOSE,11/03/2019,,23804,23804,23453,23594,427910,14373670000
44,REE,HOSE,12/03/2019,,23734,24506,23629,24366,1362920,46945930000
45,REE,HOSE,13/03/2019,,24366,24787,24085,24226,750710,26141640000
46,REE,HOSE,14/03/2019,,24226,24366,24120,24226,520540,19568890000
47,REE,HOSE,15/03/2019,,24226,24226,23664,23874,902290,30647700000
48,REE,HOSE,18/03/2019,,23804,23874,23418,23453,1406690,47186170000
49,REE,HOSE,19/03/2019,,23453,23594,23032,23032,833590,27685940000
50,REE,HOSE,20/03/2019,,22962,23594,22821,23453,700270,23073670000
51,REE,HOSE,21/03/2019,,23664,23664,22821,22821,458750,15150520000
52,REE,HOSE,22/03/2019,,22997,23172,22751,22997,353080,11505860000
53,REE,HOSE,25/03/2019,,22470,22611,22119,22154,829670,26435020000
54,REE,HOSE,26/03/2019,,22330,22505,22119,22154,358270,11356000000
55,REE,HOSE,27/03/2019,,22295,22540,22224,22259,245150,7806000000
56,REE,HOSE,28/03/2019,,22189,22575,22189,22470,433760,13857000000
57,REE,HOSE,29/03/2019,,22470,22821,22330,22365,365930,11714000000
58,REE,HOSE,01/04/2019,,22470,22470,22154,22189,236540,7496830000
59,REE,HOSE,02/04/2019,,22259,22435,22224,22330,332710,10574710000
60,REE,HOSE,03/04/2019,,22330,22330,22119,22154,374760,11849430000
61,REE,HOSE,04/04/2019,,22154,22295,22119,22295,324540,10260850000
62,REE,HOSE,05/04/2019,,22365,22856,22330,22716,832890,26909380000
63,REE,HOSE,08/04/2019,,22716,22927,22611,22856,677930,21985240000
64,REE,HOSE,09/04/2019,,22856,22962,22681,22681,530100,17240070000
65,REE,HOSE,10/04/2019,,22540,22540,22295,22330,401450,12808150000
66,REE,HOSE,11/04/2019,,22435,22435,22295,22330,177900,5665230000
67,REE,HOSE,12/04/2019,,22330,22330,22259,22330,205070,6506700000
68,REE,HOSE,16/04/2019,,22189,22259,22049,22224,225840,7135530000
69,REE,HOSE,17/04/2019,,22259,22400,22189,22224,204220,6484520000
70,REE,HOSE,18/04/2019,,22259,22259,21873,22014,314290,9867240000
71,REE,HOSE,19/04/2019,,22084,22119,21979,22049,128450,4031270000
72,REE,HOSE,22/04/2019,,22049,22119,21698,21768,347800,10796460000
73,REE,HOSE,23/04/2019,,21768,21908,21768,21768,430200,13366150000
74,REE,HOSE,24/04/2019,,21768,22049,21768,22014,192320,6010490000
75,REE,HOSE,25/04/2019,,21908,22259,21908,22119,252150,7946.95
76,REE,HOSE,26/04/2019,,22014,22330,22014,22330,316520,10018730000
77,REE,HOSE,02/05/2019,,22365,22716,22365,22470,380450,12210900000
78,REE,HOSE,03/05/2019,,22470,22575,22259,22435,301800,9632390000
79,REE,HOSE,06/05/2019,,22119,22119,21733,21768,652890,20304520000
80,REE,HOSE,07/05/2019,,21908,21979,21733,21733,300540,9334600000
81,REE,HOSE,08/05/2019,,21592,22470,21592,22189,763330,24076220000
82,REE,HOSE,09/05/2019,,22189,22400,22189,22400,591880,18793810000
83,REE,HOSE,10/05/2019,,22470,22646,22330,22540,502460,16116680000
84,REE,HOSE,13/05/2019,,22681,22927,22470,22821,640250,20760950000
85,REE,HOSE,14/05/2019,,22681,23137,22611,23137,783170,25504790000
86,REE,HOSE,15/05/2019,,23313,23383,23137,23172,583030,19310440000
87,REE,HOSE,16/05/2019,,23172,23313,23032,23102,555750,18313590000
88,REE,HOSE,17/05/2019,,23102,23102,22962,23032,369150,12099000000
89,REE,HOSE,20/05/2019,,23137,23594,23032,23558,989540,33022710000
90,REE,HOSE,21/05/2019,,23629,23699,23418,23418,443380,14852400000
91,REE,HOSE,22/05/2019,,23348,23418,23137,23137,375350,12450820000
92,REE,HOSE,23/05/2019,,23102,23242,22997,23207,287220,9454000000
93,REE,HOSE,24/05/2019,,23207,23383,23032,23102,384580,12720090000
94,REE,HOSE,27/05/2019,,22821,23137,22821,22891,204240,6666760000
95,REE,HOSE,28/05/2019,,22891,22997,22681,22786,395680,12848530000
96,REE,HOSE,29/05/2019,,22681,22962,22681,22856,252940,8224550000
97,REE,HOSE,30/05/2019,,22821,23313,22751,23172,538060,17718660000
98,REE,HOSE,31/05/2019,,23137,23172,22821,22821,375710,12302320000
99,REE,HOSE,03/06/2019,,22751,22751,22119,22119,481480,15354720000
100,REE,HOSE,04/06/2019,,22119,22435,22049,22435,486840,15406470000
101,REE,HOSE,05/06/2019,,22540,22681,22435,22470,282040,9043660000
102,REE,HOSE,06/06/2019,,22470,22611,22330,22470,322640,10321090000
103,REE,HOSE,07/06/2019,,22470,22891,22470,22891,392280,12725540000
104,REE,HOSE,10/06/2019,,22681,22997,22470,22716,503080,16283740000
105,REE,HOSE,11/06/2019,,22716,23102,22716,22962,588730,19245040000
106,REE,HOSE,12/06/2019,,22997,22997,22611,22611,370420,12034440000
107,REE,HOSE,13/06/2019,,22505,22716,22505,22505,208770,6706440000
108,REE,HOSE,14/06/2019,,22470,22681,22365,22365,309300,9909330000
109,REE,HOSE,17/06/2019,,22365,22435,22154,22154,457020,14501380000
110,REE,HOSE,18/06/2019,,22189,22259,22084,22189,352710,11125320000
111,REE,HOSE,19/06/2019,,22470,22681,22259,22365,226010,7219460000
112,REE,HOSE,20/06/2019,,22470,22681,22259,22365,226010,7219460000
113,REE,HOSE,21/06/2019,,22646,22821,22575,22646,275170,8888030000
114,REE,HOSE,24/06/2019,,22646,22681,22505,22575,297670,9580910000
115,REE,HOSE,25/06/2019,,22575,22611,22189,22295,717820,22842170000
116,REE,HOSE,26/06/2019,,22295,22575,22224,22470,558950,17830010000
117,REE,HOSE,27/06/2019,,22540,22646,22224,22224,893080,28363240000
118,REE,HOSE,28/06/2019,,22224,22400,21979,22295,504740,15901020000
119,REE,HOSE,01/07/2019,,22435,22751,22400,22470,597430,19219780000
120,REE,HOSE,02/07/2019,,22540,22681,22365,22611,405850,13012060000
121,REE,HOSE,03/07/2019,,22611,23278,22540,23207,2279650,74853320000
122,REE,HOSE,04/07/2019,,23313,23664,23313,23418,970550,32474410000
123,REE,HOSE,05/07/2019,,23418,23558,23313,23418,599820,20005480000
124,REE,HOSE,08/07/2019,,23242,23910,23207,23523,1221980,41105420000
125,REE,HOSE,09/07/2019,,23523,23734,23383,23558,405320,13629050000
126,REE,HOSE,10/07/2019,,23664,24120,23558,23980,1146700,39090400000
127,REE,HOSE,11/07/2019,,24050,24190,23734,23734,557230,18996000000
128,REE,HOSE,12/07/2019,,23769,23945,23664,23664,546250,18523000000
129,REE,HOSE,15/07/2019,,23594,24015,23594,23874,597770,20308000000
130,REE,HOSE,16/07/2019,,24015,24190,23278,23629,2167960,72986000000
131,REE,HOSE,17/07/2019,,23629,23629,23278,23523,751640,25105000000
132,REE,HOSE,18/07/2019,,23523,23523,23278,23383,473290,15787000000
133,REE,HOSE,19/07/2019,,23594,23629,22962,23207,1386340,45783000000
134,REE,HOSE,22/07/2019,,23102,23242,23032,23067,301000,9908000000
135,REE,HOSE,23/07/2019,,23137,23594,23067,23594,731080,24334000000
136,REE,HOSE,24/07/2019,,23594,23734,23383,23418,574060,19266000000
137,REE,HOSE,25/07/2019,,23418,23699,23348,23348,664090,22232000000
138,REE,HOSE,26/07/2019,,23348,23383,22962,22997,607600,20017000000
139,REE,HOSE,29/07/2019,,23032,23067,22786,22891,675930,22048000000
140,REE,HOSE,30/07/2019,,22891,23242,22540,22891,913720,29630000000
141,REE,HOSE,31/07/2019,,22891,23032,22821,22997,292280,9539000000
142,REE,HOSE,01/08/2019,,23032,23383,22997,23383,583360,19293000000
143,REE,HOSE,02/08/2019,,23032,23348,22997,23172,444230,14681000000
144,REE,HOSE,05/08/2019,,23172,23278,22821,22821,370930,12154000000
145,REE,HOSE,06/08/2019,,22540,22751,22259,22505,791880,25391000000
146,REE,HOSE,07/08/2019,,22575,22751,22330,22400,336840,10810000000
147,REE,HOSE,08/08/2019,,22435,23874,22365,23874,1417500,46804000000
148,REE,HOSE,09/08/2019,,23874,24682,23664,24155,1702410,58714000000
149,REE,HOSE,12/08/2019,,24120,24682,24015,24436,1013560,35308000000
150,REE,HOSE,13/08/2019,,24296,25279,24155,25279,2370010,84257000000
151,REE,HOSE,14/08/2019,,25419,25560,25068,25209,687580,24808000000
152,REE,HOSE,15/08/2019,,24963,26718,24822,25665,3898270,143484000000
153,REE,HOSE,16/08/2019,,25946,26648,25700,26367,2515240,94374000000
154,REE,HOSE,19/08/2019,,26367,26473,25805,26332,1346680,50025000000
155,REE,HOSE,20/08/2019,,26016,26262,25911,25981,1306290,48416000000
156,REE,HOSE,21/08/2019,,25841,26824,25841,26121,1232500,46184000000
157,REE,HOSE,22/08/2019,,26262,26262,25805,25770,927030,34286000000
158,REE,HOSE,23/08/2019,,25841,26051,25489,25489,991250,36252000000
159,REE,HOSE,26/08/2019,,25279,25911,25138,25489,796820,29014000000
160,REE,HOSE,27/08/2019,,25560,26086,25489,25630,676430,24813000000
161,REE,HOSE,28/08/2019,,25560,26051,25560,25560,569780,20913000000
162,REE,HOSE,29/08/2019,,25560,25700,25138,25525,938840,33908000000
163,REE,HOSE,30/08/2019,,25525,25770,25419,25735,606740,22084000000
164,REE,HOSE,03/09/2019,,25841,26121,25700,25911,677990,25018000000
165,REE,HOSE,04/09/2019,,25876,25946,25560,25279,550910,20133000000
166,REE,HOSE,05/09/2019,,25419,25560,24787,24787,1592010,56833000000
167,REE,HOSE,06/09/2019,,24963,25068,24682,24963,525410,18620000000
168,REE,HOSE,09/09/2019,,24998,25068,24858,24752,309250,10971000000
169,REE,HOSE,10/09/2019,,24928,24998,24506,24577,896010,31547000000
170,REE,HOSE,11/09/2019,,24787,25349,24612,25349,383430,13593000000
171,REE,HOSE,12/09/2019,,25454,26192,25279,26086,1484120,54443000000
172,REE,HOSE,13/09/2019,,26121,26262,25911,26051,1185800,44043000000
173,REE,HOSE,16/09/2019,,25981,26297,25700,25700,1236720,45863000000
174,REE,HOSE,17/09/2019,,25560,25946,25560,25770,693340,25478000000
175,REE,HOSE,18/09/2019,,26192,26543,25805,26121,1084490,40582000000
176,REE,HOSE,19/09/2019,,26051,26227,25876,26121,503760,18683000000
177,REE,HOSE,20/09/2019,,26086,27385,26086,27245,3383740,129578000000
178,REE,HOSE,23/09/2019,,27245,27596,26824,26683,1240390,47929000000
179,REE,HOSE,24/09/2019,,26683,27034,26613,26789,656780,25125000000
180,REE,HOSE,25/09/2019,,26683,27737,26683,27737,2183810,84490000000
181,REE,HOSE,26/09/2019,,27877,27947,27456,27842,787910,31069000000
182,REE,HOSE,27/09/2019,,27877,28193,27385,27385,1309830,51800000000
183,REE,HOSE,30/09/2019,,27526,27666,26964,26789,1509900,58557000000
184,REE,HOSE,01/10/2019,,27034,27526,26683,27526,1241200,47772000000
185,REE,HOSE,02/10/2019,,27526,27666,26718,26718,1084910,42008000000
186,REE,HOSE,03/10/2019,,26578,27105,26402,27105,1272220,48629000000
187,REE,HOSE,04/10/2019,,27245,27315,26648,26262,1109890,42161000000
188,REE,HOSE,07/10/2019,,26402,26543,26051,25981,1166050,43677000000
189,REE,HOSE,08/10/2019,,26051,26683,26051,26683,740190,27762000000
190,REE,HOSE,09/10/2019,,26613,27069,26543,27034,1126840,43197000000
191,REE,HOSE,10/10/2019,,26859,27245,26543,26543,1065680,40840000000
192,REE,HOSE,11/10/2019,,26613,26824,26473,26543,512660,19450000000
193,REE,HOSE,14/10/2019,,26578,27034,26578,26683,738610,28202000000
194,REE,HOSE,15/10/2019,,26683,26964,26508,26473,610440,23163000000
195,REE,HOSE,16/10/2019,,26683,26683,26016,26016,1577050,58853000000
196,REE,HOSE,17/10/2019,,26016,26016,25630,25630,1297750,47568000000
197,REE,HOSE,18/10/2019,,25630,26121,25630,25805,532380,19590000000
198,REE,HOSE,21/10/2019,,25876,26297,25735,25770,641750,23765000000
199,REE,HOSE,22/10/2019,,25770,25841,25630,25314,562520,20506000000
200,REE,HOSE,23/10/2019,,25314,25560,25314,25489,553320,20030000000
201,REE,HOSE,24/10/2019,,25560,25770,25489,25770,620560,22687000000
202,REE,HOSE,25/10/2019,,25770,26121,25770,25981,692220,25630000000
203,REE,HOSE,28/10/2019,,26121,26121,25770,25700,647400,23811000000
204,REE,HOSE,29/10/2019,,25911,26824,25911,26648,1925680,72422000000
205,REE,HOSE,30/10/2019,,26753,26859,26543,26473,633450,24069000000
206,REE,HOSE,31/10/2019,,26543,26964,26437,26332,697050,26366000000
207,REE,HOSE,01/11/2019,,26332,26753,26297,26437,660090,24879000000
208,REE,HOSE,04/11/2019,,26683,27034,26508,26894,1209790,46162000000
209,REE,HOSE,05/11/2019,,26894,27140,26613,26613,960890,36776000000
210,REE,HOSE,06/11/2019,,26543,26964,26402,26613,1034090,39284000000
211,REE,HOSE,07/11/2019,,26613,27105,26508,27034,917710,35096000000
212,REE,HOSE,08/11/2019,,27105,27140,26718,26753,505810,19400000000
213,REE,HOSE,11/11/2019,,26789,26789,26402,26437,799520,30277000000
214,REE,HOSE,12/11/2019,,26332,26578,26332,26402,776260,29214000000
215,REE,HOSE,13/11/2019,,26437,26613,26367,26402,672650,25370000000
216,REE,HOSE,14/11/2019,,26402,26578,25876,25876,1178610,43933000000
217,REE,HOSE,15/11/2019,,25876,26121,25876,26051,655210,24265000000
218,REE,HOSE,18/11/2019,,26051,26297,26051,26227,766750,28585000000
219,REE,HOSE,19/11/2019,,26262,26753,26262,26613,782300,29554000000
220,REE,HOSE,20/11/2019,,26683,26999,26473,26473,970380,37009000000
221,REE,HOSE,21/11/2019,,26367,26613,26121,26157,1012430,37982000000
222,REE,HOSE,22/11/2019,,26332,26508,25770,25770,1036470,38425000000
223,REE,HOSE,25/11/2019,,25770,25876,25454,25489,530290,19344000000
224,REE,HOSE,26/11/2019,,25700,25946,25489,25630,391290,14342000000
225,REE,HOSE,27/11/2019,,25630,25841,25384,25454,639210,23306000000
226,REE,HOSE,28/11/2019,,25454,25630,24998,25209,839440,30257000000
227,REE,HOSE,29/11/2019,,25209,25560,25209,25384,373610,13515000000
228,REE,HOSE,02/12/2019,,25384,25560,25138,25138,471110,16998000000
229,REE,HOSE,03/12/2019,,25103,25454,24787,25068,761300,27278000000
230,REE,HOSE,04/12/2019,,25068,25560,24963,25489,407600,14684000000
231,REE,HOSE,05/12/2019,,25560,25560,25103,25279,257860,9315000000
232,REE,HOSE,06/12/2019,,25314,25489,25244,25279,369340,13338000000
233,REE,HOSE,09/12/2019,,25489,25841,25279,25454,547550,19900000000
234,REE,HOSE,10/12/2019,,25419,25946,25384,25700,853370,31262000000
235,REE,HOSE,11/12/2019,,25770,25876,25630,25841,305040,11195000000
236,REE,HOSE,12/12/2019,,25841,26121,25841,25876,529400,19593000000
237,REE,HOSE,13/12/2019,,25911,25946,25630,25630,528470,19407000000
238,REE,HOSE,16/12/2019,,25489,25805,25279,25700,805790,29264000000
239,REE,HOSE,17/12/2019,,25700,25700,25279,25279,478520,17330000000
240,REE,HOSE,18/12/2019,,25279,25525,25138,25209,379470,13662000000
241,REE,HOSE,19/12/2019,,25209,25630,25103,25138,744290,26762000000
242,REE,HOSE,20/12/2019,,25279,25314,25033,25138,327350,11729000000
243,REE,HOSE,23/12/2019,,25174,25314,24928,24928,716230,25538000000
244,REE,HOSE,24/12/2019,,25068,25209,24787,25209,472370,16827000000
245,REE,HOSE,25/12/2019,,25209,25454,24998,24998,660000,23768000000
246,REE,HOSE,26/12/2019,,24998,25209,24858,24928,547590,19466000000
247,REE,HOSE,27/12/2019,,25068,25209,24928,25209,535940,19102000000
248,REE,HOSE,30/12/2019,,25349,25735,25244,25735,1044350,37973000000
249,REE,HOSE,31/12/2019,,25700,25735,25489,25489,454260,16543000000
250,REE,HOSE,02/01/2020,,25489,26192,25349,25946,941730,34637000000
251,REE,HOSE,03/01/2020,,25946,26016,25630,25630,705830,26018000000
252,REE,HOSE,06/01/2020,,25489,25981,25349,25595,494170,18044000000
253,REE,HOSE,07/01/2020,,25630,25876,25560,25735,434670,15902000000
254,REE,HOSE,08/01/2020,,25560,25700,24998,25068,1276850,45923000000
255,REE,HOSE,09/01/2020,,25279,25419,25068,25068,703580,25270000000
256,REE,HOSE,10/01/2020,,25068,25314,25033,25068,444310,15904000000
257,REE,HOSE,13/01/2020,,25068,25279,25033,25103,297520,10645000000
258,REE,HOSE,14/01/2020,,25103,25279,25103,25138,304650,10929000000
259,REE,HOSE,15/01/2020,,25138,25244,24893,24963,504130,17980000000
260,REE,HOSE,16/01/2020,,25103,25630,25033,25560,962640,34835000000
261,REE,HOSE,17/01/2020,,25454,25946,25454,25630,737100,27040000000
262,REE,HOSE,20/01/2020,,25525,25946,25525,25805,680270,24963000000
263,REE,HOSE,21/01/2020,,25981,26332,25911,26192,941950,35083000000
264,REE,HOSE,22/01/2020,,26332,26332,25700,25981,973340,35927000000
265,REE,HOSE,30/01/2020,,25489,25770,25138,25138,966270,34897000000
266,REE,HOSE,31/01/2020,,24928,25103,23804,23804,1571820,54929000000
267,REE,HOSE,03/02/2020,,23242,23769,22365,23523,1682120,54722000000
268,REE,HOSE,04/02/2020,,23664,24015,23383,23453,797830,26820000000
269,REE,HOSE,05/02/2020,,23594,23945,23383,23383,784800,26361000000
270,REE,HOSE,06/02/2020,,23629,24296,23453,23874,936170,31723000000
271,REE,HOSE,07/02/2020,,23874,23945,23699,23804,615350,20856000000
272,REE,HOSE,10/02/2020,,23523,23804,23523,23558,530950,17835000000
273,REE,HOSE,11/02/2020,,23734,24155,23734,24050,751090,25658000000
274,REE,HOSE,12/02/2020,,24226,24577,24226,24401,784950,27279000000
275,REE,HOSE,13/02/2020,,24226,24436,24155,24436,653670,22577000000
276,REE,HOSE,14/02/2020,,24401,24682,24366,24682,419140,14630000000
277,REE,HOSE,17/02/2020,,24717,25033,24436,24577,801580,28254000000
278,REE,HOSE,18/02/2020,,24577,24858,24506,24647,555770,19467000000
279,REE,HOSE,19/02/2020,,24717,24717,24577,24682,321530,11283000000
280,REE,HOSE,20/02/2020,,24928,25068,24647,25033,821320,29043000000
281,REE,HOSE,21/02/2020,,24787,25068,24577,24577,517740,18336000000
282,REE,HOSE,24/02/2020,,24050,24296,23629,23629,1031360,35065000000
283,REE,HOSE,25/02/2020,,23242,24155,23242,24015,641090,21692000000
284,REE,HOSE,26/02/2020,,23664,24120,23664,23945,583350,19917000000
285,REE,HOSE,27/02/2020,,23804,24296,23734,24296,619200,21199000000
286,REE,HOSE,28/02/2020,,23804,24085,23769,23945,648880,22085000000
287,REE,HOSE,02/03/2020,,24313,24313,23907,23907,633770,20768000000
288,REE,HOSE,03/03/2020,,24165,24202,23870,23870,523910,17064000000
289,REE,HOSE,04/03/2020,,23907,24128,23686,23870,382980,12407000000
290,REE,HOSE,05/03/2020,,24202,24202,23723,23723,436970,14193000000
291,REE,HOSE,06/03/2020,,23649,23870,23318,23576,536990,17147000000
292,REE,HOSE,09/03/2020,,22471,23060,21955,22029,2151310,65270000000
293,REE,HOSE,10/03/2020,,21771,22434,21366,22323,601060,17984000000
294,REE,HOSE,11/03/2020,,22323,22655,21587,21992,1195030,35634000000
295,REE,HOSE,12/03/2020,,21071,21366,20518,20629,963310,27298000000
296,REE,HOSE,13/03/2020,,19340,21145,19340,20776,1340020,36561000000
297,REE,HOSE,16/03/2020,,20408,20997,20408,20666,892480,25073000000
298,REE,HOSE,17/03/2020,,20408,22102,20408,22029,1234080,35324000000
299,REE,HOSE,18/03/2020,,22839,22839,22102,22323,567680,17361000000
300,REE,HOSE,19/03/2020,,22102,22213,21734,21955,568630,16942000000
301,REE,HOSE,20/03/2020,,21955,22102,21771,21955,409020,12172000000
302,REE,HOSE,23/03/2020,,21366,21402,20445,20445,1248330,34920000000
303,REE,HOSE,24/03/2020,,20924,21071,20408,20776,463230,13087000000
304,REE,HOSE,25/03/2020,,21218,21734,20960,21513,358100,10372000000
305,REE,HOSE,26/03/2020,,21071,21439,20887,20887,336770,9636000000
306,REE,HOSE,27/03/2020,,20850,20887,20592,20629,392970,11057000000
307,REE,HOSE,30/03/2020,,20039,20592,19524,20187,597290,16292000000
308,REE,HOSE,31/03/2020,,20187,20776,19229,20113,509950,14020000000
