,Symbol,Market,TradingDate,Time,Open,High,Low,Close,Volume,Value
0,ROS,HOSE,02/01/2019,,37100,37500,36300,36900,4366820,160197980000
1,ROS,HOSE,03/01/2019,,36000,36500,34950,36500,3133950,111642360000
2,ROS,HOSE,04/01/2019,,35100,36200,34850,36000,2447210,86775460000
3,ROS,HOSE,07/01/2019,,35700,36150,34950,36000,3103080,109928420000
4,ROS,HOSE,08/01/2019,,35050,35900,34950,35900,3418720,121189370000
5,ROS,HOSE,09/01/2019,,35700,36000,34950,36000,3516430,124686460000
6,ROS,HOSE,10/01/2019,,36000,36000,34950,35900,4713740,166797260000
7,ROS,HOSE,11/01/2019,,35100,35800,34950,35800,4371680,154697110000
8,ROS,HOSE,14/01/2019,,35200,35700,34950,35700,3626760,128124000000
9,ROS,HOSE,15/01/2019,,35050,35450,34950,35450,4292930,151029840000
10,ROS,HOSE,16/01/2019,,35200,35600,34900,35600,3740240,132315000000
11,ROS,HOSE,17/01/2019,,35000,35600,34900,35550,4104030,144645000000
12,ROS,HOSE,18/01/2019,,35550,35550,34900,35400,3795370,133510700000
13,ROS,HOSE,21/01/2019,,35000,35400,34900,35350,2544500,89382800000
14,ROS,HOSE,22/01/2019,,35300,35300,34850,35250,2484920,87193940000
15,ROS,HOSE,23/01/2019,,35250,35250,34800,35150,2368720,82948530000
16,ROS,HOSE,24/01/2019,,35150,35150,34650,35000,2317540,80842630000
17,ROS,HOSE,25/01/2019,,34650,34950,34500,34600,2170000,75063340000
18,ROS,HOSE,28/01/2019,,33950,34200,33850,33900,1486780,50409650000
19,ROS,HOSE,29/01/2019,,32900,32900,31900,32400,2430340,78339370000
20,ROS,HOSE,30/01/2019,,31800,32000,30950,31200,2342820,72855330000
21,ROS,HOSE,31/01/2019,,30500,32000,30500,31450,1276860,39599570000
22,ROS,HOSE,01/02/2019,,31450,31800,30900,31650,1743970,54460340000
23,ROS,HOSE,11/02/2019,,31600,33650,30950,33650,2189610,69870800000
24,ROS,HOSE,12/02/2019,,32950,33700,32700,33700,2697960,89399310000
25,ROS,HOSE,13/02/2019,,33200,33750,32700,33700,3741250,124132620000
26,ROS,HOSE,14/02/2019,,33650,33700,33000,33700,2832710,94533860000
27,ROS,HOSE,15/02/2019,,33500,33650,32800,33650,3038070,101109900000
28,ROS,HOSE,18/02/2019,,33050,33500,32700,33500,4126440,136812470000
29,ROS,HOSE,19/02/2019,,33500,34800,32600,34800,3768570,126874830000
30,ROS,HOSE,20/02/2019,,33900,34800,33550,34800,3555390,121530970000
31,ROS,HOSE,21/02/2019,,34500,34950,33550,34950,4586680,157261670000
32,ROS,HOSE,22/02/2019,,34800,35100,33700,34950,4091820,140451110000
33,ROS,HOSE,25/02/2019,,34500,35500,33900,35500,4397620,152430480000
34,ROS,HOSE,26/02/2019,,34900,35700,34200,35700,4873250,170408190000
35,ROS,HOSE,27/02/2019,,35000,35750,34300,35700,5007320,175337160000
36,ROS,HOSE,28/02/2019,,35500,35500,34300,34650,4859010,167836050000
37,ROS,HOSE,01/03/2019,,33700,34500,33200,34150,5444630,183225320000
38,ROS,HOSE,04/03/2019,,34100,34200,32950,34050,6779750,226556400000
39,ROS,HOSE,05/03/2019,,33100,34000,32900,33750,5123180,171057950000
40,ROS,HOSE,06/03/2019,,33650,33750,32600,33750,5160520,171903700000
41,ROS,HOSE,07/03/2019,,33000,33600,32600,33500,7011720,231563530000
42,ROS,HOSE,08/03/2019,,33000,33400,32550,33000,3196850,104971230000
43,ROS,HOSE,11/03/2019,,32800,32800,32000,32650,4267190,138204880000
44,ROS,HOSE,12/03/2019,,32500,33500,31650,33400,7355020,240114120000
45,ROS,HOSE,13/03/2019,,33000,33500,32350,33500,5011360,164787620000
46,ROS,HOSE,14/03/2019,,33450,33450,32500,33350,3493880,181838290000
47,ROS,HOSE,15/03/2019,,32650,33300,32350,33000,7658530,250829170000
48,ROS,HOSE,18/03/2019,,32500,33150,32000,33100,5790360,188875190000
49,ROS,HOSE,19/03/2019,,32200,32950,32000,32950,7240630,234826830000
50,ROS,HOSE,20/03/2019,,32850,32850,32000,32550,6825400,220215150000
51,ROS,HOSE,21/03/2019,,31900,32850,31700,32850,6299720,203538360000
52,ROS,HOSE,22/03/2019,,32000,32700,31750,32400,6420130,206343040000
53,ROS,HOSE,25/03/2019,,31700,32400,31550,32400,5004460,160680660000
54,ROS,HOSE,26/03/2019,,32400,32550,31650,32550,7835430,251243000000
55,ROS,HOSE,27/03/2019,,32000,32600,31650,32550,7494070,240591000000
56,ROS,HOSE,28/03/2019,,32550,32600,31700,32600,5984230,191997000000
57,ROS,HOSE,29/03/2019,,32300,32300,31750,32000,5827600,185872000000
58,ROS,HOSE,01/04/2019,,31800,32150,31100,32150,12781430,403738330000
59,ROS,HOSE,02/04/2019,,31450,31950,31250,31950,7229650,228269220000
60,ROS,HOSE,03/04/2019,,31300,31700,31200,31700,4377110,138000220000
61,ROS,HOSE,04/04/2019,,31700,31700,31200,31500,7609670,238785890000
62,ROS,HOSE,05/04/2019,,31450,31800,31000,31650,6220820,195772890000
63,ROS,HOSE,08/04/2019,,31250,31650,30950,31450,7536110,234956120000
64,ROS,HOSE,09/04/2019,,31050,31300,30750,31300,7526180,233917800000
65,ROS,HOSE,10/04/2019,,30800,32100,30500,32100,7178020,224768920000
66,ROS,HOSE,11/04/2019,,31400,31500,31000,31450,7857100,245940680000
67,ROS,HOSE,12/04/2019,,31350,31500,30500,31500,8660620,268247160000
68,ROS,HOSE,16/04/2019,,30800,31500,30450,31500,7171560,222383920000
69,ROS,HOSE,17/04/2019,,30600,31450,30450,31450,8767100,270798940000
70,ROS,HOSE,18/04/2019,,30550,31300,30400,31300,10092880,311866460000
71,ROS,HOSE,19/04/2019,,31300,31500,30300,31500,9289540,287016570000
72,ROS,HOSE,22/04/2019,,30600,31000,30450,31000,9087330,279197360000
73,ROS,HOSE,23/04/2019,,31000,31200,30200,31200,9722670,298698450000
74,ROS,HOSE,24/04/2019,,30400,31000,30250,31000,9364080,286943770000
75,ROS,HOSE,25/04/2019,,30800,31000,30250,30950,7711960,236466.63
76,ROS,HOSE,26/04/2019,,30300,30900,30200,30850,10252850,313029210000
77,ROS,HOSE,02/05/2019,,30250,30700,30050,30650,10066220,305879140000
78,ROS,HOSE,03/05/2019,,30100,30600,29950,30600,8660830,262573400000
79,ROS,HOSE,06/05/2019,,30200,30500,29950,30500,9600550,290486630000
80,ROS,HOSE,07/05/2019,,30500,30500,29750,30350,10350440,311789430000
81,ROS,HOSE,08/05/2019,,30350,30400,29550,30400,8977200,269660770000
82,ROS,HOSE,09/05/2019,,30400,30400,29500,30300,9706350,290258660000
83,ROS,HOSE,10/05/2019,,30000,30100,29400,30100,10215080,304348330000
84,ROS,HOSE,13/05/2019,,30000,32000,29100,32000,9975730,305094870000
85,ROS,HOSE,14/05/2019,,30900,34000,30100,34000,11265790,361849600000
86,ROS,HOSE,15/05/2019,,32200,34000,32000,32600,10527590,340618850000
87,ROS,HOSE,16/05/2019,,31700,32650,30950,32650,9706110,310183070000
