,Symbol,Market,TradingDate,Time,Open,High,Low,Close,Volume,Value
0,SAV,HOSE,02/01/2019,,2981,3120,2981,3120,2010,17290000
1,SAV,HOSE,03/01/2019,,2981,3120,2981,3120,11460,100160000
2,SAV,HOSE,04/01/2019,,3120,3120,3120,3120,0,0
3,SAV,HOSE,07/01/2019,,2912,3082,2912,3082,5940,49980000
4,SAV,HOSE,08/01/2019,,2981,3044,2981,3044,2100,18080000
5,SAV,HOSE,09/01/2019,,3047,3047,3044,3044,7270,63860000
6,SAV,HOSE,10/01/2019,,3044,3085,3040,3085,9370,82260000
7,SAV,HOSE,11/01/2019,,2981,3085,2981,3085,300,2580000
8,SAV,HOSE,14/01/2019,,3085,3085,3085,3085,0,0
9,SAV,HOSE,15/01/2019,,3085,3085,3085,3085,1000,8900000
10,SAV,HOSE,16/01/2019,,3120,3120,2888,3085,4710,39000000
11,SAV,HOSE,17/01/2019,,2877,3085,2877,3085,5710,48000000
12,SAV,HOSE,18/01/2019,,2981,3085,2947,3085,1010,8620000
13,SAV,HOSE,21/01/2019,,3078,3078,3047,3047,300,2640000
14,SAV,HOSE,22/01/2019,,3047,3047,2915,2999,27420,235330000
15,SAV,HOSE,23/01/2019,,2926,3051,2922,3051,7990,67370000
16,SAV,HOSE,24/01/2019,,2908,3047,2908,3047,1010,8480000
17,SAV,HOSE,25/01/2019,,2912,3037,2912,3037,1010,8490000
18,SAV,HOSE,28/01/2019,,2905,3033,2895,3033,4000,33860000
19,SAV,HOSE,29/01/2019,,3033,3033,3033,3033,0,0
20,SAV,HOSE,30/01/2019,,2895,3030,2895,3030,510,4260000
21,SAV,HOSE,31/01/2019,,3030,3030,3030,3030,0,0
22,SAV,HOSE,01/02/2019,,3030,3030,3030,3030,0,0
23,SAV,HOSE,11/02/2019,,3030,3051,3030,3051,18760,164860000
24,SAV,HOSE,12/02/2019,,3051,3051,3051,3051,0,0
25,SAV,HOSE,13/02/2019,,3051,3051,2981,3033,2310,20100000
26,SAV,HOSE,14/02/2019,,3044,3044,3016,3016,2010,17500000
27,SAV,HOSE,15/02/2019,,3030,3030,2947,3016,760,6510000
28,SAV,HOSE,18/02/2019,,3016,3016,3016,3016,7130,62030000
29,SAV,HOSE,19/02/2019,,3016,3026,2981,2981,440,3830000
30,SAV,HOSE,20/02/2019,,2981,2981,2981,2981,0,0
31,SAV,HOSE,21/02/2019,,2999,2999,2947,2964,740,6320000
32,SAV,HOSE,22/02/2019,,2978,3085,2978,3085,11380,97860000
33,SAV,HOSE,25/02/2019,,2915,3082,2915,3016,4260,36240000
34,SAV,HOSE,26/02/2019,,2947,3085,2947,3085,2110,18280000
35,SAV,HOSE,27/02/2019,,3085,3085,3085,3085,0,0
36,SAV,HOSE,28/02/2019,,2999,3085,2947,2964,16560,141990000
37,SAV,HOSE,01/03/2019,,3051,3051,3051,3051,110,970000
38,SAV,HOSE,04/03/2019,,2919,3051,2915,2915,910,7970000
39,SAV,HOSE,05/03/2019,,3064,3116,2985,3116,27650,244620000
40,SAV,HOSE,06/03/2019,,3155,3276,3051,3051,29320,273060000
41,SAV,HOSE,07/03/2019,,3019,3189,3016,3189,2520,21990000
42,SAV,HOSE,08/03/2019,,3189,3189,3189,3189,0,0
43,SAV,HOSE,11/03/2019,,3324,3324,3051,3276,14010,131700000
44,SAV,HOSE,12/03/2019,,3085,3155,3085,3155,12500,112450000
45,SAV,HOSE,13/03/2019,,3189,3189,3120,3189,7950,72010000
46,SAV,HOSE,14/03/2019,,3189,3189,3089,3089,5250,47220000
47,SAV,HOSE,15/03/2019,,3092,3172,3092,3172,950,8490000
48,SAV,HOSE,18/03/2019,,3019,3019,3019,3019,10,90000
49,SAV,HOSE,19/03/2019,,3019,3186,2985,3120,6530,56800000
50,SAV,HOSE,20/03/2019,,3120,3134,3120,3134,9000,81160000
51,SAV,HOSE,21/03/2019,,3016,3310,2950,3310,91770,813950000
52,SAV,HOSE,22/03/2019,,3293,3463,3210,3460,47730,455770000
53,SAV,HOSE,25/03/2019,,3328,3692,3328,3640,211740,2202720000
54,SAV,HOSE,26/03/2019,,3501,3726,3501,3570,78800,830000000
55,SAV,HOSE,27/03/2019,,3588,3588,3501,3570,5450,56000000
56,SAV,HOSE,28/03/2019,,3570,3570,3432,3466,17280,175000000
57,SAV,HOSE,29/03/2019,,3466,3466,3345,3432,15580,152000000
58,SAV,HOSE,01/04/2019,,3362,3432,3328,3432,27700,271190000
59,SAV,HOSE,02/04/2019,,3466,3466,3432,3432,2100,20880000
60,SAV,HOSE,03/04/2019,,3432,3432,3193,3362,33740,318310000
61,SAV,HOSE,04/04/2019,,3362,3466,3328,3328,21320,207380000
62,SAV,HOSE,05/04/2019,,3397,3432,3328,3432,6720,65230000
63,SAV,HOSE,08/04/2019,,3432,3466,3328,3466,11300,109340000
64,SAV,HOSE,09/04/2019,,3466,3466,3362,3362,1720,16760000
65,SAV,HOSE,10/04/2019,,3328,3362,3258,3362,3860,36930000
66,SAV,HOSE,11/04/2019,,3501,3501,3501,3501,10,100000
67,SAV,HOSE,12/04/2019,,3466,3466,3397,3449,1520,14950000
68,SAV,HOSE,16/04/2019,,3605,3605,3432,3466,2570,25640000
69,SAV,HOSE,17/04/2019,,3466,3466,3310,3432,900,8640000
70,SAV,HOSE,18/04/2019,,3310,3466,3300,3466,22180,212970000
71,SAV,HOSE,19/04/2019,,3328,3501,3328,3349,15940,153610000
72,SAV,HOSE,22/04/2019,,3432,3432,3349,3432,50,490000
73,SAV,HOSE,23/04/2019,,3297,3328,3293,3328,5300,50790000
74,SAV,HOSE,24/04/2019,,3328,3394,3172,3394,11830,112760000
75,SAV,HOSE,25/04/2019,,3293,3432,3293,3432,4890,47.94
