,Symbol,Market,TradingDate,Time,Open,High,Low,Close,Volume,Value
0,SBV,HOSE,02/01/2019,,9978,9978,9579,9579,2100,30590000
1,SBV,HOSE,03/01/2019,,9645,9645,9213,9512,6910,98240000
2,SBV,HOSE,04/01/2019,,9180,9180,8980,9180,5960,81550000
3,SBV,HOSE,07/01/2019,,8980,9246,8548,9113,12220,158410000
4,SBV,HOSE,08/01/2019,,8548,8647,8481,8514,37220,475770000
5,SBV,HOSE,09/01/2019,,8914,8914,8914,8914,10,130000
6,SBV,HOSE,10/01/2019,,8581,8980,8381,8514,3050,38880000
7,SBV,HOSE,11/01/2019,,8947,8947,8914,8914,110,1480000
8,SBV,HOSE,14/01/2019,,8647,8714,8581,8581,4790,62000000
9,SBV,HOSE,15/01/2019,,8814,8814,8581,8581,1090,14080000
10,SBV,HOSE,16/01/2019,,8581,8614,8315,8348,3350,42000000
11,SBV,HOSE,17/01/2019,,8348,8814,8348,8681,380,5000000
12,SBV,HOSE,18/01/2019,,8647,9013,8381,9013,13160,168830000
13,SBV,HOSE,21/01/2019,,8780,8780,8780,8780,670,8840000
14,SBV,HOSE,22/01/2019,,8780,8980,8647,8647,6150,80180000
15,SBV,HOSE,23/01/2019,,8381,8381,8381,8381,2450,30870000
16,SBV,HOSE,24/01/2019,,8381,8747,8381,8747,80,1040000
17,SBV,HOSE,25/01/2019,,8448,8980,8448,8980,3000,39620000
18,SBV,HOSE,28/01/2019,,8847,8847,8847,8847,850,11310000
19,SBV,HOSE,29/01/2019,,8514,8581,8514,8581,250,3210000
20,SBV,HOSE,30/01/2019,,8780,8980,8581,8581,5090,66010000
21,SBV,HOSE,31/01/2019,,7982,8049,7982,7982,12770,153300000
22,SBV,HOSE,01/02/2019,,8315,8315,7982,7982,1580,19290000
23,SBV,HOSE,11/02/2019,,7483,8149,7450,8149,11020,124350000
24,SBV,HOSE,12/02/2019,,7616,7982,7583,7650,5280,60550000
25,SBV,HOSE,13/02/2019,,7583,7616,7583,7583,13940,158940000
26,SBV,HOSE,14/02/2019,,7317,7517,7251,7251,3220,35540000
27,SBV,HOSE,15/02/2019,,7018,7650,7018,7650,6550,69430000
28,SBV,HOSE,18/02/2019,,7650,7949,7650,7949,13480,155120000
29,SBV,HOSE,19/02/2019,,8115,8481,8115,8481,5460,68280000
30,SBV,HOSE,20/02/2019,,8514,8914,8282,8647,6180,78250000
31,SBV,HOSE,21/02/2019,,8647,8647,8315,8647,4150,52940000
32,SBV,HOSE,22/02/2019,,8647,8647,8381,8448,9050,117450000
33,SBV,HOSE,25/02/2019,,8381,8980,8381,8947,1610,20460000
34,SBV,HOSE,26/02/2019,,8980,9113,8780,8914,2610,34480000
35,SBV,HOSE,27/02/2019,,8980,9047,8914,8980,2520,34050000
36,SBV,HOSE,28/02/2019,,8980,9113,8847,9113,1030,13900000
37,SBV,HOSE,01/03/2019,,9113,9113,8914,8914,660,8950000
38,SBV,HOSE,04/03/2019,,8780,8914,8780,8914,240,3180000
39,SBV,HOSE,05/03/2019,,8914,8914,8647,8647,3790,49570000
40,SBV,HOSE,06/03/2019,,8681,8880,8681,8880,1840,24040000
41,SBV,HOSE,07/03/2019,,8780,8914,8647,8914,2400,31570000
