,Symbol,Market,TradingDate,Time,Open,High,Low,Close,Volume,Value
0,SCD,HOSE,02/01/2019,,20286,20286,20286,20286,2060,43260000
1,SCD,HOSE,03/01/2019,,20286,20286,20286,20286,130,2730000
2,SCD,HOSE,04/01/2019,,20286,20286,20286,20286,10,210000
3,SCD,HOSE,07/01/2019,,19803,21155,19803,21155,20,420000
4,SCD,HOSE,08/01/2019,,21155,21155,20286,20286,6080,128900000
5,SCD,HOSE,09/01/2019,,21252,21252,21252,21252,10,220000
6,SCD,HOSE,10/01/2019,,20286,20286,20286,20286,2130,44730000
7,SCD,HOSE,11/01/2019,,19127,21252,19127,21252,110,2200000
8,SCD,HOSE,14/01/2019,,20962,20962,20962,20962,7000,152000000
9,SCD,HOSE,15/01/2019,,19996,20962,19996,20962,25160,520970000
10,SCD,HOSE,16/01/2019,,21252,21252,21252,21252,10,0
11,SCD,HOSE,17/01/2019,,21252,21252,21252,21252,0,0
12,SCD,HOSE,18/01/2019,,21252,21252,21252,21252,30,660000
13,SCD,HOSE,21/01/2019,,21252,21252,21252,21252,0,0
14,SCD,HOSE,22/01/2019,,21252,21252,21252,21252,0,0
15,SCD,HOSE,23/01/2019,,21252,21252,21252,21252,0,0
16,SCD,HOSE,24/01/2019,,21252,21252,21252,21252,10,220000
17,SCD,HOSE,25/01/2019,,21155,21155,20286,20286,2040,43700000
18,SCD,HOSE,28/01/2019,,21687,21687,21687,21687,10,220000
19,SCD,HOSE,29/01/2019,,23087,23087,20189,21735,760,16050000
20,SCD,HOSE,30/01/2019,,21735,21735,21735,21735,0,0
21,SCD,HOSE,31/01/2019,,21735,23184,21735,23184,13340,312240000
22,SCD,HOSE,01/02/2019,,23039,23667,21638,21638,3160,76220000
23,SCD,HOSE,11/02/2019,,23136,23136,23136,23136,60,1440000
24,SCD,HOSE,12/02/2019,,24633,24633,23184,23667,50,1230000
25,SCD,HOSE,13/02/2019,,25019,25019,23860,23860,20,510000
26,SCD,HOSE,14/02/2019,,23860,24150,23667,24150,2500,61990000
27,SCD,HOSE,15/02/2019,,23860,24053,23860,24053,210,5210000
28,SCD,HOSE,18/02/2019,,23860,23860,23860,23860,140,3460000
29,SCD,HOSE,19/02/2019,,23184,23184,22701,22701,2000,47750000
30,SCD,HOSE,20/02/2019,,22025,22701,22025,22701,170,3880000
31,SCD,HOSE,21/02/2019,,21928,22701,21735,22701,510,11550000
32,SCD,HOSE,22/02/2019,,22701,23667,22701,22701,1190,28080000
33,SCD,HOSE,25/02/2019,,22701,22701,22701,22701,200,4700000
34,SCD,HOSE,26/02/2019,,24150,24150,22701,22701,1010,23750000
35,SCD,HOSE,27/02/2019,,22701,22701,22701,22701,0,0
36,SCD,HOSE,28/02/2019,,22701,23184,22701,23184,1120,26360000
37,SCD,HOSE,01/03/2019,,23184,23184,22556,23184,650,15310000
38,SCD,HOSE,04/03/2019,,22701,22991,22315,22315,120,2820000
39,SCD,HOSE,05/03/2019,,22991,22991,22991,22991,10,240000
40,SCD,HOSE,06/03/2019,,22991,22991,22991,22991,270,6430000
41,SCD,HOSE,07/03/2019,,21397,23087,21397,22315,50,1160000
42,SCD,HOSE,08/03/2019,,22218,22701,21349,22701,380,8470000
43,SCD,HOSE,11/03/2019,,22218,22218,21349,22121,910,20920000
44,SCD,HOSE,12/03/2019,,22121,22121,22121,22121,0,0
45,SCD,HOSE,13/03/2019,,22025,22218,21542,21542,2190,50330000
46,SCD,HOSE,14/03/2019,,21735,22218,21638,22218,110,2480000
47,SCD,HOSE,15/03/2019,,22218,22218,22218,22218,0,0
48,SCD,HOSE,18/03/2019,,22218,22218,20817,20817,4240,93890000
49,SCD,HOSE,19/03/2019,,20817,20817,20817,20817,0,0
50,SCD,HOSE,20/03/2019,,22266,22266,19900,22218,590,13480000
51,SCD,HOSE,21/03/2019,,22218,22218,22218,22218,0,0
52,SCD,HOSE,22/03/2019,,21590,21638,21252,21638,360,8010000
53,SCD,HOSE,25/03/2019,,21204,21204,20286,20286,1320,27820000
54,SCD,HOSE,26/03/2019,,20286,20286,20286,20286,0,0
