,Symbol,Market,TradingDate,Time,Open,High,Low,Close,Volume,Value
0,SFC,HOSE,02/01/2019,,15901,15901,15901,15901,0,0
1,SFC,HOSE,03/01/2019,,15901,15901,15901,15901,0,0
2,SFC,HOSE,04/01/2019,,15901,15901,15901,15901,0,0
3,SFC,HOSE,07/01/2019,,15901,15901,15901,15901,0,0
4,SFC,HOSE,08/01/2019,,15901,15901,15901,15901,0,0
5,SFC,HOSE,09/01/2019,,15901,15901,15901,15901,0,0
6,SFC,HOSE,10/01/2019,,15901,15901,15901,15901,0,0
7,SFC,HOSE,11/01/2019,,15901,15901,15901,15901,0,0
8,SFC,HOSE,14/01/2019,,15901,15901,15901,15901,0,0
9,SFC,HOSE,15/01/2019,,15901,15901,15901,15901,0,0
10,SFC,HOSE,16/01/2019,,15901,15901,15901,15901,0,0
11,SFC,HOSE,17/01/2019,,15901,15901,15901,15901,0,0
12,SFC,HOSE,18/01/2019,,15901,15901,15901,15901,0,0
13,SFC,HOSE,21/01/2019,,15901,15901,15901,15901,0,0
14,SFC,HOSE,22/01/2019,,15901,15901,15901,15901,0,0
15,SFC,HOSE,23/01/2019,,15901,15901,15901,15901,0,0
16,SFC,HOSE,24/01/2019,,15901,15901,15901,15901,0,0
17,SFC,HOSE,25/01/2019,,15901,15901,15901,15901,0,0
18,SFC,HOSE,28/01/2019,,15901,15901,15901,15901,0,0
19,SFC,HOSE,29/01/2019,,15901,15901,15901,15901,0,0
20,SFC,HOSE,30/01/2019,,15901,15901,15901,15901,0,0
21,SFC,HOSE,31/01/2019,,15901,15901,15901,15901,0,0
22,SFC,HOSE,01/02/2019,,15901,15901,15901,15901,0,0
23,SFC,HOSE,11/02/2019,,15901,15901,15901,15901,0,0
24,SFC,HOSE,12/02/2019,,15583,15583,14788,14788,50,1180000
25,SFC,HOSE,13/02/2019,,14788,14788,14788,14788,0,0
26,SFC,HOSE,14/02/2019,,14788,14788,14788,14788,0,0
27,SFC,HOSE,15/02/2019,,14629,14629,13993,13993,450,9920000
28,SFC,HOSE,18/02/2019,,13993,13993,13993,13993,0,0
29,SFC,HOSE,19/02/2019,,13993,13993,13993,13993,0,0
30,SFC,HOSE,20/02/2019,,13993,13993,13993,13993,0,0
31,SFC,HOSE,21/02/2019,,13993,13993,13993,13993,0,0
32,SFC,HOSE,22/02/2019,,13993,13993,13993,13993,0,0
33,SFC,HOSE,25/02/2019,,13993,13993,13993,13993,0,0
34,SFC,HOSE,26/02/2019,,13993,14947,13993,14947,140,3110000
35,SFC,HOSE,27/02/2019,,15265,15265,15265,15265,20,480000
36,SFC,HOSE,28/02/2019,,16219,16315,15265,16156,2550,64400000
37,SFC,HOSE,01/03/2019,,16156,16506,16156,16506,1860,47710000
38,SFC,HOSE,04/03/2019,,16029,16474,15901,16474,1530,38580000
39,SFC,HOSE,05/03/2019,,16474,16474,16410,16410,1630,42180000
40,SFC,HOSE,06/03/2019,,16410,16506,16251,16506,1960,50450000
41,SFC,HOSE,07/03/2019,,16537,17110,16537,16855,6610,174640000
42,SFC,HOSE,08/03/2019,,17014,17173,17014,17173,4090,109730000
43,SFC,HOSE,11/03/2019,,17173,17173,17173,17173,100,2400000
44,SFC,HOSE,12/03/2019,,17531,17531,17531,17531,210,5150000
45,SFC,HOSE,13/03/2019,,17853,17853,17531,17531,3270,81580000
46,SFC,HOSE,14/03/2019,,17173,17173,17173,17173,100,2400000
47,SFC,HOSE,15/03/2019,,17173,17173,17173,17173,1040,24960000
48,SFC,HOSE,18/03/2019,,17173,17173,17173,17173,590,14160000
49,SFC,HOSE,19/03/2019,,17173,17173,17173,17173,1000,24000000
50,SFC,HOSE,20/03/2019,,17495,17495,17495,17495,250,6110000
51,SFC,HOSE,21/03/2019,,17674,17674,17173,17173,300,7310000
52,SFC,HOSE,22/03/2019,,17173,17173,17173,17173,500,12000000
53,SFC,HOSE,25/03/2019,,17173,17173,17173,17173,1000,24000000
54,SFC,HOSE,26/03/2019,,17030,17281,17030,17173,2660,64000000
55,SFC,HOSE,27/03/2019,,17173,17173,17173,17173,1000,24000000
56,SFC,HOSE,28/03/2019,,17173,17173,17102,17102,1700,41000000
57,SFC,HOSE,29/03/2019,,17102,17102,16601,16601,700,17000000
58,SFC,HOSE,01/04/2019,,16386,16458,16243,16458,11360,258760000
59,SFC,HOSE,02/04/2019,,16458,16458,16458,16458,1840,42320000
60,SFC,HOSE,03/04/2019,,16458,16458,16458,16458,0,0
61,SFC,HOSE,04/04/2019,,16458,16458,16458,16458,0,0
62,SFC,HOSE,05/04/2019,,17173,17173,17173,17173,300,7200000
63,SFC,HOSE,08/04/2019,,17173,17173,16815,16815,1260,29970000
64,SFC,HOSE,09/04/2019,,17173,17173,16815,16815,1810,42650000
65,SFC,HOSE,10/04/2019,,17173,17173,17173,17173,11790,282960000
66,SFC,HOSE,11/04/2019,,17137,17137,17137,17137,50,1200000
67,SFC,HOSE,12/04/2019,,17817,17817,17817,17817,100,2490000
68,SFC,HOSE,16/04/2019,,16815,16815,16815,16815,300,7050000
69,SFC,HOSE,17/04/2019,,16815,16815,16815,16815,0,0
70,SFC,HOSE,18/04/2019,,16815,16815,16815,16815,10,240000
71,SFC,HOSE,19/04/2019,,16815,16815,16815,16815,0,0
72,SFC,HOSE,22/04/2019,,16815,16815,16815,16815,0,0
73,SFC,HOSE,23/04/2019,,16815,16815,16815,16815,0,0
74,SFC,HOSE,24/04/2019,,16815,16815,16815,16815,0,0
75,SFC,HOSE,25/04/2019,,15778,17388,15778,17388,800,17.66
76,SFC,HOSE,26/04/2019,,17388,17388,17388,17388,0,0
77,SFC,HOSE,02/05/2019,,17388,17388,17388,17388,0,0
78,SFC,HOSE,03/05/2019,,17495,17495,16458,16458,800,18430000
79,SFC,HOSE,06/05/2019,,16458,16458,16458,16458,0,0
80,SFC,HOSE,07/05/2019,,16458,16458,16458,16458,0,0
81,SFC,HOSE,08/05/2019,,16458,16458,16458,16458,10,230000
82,SFC,HOSE,09/05/2019,,17459,17459,17459,17459,10,240000
83,SFC,HOSE,10/05/2019,,16458,16458,16458,16458,350,8050000
84,SFC,HOSE,13/05/2019,,16458,16458,16458,16458,0,0
85,SFC,HOSE,14/05/2019,,15420,17173,15420,17137,1170,25480000
86,SFC,HOSE,15/05/2019,,16458,17137,16458,17137,420,9680000
87,SFC,HOSE,16/05/2019,,17137,17531,17137,17531,40,960000
88,SFC,HOSE,17/05/2019,,16458,16458,16386,16458,1050,24000000
89,SFC,HOSE,20/05/2019,,15635,15635,15635,15635,20,440000
90,SFC,HOSE,21/05/2019,,15742,15993,15742,15993,1060,23680000
91,SFC,HOSE,22/05/2019,,16064,16064,16064,16064,50,1120000
92,SFC,HOSE,23/05/2019,,16064,16064,16064,16064,10,0
93,SFC,HOSE,24/05/2019,,15814,16100,15814,16100,990,22120000
94,SFC,HOSE,27/05/2019,,16100,16100,16100,16100,0,0
95,SFC,HOSE,28/05/2019,,16100,16100,16100,16100,150,3380000
96,SFC,HOSE,29/05/2019,,16100,16100,16100,16100,300,6750000
97,SFC,HOSE,30/05/2019,,16458,16601,16458,16601,1010,23310000
98,SFC,HOSE,31/05/2019,,17531,17531,17531,17531,50,1230000
99,SFC,HOSE,03/06/2019,,17567,17567,17567,17567,3000,73650000
100,SFC,HOSE,04/06/2019,,16458,16458,16422,16458,1000,23000000
101,SFC,HOSE,05/06/2019,,16458,16458,16458,16458,0,0
102,SFC,HOSE,06/06/2019,,16458,16458,16458,16458,1530,35190000
103,SFC,HOSE,07/06/2019,,16100,16100,16100,16100,10,230000
104,SFC,HOSE,10/06/2019,,16100,16100,16100,16100,0,0
105,SFC,HOSE,11/06/2019,,16100,16100,16100,16100,760,17100000
106,SFC,HOSE,12/06/2019,,16100,16100,16100,16100,0,0
107,SFC,HOSE,13/06/2019,,16100,16100,16100,16100,0,0
108,SFC,HOSE,14/06/2019,,16100,16100,16100,16100,0,0
109,SFC,HOSE,17/06/2019,,16100,16100,16100,16100,0,0
110,SFC,HOSE,18/06/2019,,16171,16171,16171,16171,10,230000
111,SFC,HOSE,19/06/2019,,16171,16171,16171,16171,0,0
112,SFC,HOSE,20/06/2019,,16171,16171,16171,16171,0,0
113,SFC,HOSE,21/06/2019,,16100,16100,16100,16100,10,230000
114,SFC,HOSE,24/06/2019,,16100,17209,16100,16100,70,1590000
115,SFC,HOSE,25/06/2019,,16136,16171,16136,16171,210,4740000
116,SFC,HOSE,26/06/2019,,16171,16171,16171,16171,0,0
117,SFC,HOSE,27/06/2019,,16171,16171,16171,16171,0,0
118,SFC,HOSE,28/06/2019,,16815,16815,16815,16815,10,240000
119,SFC,HOSE,01/07/2019,,17567,17567,16815,16815,300,7160000
120,SFC,HOSE,02/07/2019,,16815,16815,16815,16815,0,0
121,SFC,HOSE,03/07/2019,,16815,16815,16815,16815,0,0
122,SFC,HOSE,04/07/2019,,16815,16815,16815,16815,0,0
123,SFC,HOSE,05/07/2019,,16815,16815,16815,16815,200,4700000
124,SFC,HOSE,08/07/2019,,16815,16815,16815,16815,0,0
125,SFC,HOSE,09/07/2019,,16815,16815,16815,16815,0,0
126,SFC,HOSE,10/07/2019,,16171,16171,16100,16171,2520,56780000
