,Symbol,Market,TradingDate,Time,Open,High,Low,Close,Volume,Value
0,SGT,HOSE,02/01/2019,,3657,3657,3657,3657,1500,7970000
1,SGT,HOSE,03/01/2019,,3402,3402,3402,3402,570,2820000
2,SGT,HOSE,04/01/2019,,3402,3402,3402,3402,0,0
3,SGT,HOSE,07/01/2019,,3375,3512,3375,3512,20,100000
4,SGT,HOSE,08/01/2019,,3512,3512,3512,3512,0,0
5,SGT,HOSE,09/01/2019,,3512,3512,3512,3512,0,0
6,SGT,HOSE,10/01/2019,,3278,3505,3271,3444,5760,27490000
7,SGT,HOSE,11/01/2019,,3237,3237,3237,3237,2540,11940000
8,SGT,HOSE,14/01/2019,,3237,3237,3237,3237,0,0
9,SGT,HOSE,15/01/2019,,3444,3444,3444,3444,10,50000
10,SGT,HOSE,16/01/2019,,3444,3444,3444,3444,200,1000000
11,SGT,HOSE,17/01/2019,,3444,3444,3444,3444,0,0
12,SGT,HOSE,18/01/2019,,3444,3444,3444,3444,0,0
13,SGT,HOSE,21/01/2019,,3444,3444,3444,3444,0,0
14,SGT,HOSE,22/01/2019,,3671,3671,3671,3671,20,110000
15,SGT,HOSE,23/01/2019,,3671,3671,3671,3671,0,0
16,SGT,HOSE,24/01/2019,,3719,3719,3719,3719,10,50000
17,SGT,HOSE,25/01/2019,,3719,3719,3719,3719,0,0
18,SGT,HOSE,28/01/2019,,3719,3719,3719,3719,0,0
19,SGT,HOSE,29/01/2019,,3719,3719,3719,3719,0,0
20,SGT,HOSE,30/01/2019,,3464,3685,3464,3685,200,1040000
21,SGT,HOSE,31/01/2019,,3471,3685,3450,3685,4040,20340000
22,SGT,HOSE,01/02/2019,,3450,3926,3444,3926,9000,45150000
23,SGT,HOSE,11/02/2019,,3926,3926,3926,3926,510,2910000
24,SGT,HOSE,12/02/2019,,3664,3664,3657,3657,6370,33830000
25,SGT,HOSE,13/02/2019,,3719,3719,3719,3719,2700,14580000
26,SGT,HOSE,14/02/2019,,3719,3719,3719,3719,0,0
27,SGT,HOSE,15/02/2019,,3512,3512,3512,3512,280,1430000
28,SGT,HOSE,18/02/2019,,3719,3719,3719,3719,120,650000
29,SGT,HOSE,19/02/2019,,3719,3719,3719,3719,290,1570000
30,SGT,HOSE,20/02/2019,,3857,3926,3857,3926,250,1410000
31,SGT,HOSE,21/02/2019,,3960,3960,3891,3960,30,170000
32,SGT,HOSE,22/02/2019,,3960,3994,3685,3685,15520,88600000
33,SGT,HOSE,25/02/2019,,3650,3650,3650,3650,130,690000
34,SGT,HOSE,26/02/2019,,3905,3905,3512,3512,130,690000
35,SGT,HOSE,27/02/2019,,3512,3512,3457,3512,3590,18310000
36,SGT,HOSE,28/02/2019,,3753,3753,3512,3753,150,800000
37,SGT,HOSE,01/03/2019,,3981,3981,3960,3960,20,120000
38,SGT,HOSE,04/03/2019,,3685,3960,3685,3719,400,2150000
39,SGT,HOSE,05/03/2019,,3926,3926,3926,3926,10,60000
40,SGT,HOSE,06/03/2019,,3926,3926,3926,3926,150,860000
41,SGT,HOSE,07/03/2019,,3788,3857,3788,3857,110,620000
42,SGT,HOSE,08/03/2019,,3616,3616,3588,3616,1230,6460000
43,SGT,HOSE,11/03/2019,,3444,3444,3444,3444,170,850000
44,SGT,HOSE,12/03/2019,,3678,3685,3444,3444,1270,6710000
45,SGT,HOSE,13/03/2019,,3444,3512,3444,3457,830,4170000
46,SGT,HOSE,14/03/2019,,3650,3650,3457,3457,1120,5660000
47,SGT,HOSE,15/03/2019,,3464,3698,3457,3698,8860,44670000
48,SGT,HOSE,18/03/2019,,3788,3788,3698,3719,5300,28620000
49,SGT,HOSE,19/03/2019,,3512,3719,3512,3719,2640,13520000
50,SGT,HOSE,20/03/2019,,3719,3719,3719,3719,100,540000
51,SGT,HOSE,21/03/2019,,3926,3926,3926,3926,140,800000
52,SGT,HOSE,22/03/2019,,3926,3926,3926,3926,0,0
53,SGT,HOSE,25/03/2019,,3857,3857,3857,3857,200,1120000
54,SGT,HOSE,26/03/2019,,3650,3657,3650,3650,10560,56000000
55,SGT,HOSE,27/03/2019,,3650,3650,3650,3650,0,0
56,SGT,HOSE,28/03/2019,,3650,3650,3650,3650,0,0
57,SGT,HOSE,29/03/2019,,3616,3650,3616,3650,170,1000000
58,SGT,HOSE,01/04/2019,,3650,3719,3595,3719,1700,9140000
59,SGT,HOSE,02/04/2019,,3719,3719,3719,3719,10600,57240000
60,SGT,HOSE,03/04/2019,,3788,3974,3788,3974,2990,16830000
61,SGT,HOSE,04/04/2019,,3981,4249,3981,4249,8570,51810000
62,SGT,HOSE,05/04/2019,,4249,4249,3953,3994,1780,10320000
63,SGT,HOSE,08/04/2019,,4063,4270,4063,4270,17460,107900000
64,SGT,HOSE,09/04/2019,,4477,4566,4477,4566,36130,239420000
65,SGT,HOSE,10/04/2019,,4752,4752,4752,4752,2100,14490000
66,SGT,HOSE,11/04/2019,,4959,5028,4752,4821,125640,898580000
67,SGT,HOSE,12/04/2019,,5096,5103,4649,4690,23830,164620000
68,SGT,HOSE,16/04/2019,,4690,4690,4683,4683,20230,137740000
69,SGT,HOSE,17/04/2019,,4614,4752,4545,4683,19760,134730000
