,Symbol,Market,TradingDate,Time,Open,High,Low,Close,Volume,Value
0,SHB,HNX,02/01/2019,,3271,3271,3182,3227,2033485,14656406500
1,SHB,HNX,03/01/2019,,3227,3271,3092,3137,6882054,48475971500
2,SHB,HNX,04/01/2019,,3137,3182,3092,3137,3820522,26597399200
3,SHB,HNX,07/01/2019,,3182,3227,3137,3227,2727864,19572596500
4,SHB,HNX,08/01/2019,,3227,3227,3137,3137,1689051,11909097500
5,SHB,HNX,09/01/2019,,3182,3227,3137,3227,3395083,24289460200
6,SHB,HNX,10/01/2019,,3227,3227,3137,3137,3572910,25314700000
7,SHB,HNX,11/01/2019,,3137,3182,3137,3137,2306683,16335880400
8,SHB,HNX,14/01/2019,,3182,3227,3137,3137,5212044,37121558300
9,SHB,HNX,15/01/2019,,3137,3227,3092,3182,3934698,27766254900
10,SHB,HNX,16/01/2019,,3182,3227,3137,3137,1316558,9310870400
11,SHB,HNX,17/01/2019,,3182,3182,3137,3137,2192409,15448956200
12,SHB,HNX,18/01/2019,,3182,3182,3137,3137,2322572,16263309200
13,SHB,HNX,21/01/2019,,3137,3271,3137,3227,7800814,55880211300
14,SHB,HNX,22/01/2019,,3227,3271,3137,3137,2980253,21236059600
15,SHB,HNX,23/01/2019,,3137,3227,3137,3182,986585,6999008400
16,SHB,HNX,24/01/2019,,3182,3227,3137,3182,3546651,25183730000
17,SHB,HNX,25/01/2019,,3227,3227,3137,3182,2046634,14535931700
18,SHB,HNX,28/01/2019,,3227,3227,3137,3182,4082476,29137278800
19,SHB,HNX,29/01/2019,,3182,3182,3137,3182,1784661,12586031000
20,SHB,HNX,30/01/2019,,3182,3227,3137,3227,3354788,23852583100
21,SHB,HNX,31/01/2019,,3182,3271,3182,3227,3127875,22517798100
22,SHB,HNX,01/02/2019,,3182,3227,3182,3227,1495350,10733828400
23,SHB,HNX,11/02/2019,,3182,3451,3182,3406,9468726,70590205500
24,SHB,HNX,12/02/2019,,3361,3451,3361,3451,7180566,54520423600
25,SHB,HNX,13/02/2019,,3451,3496,3406,3451,6728714,51843541800
26,SHB,HNX,14/02/2019,,3451,3540,3406,3540,9152025,71489927900
27,SHB,HNX,15/02/2019,,3540,3540,3451,3451,6955297,54114889900
28,SHB,HNX,18/02/2019,,3451,3496,3406,3451,5593251,43084041100
29,SHB,HNX,19/02/2019,,3451,3496,3361,3361,7813159,59727895700
30,SHB,HNX,20/02/2019,,3361,3451,3361,3361,4970891,37565123700
31,SHB,HNX,21/02/2019,,3361,3451,3361,3361,2822196,21324823100
32,SHB,HNX,22/02/2019,,3406,3496,3361,3406,5760463,43901287600
33,SHB,HNX,25/02/2019,,3406,3496,3406,3406,4821870,36900245600
34,SHB,HNX,26/02/2019,,3451,3451,3361,3406,4584332,34624217500
35,SHB,HNX,27/02/2019,,3361,3451,3361,3406,4203700,31943887900
36,SHB,HNX,28/02/2019,,3406,3406,3316,3316,4771835,35636932400
37,SHB,HNX,01/03/2019,,3316,3406,3316,3406,3959591,29726701600
38,SHB,HNX,04/03/2019,,3361,3451,3361,3406,4671322,35438274700
39,SHB,HNX,05/03/2019,,3406,3451,3361,3361,4242228,32223233400
40,SHB,HNX,06/03/2019,,3361,3451,3361,3406,4924862,37433795200
41,SHB,HNX,07/03/2019,,3406,3585,3406,3540,18895406,147219666300
42,SHB,HNX,08/03/2019,,3540,3540,3451,3496,5751186,44720330500
43,SHB,HNX,11/03/2019,,3496,3540,3451,3496,2760603,21363633200
44,SHB,HNX,12/03/2019,,3496,3630,3451,3630,12186115,96219223500
45,SHB,HNX,13/03/2019,,3630,3720,3540,3540,15340168,124000135900
46,SHB,HNX,14/03/2019,,3540,3630,3540,3540,4877970,38925198600
47,SHB,HNX,15/03/2019,,3540,3630,3540,3585,6504595,52024884400
48,SHB,HNX,18/03/2019,,3585,3630,3540,3585,4357444,34880157000
49,SHB,HNX,19/03/2019,,3585,3630,3540,3540,9026975,72032739200
50,SHB,HNX,20/03/2019,,3540,3540,3451,3496,6551630,51073733200
51,SHB,HNX,21/03/2019,,3540,3540,3451,3451,6578268,51059725400
52,SHB,HNX,22/03/2019,,3451,3451,3406,3451,4204525,32267403500
53,SHB,HNX,25/03/2019,,3406,3406,3316,3316,8605126,64371170700
54,SHB,HNX,26/03/2019,,3316,3406,3316,3316,4178627,31322334900
55,SHB,HNX,27/03/2019,,3361,3451,3361,3406,5114273,38825490000
56,SHB,HNX,28/03/2019,,3451,3451,3361,3406,2475298,18795327800
57,SHB,HNX,29/03/2019,,3406,3451,3361,3361,1433927,10871700800
58,SHB,HNX,01/04/2019,,3406,3451,3361,3451,1837471,13980453400
59,SHB,HNX,02/04/2019,,3451,3496,3361,3406,1895038,14470141500
60,SHB,HNX,03/04/2019,,3406,3451,3361,3406,701166,5306244600
61,SHB,HNX,04/04/2019,,3406,3406,3361,3406,4877249,36630590800
62,SHB,HNX,05/04/2019,,3406,3406,3361,3361,698791,5247716000
63,SHB,HNX,08/04/2019,,3361,3451,3361,3451,2864982,21740043800
64,SHB,HNX,09/04/2019,,3451,3451,3361,3361,2670693,20297929800
65,SHB,HNX,10/04/2019,,3406,3406,3316,3361,2464239,18481997400
66,SHB,HNX,11/04/2019,,3361,3406,3361,3406,1650873,12411121400
67,SHB,HNX,12/04/2019,,3361,3406,3316,3361,1590806,11931211000
68,SHB,HNX,16/04/2019,,3361,3406,3271,3406,5268355,39416456800
69,SHB,HNX,17/04/2019,,3406,3406,3316,3316,1125252,8425286700
70,SHB,HNX,18/04/2019,,3361,3406,3316,3316,2975338,22262583900
71,SHB,HNX,19/04/2019,,3361,3406,3316,3361,2359687,17698769400
72,SHB,HNX,22/04/2019,,3406,3406,3316,3361,2006486,15033890900
73,SHB,HNX,23/04/2019,,3361,3406,3316,3361,2541541,19057265500
74,SHB,HNX,24/04/2019,,3361,3451,3361,3361,7729553,58933963200
75,SHB,HNX,25/04/2019,,3361,3451,3361,3361,2022765,15262878500
76,SHB,HNX,26/04/2019,,3047,3406,3047,3361,2091608,15795156000
77,SHB,HNX,02/05/2019,,3406,3406,3316,3361,3938332,29536083200
78,SHB,HNX,03/05/2019,,3361,3406,3316,3316,2207117,16529536700
79,SHB,HNX,06/05/2019,,3316,3361,3227,3271,8405734,61658049500
80,SHB,HNX,07/05/2019,,3316,3361,3271,3271,2319566,17111395100
81,SHB,HNX,08/05/2019,,3271,3316,3227,3316,2678366,19582838100
82,SHB,HNX,09/05/2019,,3316,3316,3271,3316,1431012,10486701600
83,SHB,HNX,10/05/2019,,3316,3316,3271,3316,931795,6877467400
84,SHB,HNX,13/05/2019,,3316,3361,3271,3316,5498529,40533744700
85,SHB,HNX,14/05/2019,,3316,3316,3271,3271,1391348,10159224500
86,SHB,HNX,15/05/2019,,3316,3361,3271,3316,3929938,29069754200
87,SHB,HNX,16/05/2019,,3316,3361,3271,3316,3043754,22519386300
88,SHB,HNX,17/05/2019,,3316,3361,3271,3271,7641525,56503887900
89,SHB,HNX,20/05/2019,,3316,3316,3271,3271,2016565,14755003300
90,SHB,HNX,21/05/2019,,3271,3316,3227,3227,3331288,24312271700
91,SHB,HNX,22/05/2019,,3227,3316,3182,3227,9419235,68385282000
92,SHB,HNX,23/05/2019,,3227,3271,3227,3271,1146944,8288153800
93,SHB,HNX,24/05/2019,,3271,3271,3182,3182,2495230,17883376000
94,SHB,HNX,27/05/2019,,3182,3227,3182,3182,2308990,16413815100
