,Symbol,Market,TradingDate,Time,Open,High,Low,Close,Volume,Value
0,SJD,HOSE,02/01/2019,,13332,13332,13238,13238,35890,765450000
1,SJD,HOSE,03/01/2019,,13238,13238,12927,13051,83180,1746420000
2,SJD,HOSE,04/01/2019,,13082,13082,12958,13051,41060,857620000
3,SJD,HOSE,07/01/2019,,13207,13332,13145,13176,16140,341440000
4,SJD,HOSE,08/01/2019,,13020,13145,12989,13082,9580,200970000
5,SJD,HOSE,09/01/2019,,13145,13176,13082,13114,26680,561570000
6,SJD,HOSE,10/01/2019,,13082,13145,12958,12958,22260,464110000
7,SJD,HOSE,11/01/2019,,12958,13145,12958,13082,25010,525320000
8,SJD,HOSE,14/01/2019,,13145,13145,13020,13020,21720,455000000
9,SJD,HOSE,15/01/2019,,13082,13082,12958,12958,11410,238130000
10,SJD,HOSE,16/01/2019,,12958,13082,12958,13051,27070,567000000
11,SJD,HOSE,17/01/2019,,13082,13082,12989,12989,13580,284000000
12,SJD,HOSE,18/01/2019,,13020,13020,12864,13020,17410,361540000
13,SJD,HOSE,21/01/2019,,13020,13020,12709,12833,75130,1547860000
14,SJD,HOSE,22/01/2019,,12864,12864,12646,12709,36960,755420000
15,SJD,HOSE,23/01/2019,,12709,12709,12646,12709,22440,456500000
16,SJD,HOSE,24/01/2019,,12709,13020,12646,12833,26270,535290000
17,SJD,HOSE,25/01/2019,,12771,12833,12677,12771,23860,487860000
18,SJD,HOSE,28/01/2019,,12802,12958,12677,12927,35030,717390000
19,SJD,HOSE,29/01/2019,,12896,12927,12677,12927,37750,771210000
20,SJD,HOSE,30/01/2019,,12958,12958,12709,12709,15260,312690000
21,SJD,HOSE,31/01/2019,,12677,13082,12677,12771,7050,145190000
22,SJD,HOSE,01/02/2019,,12958,12958,12709,12833,11220,229160000
23,SJD,HOSE,11/02/2019,,12896,12896,12771,12833,11600,238750000
24,SJD,HOSE,12/02/2019,,12771,12864,12646,12864,57770,1185390000
25,SJD,HOSE,13/02/2019,,12927,13269,12927,13269,96540,2026180000
26,SJD,HOSE,14/02/2019,,13269,13394,13145,13363,69810,1491100000
27,SJD,HOSE,15/02/2019,,13363,13456,13363,13363,27490,591210000
28,SJD,HOSE,18/02/2019,,13332,13456,13332,13456,29380,632760000
29,SJD,HOSE,19/02/2019,,13456,13519,13332,13332,17740,381530000
30,SJD,HOSE,20/02/2019,,13425,13425,13082,13145,17210,363410000
31,SJD,HOSE,21/02/2019,,13082,13269,13082,13207,31150,656550000
32,SJD,HOSE,22/02/2019,,13207,13269,13145,13269,17280,366130000
33,SJD,HOSE,25/02/2019,,13269,13332,13145,13207,21830,464900000
34,SJD,HOSE,26/02/2019,,13207,13332,13207,13269,35130,748320000
35,SJD,HOSE,27/02/2019,,13207,13519,13207,13394,66160,1416920000
36,SJD,HOSE,28/02/2019,,13456,13612,13425,13550,101720,2209670000
37,SJD,HOSE,01/03/2019,,13519,13581,13456,13519,14880,322470000
38,SJD,HOSE,04/03/2019,,13176,13487,13176,13394,51200,1088450000
39,SJD,HOSE,05/03/2019,,13394,13487,13394,13487,37310,803530000
40,SJD,HOSE,06/03/2019,,13550,13550,13394,13519,14200,307740000
41,SJD,HOSE,07/03/2019,,13456,13581,13425,13550,52950,1149590000
42,SJD,HOSE,08/03/2019,,13581,13705,13581,13674,57970,1272900000
43,SJD,HOSE,11/03/2019,,13705,13705,13487,13487,27330,597920000
44,SJD,HOSE,12/03/2019,,13612,13612,13425,13581,71120,1542850000
45,SJD,HOSE,13/03/2019,,13674,13674,13581,13581,44920,981450000
46,SJD,HOSE,14/03/2019,,13674,13674,13519,13581,5770,130950000
47,SJD,HOSE,15/03/2019,,13705,13705,13456,13612,15250,330020000
48,SJD,HOSE,18/03/2019,,13643,13643,13487,13581,9180,199570000
49,SJD,HOSE,19/03/2019,,13581,13612,13425,13581,43310,935520000
50,SJD,HOSE,20/03/2019,,13519,13581,13425,13456,37040,802400000
51,SJD,HOSE,21/03/2019,,13456,13581,13394,13456,72740,1571290000
