,Symbol,Market,TradingDate,Time,Open,High,Low,Close,Volume,Value
0,SJS,HOSE,02/01/2019,,17883,17883,16842,16842,446760,8245150000
1,SJS,HOSE,03/01/2019,,16842,16937,15896,16085,240220,4145740000
2,SJS,HOSE,04/01/2019,,15849,16653,15707,16464,97180,1662620000
3,SJS,HOSE,07/01/2019,,16606,17032,16464,16748,284100,5078190000
4,SJS,HOSE,08/01/2019,,16890,16890,16322,16700,81810,1443820000
5,SJS,HOSE,09/01/2019,,16795,16795,16464,16748,61830,1091290000
6,SJS,HOSE,10/01/2019,,17032,17789,16653,17789,169810,3075860000
7,SJS,HOSE,11/01/2019,,17789,19019,17694,18687,382470,7505060000
8,SJS,HOSE,14/01/2019,,18924,19302,18451,19113,232590,4623000000
9,SJS,HOSE,15/01/2019,,18640,19539,18640,19208,513280,10515000000
10,SJS,HOSE,16/01/2019,,19019,19350,18451,18451,557290,11294000000
11,SJS,HOSE,17/01/2019,,18262,18829,18262,18451,37970,744000000
12,SJS,HOSE,18/01/2019,,18735,19728,18356,19586,390330,7774420000
13,SJS,HOSE,21/01/2019,,20296,20296,19492,19870,622900,13113790000
14,SJS,HOSE,22/01/2019,,19586,20154,19113,19965,311490,6497650000
15,SJS,HOSE,23/01/2019,,19397,19965,19397,19870,716280,15035150000
16,SJS,HOSE,24/01/2019,,19870,20343,19586,20343,686000,14546620000
17,SJS,HOSE,25/01/2019,,20343,21006,20343,21006,439440,9635160000
18,SJS,HOSE,28/01/2019,,21006,21479,20816,21242,383880,8587010000
19,SJS,HOSE,29/01/2019,,21290,21290,20438,20438,58820,1288970000
20,SJS,HOSE,30/01/2019,,20533,21195,20533,21006,365220,8089880000
21,SJS,HOSE,31/01/2019,,21290,21290,20438,20816,152870,3341500000
22,SJS,HOSE,01/02/2019,,20911,20911,20343,20722,184640,4032010000
23,SJS,HOSE,11/02/2019,,20722,21006,19870,20343,272840,5857460000
24,SJS,HOSE,12/02/2019,,20249,20627,20059,20533,302590,6468990000
25,SJS,HOSE,13/02/2019,,20816,20816,19870,20059,356810,7642160000
26,SJS,HOSE,14/02/2019,,20059,21431,19965,21290,289190,6337230000
27,SJS,HOSE,15/02/2019,,20722,21857,20722,21290,208630,4747260000
28,SJS,HOSE,18/02/2019,,21006,21290,20674,20816,205400,4531280000
29,SJS,HOSE,19/02/2019,,21195,21242,20580,20864,431630,9604260000
30,SJS,HOSE,20/02/2019,,20816,21195,20485,20485,126070,2769700000
31,SJS,HOSE,21/02/2019,,20722,21148,20438,20816,420200,9319740000
32,SJS,HOSE,22/02/2019,,20533,21100,20533,20816,161680,3563760000
33,SJS,HOSE,25/02/2019,,21668,21668,20343,20391,183270,3963060000
34,SJS,HOSE,26/02/2019,,20154,20438,19965,20012,267560,5687300000
35,SJS,HOSE,27/02/2019,,19965,20722,19870,20343,129630,2752930000
36,SJS,HOSE,28/02/2019,,20627,20627,20059,20059,100400,2142150000
37,SJS,HOSE,01/03/2019,,20343,20533,20059,20533,84840,1810240000
38,SJS,HOSE,04/03/2019,,20627,21100,20438,20816,224640,4938750000
39,SJS,HOSE,05/03/2019,,20816,21526,20816,20816,137010,3043280000
40,SJS,HOSE,06/03/2019,,21006,21006,20343,20769,125190,2706810000
41,SJS,HOSE,07/03/2019,,20722,20816,19870,19870,116670,2507150000
42,SJS,HOSE,08/03/2019,,19870,20674,19870,20249,245130,5247500000
43,SJS,HOSE,11/03/2019,,19965,20533,19965,20343,221580,4768590000
44,SJS,HOSE,12/03/2019,,20249,20674,20249,20674,310690,6718200000
45,SJS,HOSE,13/03/2019,,20769,21006,20343,20674,286780,6267520000
46,SJS,HOSE,14/03/2019,,20674,22094,20627,22094,632160,14635240000
47,SJS,HOSE,15/03/2019,,22614,23182,22425,22614,372330,8954780000
48,SJS,HOSE,18/03/2019,,22709,22709,22330,22567,288340,6864100000
49,SJS,HOSE,19/03/2019,,22520,23087,22236,22567,412060,9843230000
50,SJS,HOSE,20/03/2019,,22330,22567,21763,22094,139140,3252400000
51,SJS,HOSE,21/03/2019,,22283,23182,21952,22046,653580,15492750000
52,SJS,HOSE,22/03/2019,,22046,22661,22046,22661,312170,7366430000
53,SJS,HOSE,25/03/2019,,22188,22330,21952,22188,181080,4245880000
54,SJS,HOSE,26/03/2019,,22141,22141,21242,21715,180680,4128000000
55,SJS,HOSE,27/03/2019,,21715,22567,21479,22046,266900,6147000000
56,SJS,HOSE,28/03/2019,,22046,22425,21810,22094,474600,11118000000
57,SJS,HOSE,29/03/2019,,22236,22236,21857,22046,158250,3694000000
58,SJS,HOSE,01/04/2019,,21763,22283,21763,21763,174080,4041230000
59,SJS,HOSE,02/04/2019,,21952,21999,21526,21668,143320,3293850000
60,SJS,HOSE,03/04/2019,,21573,21763,21195,21573,118950,2704110000
61,SJS,HOSE,04/04/2019,,21573,22188,21431,22188,211640,4852170000
62,SJS,HOSE,05/04/2019,,22188,22661,22188,22425,291120,6915280000
63,SJS,HOSE,08/04/2019,,22236,22614,22236,22472,276950,6568310000
64,SJS,HOSE,09/04/2019,,22472,22614,22236,22425,183010,4338640000
65,SJS,HOSE,10/04/2019,,21952,22236,21763,21763,119370,2763040000
66,SJS,HOSE,11/04/2019,,21763,21857,21384,21573,71870,1642590000
67,SJS,HOSE,12/04/2019,,21573,21573,21290,21479,69040,1566230000
68,SJS,HOSE,16/04/2019,,21479,21715,21290,21290,206210,4655520000
69,SJS,HOSE,17/04/2019,,21479,21621,19823,19823,414660,9220340000
70,SJS,HOSE,18/04/2019,,19397,19681,18451,18451,345550,6845940000
71,SJS,HOSE,19/04/2019,,18262,18640,17315,18356,241980,4551740000
72,SJS,HOSE,22/04/2019,,17883,18214,17505,17789,223470,4196100000
