,Symbol,Market,TradingDate,Time,Open,High,Low,Close,Volume,Value
0,SKG,HOSE,02/01/2019,,12551,12838,12515,12515,178290,3125310000
1,SKG,HOSE,03/01/2019,,12479,12551,12407,12443,332440,5783050000
2,SKG,HOSE,04/01/2019,,12407,12407,11583,12192,184960,3121240000
3,SKG,HOSE,07/01/2019,,12192,12192,11834,12121,162310,2734890000
4,SKG,HOSE,08/01/2019,,12121,12192,11834,12192,81630,1361600000
5,SKG,HOSE,09/01/2019,,12192,12228,11941,12121,130180,2194890000
6,SKG,HOSE,10/01/2019,,12049,12121,11798,11870,271840,4508850000
7,SKG,HOSE,11/01/2019,,11870,12085,11798,12049,58890,983390000
8,SKG,HOSE,14/01/2019,,12049,12121,12013,12013,85730,1440000000
9,SKG,HOSE,15/01/2019,,11905,12192,11905,12121,91520,1531280000
10,SKG,HOSE,16/01/2019,,12121,12156,11977,11977,68260,1143000000
11,SKG,HOSE,17/01/2019,,12049,12085,11977,12085,130580,2194000000
12,SKG,HOSE,18/01/2019,,12121,12121,11834,11977,96360,1607100000
13,SKG,HOSE,21/01/2019,,11152,11475,11152,11152,344680,5360840000
14,SKG,HOSE,22/01/2019,,10399,10758,10399,10399,833850,12144160000
15,SKG,HOSE,23/01/2019,,10543,10722,10363,10543,150150,2206970000
16,SKG,HOSE,24/01/2019,,10399,10543,10363,10399,118100,1714510000
17,SKG,HOSE,25/01/2019,,10435,10686,10363,10543,268490,3939400000
18,SKG,HOSE,28/01/2019,,10543,10758,10363,10507,100650,1469880000
19,SKG,HOSE,29/01/2019,,10471,10543,10399,10435,53180,775440000
20,SKG,HOSE,30/01/2019,,10435,10579,10435,10507,188160,2755640000
21,SKG,HOSE,31/01/2019,,10507,10543,10471,10507,79930,1172010000
22,SKG,HOSE,01/02/2019,,10543,10543,10471,10507,90780,1332070000
23,SKG,HOSE,11/02/2019,,10543,10650,10471,10543,95260,1397850000
24,SKG,HOSE,12/02/2019,,10543,10543,10435,10543,205490,3002900000
25,SKG,HOSE,13/02/2019,,10543,10973,10471,10901,412430,6153670000
26,SKG,HOSE,14/02/2019,,10937,11009,10865,10901,153090,2332870000
27,SKG,HOSE,15/02/2019,,10901,10973,10758,10901,73180,1107310000
28,SKG,HOSE,18/02/2019,,10901,10937,10614,10758,213180,3192990000
29,SKG,HOSE,19/02/2019,,10614,10901,10543,10650,220950,3317270000
30,SKG,HOSE,20/02/2019,,10758,10758,10507,10686,126700,1872780000
31,SKG,HOSE,21/02/2019,,10686,10758,10543,10686,146020,2154460000
32,SKG,HOSE,22/02/2019,,10686,10722,10614,10650,87430,1295980000
33,SKG,HOSE,25/02/2019,,10650,10722,10543,10686,102980,1524260000
34,SKG,HOSE,26/02/2019,,10686,10686,10579,10650,27010,399970000
35,SKG,HOSE,27/02/2019,,10614,10650,10614,10650,110020,1630820000
36,SKG,HOSE,28/02/2019,,10650,10686,10543,10543,194470,2871890000
37,SKG,HOSE,01/03/2019,,10686,10686,10543,10650,116580,1720550000
38,SKG,HOSE,04/03/2019,,10650,11152,10650,11045,468140,7145040000
39,SKG,HOSE,05/03/2019,,11045,11045,10901,10973,222230,3392300000
