,Symbol,Market,TradingDate,Time,Open,High,Low,Close,Volume,Value
0,SMB,HOSE,02/01/2019,,19902,19902,19840,19840,3440,111660000
1,SMB,HOSE,03/01/2019,,20208,20208,19718,19718,4380,141750000
2,SMB,HOSE,04/01/2019,,19718,20147,19595,20147,3990,128110000
3,SMB,HOSE,07/01/2019,,19902,19902,19657,19902,3340,107720000
4,SMB,HOSE,08/01/2019,,20147,20147,19595,19902,2230,72000000
5,SMB,HOSE,09/01/2019,,19595,20147,19289,19718,2210,70770000
6,SMB,HOSE,10/01/2019,,20330,20330,19779,19779,760,24570000
7,SMB,HOSE,11/01/2019,,20208,20208,19595,19595,690,22230000
8,SMB,HOSE,14/01/2019,,19595,19963,19595,19595,16090,516000000
9,SMB,HOSE,15/01/2019,,19902,19902,19595,19595,6050,193630000
10,SMB,HOSE,16/01/2019,,19595,19963,19595,19595,20800,666000000
11,SMB,HOSE,17/01/2019,,19595,19595,19595,19595,16270,521000000
12,SMB,HOSE,18/01/2019,,19412,19595,19412,19595,15800,504370000
13,SMB,HOSE,21/01/2019,,19595,19902,19534,19595,19460,622660000
14,SMB,HOSE,22/01/2019,,19902,20085,19595,19840,1180,38420000
15,SMB,HOSE,23/01/2019,,19289,19840,19289,19840,1700,53810000
16,SMB,HOSE,24/01/2019,,20208,20208,19473,19473,3130,100260000
17,SMB,HOSE,25/01/2019,,19902,19902,19595,19595,100,3230000
18,SMB,HOSE,28/01/2019,,19595,19840,19595,19595,11310,361940000
19,SMB,HOSE,29/01/2019,,19595,19902,19595,19902,5010,160330000
20,SMB,HOSE,30/01/2019,,19595,19657,19412,19412,8810,281040000
21,SMB,HOSE,31/01/2019,,19902,19902,19473,19473,7850,251300000
22,SMB,HOSE,01/02/2019,,19473,19657,19473,19595,2420,77430000
23,SMB,HOSE,11/02/2019,,19595,19902,19595,19902,300,9650000
24,SMB,HOSE,12/02/2019,,19963,19963,19779,19779,1330,43050000
25,SMB,HOSE,13/02/2019,,20208,20208,19840,19840,840,27350000
26,SMB,HOSE,14/02/2019,,19902,20085,19840,20085,5720,186350000
27,SMB,HOSE,15/02/2019,,20147,20330,20147,20208,17480,578160000
28,SMB,HOSE,18/02/2019,,20208,20269,20085,20085,8130,267430000
29,SMB,HOSE,19/02/2019,,20147,20147,20085,20147,12580,412980000
30,SMB,HOSE,20/02/2019,,20208,20208,20085,20085,8160,268030000
31,SMB,HOSE,21/02/2019,,20147,20208,20024,20085,24230,795760000
32,SMB,HOSE,22/02/2019,,20085,20085,19963,20085,9520,311350000
33,SMB,HOSE,25/02/2019,,20208,20208,19963,20147,6710,219630000
34,SMB,HOSE,26/02/2019,,20147,20147,19963,20024,5190,169900000
35,SMB,HOSE,27/02/2019,,20208,20208,19963,20024,1530,50010000
36,SMB,HOSE,28/02/2019,,20085,20208,20024,20024,3390,110970000
37,SMB,HOSE,01/03/2019,,20208,20208,20147,20208,4870,160650000
38,SMB,HOSE,04/03/2019,,20208,20514,20085,20514,10180,335720000
39,SMB,HOSE,05/03/2019,,20208,20391,20208,20391,4330,143040000
40,SMB,HOSE,06/03/2019,,20208,20514,20208,20208,4020,132670000
41,SMB,HOSE,07/03/2019,,20147,20147,20024,20024,22400,734020000
42,SMB,HOSE,08/03/2019,,20024,20208,19963,20208,4130,135350000
43,SMB,HOSE,11/03/2019,,20208,20453,20085,20208,17380,570460000
44,SMB,HOSE,12/03/2019,,20391,20391,20116,20116,3280,107770000
45,SMB,HOSE,13/03/2019,,20208,20208,20177,20208,2170,71610000
46,SMB,HOSE,14/03/2019,,20208,20208,20208,20208,6760,289080000
47,SMB,HOSE,15/03/2019,,20208,20208,20208,20208,16810,554730000
48,SMB,HOSE,18/03/2019,,20208,20208,20208,20208,31750,1047750000
49,SMB,HOSE,19/03/2019,,20269,20820,20269,20820,28520,951790000
50,SMB,HOSE,20/03/2019,,21004,21126,20514,20514,11980,404100000
51,SMB,HOSE,21/03/2019,,20514,20636,20514,20636,260,8760000
52,SMB,HOSE,22/03/2019,,20514,20636,20514,20636,10300,345120000
53,SMB,HOSE,25/03/2019,,20208,21126,20208,20514,6070,204080000
54,SMB,HOSE,26/03/2019,,20514,20514,20453,20514,750,25000000
55,SMB,HOSE,27/03/2019,,20820,20820,20514,20514,550,18000000
56,SMB,HOSE,28/03/2019,,21739,21739,21432,21432,8350,296000000
57,SMB,HOSE,29/03/2019,,21432,21432,20820,20820,4250,145000000
58,SMB,HOSE,01/04/2019,,20820,21677,20575,21677,28340,981090000
