,Symbol,Market,TradingDate,Time,Open,High,Low,Close,Volume,Value
0,SPM,HOSE,02/01/2019,,11268,11355,10963,11311,6710,86780000
1,SPM,HOSE,03/01/2019,,11616,11616,10963,11572,1120,14590000
2,SPM,HOSE,04/01/2019,,12312,12312,11050,12051,650,8890000
3,SPM,HOSE,07/01/2019,,12616,12616,11355,11355,700,9430000
4,SPM,HOSE,08/01/2019,,12007,12007,11094,11355,3270,43050000
5,SPM,HOSE,09/01/2019,,11355,12094,11311,11659,2410,31480000
6,SPM,HOSE,10/01/2019,,11355,11659,11311,11659,940,12290000
7,SPM,HOSE,11/01/2019,,11746,11746,11485,11746,4110,54890000
8,SPM,HOSE,14/01/2019,,12028,12216,11136,12216,1090,13000000
9,SPM,HOSE,15/01/2019,,12310,12310,11465,12216,810,10270000
10,SPM,HOSE,16/01/2019,,12216,12216,12216,12216,290,4000000
11,SPM,HOSE,17/01/2019,,11559,12122,11559,11559,1130,14000000
12,SPM,HOSE,18/01/2019,,12075,12075,11418,11559,470,5800000
13,SPM,HOSE,21/01/2019,,12122,12122,11089,11981,50,610000
14,SPM,HOSE,22/01/2019,,12263,12263,11324,12122,1060,12850000
15,SPM,HOSE,23/01/2019,,12921,12921,11324,11371,680,8250000
16,SPM,HOSE,24/01/2019,,12122,12122,11371,11371,520,6310000
17,SPM,HOSE,25/01/2019,,11981,11981,11183,11324,1210,14560000
18,SPM,HOSE,28/01/2019,,12075,12075,11277,12028,270,3260000
19,SPM,HOSE,29/01/2019,,12357,12357,11371,11371,1860,22520000
20,SPM,HOSE,30/01/2019,,11371,11747,11371,11747,2850,34510000
21,SPM,HOSE,31/01/2019,,11371,11747,11371,11371,7180,87310000
22,SPM,HOSE,01/02/2019,,11747,12028,11747,12028,610,7640000
23,SPM,HOSE,11/02/2019,,11935,12028,11935,12028,220,2800000
24,SPM,HOSE,12/02/2019,,12028,12028,12028,12028,0,0
25,SPM,HOSE,13/02/2019,,12263,12451,12216,12451,320,4190000
26,SPM,HOSE,14/02/2019,,12639,12639,12216,12216,1030,13390000
27,SPM,HOSE,15/02/2019,,12639,12639,12639,12639,10,130000
28,SPM,HOSE,18/02/2019,,12639,12639,12639,12639,190,2560000
29,SPM,HOSE,19/02/2019,,12968,12968,12968,12968,10,140000
30,SPM,HOSE,20/02/2019,,12075,12075,12075,12075,690,8870000
31,SPM,HOSE,21/02/2019,,12827,12827,11888,12780,70,910000
32,SPM,HOSE,22/02/2019,,11888,12639,11888,12639,220,2790000
33,SPM,HOSE,25/02/2019,,12639,12639,12639,12639,0,0
34,SPM,HOSE,26/02/2019,,13062,13438,12968,12968,90,1250000
35,SPM,HOSE,27/02/2019,,12968,12968,12968,12968,0,0
36,SPM,HOSE,28/02/2019,,13438,13438,13438,13438,10,140000
37,SPM,HOSE,01/03/2019,,12498,13156,12498,12498,390,5200000
38,SPM,HOSE,04/03/2019,,12216,12686,11794,12263,660,8630000
39,SPM,HOSE,05/03/2019,,12216,12263,12216,12263,500,6520000
40,SPM,HOSE,06/03/2019,,12639,12639,12216,12216,1280,16640000
41,SPM,HOSE,07/03/2019,,12216,12310,12169,12310,31550,410920000
42,SPM,HOSE,08/03/2019,,12639,12639,12216,12216,40,520000
43,SPM,HOSE,11/03/2019,,12780,12780,12545,12592,40,540000
44,SPM,HOSE,12/03/2019,,12592,12592,12592,12592,600,8040000
45,SPM,HOSE,13/03/2019,,12216,12216,12216,12216,100,1300000
46,SPM,HOSE,14/03/2019,,12216,12216,12216,12216,0,0
47,SPM,HOSE,15/03/2019,,12216,12216,12216,12216,0,0
48,SPM,HOSE,18/03/2019,,12921,12921,12216,12780,30,400000
49,SPM,HOSE,19/03/2019,,13156,13156,13156,13156,10,140000
50,SPM,HOSE,20/03/2019,,13250,13250,12968,12968,210,2900000
51,SPM,HOSE,21/03/2019,,13203,13203,12968,12968,20,280000
52,SPM,HOSE,22/03/2019,,12968,12968,12968,12968,0,0
53,SPM,HOSE,25/03/2019,,12968,13814,12968,13814,20,290000
54,SPM,HOSE,26/03/2019,,12874,12874,12874,12874,800,11000000
55,SPM,HOSE,27/03/2019,,11981,12780,11981,12780,220,3000000
56,SPM,HOSE,28/03/2019,,12780,12780,12780,12780,0,0
57,SPM,HOSE,29/03/2019,,12780,12780,12780,12780,0,0
58,SPM,HOSE,01/04/2019,,12263,12592,12263,12592,30,400000
59,SPM,HOSE,02/04/2019,,13062,13062,12263,12498,70,930000
60,SPM,HOSE,03/04/2019,,12639,12639,12263,12545,120,1610000
61,SPM,HOSE,04/04/2019,,12216,12498,12216,12498,70,910000
62,SPM,HOSE,05/04/2019,,12686,12686,12216,12639,1220,15920000
63,SPM,HOSE,08/04/2019,,12639,12639,12216,12592,270,3580000
64,SPM,HOSE,09/04/2019,,12216,12592,12028,12028,350,4560000
65,SPM,HOSE,10/04/2019,,12216,12733,12216,12733,90,1180000
66,SPM,HOSE,11/04/2019,,12733,12733,12733,12733,0,0
67,SPM,HOSE,12/04/2019,,12216,12639,12122,12592,120,1600000
68,SPM,HOSE,16/04/2019,,12733,12733,12028,12216,120,1550000
69,SPM,HOSE,17/04/2019,,12639,12639,12639,12639,10,130000
70,SPM,HOSE,18/04/2019,,12216,12921,12216,12592,1250,16270000
71,SPM,HOSE,19/04/2019,,12216,12592,12216,12216,4060,52780000
72,SPM,HOSE,22/04/2019,,12639,12639,12216,12592,440,5730000
73,SPM,HOSE,23/04/2019,,12122,12592,12122,12592,40,530000
74,SPM,HOSE,24/04/2019,,12592,12592,12592,12592,0,0
75,SPM,HOSE,25/04/2019,,12592,12592,12592,12592,40,0.54
76,SPM,HOSE,26/04/2019,,12592,12592,12592,12592,0,0
77,SPM,HOSE,02/05/2019,,12404,12451,12404,12451,30,400000
78,SPM,HOSE,03/05/2019,,12404,12592,12122,12216,60,790000
79,SPM,HOSE,06/05/2019,,12545,12545,12545,12545,10,130000
80,SPM,HOSE,07/05/2019,,12545,12545,12545,12545,0,0
81,SPM,HOSE,08/05/2019,,12545,12545,12545,12545,0,0
82,SPM,HOSE,09/05/2019,,12545,12545,12545,12545,0,0
83,SPM,HOSE,10/05/2019,,12545,12545,12545,12545,0,0
84,SPM,HOSE,13/05/2019,,13062,13062,13062,13062,10,140000
85,SPM,HOSE,14/05/2019,,12216,12592,12216,12592,280,3720000
86,SPM,HOSE,15/05/2019,,12216,12216,12028,12028,110,1410000
87,SPM,HOSE,16/05/2019,,12592,12592,11841,12216,50,650000
88,SPM,HOSE,17/05/2019,,12216,12216,12216,12216,10,0
89,SPM,HOSE,20/05/2019,,12216,12216,12216,12216,20,260000
90,SPM,HOSE,21/05/2019,,12498,12498,12498,12498,10,130000
91,SPM,HOSE,22/05/2019,,12498,12498,12498,12498,0,0
92,SPM,HOSE,23/05/2019,,12498,12498,12498,12498,0,0
93,SPM,HOSE,24/05/2019,,12498,12498,12498,12498,0,0
94,SPM,HOSE,27/05/2019,,12498,12498,12498,12498,0,0
95,SPM,HOSE,28/05/2019,,12498,12498,12498,12498,0,0
96,SPM,HOSE,29/05/2019,,12968,12968,12968,12968,10,140000
97,SPM,HOSE,30/05/2019,,12216,12545,12169,12545,2040,26520000
98,SPM,HOSE,31/05/2019,,12545,12545,12545,12545,0,0
99,SPM,HOSE,03/06/2019,,12545,12545,12545,12545,20,270000
100,SPM,HOSE,04/06/2019,,12216,12216,12216,12216,8520,110760000
101,SPM,HOSE,05/06/2019,,12592,12592,12216,12216,20,260000
102,SPM,HOSE,06/06/2019,,12216,12216,12216,12216,0,0
103,SPM,HOSE,07/06/2019,,12216,12216,12216,12216,0,0
104,SPM,HOSE,10/06/2019,,12216,12216,12216,12216,0,0
105,SPM,HOSE,11/06/2019,,11935,12216,11935,12216,310,3940000
106,SPM,HOSE,12/06/2019,,12216,12216,12216,12216,0,0
107,SPM,HOSE,13/06/2019,,12216,12216,12216,12216,0,0
108,SPM,HOSE,14/06/2019,,12545,12545,12216,12216,20,260000
109,SPM,HOSE,17/06/2019,,12498,12498,12216,12216,30,400000
110,SPM,HOSE,18/06/2019,,12451,12451,12451,12451,10,130000
111,SPM,HOSE,19/06/2019,,12498,12498,12498,12498,10,130000
112,SPM,HOSE,20/06/2019,,12498,12498,12498,12498,10,130000
113,SPM,HOSE,21/06/2019,,12404,12404,12404,12404,10,130000
114,SPM,HOSE,24/06/2019,,12404,12404,12404,12404,0,0
115,SPM,HOSE,25/06/2019,,12028,12169,11559,12169,230,2960000
116,SPM,HOSE,26/06/2019,,12216,12216,12216,12216,10,130000
117,SPM,HOSE,27/06/2019,,11371,11371,11371,11371,680,8230000
118,SPM,HOSE,28/06/2019,,12122,12122,12122,12122,10,130000
119,SPM,HOSE,01/07/2019,,11747,12122,11747,12122,80,1020000
120,SPM,HOSE,02/07/2019,,12075,12075,11841,12028,50,640000
121,SPM,HOSE,03/07/2019,,12028,12028,12028,12028,20,260000
122,SPM,HOSE,04/07/2019,,12310,12310,12122,12122,80,1030000
123,SPM,HOSE,05/07/2019,,12122,12122,12122,12122,20,260000
124,SPM,HOSE,08/07/2019,,12122,12122,12122,12122,0,0
125,SPM,HOSE,09/07/2019,,11465,12028,11277,12028,210,2560000
126,SPM,HOSE,10/07/2019,,12028,12028,12028,12028,0,0
127,SPM,HOSE,11/07/2019,,12122,12122,12122,12122,20,0
128,SPM,HOSE,12/07/2019,,11747,11981,11747,11981,210,3000000
129,SPM,HOSE,15/07/2019,,11981,11981,11981,11981,20,0
130,SPM,HOSE,16/07/2019,,11935,11935,11935,11935,50,1000000
131,SPM,HOSE,17/07/2019,,11841,11841,11747,11841,40,1000000
132,SPM,HOSE,18/07/2019,,11465,11841,11465,11841,20,0
133,SPM,HOSE,19/07/2019,,11841,11841,11841,11841,20,0
134,SPM,HOSE,22/07/2019,,11747,11747,11465,11747,30,0
135,SPM,HOSE,23/07/2019,,11747,11747,11465,11747,0,0
136,SPM,HOSE,24/07/2019,,11841,11841,11841,11841,10,0
137,SPM,HOSE,25/07/2019,,11841,11841,11841,11841,20,0
138,SPM,HOSE,26/07/2019,,11559,12122,11559,12122,610,8000000
139,SPM,HOSE,29/07/2019,,12122,12122,12122,12122,30,0
140,SPM,HOSE,30/07/2019,,11747,11747,11747,11747,30,0
141,SPM,HOSE,31/07/2019,,11747,12122,11747,12075,620,8000000
142,SPM,HOSE,01/08/2019,,11747,11747,11747,11747,30,0
143,SPM,HOSE,02/08/2019,,11747,11747,11747,11747,0,0
144,SPM,HOSE,05/08/2019,,11089,11089,10948,10948,780,9000000
145,SPM,HOSE,06/08/2019,,11277,11653,10196,11653,3380,37000000
146,SPM,HOSE,07/08/2019,,12028,12028,12028,12028,90,1000000
147,SPM,HOSE,08/08/2019,,12028,12028,12028,12028,40,1000000
148,SPM,HOSE,09/08/2019,,11230,11841,11230,11841,2140,26000000
149,SPM,HOSE,12/08/2019,,11841,11841,11841,11841,30,0
