,Symbol,Market,TradingDate,Time,Open,High,Low,Close,Volume,Value
0,SRF,HOSE,02/01/2019,,9269,9269,8685,8685,1190,14170000
1,SRF,HOSE,03/01/2019,,8430,9123,8430,9086,7030,81790000
2,SRF,HOSE,04/01/2019,,9086,9086,8466,8685,10030,116870000
3,SRF,HOSE,07/01/2019,,8831,8831,8758,8758,120,1440000
4,SRF,HOSE,08/01/2019,,8284,8758,8247,8758,1770,20430000
5,SRF,HOSE,09/01/2019,,8758,8758,8393,8685,2380,27710000
6,SRF,HOSE,10/01/2019,,8722,8758,8722,8758,50,600000
7,SRF,HOSE,11/01/2019,,8758,8758,8758,8758,0,0
8,SRF,HOSE,14/01/2019,,8758,9050,8466,8466,7450,88000000
9,SRF,HOSE,15/01/2019,,8758,8758,8758,8758,20,240000
10,SRF,HOSE,16/01/2019,,8503,8758,8466,8466,18010,209000000
11,SRF,HOSE,17/01/2019,,8758,8758,8758,8758,10,0
12,SRF,HOSE,18/01/2019,,8758,8758,8758,8758,0,0
13,SRF,HOSE,21/01/2019,,8393,8393,8357,8357,2000,22980000
14,SRF,HOSE,22/01/2019,,8685,8758,8357,8357,660,7590000
15,SRF,HOSE,23/01/2019,,8357,8357,8357,8357,0,0
16,SRF,HOSE,24/01/2019,,8393,8722,8247,8247,20310,231430000
17,SRF,HOSE,25/01/2019,,8211,8612,8211,8393,15220,174960000
18,SRF,HOSE,28/01/2019,,8247,8393,8247,8247,800,9040000
19,SRF,HOSE,29/01/2019,,8174,8466,8028,8466,1410,15780000
20,SRF,HOSE,30/01/2019,,8466,8466,7919,8357,2290,25240000
21,SRF,HOSE,31/01/2019,,8357,8722,8357,8722,11240,128710000
22,SRF,HOSE,01/02/2019,,8466,8466,8466,8466,1000,11600000
23,SRF,HOSE,11/02/2019,,8685,8685,8466,8685,21210,247200000
24,SRF,HOSE,12/02/2019,,8539,9086,8539,9086,6030,71770000
25,SRF,HOSE,13/02/2019,,9086,9451,9086,9415,35550,455680000
26,SRF,HOSE,14/02/2019,,9524,9524,9415,9415,11050,142550000
27,SRF,HOSE,15/02/2019,,9415,9415,9415,9415,4760,61400000
28,SRF,HOSE,18/02/2019,,9451,9451,9415,9415,68690,886110000
29,SRF,HOSE,19/02/2019,,9561,9561,9415,9488,20170,260200000
30,SRF,HOSE,20/02/2019,,9451,9780,9342,9780,17670,230130000
31,SRF,HOSE,21/02/2019,,9780,9780,9415,9707,44000,572280000
32,SRF,HOSE,22/02/2019,,9938,9938,9629,9861,19910,252700000
33,SRF,HOSE,25/02/2019,,10169,10169,9861,9976,2080,26640000
34,SRF,HOSE,26/02/2019,,10015,10015,9321,9321,24050,302420000
35,SRF,HOSE,27/02/2019,,9398,9552,9398,9552,8120,99330000
36,SRF,HOSE,28/02/2019,,9784,9784,9629,9706,420,5250000
37,SRF,HOSE,01/03/2019,,9706,9706,9321,9706,170,2080000
38,SRF,HOSE,04/03/2019,,9398,9668,9398,9668,310,3830000
39,SRF,HOSE,05/03/2019,,10169,10246,9668,9668,48160,616910000
40,SRF,HOSE,06/03/2019,,9861,10015,9706,10015,41480,526820000
41,SRF,HOSE,07/03/2019,,10169,10169,9629,10169,300,3780000
42,SRF,HOSE,08/03/2019,,9784,10323,9706,10169,27700,352430000
43,SRF,HOSE,11/03/2019,,10246,10631,9861,10400,21900,281590000
44,SRF,HOSE,12/03/2019,,10323,10785,10015,10400,3000,40380000
45,SRF,HOSE,13/03/2019,,9784,10169,9706,10015,31710,404300000
46,SRF,HOSE,14/03/2019,,10015,10015,9668,9668,1450,18640000
47,SRF,HOSE,15/03/2019,,10015,10015,9976,9976,26030,338290000
48,SRF,HOSE,18/03/2019,,10015,10169,9976,10169,15560,202310000
49,SRF,HOSE,19/03/2019,,10169,10631,10053,10323,11970,158700000
50,SRF,HOSE,20/03/2019,,10323,10400,9861,10323,5250,70060000
51,SRF,HOSE,21/03/2019,,10554,10746,10092,10669,12220,160770000
52,SRF,HOSE,22/03/2019,,10669,10939,10669,10939,310,4300000
53,SRF,HOSE,25/03/2019,,10785,11517,10631,11517,5080,70510000
54,SRF,HOSE,26/03/2019,,11709,11709,10939,11170,11500,167000000
55,SRF,HOSE,27/03/2019,,10785,11478,10708,11132,7900,112000000
56,SRF,HOSE,28/03/2019,,11555,11555,10631,11170,280,4000000
57,SRF,HOSE,29/03/2019,,11170,11555,10554,11324,4720,68000000
58,SRF,HOSE,01/04/2019,,11401,11555,10785,11478,1490,21960000
59,SRF,HOSE,02/04/2019,,11709,11709,10862,11517,6640,94890000
60,SRF,HOSE,03/04/2019,,10785,11709,10785,11478,9490,135470000
61,SRF,HOSE,04/04/2019,,11478,11555,10785,11363,4000,56460000
62,SRF,HOSE,05/04/2019,,11709,11709,11170,11324,2700,39250000
63,SRF,HOSE,08/04/2019,,11132,11555,11132,11555,7490,108870000
64,SRF,HOSE,09/04/2019,,11555,12210,11555,12210,11270,173720000
65,SRF,HOSE,10/04/2019,,12557,12557,11825,12056,25990,401170000
66,SRF,HOSE,11/04/2019,,12865,12865,11786,12249,3680,58360000
67,SRF,HOSE,12/04/2019,,12249,12249,11941,12249,5710,90540000
68,SRF,HOSE,16/04/2019,,12095,12249,12095,12249,2580,40690000
69,SRF,HOSE,17/04/2019,,12172,12172,11786,12172,11040,173090000
70,SRF,HOSE,18/04/2019,,12095,12172,11863,11941,30550,477480000
71,SRF,HOSE,19/04/2019,,12095,12172,12095,12172,400,6300000
72,SRF,HOSE,22/04/2019,,12326,12326,11671,12249,1790,28070000
73,SRF,HOSE,23/04/2019,,12172,12172,11632,12133,6290,96820000
74,SRF,HOSE,24/04/2019,,11941,11941,11632,11941,2350,36110000
75,SRF,HOSE,25/04/2019,,11786,12749,11709,11941,36030,568.80
76,SRF,HOSE,26/04/2019,,12133,12133,11941,12095,3230,50420000
77,SRF,HOSE,02/05/2019,,12711,12711,11709,12711,4040,61580000
78,SRF,HOSE,03/05/2019,,12711,12711,11863,12249,9700,158760000
79,SRF,HOSE,06/05/2019,,12249,12711,11709,12249,550,8680000
80,SRF,HOSE,07/05/2019,,11709,12018,11709,11979,6130,93430000
