,Symbol,Market,TradingDate,Time,Open,High,Low,Close,Volume,Value
0,ST8,HOSE,02/01/2019,,10588,11180,10588,11180,820,15220000
1,ST8,HOSE,03/01/2019,,11180,11180,11180,11180,0,0
2,ST8,HOSE,04/01/2019,,10529,11476,10411,11476,1990,37980000
3,ST8,HOSE,07/01/2019,,10736,10736,10736,10736,610,11070000
4,ST8,HOSE,08/01/2019,,11180,11180,11180,11180,1020,19280000
5,ST8,HOSE,09/01/2019,,10766,10766,10648,10648,30,540000
6,ST8,HOSE,10/01/2019,,10648,10648,10648,10648,0,0
7,ST8,HOSE,11/01/2019,,10174,10943,10174,10943,410,7570000
8,ST8,HOSE,14/01/2019,,10293,10884,10293,10884,760,14000000
9,ST8,HOSE,15/01/2019,,10234,10648,10234,10648,520,9350000
10,ST8,HOSE,16/01/2019,,11239,11239,10145,10648,220,4000000
11,ST8,HOSE,17/01/2019,,10204,10943,10204,10943,30,1000000
12,ST8,HOSE,18/01/2019,,10884,10884,10263,10648,730,13410000
13,ST8,HOSE,21/01/2019,,11180,11180,11180,11180,40,760000
14,ST8,HOSE,22/01/2019,,10648,11210,10648,11210,120,2180000
15,ST8,HOSE,23/01/2019,,11121,11121,11121,11121,10,190000
16,ST8,HOSE,24/01/2019,,10648,10648,10648,10648,300,5400000
17,ST8,HOSE,25/01/2019,,11062,11062,11062,11062,10,190000
18,ST8,HOSE,28/01/2019,,11062,11062,11062,11062,0,0
19,ST8,HOSE,29/01/2019,,11062,11062,11062,11062,0,0
20,ST8,HOSE,30/01/2019,,11062,11062,11062,11062,0,0
21,ST8,HOSE,31/01/2019,,11239,11239,11239,11239,10,190000
22,ST8,HOSE,01/02/2019,,12008,12008,12008,12008,10,200000
23,ST8,HOSE,11/02/2019,,11298,11298,11180,11180,330,6240000
24,ST8,HOSE,12/02/2019,,11180,11180,11180,11180,200,3780000
25,ST8,HOSE,13/02/2019,,11180,11180,11180,11180,500,9450000
26,ST8,HOSE,14/02/2019,,11180,11180,11180,11180,0,0
27,ST8,HOSE,15/02/2019,,11180,11180,11180,11180,0,0
28,ST8,HOSE,18/02/2019,,11180,11180,11180,11180,0,0
29,ST8,HOSE,19/02/2019,,10529,10529,10411,10411,4100,72190000
30,ST8,HOSE,20/02/2019,,10411,10411,10411,10411,0,0
31,ST8,HOSE,21/02/2019,,10086,10086,10056,10056,2400,40800000
32,ST8,HOSE,22/02/2019,,10056,10056,10056,10056,700,11900000
33,ST8,HOSE,25/02/2019,,9760,9760,9760,9760,40,660000
34,ST8,HOSE,26/02/2019,,9879,10441,9879,10441,530,8880000
35,ST8,HOSE,27/02/2019,,10056,10648,10056,10648,310,5280000
36,ST8,HOSE,28/02/2019,,10648,10648,10648,10648,12120,218160000
37,ST8,HOSE,01/03/2019,,10648,10648,10648,10648,170,3060000
38,ST8,HOSE,04/03/2019,,10648,10648,10648,10648,0,0
39,ST8,HOSE,05/03/2019,,10352,10352,10056,10056,9250,161870000
40,ST8,HOSE,06/03/2019,,10293,10352,9879,9879,6310,109880000
