,Symbol,Market,TradingDate,Time,Open,High,Low,Close,Volume,Value
0,STK,HOSE,02/01/2019,,8723,8778,8339,8394,80970,1257330000
1,STK,HOSE,03/01/2019,,8394,8394,7818,8284,276710,4066310000
2,STK,HOSE,04/01/2019,,8230,8723,8230,8723,28270,441410000
3,STK,HOSE,07/01/2019,,9025,9299,8888,9299,62560,1040380000
4,STK,HOSE,08/01/2019,,9327,9327,9025,9025,46430,773880000
5,STK,HOSE,09/01/2019,,9217,9272,9107,9272,21820,365830000
6,STK,HOSE,10/01/2019,,9491,9519,9162,9217,54970,930380000
7,STK,HOSE,11/01/2019,,9327,9409,8998,9382,91050,1543550000
8,STK,HOSE,14/01/2019,,9382,9382,8751,9327,10770,183000000
9,STK,HOSE,15/01/2019,,9437,9958,9327,9958,128040,2305850000
10,STK,HOSE,16/01/2019,,10205,10205,9464,9464,46860,837000000
11,STK,HOSE,17/01/2019,,10040,10040,9491,9629,23090,404000000
12,STK,HOSE,18/01/2019,,9629,9738,9327,9629,29510,515910000
13,STK,HOSE,21/01/2019,,9821,9821,9437,9601,82500,1441230000
14,STK,HOSE,22/01/2019,,9793,9793,9053,9107,166370,2778860000
15,STK,HOSE,23/01/2019,,9245,9272,9080,9135,95110,1593190000
16,STK,HOSE,24/01/2019,,9659,9689,9507,9628,178640,2829370000
17,STK,HOSE,25/01/2019,,9689,10295,9689,10295,181600,2988830000
18,STK,HOSE,28/01/2019,,10295,10295,9961,10143,30560,509150000
19,STK,HOSE,29/01/2019,,10143,10416,9871,10416,93290,1567140000
20,STK,HOSE,30/01/2019,,10416,10537,10173,10537,23750,408430000
21,STK,HOSE,31/01/2019,,10597,10597,10295,10416,71640,1245250000
22,STK,HOSE,01/02/2019,,10416,10537,10295,10476,56740,982860000
23,STK,HOSE,11/02/2019,,10537,10718,10537,10718,77760,1363650000
24,STK,HOSE,12/02/2019,,10779,11051,10658,11021,132880,2394040000
25,STK,HOSE,13/02/2019,,11021,11687,11021,11566,199260,3728670000
26,STK,HOSE,14/02/2019,,11506,11506,11203,11263,57850,1083580000
27,STK,HOSE,15/02/2019,,11203,11324,11142,11142,33130,612010000
28,STK,HOSE,18/02/2019,,11263,11263,10718,10870,89660,1611560000
29,STK,HOSE,19/02/2019,,11203,11203,10870,11082,68950,1245220000
30,STK,HOSE,20/02/2019,,11082,11082,10779,10900,52830,949570000
31,STK,HOSE,21/02/2019,,10900,10900,10597,10900,174320,3100070000
32,STK,HOSE,22/02/2019,,11021,11203,10961,11112,38270,701190000
33,STK,HOSE,25/02/2019,,11112,11445,10961,11051,27710,509240000
34,STK,HOSE,26/02/2019,,11142,11142,10840,11021,38360,698050000
35,STK,HOSE,27/02/2019,,10900,11021,10295,10295,210890,3754520000
36,STK,HOSE,28/02/2019,,10809,10991,10658,10991,112760,2040040000
37,STK,HOSE,01/03/2019,,11021,11687,10991,11627,91390,1726850000
38,STK,HOSE,04/03/2019,,12081,12081,11597,11748,132000,2585080000
39,STK,HOSE,05/03/2019,,11748,11748,11566,11748,158850,3069380000
40,STK,HOSE,06/03/2019,,11687,11808,11385,11808,75220,1440970000
41,STK,HOSE,07/03/2019,,12111,12414,11839,12232,119450,2406950000
42,STK,HOSE,08/03/2019,,12232,12656,12081,12656,282860,5814670000
43,STK,HOSE,11/03/2019,,12717,12777,12414,12717,165230,3453620000
44,STK,HOSE,12/03/2019,,12838,13595,12777,13595,550340,12109960000
45,STK,HOSE,13/03/2019,,13595,13595,13020,13171,119980,2641060000
46,STK,HOSE,14/03/2019,,13171,13746,13110,13686,208500,5442620000
47,STK,HOSE,15/03/2019,,13928,13928,13443,13867,303550,6865150000
48,STK,HOSE,18/03/2019,,13898,13928,13383,13625,216160,4886350000
