,Symbol,Market,TradingDate,Time,Open,High,Low,Close,Volume,Value
0,SVI,HOSE,02/01/2019,,44116,44116,44116,44116,0,0
1,SVI,HOSE,03/01/2019,,44116,44116,44116,44116,0,0
2,SVI,HOSE,04/01/2019,,41469,43586,41469,43586,354820,17491390000
3,SVI,HOSE,07/01/2019,,43674,43674,43674,43674,10,500000
4,SVI,HOSE,08/01/2019,,46321,46321,46321,46321,80,4200000
5,SVI,HOSE,09/01/2019,,43233,43674,43233,43674,80,3960000
6,SVI,HOSE,10/01/2019,,43674,43674,43674,43674,10,500000
7,SVI,HOSE,11/01/2019,,44116,44116,43674,43674,3910,193550000
8,SVI,HOSE,14/01/2019,,44116,44116,44116,44116,10,1000000
9,SVI,HOSE,15/01/2019,,44116,44116,44116,44116,90,4500000
10,SVI,HOSE,16/01/2019,,44116,44116,44116,44116,0,0
11,SVI,HOSE,17/01/2019,,44116,44116,44116,44116,0,0
12,SVI,HOSE,18/01/2019,,44116,44116,44116,44116,50,2500000
13,SVI,HOSE,21/01/2019,,44116,44116,44116,44116,0,0
14,SVI,HOSE,22/01/2019,,44998,44998,44998,44998,40,2040000
15,SVI,HOSE,23/01/2019,,44998,44998,44998,44998,0,0
16,SVI,HOSE,24/01/2019,,42042,44998,42042,44998,20,990000
17,SVI,HOSE,25/01/2019,,44998,44998,44998,44998,0,0
18,SVI,HOSE,28/01/2019,,44116,44116,44116,44116,10,500000
19,SVI,HOSE,29/01/2019,,44071,44116,44027,44116,50020,2496000000
20,SVI,HOSE,30/01/2019,,43674,44116,41910,44116,230,11050000
21,SVI,HOSE,31/01/2019,,44116,44116,44116,44116,0,0
22,SVI,HOSE,01/02/2019,,44116,44116,44116,44116,80,4000000
23,SVI,HOSE,11/02/2019,,44027,44027,44027,44027,100,4990000
24,SVI,HOSE,12/02/2019,,44027,44027,44027,44027,50,2500000
25,SVI,HOSE,13/02/2019,,44027,44027,44027,44027,0,0
26,SVI,HOSE,14/02/2019,,44027,44027,44027,44027,0,0
27,SVI,HOSE,15/02/2019,,44027,44027,44027,44027,0,0
28,SVI,HOSE,18/02/2019,,43233,44027,43233,44027,450,22070000
29,SVI,HOSE,19/02/2019,,44027,44027,44027,44027,0,0
30,SVI,HOSE,20/02/2019,,44027,44027,44027,44027,0,0
31,SVI,HOSE,21/02/2019,,44027,44027,44027,44027,0,0
32,SVI,HOSE,22/02/2019,,44027,44027,44027,44027,0,0
33,SVI,HOSE,25/02/2019,,42792,42792,42792,42792,60,2910000
34,SVI,HOSE,26/02/2019,,44116,44116,44116,44116,10,500000
35,SVI,HOSE,27/02/2019,,44116,44116,44116,44116,0,0
36,SVI,HOSE,28/02/2019,,44116,44116,44116,44116,0,0
37,SVI,HOSE,01/03/2019,,43233,43233,43233,43233,10,490000
38,SVI,HOSE,04/03/2019,,44116,44116,44116,44116,30,1500000
39,SVI,HOSE,05/03/2019,,44116,44116,44116,44116,0,0
40,SVI,HOSE,06/03/2019,,44116,44116,44116,44116,0,0
41,SVI,HOSE,07/03/2019,,44116,44116,44116,44116,0,0
42,SVI,HOSE,08/03/2019,,44116,44116,44116,44116,0,0
43,SVI,HOSE,11/03/2019,,44116,44116,44116,44116,0,0
44,SVI,HOSE,12/03/2019,,44116,44116,44116,44116,0,0
45,SVI,HOSE,13/03/2019,,43233,44116,43233,44116,40,1970000
46,SVI,HOSE,14/03/2019,,44116,44116,44116,44116,0,0
47,SVI,HOSE,15/03/2019,,44027,44027,44027,44027,41000,2045900000
48,SVI,HOSE,18/03/2019,,44027,44027,44027,44027,0,0
49,SVI,HOSE,19/03/2019,,43233,43233,43233,43233,13730,672770000
50,SVI,HOSE,20/03/2019,,43233,43233,43233,43233,110,5390000
51,SVI,HOSE,21/03/2019,,44027,44116,44027,44116,210,10490000
52,SVI,HOSE,22/03/2019,,44116,44116,44116,44116,0,0
53,SVI,HOSE,25/03/2019,,44116,44116,41910,44116,2190,109050000
54,SVI,HOSE,26/03/2019,,41469,44027,41116,44027,4010,187000000
55,SVI,HOSE,27/03/2019,,41645,41645,41645,41645,10,0
56,SVI,HOSE,28/03/2019,,44027,44469,41028,44469,41420,2066000000
57,SVI,HOSE,29/03/2019,,41910,41910,41910,41910,100,5000000
58,SVI,HOSE,01/04/2019,,43233,43233,43233,43233,10,490000
59,SVI,HOSE,02/04/2019,,40586,43233,40586,43233,210,9690000
60,SVI,HOSE,03/04/2019,,43233,43233,43233,43233,0,0
61,SVI,HOSE,04/04/2019,,44116,44557,44116,44557,4020,201040000
62,SVI,HOSE,05/04/2019,,44116,44116,44116,44116,10310,515500000
63,SVI,HOSE,08/04/2019,,44116,44116,44116,44116,3950,197500000
64,SVI,HOSE,09/04/2019,,44116,46763,44027,46763,21100,1055610000
65,SVI,HOSE,10/04/2019,,46674,46674,46674,46674,60000,3174000000
66,SVI,HOSE,11/04/2019,,46674,46674,46674,46674,0,0
67,SVI,HOSE,12/04/2019,,46674,46674,46674,46674,0,0
68,SVI,HOSE,16/04/2019,,46674,46674,46674,46674,0,0
69,SVI,HOSE,17/04/2019,,46674,46674,46674,46674,0,0
70,SVI,HOSE,18/04/2019,,46674,46674,46674,46674,0,0
71,SVI,HOSE,19/04/2019,,45880,45880,45880,45880,10,520000
72,SVI,HOSE,22/04/2019,,45880,45880,45880,45880,90,4680000
73,SVI,HOSE,23/04/2019,,45880,45880,45880,45880,0,0
74,SVI,HOSE,24/04/2019,,45880,45880,45880,45880,0,0
75,SVI,HOSE,25/04/2019,,45880,45880,45880,45880,0,0
76,SVI,HOSE,26/04/2019,,45880,45880,45880,45880,0,0
77,SVI,HOSE,02/05/2019,,43233,43233,43233,43233,180,8820000
78,SVI,HOSE,03/05/2019,,43233,43233,43233,43233,0,0
79,SVI,HOSE,06/05/2019,,42351,44116,42351,44116,5050,252450000
80,SVI,HOSE,07/05/2019,,44116,44116,44116,44116,0,0
81,SVI,HOSE,08/05/2019,,44116,44116,44116,44116,0,0
82,SVI,HOSE,09/05/2019,,44116,44116,44116,44116,0,0
83,SVI,HOSE,10/05/2019,,43233,44116,43233,44116,5040,251990000
84,SVI,HOSE,13/05/2019,,44116,44116,44116,44116,15500,775000000
85,SVI,HOSE,14/05/2019,,44116,44116,44116,44116,5500,275000000
86,SVI,HOSE,15/05/2019,,44116,44116,44116,44116,0,0
87,SVI,HOSE,16/05/2019,,43233,43233,43233,43233,230,11270000
88,SVI,HOSE,17/05/2019,,43233,43233,43233,43233,0,0
89,SVI,HOSE,20/05/2019,,44116,44116,40233,41028,5940,295590000
90,SVI,HOSE,21/05/2019,,39483,39483,39483,39483,50,2240000
91,SVI,HOSE,22/05/2019,,39483,39483,39483,39483,0,0
92,SVI,HOSE,23/05/2019,,37984,37984,37984,37984,10,0
93,SVI,HOSE,24/05/2019,,37984,37984,37984,37984,0,0
94,SVI,HOSE,27/05/2019,,36969,40630,36969,40630,210,9250000
95,SVI,HOSE,28/05/2019,,43410,43454,43410,43454,4150,204360000
96,SVI,HOSE,29/05/2019,,44116,44116,44116,44116,5140,257000000
97,SVI,HOSE,30/05/2019,,44027,44116,44027,44116,5100,254990000
98,SVI,HOSE,31/05/2019,,44116,44116,44116,44116,5000,250000000
99,SVI,HOSE,03/06/2019,,44116,44116,44116,44116,0,0
100,SVI,HOSE,04/06/2019,,44116,44116,44116,44116,0,0
101,SVI,HOSE,05/06/2019,,44116,44116,44116,44116,0,0
102,SVI,HOSE,06/06/2019,,44116,44116,44116,44116,0,0
103,SVI,HOSE,07/06/2019,,41204,41204,41204,41204,10,470000
104,SVI,HOSE,10/06/2019,,44071,44071,44071,44071,2050,102400000
105,SVI,HOSE,11/06/2019,,44116,44116,44116,44116,15000,750000000
106,SVI,HOSE,12/06/2019,,44116,44116,44116,44116,7600,380000000
107,SVI,HOSE,13/06/2019,,44116,44116,44116,44116,0,0
108,SVI,HOSE,14/06/2019,,44116,44116,44116,44116,0,0
109,SVI,HOSE,17/06/2019,,44116,44116,44116,44116,7000,350000000
110,SVI,HOSE,18/06/2019,,44116,44116,44116,44116,5000,250000000
111,SVI,HOSE,19/06/2019,,44116,44116,44116,44116,9500,475000000
112,SVI,HOSE,20/06/2019,,44116,44116,44116,44116,9500,475000000
113,SVI,HOSE,21/06/2019,,44116,44116,44116,44116,0,0
114,SVI,HOSE,24/06/2019,,44116,44116,44116,44116,5000,250000000
115,SVI,HOSE,25/06/2019,,44116,44116,44116,44116,8000,400000000
116,SVI,HOSE,26/06/2019,,44116,44116,44116,44116,5200,260000000
117,SVI,HOSE,27/06/2019,,44116,44116,44116,44116,10200,510000000
118,SVI,HOSE,28/06/2019,,44116,46763,41160,46763,3120,156300000
119,SVI,HOSE,01/07/2019,,46763,46763,44116,44116,50,2560000
120,SVI,HOSE,02/07/2019,,44116,44116,44116,44116,0,0
121,SVI,HOSE,03/07/2019,,44116,44116,44116,44116,0,0
122,SVI,HOSE,04/07/2019,,41204,44116,41028,44116,5380,267680000
123,SVI,HOSE,05/07/2019,,41645,44116,41557,41733,6780,333820000
124,SVI,HOSE,08/07/2019,,44116,44116,44116,44116,4400,220000000
125,SVI,HOSE,09/07/2019,,43630,44116,42351,42351,5480,272840000
126,SVI,HOSE,10/07/2019,,43674,44116,43145,43233,11510,575300000
127,SVI,HOSE,11/07/2019,,44116,44116,43233,43233,9810,490000000
128,SVI,HOSE,12/07/2019,,44116,44116,42351,42351,150,7000000
129,SVI,HOSE,15/07/2019,,44116,44116,42351,42351,0,0
130,SVI,HOSE,16/07/2019,,44116,44116,44116,44116,10,1000000
131,SVI,HOSE,17/07/2019,,44116,44116,44116,44116,0,0
132,SVI,HOSE,18/07/2019,,44116,44116,44116,44116,0,0
133,SVI,HOSE,19/07/2019,,44116,44116,44116,44116,0,0
134,SVI,HOSE,22/07/2019,,44116,44116,44116,44116,0,0
