,Symbol,Market,TradingDate,Time,Open,High,Low,Close,Volume,Value
0,SZC,HOSE,15/01/2019,,11211,11211,8222,8222,109570,1455530000
1,SZC,HOSE,16/01/2019,,8222,8782,8222,8782,27940,319000000
2,SZC,HOSE,17/01/2019,,9380,9380,9380,9380,119080,1494000000
3,SZC,HOSE,18/01/2019,,9791,9866,9380,9380,50480,652190000
4,SZC,HOSE,21/01/2019,,9380,9380,8894,8894,13560,164840000
5,SZC,HOSE,22/01/2019,,8670,8670,8371,8371,44240,502080000
6,SZC,HOSE,23/01/2019,,8222,8371,8222,8222,32640,360040000
7,SZC,HOSE,24/01/2019,,8222,8595,8147,8147,25700,282720000
8,SZC,HOSE,25/01/2019,,8072,8222,7997,8147,49630,537310000
9,SZC,HOSE,28/01/2019,,8222,8222,7848,7848,14490,153950000
10,SZC,HOSE,29/01/2019,,7848,7848,7698,7698,17290,179580000
11,SZC,HOSE,30/01/2019,,7848,8222,7848,8222,13100,142340000
12,SZC,HOSE,31/01/2019,,7698,8670,7698,8670,13540,147460000
13,SZC,HOSE,01/02/2019,,8819,9118,8819,8969,26280,314990000
14,SZC,HOSE,11/02/2019,,8894,9081,8371,8894,19240,229000000
15,SZC,HOSE,12/02/2019,,9118,9118,8670,8969,6110,71440000
16,SZC,HOSE,13/02/2019,,8558,8969,8483,8483,12030,137800000
17,SZC,HOSE,14/02/2019,,8520,8894,8520,8894,44960,520140000
18,SZC,HOSE,15/02/2019,,8969,8969,8782,8932,710,8400000
19,SZC,HOSE,18/02/2019,,8782,8857,8633,8745,8130,95250000
20,SZC,HOSE,19/02/2019,,8595,8782,8595,8595,10110,117090000
21,SZC,HOSE,20/02/2019,,8595,8819,8595,8745,240,2810000
22,SZC,HOSE,21/02/2019,,8520,8819,8520,8745,11650,134570000
23,SZC,HOSE,22/02/2019,,8371,8707,8371,8483,4700,53510000
24,SZC,HOSE,25/02/2019,,8782,8782,8446,8558,6120,69850000
25,SZC,HOSE,26/02/2019,,8483,8670,8446,8520,26740,304680000
26,SZC,HOSE,27/02/2019,,8520,8520,8483,8483,9660,109970000
27,SZC,HOSE,28/02/2019,,8446,8446,8296,8296,28330,317880000
28,SZC,HOSE,01/03/2019,,8520,8520,8371,8483,6140,69220000
29,SZC,HOSE,04/03/2019,,8446,8483,8371,8483,34570,390270000
30,SZC,HOSE,05/03/2019,,8483,8595,8296,8595,56010,631280000
31,SZC,HOSE,06/03/2019,,8446,8819,8446,8670,33470,389130000
32,SZC,HOSE,07/03/2019,,8483,9268,8483,9268,267080,3238020000
33,SZC,HOSE,08/03/2019,,9530,9791,9530,9642,111620,1440680000
34,SZC,HOSE,11/03/2019,,9642,10314,9642,10314,278650,3763300000
35,SZC,HOSE,12/03/2019,,10539,11024,10464,11024,641940,9425850000
36,SZC,HOSE,13/03/2019,,11211,11211,10613,11062,142590,2078050000
37,SZC,HOSE,14/03/2019,,10912,11211,10725,11136,135020,2025950000
38,SZC,HOSE,15/03/2019,,11136,11286,10837,10987,267670,3982230000
39,SZC,HOSE,18/03/2019,,11024,11062,10613,10837,182310,2647010000
40,SZC,HOSE,19/03/2019,,10688,10950,10688,10912,134560,1951040000
41,SZC,HOSE,20/03/2019,,10987,11510,10763,11510,220550,3290640000
42,SZC,HOSE,21/03/2019,,11660,12295,11510,12295,561890,9180500000
43,SZC,HOSE,22/03/2019,,12258,13154,12258,13080,594160,10402740000
44,SZC,HOSE,25/03/2019,,13080,13080,12183,12183,305200,5025840000
45,SZC,HOSE,26/03/2019,,11361,11884,11361,11435,268880,4104000000
46,SZC,HOSE,27/03/2019,,11249,12220,11249,12220,154760,2483000000
47,SZC,HOSE,28/03/2019,,12258,12258,11734,11809,146440,2339000000
48,SZC,HOSE,29/03/2019,,11510,12258,11510,12108,75910,1219000000
49,SZC,HOSE,01/04/2019,,12108,12519,11809,12482,123850,2026810000
50,SZC,HOSE,02/04/2019,,13005,13005,12183,12295,93040,1559820000
51,SZC,HOSE,03/04/2019,,12033,12444,12033,12033,46680,762440000
52,SZC,HOSE,04/04/2019,,12033,12557,12033,12258,151510,2491980000
53,SZC,HOSE,05/04/2019,,12258,12407,12108,12145,81910,1343840000
