,Symbol,Market,TradingDate,Time,Open,High,Low,Close,Volume,Value
0,TAC,HOSE,02/01/2019,,19856,20351,19432,19786,420,11710000
1,TAC,HOSE,03/01/2019,,19079,19786,18514,19786,2410,64920000
2,TAC,HOSE,04/01/2019,,19786,19786,19786,19786,0,0
3,TAC,HOSE,07/01/2019,,20210,20210,20210,20210,10,290000
4,TAC,HOSE,08/01/2019,,19079,19856,18796,19856,180,4810000
5,TAC,HOSE,09/01/2019,,18726,19715,18478,19644,1710,45170000
6,TAC,HOSE,10/01/2019,,19397,19397,19397,19397,30,820000
7,TAC,HOSE,11/01/2019,,19079,19326,19079,19291,730,19790000
8,TAC,HOSE,14/01/2019,,19786,19786,19079,19397,50,1000000
9,TAC,HOSE,15/01/2019,,19008,19044,19008,19044,60,1620000
10,TAC,HOSE,16/01/2019,,18761,19291,18761,19291,2030,54000000
11,TAC,HOSE,17/01/2019,,19291,19291,19291,19291,0,0
12,TAC,HOSE,18/01/2019,,18372,18938,18372,18867,3460,91390000
13,TAC,HOSE,21/01/2019,,18514,18796,17842,18726,2570,67250000
14,TAC,HOSE,22/01/2019,,17772,18938,17772,18372,1120,29050000
15,TAC,HOSE,23/01/2019,,17736,18655,17701,18372,2480,63620000
16,TAC,HOSE,24/01/2019,,17348,18514,17348,18372,2190,55800000
17,TAC,HOSE,25/01/2019,,18372,18372,17454,18372,830,20960000
18,TAC,HOSE,28/01/2019,,17383,19538,17383,18726,200,5120000
19,TAC,HOSE,29/01/2019,,18372,18478,17701,18302,630,16200000
20,TAC,HOSE,30/01/2019,,18302,18408,18302,18372,560,14560000
21,TAC,HOSE,31/01/2019,,18337,18337,18090,18337,240,6160000
22,TAC,HOSE,01/02/2019,,18337,18726,18337,18584,1170,30390000
23,TAC,HOSE,11/02/2019,,19044,19715,18655,19220,700,18770000
24,TAC,HOSE,12/02/2019,,19432,20563,18796,19362,2020,56510000
25,TAC,HOSE,13/02/2019,,18938,19786,18726,19786,6160,164810000
26,TAC,HOSE,14/02/2019,,19680,19715,19680,19680,2120,59040000
27,TAC,HOSE,15/02/2019,,19715,20068,19079,19927,2390,66210000
28,TAC,HOSE,18/02/2019,,19079,19644,19079,19644,290,7840000
29,TAC,HOSE,19/02/2019,,19644,19644,19644,19644,80,2220000
30,TAC,HOSE,20/02/2019,,19468,19468,18584,19468,1270,33740000
31,TAC,HOSE,21/02/2019,,19468,19468,19468,19468,0,0
32,TAC,HOSE,22/02/2019,,19079,19079,18160,18938,530,14140000
33,TAC,HOSE,25/02/2019,,18090,19644,18054,19644,4130,108430000
34,TAC,HOSE,26/02/2019,,18726,19574,18726,19574,890,23610000
35,TAC,HOSE,27/02/2019,,19397,19397,19362,19362,370,10150000
36,TAC,HOSE,28/02/2019,,19362,19362,18726,18726,40,1070000
37,TAC,HOSE,01/03/2019,,18726,19644,18726,19574,1190,31910000
38,TAC,HOSE,04/03/2019,,19574,19574,19220,19220,20,550000
39,TAC,HOSE,05/03/2019,,19079,19220,18125,18125,11690,302760000
40,TAC,HOSE,06/03/2019,,18125,19008,18125,19008,1680,43220000
41,TAC,HOSE,07/03/2019,,19008,19786,19008,19185,940,25480000
42,TAC,HOSE,08/03/2019,,19574,19574,18443,18655,840,22220000
43,TAC,HOSE,11/03/2019,,18372,18973,18372,18973,210,5470000
44,TAC,HOSE,12/03/2019,,18973,18973,18867,18938,600,16080000
45,TAC,HOSE,13/03/2019,,19079,19079,18372,18655,1090,28790000
46,TAC,HOSE,14/03/2019,,18231,19008,18231,18973,3510,91280000
47,TAC,HOSE,15/03/2019,,18973,18973,18196,18938,1310,33870000
48,TAC,HOSE,18/03/2019,,18372,18938,18372,18408,710,18940000
49,TAC,HOSE,19/03/2019,,18973,18973,18514,18514,1640,43670000
50,TAC,HOSE,20/03/2019,,18372,18796,18372,18796,250,6580000
51,TAC,HOSE,21/03/2019,,18549,18938,18549,18796,480,12760000
52,TAC,HOSE,22/03/2019,,19008,19008,18655,18655,550,14600000
53,TAC,HOSE,25/03/2019,,18796,19008,18796,18796,710,18920000
54,TAC,HOSE,26/03/2019,,18796,19008,18231,18796,360,9000000
55,TAC,HOSE,27/03/2019,,18796,18796,18796,18796,0,0
56,TAC,HOSE,28/03/2019,,18938,20068,18938,19715,3910,107000000
57,TAC,HOSE,29/03/2019,,19715,20987,19715,20634,1250,37000000
58,TAC,HOSE,01/04/2019,,20422,21199,19998,20634,2590,74830000
59,TAC,HOSE,02/04/2019,,20916,20916,20139,20492,1260,36390000
60,TAC,HOSE,03/04/2019,,20351,20351,19821,20210,3080,87110000
61,TAC,HOSE,04/04/2019,,20210,20492,19927,20492,3480,98810000
62,TAC,HOSE,05/04/2019,,21199,21199,20492,20492,60,1750000
63,TAC,HOSE,08/04/2019,,20492,20846,20245,20846,1010,29080000
64,TAC,HOSE,09/04/2019,,20492,20492,20174,20174,2320,66380000
65,TAC,HOSE,10/04/2019,,20174,20492,19786,19998,1090,30560000
66,TAC,HOSE,11/04/2019,,19680,20492,19680,20492,310,8660000
67,TAC,HOSE,12/04/2019,,20139,20492,19927,20492,550,15660000
68,TAC,HOSE,16/04/2019,,20492,20492,20492,20492,2900,84100000
69,TAC,HOSE,17/04/2019,,20457,20457,19786,20457,3020,86480000
70,TAC,HOSE,18/04/2019,,19856,20316,19786,20174,790,22200000
71,TAC,HOSE,19/04/2019,,20174,20174,20174,20174,0,0
72,TAC,HOSE,22/04/2019,,20104,20492,20104,20174,1800,51270000
73,TAC,HOSE,23/04/2019,,19786,20104,19750,19786,2240,62720000
74,TAC,HOSE,24/04/2019,,19644,19644,19291,19468,450,12370000
75,TAC,HOSE,25/04/2019,,19468,19468,18372,19468,160,4.29
76,TAC,HOSE,26/04/2019,,18372,19468,18372,19468,140,3660000
77,TAC,HOSE,02/05/2019,,19468,19468,19079,19362,200,5460000
78,TAC,HOSE,03/05/2019,,19079,19185,18726,19185,310,8320000
79,TAC,HOSE,06/05/2019,,18796,19220,18726,19220,530,14050000
80,TAC,HOSE,07/05/2019,,20139,20139,19397,19397,40,1110000
81,TAC,HOSE,08/05/2019,,19432,19432,19397,19397,1770,48640000
82,TAC,HOSE,09/05/2019,,19326,19326,19079,19079,340,9230000
83,TAC,HOSE,10/05/2019,,19079,19079,19079,19079,40,1080000
84,TAC,HOSE,13/05/2019,,19362,19362,18902,19291,1580,42700000
85,TAC,HOSE,14/05/2019,,19291,19291,19291,19291,10,270000
86,TAC,HOSE,15/05/2019,,19185,19291,18655,19079,160,4310000
87,TAC,HOSE,16/05/2019,,19079,19079,18726,18726,760,20370000
88,TAC,HOSE,17/05/2019,,18973,18973,18973,18973,10,0
89,TAC,HOSE,20/05/2019,,19008,19008,18655,19008,440,11800000
90,TAC,HOSE,21/05/2019,,18938,18938,18938,18938,30,800000
91,TAC,HOSE,22/05/2019,,18796,18938,18726,18938,270,7170000
92,TAC,HOSE,23/05/2019,,18655,18867,18655,18867,220,6000000
93,TAC,HOSE,24/05/2019,,18867,18867,18867,18867,0,0
94,TAC,HOSE,27/05/2019,,18726,18938,18372,18867,2020,52580000
95,TAC,HOSE,28/05/2019,,18938,18938,18867,18938,270,7220000
96,TAC,HOSE,29/05/2019,,18938,18938,18584,18938,230,6070000
97,TAC,HOSE,30/05/2019,,18867,18938,18231,18938,420,11040000
98,TAC,HOSE,31/05/2019,,18726,19432,18726,19432,630,16740000
99,TAC,HOSE,03/06/2019,,19362,19362,19362,19362,10,270000
100,TAC,HOSE,04/06/2019,,19150,19150,19150,19150,60,1630000
101,TAC,HOSE,05/06/2019,,19150,19150,19150,19150,0,0
102,TAC,HOSE,06/06/2019,,18726,19079,17878,19079,1010,25630000
103,TAC,HOSE,07/06/2019,,19079,19079,19079,19079,0,0
104,TAC,HOSE,10/06/2019,,19079,19114,19079,19114,3240,87480000
105,TAC,HOSE,11/06/2019,,19114,19114,18443,19044,790,21010000
106,TAC,HOSE,12/06/2019,,19044,19044,19044,19044,220,5930000
107,TAC,HOSE,13/06/2019,,18726,18902,17842,18902,910,23370000
108,TAC,HOSE,14/06/2019,,18902,18902,18902,18902,0,0
109,TAC,HOSE,17/06/2019,,18372,18902,18054,18902,210,5400000
110,TAC,HOSE,18/06/2019,,18726,18902,18655,18902,1200,31700000
111,TAC,HOSE,19/06/2019,,18584,18902,17595,18902,2520,62840000
112,TAC,HOSE,20/06/2019,,18584,18902,17595,18902,2520,62840000
113,TAC,HOSE,21/06/2019,,18938,18938,18655,18938,460,12290000
114,TAC,HOSE,24/06/2019,,18231,18902,18196,18832,720,18750000
115,TAC,HOSE,25/06/2019,,18832,18902,18796,18902,970,25850000
116,TAC,HOSE,26/06/2019,,18867,18867,18054,18054,3450,89700000
117,TAC,HOSE,27/06/2019,,18938,18938,17807,18867,2030,51760000
118,TAC,HOSE,28/06/2019,,18514,18761,18372,18761,1030,26800000
119,TAC,HOSE,01/07/2019,,18019,18514,18019,18514,220,5650000
120,TAC,HOSE,02/07/2019,,17772,18408,17666,18337,1660,41570000
121,TAC,HOSE,03/07/2019,,18337,18337,18231,18231,2080,53810000
122,TAC,HOSE,04/07/2019,,18761,18761,18620,18655,130,3430000
123,TAC,HOSE,05/07/2019,,17878,18584,17878,18584,150,3830000
124,TAC,HOSE,08/07/2019,,18019,18408,18019,18408,40,1030000
125,TAC,HOSE,09/07/2019,,18372,19432,18372,19220,10590,283340000
126,TAC,HOSE,10/07/2019,,20492,20492,20139,20422,12470,358370000
127,TAC,HOSE,11/07/2019,,21411,21411,20492,21128,22780,681000000
128,TAC,HOSE,12/07/2019,,21128,21128,20210,20775,2170,63000000
129,TAC,HOSE,15/07/2019,,20280,20704,20280,20351,5640,163000000
130,TAC,HOSE,16/07/2019,,21128,21128,19927,20280,8790,253000000
131,TAC,HOSE,17/07/2019,,20280,20422,19468,19574,4940,141000000
132,TAC,HOSE,18/07/2019,,19503,20068,19503,19998,10400,291000000
133,TAC,HOSE,19/07/2019,,19574,19998,19574,19856,5520,155000000
134,TAC,HOSE,22/07/2019,,20492,20492,19998,20068,6330,180000000
135,TAC,HOSE,23/07/2019,,20068,20422,19927,20280,4730,134000000
136,TAC,HOSE,24/07/2019,,20280,21199,19998,20422,11970,346000000
137,TAC,HOSE,25/07/2019,,20422,20422,19786,20422,7720,220000000
138,TAC,HOSE,26/07/2019,,20846,20846,20280,20351,1050,30000000
139,TAC,HOSE,29/07/2019,,20068,20386,19998,20280,3710,106000000
140,TAC,HOSE,30/07/2019,,20492,20563,20210,20210,7560,218000000
141,TAC,HOSE,31/07/2019,,20704,20704,19927,20210,3960,115000000
142,TAC,HOSE,01/08/2019,,20210,20210,19927,20210,8600,245000000
143,TAC,HOSE,02/08/2019,,21598,21598,20055,20055,2380,65000000
144,TAC,HOSE,05/08/2019,,20055,20055,18898,19824,4470,112000000
145,TAC,HOSE,06/08/2019,,18512,19284,18474,19206,11150,268000000
146,TAC,HOSE,07/08/2019,,18358,19206,18358,18975,2070,51000000
147,TAC,HOSE,08/08/2019,,19206,19206,18358,18975,140,3000000
148,TAC,HOSE,09/08/2019,,18628,18821,17972,18744,2170,52000000
149,TAC,HOSE,12/08/2019,,17972,18589,17972,18474,2620,61000000
150,TAC,HOSE,13/08/2019,,18127,18898,18127,18782,1310,31000000
151,TAC,HOSE,14/08/2019,,18744,18782,18744,18782,1440,35000000
152,TAC,HOSE,15/08/2019,,18127,18667,17471,18358,930,22000000
153,TAC,HOSE,16/08/2019,,18358,18667,18358,18667,3470,83000000
154,TAC,HOSE,19/08/2019,,18589,18589,18281,18474,3240,77000000
155,TAC,HOSE,20/08/2019,,18281,18512,18281,18281,560,13000000
156,TAC,HOSE,21/08/2019,,18281,18744,18281,18512,470,11000000
157,TAC,HOSE,22/08/2019,,18358,18512,18319,18319,2450,59000000
158,TAC,HOSE,23/08/2019,,18358,18512,18319,18319,0,0
159,TAC,HOSE,26/08/2019,,18319,18319,18319,18319,70,2000000
160,TAC,HOSE,27/08/2019,,18358,18358,18204,18204,520,12000000
161,TAC,HOSE,28/08/2019,,18358,18859,18358,18744,610,15000000
162,TAC,HOSE,29/08/2019,,19052,19978,18744,19746,11150,275000000
163,TAC,HOSE,30/08/2019,,19284,19669,19284,19515,1910,48000000
164,TAC,HOSE,03/09/2019,,18204,20016,18204,19901,440,11000000
165,TAC,HOSE,04/09/2019,,19669,19669,18821,19515,1110,28000000
166,TAC,HOSE,05/09/2019,,19515,19669,18821,18821,1400,34000000
167,TAC,HOSE,06/09/2019,,18821,19669,18821,19284,690,17000000
168,TAC,HOSE,09/09/2019,,19284,19284,18744,18744,1070,26000000
169,TAC,HOSE,10/09/2019,,19245,19245,19245,19206,200,5000000
170,TAC,HOSE,11/09/2019,,19862,19862,18744,19245,200,5000000
171,TAC,HOSE,12/09/2019,,18898,18898,18744,19284,460,11000000
172,TAC,HOSE,13/09/2019,,18898,18898,18744,18898,990,24000000
173,TAC,HOSE,16/09/2019,,18898,18898,18898,19284,30,1000000
174,TAC,HOSE,17/09/2019,,19284,19284,18898,19206,530,13000000
175,TAC,HOSE,18/09/2019,,19052,19052,18127,19052,500,12000000
176,TAC,HOSE,19/09/2019,,18898,19206,18898,19206,2020,50000000
177,TAC,HOSE,20/09/2019,,19052,19284,19052,19284,3090,77000000
178,TAC,HOSE,23/09/2019,,19284,19284,19284,19284,10,0
179,TAC,HOSE,24/09/2019,,18589,18589,18512,18512,1300,31000000
180,TAC,HOSE,25/09/2019,,18589,18589,18551,18512,660,16000000
181,TAC,HOSE,26/09/2019,,18512,18512,18512,18821,310,7000000
182,TAC,HOSE,27/09/2019,,19901,19901,18821,18821,250,6000000
183,TAC,HOSE,30/09/2019,,18435,19669,18435,19438,1180,28000000
184,TAC,HOSE,01/10/2019,,18589,19438,18589,19284,5080,126000000
185,TAC,HOSE,02/10/2019,,19052,19669,18744,19245,10430,258000000
186,TAC,HOSE,03/10/2019,,19284,19901,18512,19901,16150,400000000
187,TAC,HOSE,04/10/2019,,19901,19901,18744,19669,100,3000000
188,TAC,HOSE,07/10/2019,,18744,18898,18744,19669,620,16000000
189,TAC,HOSE,08/10/2019,,18821,18821,18744,18744,2250,55000000
190,TAC,HOSE,09/10/2019,,17972,18898,17972,19592,330,8000000
191,TAC,HOSE,10/10/2019,,18744,19592,18667,18744,1100,27000000
192,TAC,HOSE,11/10/2019,,19592,19592,18821,18821,120,3000000
193,TAC,HOSE,14/10/2019,,18898,18898,18821,18821,1170,29000000
194,TAC,HOSE,15/10/2019,,18821,19206,18821,18821,1680,41000000
195,TAC,HOSE,16/10/2019,,18821,19438,18821,19438,2870,72000000
196,TAC,HOSE,17/10/2019,,18898,19361,18898,18898,1370,34000000
197,TAC,HOSE,18/10/2019,,18975,18975,18975,18975,150,4000000
198,TAC,HOSE,21/10/2019,,18898,19206,18551,19129,1780,43000000
199,TAC,HOSE,22/10/2019,,19206,19284,18744,18744,2540,63000000
200,TAC,HOSE,23/10/2019,,18898,18898,18744,18898,740,18000000
201,TAC,HOSE,24/10/2019,,18859,18898,18859,18898,430,11000000
202,TAC,HOSE,25/10/2019,,18744,18744,18744,18744,3460,84000000
203,TAC,HOSE,28/10/2019,,18744,18859,18628,18859,4170,101000000
204,TAC,HOSE,29/10/2019,,17895,18859,17741,18821,620,15000000
205,TAC,HOSE,30/10/2019,,18512,18859,18512,18859,680,17000000
206,TAC,HOSE,31/10/2019,,18281,18821,18281,18744,1580,38000000
207,TAC,HOSE,01/11/2019,,18319,18744,18319,18744,20,0
208,TAC,HOSE,04/11/2019,,18859,18859,18859,18782,510,12000000
209,TAC,HOSE,05/11/2019,,18821,18821,18667,18011,780,19000000
210,TAC,HOSE,06/11/2019,,18127,18512,18127,18512,850,20000000
211,TAC,HOSE,07/11/2019,,18204,18358,18127,18358,1400,33000000
212,TAC,HOSE,08/11/2019,,18435,18435,18127,18358,570,14000000
213,TAC,HOSE,11/11/2019,,18281,18281,18204,18204,370,9000000
214,TAC,HOSE,12/11/2019,,18204,18358,18204,18011,1670,39000000
215,TAC,HOSE,13/11/2019,,18011,18127,18011,18127,760,18000000
216,TAC,HOSE,14/11/2019,,18127,18127,18127,18127,200,5000000
217,TAC,HOSE,15/11/2019,,17895,18435,17895,18435,110,3000000
218,TAC,HOSE,18/11/2019,,18512,18512,18512,18512,100,2000000
219,TAC,HOSE,19/11/2019,,17972,18435,17972,18049,200,5000000
220,TAC,HOSE,20/11/2019,,17741,18435,17741,18435,1830,42000000
221,TAC,HOSE,21/11/2019,,17741,18281,17741,18281,60,1000000
222,TAC,HOSE,22/11/2019,,18435,18512,18358,18358,80,2000000
223,TAC,HOSE,25/11/2019,,18358,18358,18358,18358,540,13000000
224,TAC,HOSE,26/11/2019,,18358,18358,18358,18358,0,0
225,TAC,HOSE,27/11/2019,,18281,18281,18127,18281,160,4000000
226,TAC,HOSE,28/11/2019,,18049,18049,18049,18049,150,4000000
227,TAC,HOSE,29/11/2019,,18127,18127,18127,18127,100,2000000
228,TAC,HOSE,02/12/2019,,17741,18358,17741,18358,320,7000000
229,TAC,HOSE,03/12/2019,,18281,18358,18281,18358,60,1000000
230,TAC,HOSE,04/12/2019,,18358,18358,17895,17895,120,3000000
231,TAC,HOSE,05/12/2019,,17741,17741,17741,17741,3150,72000000
232,TAC,HOSE,06/12/2019,,17741,17741,17741,17741,260,6000000
233,TAC,HOSE,09/12/2019,,17741,17741,17741,17741,460,11000000
234,TAC,HOSE,10/12/2019,,17047,18281,17047,18281,20,0
235,TAC,HOSE,11/12/2019,,17741,17741,17664,17741,1670,38000000
236,TAC,HOSE,12/12/2019,,17741,18127,17355,18127,2210,51000000
237,TAC,HOSE,13/12/2019,,17895,17895,17895,17895,30,1000000
238,TAC,HOSE,16/12/2019,,17664,18049,17664,18049,80,2000000
239,TAC,HOSE,17/12/2019,,18049,18281,18049,18281,20,0
240,TAC,HOSE,18/12/2019,,18281,18281,18127,18281,20,0
241,TAC,HOSE,19/12/2019,,18512,18512,18512,18512,100,2000000
242,TAC,HOSE,20/12/2019,,17432,18512,17355,18358,3660,82000000
243,TAC,HOSE,23/12/2019,,18358,18358,18358,18358,40,1000000
244,TAC,HOSE,24/12/2019,,18358,18358,18358,18358,110,3000000
245,TAC,HOSE,25/12/2019,,18127,18127,17972,17972,120,3000000
246,TAC,HOSE,26/12/2019,,17278,18435,17278,18435,80,2000000
247,TAC,HOSE,27/12/2019,,17895,18319,17895,18319,1690,39000000
248,TAC,HOSE,30/12/2019,,17895,19284,17895,19284,1690,40000000
249,TAC,HOSE,31/12/2019,,19284,19978,19052,19978,6150,156000000
250,TAC,HOSE,02/01/2020,,20749,20749,19129,20749,300,8000000
251,TAC,HOSE,03/01/2020,,18898,18898,18667,18667,40,1000000
252,TAC,HOSE,06/01/2020,,18667,19939,18667,19322,12500,322000000
253,TAC,HOSE,07/01/2020,,18667,19939,18667,19322,0,0
254,TAC,HOSE,08/01/2020,,19129,19129,18667,18667,230,6000000
255,TAC,HOSE,09/01/2020,,17741,18975,17741,18512,900,21000000
256,TAC,HOSE,10/01/2020,,18512,18512,18127,18512,800,19000000
