,Symbol,Market,TradingDate,Time,Open,High,Low,Close,Volume,Value
0,TCB,HOSE,02/01/2019,,26000,26050,25600,25600,1329030,34284220000
1,TCB,HOSE,03/01/2019,,25700,25750,25000,25000,1811430,45899600000
2,TCB,HOSE,04/01/2019,,25000,25000,23250,24950,2970830,72939270000
3,TCB,HOSE,07/01/2019,,25150,25500,25100,25100,1436930,36242970000
4,TCB,HOSE,08/01/2019,,25150,25200,25050,25100,843170,21177750000
5,TCB,HOSE,09/01/2019,,25200,26000,25100,25800,3192180,81755210000
6,TCB,HOSE,10/01/2019,,25800,25950,25750,25800,1644380,42486740000
7,TCB,HOSE,11/01/2019,,25850,26300,25850,26000,1623150,42340300000
8,TCB,HOSE,14/01/2019,,25900,26050,25750,25850,2002420,51852000000
9,TCB,HOSE,15/01/2019,,25850,26500,25850,26500,1853220,48530880000
10,TCB,HOSE,16/01/2019,,26600,26750,26450,26500,1782580,47343000000
11,TCB,HOSE,17/01/2019,,26500,26850,26400,26650,1858980,49490000000
12,TCB,HOSE,18/01/2019,,26800,26950,26500,26750,1598890,42715720000
13,TCB,HOSE,21/01/2019,,26900,27500,26900,27400,1951730,53005020000
14,TCB,HOSE,22/01/2019,,27600,27600,26800,26800,2368670,64598170000
15,TCB,HOSE,23/01/2019,,26900,26900,26550,26550,2092730,55893010000
16,TCB,HOSE,24/01/2019,,26700,26850,26450,26650,1537670,40926020000
17,TCB,HOSE,25/01/2019,,26950,27250,26650,26650,1710030,46038720000
18,TCB,HOSE,28/01/2019,,26750,26800,26050,26200,1864000,49149680000
19,TCB,HOSE,29/01/2019,,26200,26500,25900,26500,2058540,53858170000
20,TCB,HOSE,30/01/2019,,26500,26700,26300,26600,1017170,26954070000
21,TCB,HOSE,31/01/2019,,26600,26600,26300,26500,2606420,68831250000
22,TCB,HOSE,01/02/2019,,26500,27200,26300,27200,7859690,212810650000
23,TCB,HOSE,11/02/2019,,27000,27300,26800,27050,2504660,67827300000
24,TCB,HOSE,12/02/2019,,27150,27650,26950,27450,4957590,136086210000
25,TCB,HOSE,13/02/2019,,27450,27750,27400,27550,2519920,69551080000
26,TCB,HOSE,14/02/2019,,27500,27600,27250,27300,2290940,62790650000
27,TCB,HOSE,15/02/2019,,27200,27650,27100,27250,3355310,91809630000
28,TCB,HOSE,18/02/2019,,27300,27550,27250,27350,2160450,59133470000
29,TCB,HOSE,19/02/2019,,27400,28200,27400,27550,7850600,218009040000
30,TCB,HOSE,20/02/2019,,27650,27800,27450,27550,2760520,76281850000
31,TCB,HOSE,21/02/2019,,27600,27700,27300,27500,2102120,57782970000
32,TCB,HOSE,22/02/2019,,27500,28000,27400,27700,6443060,179039430000
33,TCB,HOSE,25/02/2019,,27900,28000,27700,27750,3849680,107255110000
34,TCB,HOSE,26/02/2019,,27700,27850,27250,27450,3078620,84843380000
35,TCB,HOSE,27/02/2019,,27450,27500,27050,27200,4709200,128558040000
36,TCB,HOSE,28/02/2019,,27100,27200,26400,26500,4845650,129778400000
