,Symbol,Market,TradingDate,Time,Open,High,Low,Close,Volume,Value
0,TCH,HOSE,02/01/2019,,10910,11002,10449,10541,489900,8483420000
1,TCH,HOSE,03/01/2019,,10203,10634,9804,10572,1659190,27585650000
2,TCH,HOSE,04/01/2019,,10265,10449,10173,10449,712610,11966510000
3,TCH,HOSE,07/01/2019,,10541,10572,10295,10418,374060,6372410000
4,TCH,HOSE,08/01/2019,,10357,10357,10142,10326,501740,8427330000
5,TCH,HOSE,09/01/2019,,10357,10388,10203,10265,614590,10291040000
6,TCH,HOSE,10/01/2019,,10265,10326,10203,10295,324630,5415960000
7,TCH,HOSE,11/01/2019,,10295,10480,10203,10449,927630,15685030000
8,TCH,HOSE,14/01/2019,,10480,10541,10265,10388,436350,7359000000
9,TCH,HOSE,15/01/2019,,10295,10449,10265,10418,251400,4235870000
10,TCH,HOSE,16/01/2019,,10418,10449,10326,10418,311640,5264000000
11,TCH,HOSE,17/01/2019,,10449,10480,10295,10357,457980,7725000000
12,TCH,HOSE,18/01/2019,,10357,10756,10173,10756,1630230,27626380000
13,TCH,HOSE,21/01/2019,,10756,10972,10756,10941,1083950,19194580000
14,TCH,HOSE,22/01/2019,,10756,11095,10756,11064,1727940,30601560000
15,TCH,HOSE,23/01/2019,,11033,11125,10879,11095,983970,17646590000
16,TCH,HOSE,24/01/2019,,11125,11156,10941,11064,570760,10215540000
17,TCH,HOSE,25/01/2019,,10972,11187,10910,11125,980410,17611690000
18,TCH,HOSE,28/01/2019,,11156,11279,11095,11279,812360,14787210000
19,TCH,HOSE,29/01/2019,,11340,11525,11248,11463,1062820,19668460000
20,TCH,HOSE,30/01/2019,,11494,11617,11463,11586,700530,13151940000
21,TCH,HOSE,31/01/2019,,11586,11617,11248,11494,434840,8082380000
22,TCH,HOSE,01/02/2019,,11555,11986,11433,11986,933340,17674500000
23,TCH,HOSE,11/02/2019,,12078,12293,11986,12293,220740,4341970000
24,TCH,HOSE,12/02/2019,,12385,12447,12201,12416,261820,5256750000
25,TCH,HOSE,13/02/2019,,12416,12477,12324,12447,219950,4435730000
