,Symbol,Market,TradingDate,Time,Open,High,Low,Close,Volume,Value
0,TCR,HOSE,02/01/2019,,2380,2380,2380,2380,0,0
1,TCR,HOSE,03/01/2019,,2380,2380,2380,2380,0,0
2,TCR,HOSE,04/01/2019,,2380,2380,2380,2380,0,0
3,TCR,HOSE,07/01/2019,,2500,2500,2500,2500,70,180000
4,TCR,HOSE,08/01/2019,,2500,2500,2500,2500,0,0
5,TCR,HOSE,09/01/2019,,2500,2500,2500,2500,0,0
6,TCR,HOSE,10/01/2019,,2500,2500,2500,2500,0,0
7,TCR,HOSE,11/01/2019,,2330,2500,2330,2500,940,2190000
8,TCR,HOSE,14/01/2019,,2500,2500,2500,2500,0,0
9,TCR,HOSE,15/01/2019,,2650,2650,2650,2650,10,30000
10,TCR,HOSE,16/01/2019,,2470,2470,2470,2470,40,0
11,TCR,HOSE,17/01/2019,,2470,2470,2470,2470,0,0
12,TCR,HOSE,18/01/2019,,2470,2470,2470,2470,0,0
13,TCR,HOSE,21/01/2019,,2470,2470,2470,2470,0,0
14,TCR,HOSE,22/01/2019,,2470,2470,2470,2470,0,0
15,TCR,HOSE,23/01/2019,,2470,2470,2470,2470,0,0
16,TCR,HOSE,24/01/2019,,2580,2580,2580,2580,20,50000
17,TCR,HOSE,25/01/2019,,2580,2580,2580,2580,0,0
18,TCR,HOSE,28/01/2019,,2580,2580,2580,2580,0,0
19,TCR,HOSE,29/01/2019,,2400,2480,2400,2480,30,70000
20,TCR,HOSE,30/01/2019,,2480,2480,2480,2480,0,0
21,TCR,HOSE,31/01/2019,,2480,2480,2480,2480,0,0
22,TCR,HOSE,01/02/2019,,2630,2630,2630,2630,10,30000
23,TCR,HOSE,11/02/2019,,2630,2630,2630,2630,0,0
24,TCR,HOSE,12/02/2019,,2630,2630,2630,2630,0,0
25,TCR,HOSE,13/02/2019,,2630,2630,2630,2630,0,0
26,TCR,HOSE,14/02/2019,,2450,2450,2450,2450,20,50000
27,TCR,HOSE,15/02/2019,,2450,2620,2450,2590,220,540000
28,TCR,HOSE,18/02/2019,,2490,2490,2490,2490,100,250000
