,Symbol,Market,TradingDate,Time,Open,High,Low,Close,Volume,Value
0,TDC,HOSE,02/01/2019,,5706,5706,5504,5627,15440,117780000
1,TDC,HOSE,03/01/2019,,5699,5699,5627,5627,3120,24310000
2,TDC,HOSE,04/01/2019,,5627,5627,5453,5453,5450,41600000
3,TDC,HOSE,07/01/2019,,5634,5634,5526,5591,17550,134360000
4,TDC,HOSE,08/01/2019,,5562,5706,5562,5706,56550,440660000
5,TDC,HOSE,09/01/2019,,5598,5699,5598,5598,41640,322870000
6,TDC,HOSE,10/01/2019,,5634,5634,5576,5598,67760,524700000
7,TDC,HOSE,11/01/2019,,5598,5619,5598,5598,25960,201190000
8,TDC,HOSE,14/01/2019,,5843,5843,5605,5605,12690,99000000
9,TDC,HOSE,15/01/2019,,5721,5721,5605,5634,4710,36700000
10,TDC,HOSE,16/01/2019,,5634,5634,5598,5634,8330,65000000
11,TDC,HOSE,17/01/2019,,5489,5634,5489,5634,8880,69000000
12,TDC,HOSE,18/01/2019,,5894,5894,5598,5598,2010,15590000
13,TDC,HOSE,21/01/2019,,5598,5634,5576,5634,150470,1167350000
14,TDC,HOSE,22/01/2019,,5634,5634,5562,5598,88010,681740000
15,TDC,HOSE,23/01/2019,,5598,5598,5453,5554,156720,1193890000
16,TDC,HOSE,24/01/2019,,5547,5547,5424,5424,98880,751010000
17,TDC,HOSE,25/01/2019,,5453,5554,5453,5453,142760,1078300000
18,TDC,HOSE,28/01/2019,,5453,5453,5417,5453,78280,587850000
19,TDC,HOSE,29/01/2019,,5489,5554,5439,5439,39620,300450000
20,TDC,HOSE,30/01/2019,,5453,5482,5439,5453,60650,457670000
21,TDC,HOSE,31/01/2019,,5453,5453,5432,5453,27390,206390000
22,TDC,HOSE,01/02/2019,,5446,5475,5424,5475,34520,259940000
23,TDC,HOSE,11/02/2019,,5518,5562,5518,5562,5300,40560000
24,TDC,HOSE,12/02/2019,,5562,5612,5533,5591,13170,101020000
25,TDC,HOSE,13/02/2019,,5591,5699,5562,5598,24140,187470000
26,TDC,HOSE,14/02/2019,,5598,5670,5562,5562,45930,354720000
27,TDC,HOSE,15/02/2019,,5670,5706,5533,5605,92760,714590000
28,TDC,HOSE,18/02/2019,,5634,5634,5569,5569,39270,303330000
29,TDC,HOSE,19/02/2019,,5186,5598,5186,5497,81580,615660000
30,TDC,HOSE,20/02/2019,,5504,5540,5497,5540,13190,100520000
31,TDC,HOSE,21/02/2019,,5562,5562,5489,5533,36940,282110000
32,TDC,HOSE,22/02/2019,,5511,5605,5497,5605,66620,512350000
33,TDC,HOSE,25/02/2019,,5605,5612,5591,5591,326230,2527060000
34,TDC,HOSE,26/02/2019,,5605,5778,5591,5619,60770,472780000
35,TDC,HOSE,27/02/2019,,5706,5728,5627,5721,96910,764020000
36,TDC,HOSE,28/02/2019,,5735,5735,5562,5670,82930,644570000
37,TDC,HOSE,01/03/2019,,5692,5742,5670,5713,29510,233300000
38,TDC,HOSE,04/03/2019,,5713,5959,5713,5851,148460,1204510000
39,TDC,HOSE,05/03/2019,,5923,5981,5814,5887,320520,2622880000
40,TDC,HOSE,06/03/2019,,5887,5923,5887,5894,78910,645500000
41,TDC,HOSE,07/03/2019,,5894,5923,5872,5887,161950,1320820000
42,TDC,HOSE,08/03/2019,,5887,5894,5814,5822,107930,875740000
43,TDC,HOSE,11/03/2019,,5822,5851,5778,5851,67530,542780000
44,TDC,HOSE,12/03/2019,,5851,5865,5800,5851,55250,446130000
45,TDC,HOSE,13/03/2019,,5851,5858,5814,5814,208190,1685210000
46,TDC,HOSE,14/03/2019,,5836,5851,5800,5814,118540,955120000
47,TDC,HOSE,15/03/2019,,5814,5916,5800,5836,203780,1642010000
48,TDC,HOSE,18/03/2019,,5836,5937,5822,5901,187870,1525350000
49,TDC,HOSE,19/03/2019,,5959,6313,5959,6284,508020,4342700000
50,TDC,HOSE,20/03/2019,,6284,6566,6284,6428,275230,2449510000
51,TDC,HOSE,21/03/2019,,6428,6566,6284,6399,328580,2929670000
52,TDC,HOSE,22/03/2019,,6392,6392,6219,6320,130120,1133090000
53,TDC,HOSE,25/03/2019,,6176,6277,6118,6212,415080,3548010000
54,TDC,HOSE,26/03/2019,,6212,6284,6212,6248,78210,673000000
55,TDC,HOSE,27/03/2019,,6277,6277,6212,6233,98020,845000000
56,TDC,HOSE,28/03/2019,,6233,6501,6212,6356,321820,2856000000
57,TDC,HOSE,29/03/2019,,6414,6443,6356,6392,156270,1385000000
58,TDC,HOSE,01/04/2019,,6464,6464,6356,6428,112360,997830000
59,TDC,HOSE,02/04/2019,,6428,6486,6428,6464,248190,2214880000
60,TDC,HOSE,03/04/2019,,6428,6464,6356,6464,47960,424420000
61,TDC,HOSE,04/04/2019,,6464,6464,6356,6371,89040,785130000
62,TDC,HOSE,05/04/2019,,6371,6717,6356,6609,249810,2265340000
63,TDC,HOSE,08/04/2019,,6645,6645,6573,6631,139800,1279460000
64,TDC,HOSE,09/04/2019,,6609,6674,6551,6551,132040,1209720000
65,TDC,HOSE,10/04/2019,,6551,6573,6356,6356,111650,988540000
66,TDC,HOSE,11/04/2019,,6356,6428,6334,6399,87730,772920000
67,TDC,HOSE,12/04/2019,,6356,6407,6269,6269,182230,1594370000
68,TDC,HOSE,16/04/2019,,6269,6313,6139,6277,123740,1070620000
69,TDC,HOSE,17/04/2019,,6284,6363,6161,6161,105490,921430000
70,TDC,HOSE,18/04/2019,,6161,6269,6118,6118,139270,1185680000
71,TDC,HOSE,19/04/2019,,6139,6262,6118,6139,84880,721740000
72,TDC,HOSE,22/04/2019,,6139,6139,6067,6111,128120,1086430000
73,TDC,HOSE,23/04/2019,,6082,6125,6060,6060,89600,753570000
74,TDC,HOSE,24/04/2019,,6060,6125,6038,6125,65370,548700000
75,TDC,HOSE,25/04/2019,,6139,6139,6067,6074,56440,474.92
