,Symbol,Market,TradingDate,Time,Open,High,Low,Close,Volume,Value
0,TDG,HOSE,02/01/2019,,2900,2909,2764,2791,125210,385660000
1,TDG,HOSE,03/01/2019,,2727,2855,2600,2600,305200,895480000
2,TDG,HOSE,04/01/2019,,2545,2591,2473,2573,212350,596920000
3,TDG,HOSE,07/01/2019,,2745,2745,2591,2718,79680,236260000
4,TDG,HOSE,08/01/2019,,2818,2818,2682,2791,90930,276770000
5,TDG,HOSE,09/01/2019,,2809,2809,2727,2791,365090,1108220000
6,TDG,HOSE,10/01/2019,,2727,2836,2727,2782,172840,527270000
7,TDG,HOSE,11/01/2019,,2745,2836,2736,2800,322370,985740000
8,TDG,HOSE,14/01/2019,,2855,2864,2745,2809,168730,522000000
9,TDG,HOSE,15/01/2019,,2827,2864,2800,2827,297630,925150000
10,TDG,HOSE,16/01/2019,,2827,2864,2773,2791,139180,433000000
11,TDG,HOSE,17/01/2019,,2791,2836,2709,2727,212020,650000000
12,TDG,HOSE,18/01/2019,,2727,2727,2655,2718,186190,553240000
13,TDG,HOSE,21/01/2019,,2645,2709,2564,2636,182080,529620000
14,TDG,HOSE,22/01/2019,,2564,2636,2509,2509,216950,615190000
15,TDG,HOSE,23/01/2019,,2545,2618,2509,2527,174280,486490000
16,TDG,HOSE,24/01/2019,,2455,2618,2455,2582,110990,312300000
17,TDG,HOSE,25/01/2019,,2545,2618,2518,2582,93840,263280000
18,TDG,HOSE,28/01/2019,,2600,2600,2564,2573,112600,320140000
19,TDG,HOSE,29/01/2019,,2545,2573,2455,2573,146600,408610000
20,TDG,HOSE,30/01/2019,,2573,2573,2536,2545,100450,282720000
21,TDG,HOSE,31/01/2019,,2545,2545,2455,2527,136250,377470000
22,TDG,HOSE,01/02/2019,,2545,2636,2500,2636,211370,596950000
23,TDG,HOSE,11/02/2019,,2655,2818,2645,2818,275300,822000000
24,TDG,HOSE,12/02/2019,,2836,2955,2836,2909,719430,2300470000
25,TDG,HOSE,13/02/2019,,2909,2945,2818,2818,369090,1182230000
26,TDG,HOSE,14/02/2019,,2818,2845,2773,2845,165280,512470000
27,TDG,HOSE,15/02/2019,,2855,2855,2773,2809,251240,777890000
28,TDG,HOSE,18/02/2019,,2845,2845,2818,2836,115100,357910000
29,TDG,HOSE,19/02/2019,,2845,2873,2818,2845,222420,697150000
30,TDG,HOSE,20/02/2019,,2900,2900,2809,2845,199690,623880000
31,TDG,HOSE,21/02/2019,,2827,2864,2736,2809,242140,749430000
32,TDG,HOSE,22/02/2019,,2827,2827,2736,2800,112420,344550000
33,TDG,HOSE,25/02/2019,,2636,2809,2618,2664,534060,1572130000
34,TDG,HOSE,26/02/2019,,2736,2736,2527,2573,256220,727610000
35,TDG,HOSE,27/02/2019,,2636,2636,2545,2545,80220,227190000
36,TDG,HOSE,28/02/2019,,2582,2636,2545,2591,152620,432620000
37,TDG,HOSE,01/03/2019,,2618,2618,2455,2591,93600,264180000
38,TDG,HOSE,04/03/2019,,2618,2618,2564,2591,198950,564830000
