,Symbol,Market,TradingDate,Time,Open,High,Low,Close,Volume,Value
0,TDP,UPCOM,02/01/2019,,8340,8340,8340,8340,3600,52920000
1,TDP,UPCOM,03/01/2019,,8681,8681,8681,8681,400,6120000
2,TDP,UPCOM,04/01/2019,,8624,8624,8624,8624,5400,82080000
3,TDP,UPCOM,07/01/2019,,8624,8624,8624,8624,0,0
4,TDP,UPCOM,08/01/2019,,8511,8511,8511,8511,4200,63000000
5,TDP,UPCOM,09/01/2019,,8511,8511,8511,8511,0,0
6,TDP,UPCOM,10/01/2019,,8454,8454,8454,8454,3900,58110000
7,TDP,UPCOM,11/01/2019,,8454,8454,8454,8454,3400,50660000
8,TDP,UPCOM,14/01/2019,,8454,8454,8454,8454,0,0
9,TDP,UPCOM,15/01/2019,,7206,8511,7206,8511,11400,169320000
10,TDP,UPCOM,16/01/2019,,8624,8624,8624,8624,4200,63840000
11,TDP,UPCOM,17/01/2019,,9645,9645,9645,9645,3100,52700000
12,TDP,UPCOM,18/01/2019,,9645,9645,9645,9645,0,0
13,TDP,UPCOM,21/01/2019,,9248,9248,9078,9078,5500,88750000
14,TDP,UPCOM,22/01/2019,,9135,9135,9078,9078,0,0
15,TDP,UPCOM,23/01/2019,,9135,9135,9078,9078,0,0
16,TDP,UPCOM,24/01/2019,,8567,8567,8567,8567,5000,75500000
17,TDP,UPCOM,25/01/2019,,8567,8567,8567,8567,0,0
18,TDP,UPCOM,28/01/2019,,8567,8567,8567,8567,0,0
19,TDP,UPCOM,29/01/2019,,8397,8397,8397,8397,5000,74000000
20,TDP,UPCOM,30/01/2019,,8170,8170,8170,8170,2500,36000000
21,TDP,UPCOM,31/01/2019,,8170,8170,8170,8170,0,0
22,TDP,UPCOM,01/02/2019,,8511,9021,8511,9021,27500,414750000
23,TDP,UPCOM,11/02/2019,,8567,9021,8567,9021,0,0
24,TDP,UPCOM,12/02/2019,,8567,9021,8567,9021,0,0
25,TDP,UPCOM,13/02/2019,,8567,9021,8567,9021,0,0
26,TDP,UPCOM,14/02/2019,,8567,9021,8567,9021,0,0
27,TDP,UPCOM,15/02/2019,,8567,9021,8567,9021,0,0
28,TDP,UPCOM,18/02/2019,,8567,9021,8567,9021,0,0
29,TDP,UPCOM,19/02/2019,,8454,8454,8454,8454,5000,74500000
30,TDP,UPCOM,20/02/2019,,8454,8454,8454,8454,0,0
31,TDP,UPCOM,21/02/2019,,8454,8454,8454,8454,0,0
32,TDP,UPCOM,22/02/2019,,8397,8397,8397,8397,7300,108040000
33,TDP,UPCOM,25/02/2019,,8397,8397,8397,8397,0,0
34,TDP,UPCOM,26/02/2019,,8284,8284,8284,8284,3000,43800000
35,TDP,UPCOM,27/02/2019,,8511,8511,8454,8454,36000,539700000
36,TDP,UPCOM,28/02/2019,,8511,8511,8454,8454,0,0
37,TDP,UPCOM,01/03/2019,,8454,8454,8454,8454,6700,99830000
38,TDP,UPCOM,04/03/2019,,8454,8454,8454,8454,0,0
39,TDP,UPCOM,05/03/2019,,8340,8340,8340,8340,3000,44100000
40,TDP,UPCOM,06/03/2019,,8794,8794,8340,8340,3100,47970000
41,TDP,UPCOM,07/03/2019,,8340,8340,8340,8340,2800,41160000
42,TDP,UPCOM,08/03/2019,,8681,8681,8681,8681,3900,59670000
43,TDP,UPCOM,11/03/2019,,8681,8681,8681,8681,0,0
44,TDP,UPCOM,12/03/2019,,8681,8681,8681,8681,0,0
