,Symbol,Market,TradingDate,Time,Open,High,Low,Close,Volume,Value
0,THG,HOSE,02/01/2019,,13108,13640,13108,13517,18770,609930000
1,THG,HOSE,03/01/2019,,13517,13640,13353,13558,7840,257850000
2,THG,HOSE,04/01/2019,,13599,13968,13517,13968,21830,739490000
3,THG,HOSE,07/01/2019,,14254,14828,14254,14746,18420,651330000
4,THG,HOSE,08/01/2019,,14746,14951,14664,14869,4390,158720000
5,THG,HOSE,09/01/2019,,14541,14910,14541,14746,15680,564980000
6,THG,HOSE,10/01/2019,,14418,14664,13722,14664,1140,38960000
7,THG,HOSE,11/01/2019,,14705,14705,13927,14500,4570,156210000
8,THG,HOSE,14/01/2019,,14336,14336,13681,13763,7540,254000000
9,THG,HOSE,15/01/2019,,13763,14541,13763,14418,16880,587770000
10,THG,HOSE,16/01/2019,,14459,14459,13927,14336,5460,191000000
11,THG,HOSE,17/01/2019,,14316,14336,13763,13845,10640,361000000
12,THG,HOSE,18/01/2019,,13845,14336,13845,13886,710,24130000
13,THG,HOSE,21/01/2019,,14221,14263,13844,14221,9340,313750000
14,THG,HOSE,22/01/2019,,14473,14473,14221,14431,230,7830000
15,THG,HOSE,23/01/2019,,14431,14431,14054,14221,630,21160000
16,THG,HOSE,24/01/2019,,14431,14431,14263,14389,1190,40730000
17,THG,HOSE,25/01/2019,,14431,14431,13844,14389,560,18950000
18,THG,HOSE,28/01/2019,,14431,14431,13844,14263,540,18350000
19,THG,HOSE,29/01/2019,,14347,14347,13886,14347,8680,292330000
20,THG,HOSE,30/01/2019,,14012,14263,14012,14263,6190,210400000
21,THG,HOSE,31/01/2019,,14263,14263,14263,14263,240,8160000
22,THG,HOSE,01/02/2019,,14263,14263,14263,14263,120,4080000
23,THG,HOSE,11/02/2019,,14263,14347,14054,14305,5160,175610000
24,THG,HOSE,12/02/2019,,14431,14431,13676,13676,2830,93950000
25,THG,HOSE,13/02/2019,,14096,14263,13844,14054,2550,85300000
26,THG,HOSE,14/02/2019,,14054,14221,14054,14221,4830,161810000
27,THG,HOSE,15/02/2019,,14221,14221,14221,14221,20,680000
28,THG,HOSE,18/02/2019,,14179,14221,14054,14054,14570,488340000
29,THG,HOSE,19/02/2019,,13970,14054,13970,14054,7120,237710000
30,THG,HOSE,20/02/2019,,14054,14263,14054,14221,5580,187660000
31,THG,HOSE,21/02/2019,,14221,14221,14054,14221,15920,537600000
32,THG,HOSE,22/02/2019,,14221,14347,14096,14221,14770,499220000
33,THG,HOSE,25/02/2019,,14263,14389,14221,14389,19860,675540000
34,THG,HOSE,26/02/2019,,14473,14473,14263,14263,15770,538400000
35,THG,HOSE,27/02/2019,,14389,14389,14263,14305,6800,231460000
36,THG,HOSE,28/02/2019,,14305,14305,14221,14305,6630,225340000
37,THG,HOSE,01/03/2019,,14263,14305,14221,14305,7010,238450000
38,THG,HOSE,04/03/2019,,14347,14347,14263,14305,210,7140000
39,THG,HOSE,05/03/2019,,14305,14305,14221,14221,1000,34030000
40,THG,HOSE,06/03/2019,,14221,14893,14221,14683,52740,1823150000
41,THG,HOSE,07/03/2019,,14998,14998,14725,14977,3900,137990000
42,THG,HOSE,08/03/2019,,14809,15396,14809,15228,15880,574540000
43,THG,HOSE,11/03/2019,,15312,15522,15102,15228,14850,544150000
44,THG,HOSE,12/03/2019,,15312,15312,14683,14704,24010,846520000
45,THG,HOSE,13/03/2019,,14683,15102,14683,15060,1190,41930000
46,THG,HOSE,14/03/2019,,14893,15270,14767,15186,13850,648490000
47,THG,HOSE,15/03/2019,,15396,15522,15270,15312,11880,434210000
48,THG,HOSE,18/03/2019,,14347,15438,14347,15438,36680,1326310000
49,THG,HOSE,19/03/2019,,15522,15690,15312,15690,62260,2299390000
50,THG,HOSE,20/03/2019,,15732,15899,15522,15858,2210,83260000
51,THG,HOSE,21/03/2019,,15920,15941,15606,15606,9820,367200000
52,THG,HOSE,22/03/2019,,15606,15899,15606,15899,8730,327720000
53,THG,HOSE,25/03/2019,,15941,15941,15606,15858,5910,221490000
54,THG,HOSE,26/03/2019,,15858,15858,15186,15522,1840,68000000
55,THG,HOSE,27/03/2019,,15732,15732,15648,15690,140,5000000
56,THG,HOSE,28/03/2019,,15522,15690,15438,15438,4300,160000000
57,THG,HOSE,29/03/2019,,15102,15522,14935,15522,4690,172000000
58,THG,HOSE,01/04/2019,,15522,15690,15480,15522,1280,47350000
59,THG,HOSE,02/04/2019,,15941,15941,15228,15312,70,2580000
60,THG,HOSE,03/04/2019,,15312,15312,15102,15312,830,30150000
61,THG,HOSE,04/04/2019,,15522,15522,15102,15522,1240,44670000
62,THG,HOSE,05/04/2019,,15102,15522,15102,15102,4130,148890000
63,THG,HOSE,08/04/2019,,15102,15102,15102,15102,370,13320000
64,THG,HOSE,09/04/2019,,15144,15941,15102,15522,950,34840000
65,THG,HOSE,10/04/2019,,15186,15522,15144,15396,3380,124770000
66,THG,HOSE,11/04/2019,,15438,15438,14683,15270,11150,391680000
